,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,the,5.38,5.38,3,0.0,0.0,inf,2.1799999999999997
1,the,7.56,7.56,3,0.0,0.0,inf,2.1000000000000005
2,the,9.66,9.66,3,0.0,0.0,inf,1.6199999999999992
3,the,11.28,11.28,3,0.0,0.0,inf,1.2800000000000011
4,uh,12.56,12.56,2,0.0,0.0,inf,0.33999999999999986
5,all,12.9,13.0,3,0.09999999999999964,0.033333333333333215,30.000000000000107,0.019999999999999574
6,right,13.02,13.12,5,0.09999999999999964,0.019999999999999928,50.00000000000018,0.02000000000000135
7,i,13.14,13.16,1,0.019999999999999574,0.019999999999999574,50.000000000001066,0.03999999999999915
8,want,13.2,13.34,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.0
9,to,13.34,13.4,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.03999999999999915
10,see,13.44,13.6,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.0600000000000005
11,a,13.66,13.7,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.0600000000000005
12,show,13.76,13.96,4,0.20000000000000107,0.050000000000000266,19.999999999999893,0.0
13,of,13.96,14.0,2,0.03999999999999915,0.019999999999999574,50.000000000001066,0.03999999999999915
14,hands,14.04,14.34,5,0.3000000000000007,0.060000000000000143,16.66666666666663,0.040000000000000924
15,how,14.38,14.5,3,0.11999999999999922,0.03999999999999974,25.000000000000163,0.019999999999999574
16,many,14.52,14.66,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.03999999999999915
17,of,14.7,14.74,2,0.040000000000000924,0.020000000000000462,49.99999999999885,0.03999999999999915
18,you,14.78,14.84,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.040000000000000924
19,have,14.88,15.0,4,0.11999999999999922,0.029999999999999805,33.33333333333355,0.16000000000000014
20,underfriended,15.16,15.82,13,0.6600000000000001,0.05076923076923078,19.696969696969692,0.0600000000000005
21,someone,15.88,16.18,7,0.29999999999999893,0.042857142857142705,23.333333333333417,0.03999999999999915
22,on,16.22,16.32,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.0799999999999983
23,facebook,16.4,17.0,8,0.6000000000000014,0.07500000000000018,13.333333333333302,0.16000000000000014
24,because,17.16,17.56,7,0.3999999999999986,0.05714285714285694,17.500000000000064,0.019999999999999574
25,they,17.58,17.66,4,0.08000000000000185,0.020000000000000462,49.99999999999885,0.05999999999999872
26,said,17.72,17.9,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.0400000000000027
27,something,17.94,18.32,9,0.379999999999999,0.04222222222222211,23.68421052631585,0.05999999999999872
28,offensive,18.38,19.04,9,0.6600000000000001,0.07333333333333335,13.636363636363633,0.060000000000002274
29,about,19.1,19.42,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.09999999999999787
30,politics,19.52,20.18,8,0.6600000000000001,0.08250000000000002,12.12121212121212,0.08000000000000185
31,or,20.26,20.36,2,0.09999999999999787,0.049999999999998934,20.000000000000426,0.08000000000000185
32,religion,20.44,20.96,8,0.5199999999999996,0.06499999999999995,15.384615384615397,0.23999999999999844
33,child,21.2,21.54,5,0.33999999999999986,0.06799999999999998,14.705882352941183,0.03999999999999915
34,care,21.58,21.92,4,0.3400000000000034,0.08500000000000085,11.764705882352823,0.5599999999999987
35,food,22.48,22.98,4,0.5,0.125,8.0,2.3000000000000007
36,and,25.28,25.46,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.05999999999999872
37,how,25.52,25.64,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.03999999999999915
38,many,25.68,25.82,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.03999999999999915
39,of,25.86,25.88,2,0.019999999999999574,0.009999999999999787,100.00000000000213,0.0400000000000027
40,you,25.92,25.98,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.0799999999999983
41,know,26.06,26.18,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.03999999999999915
42,at,26.22,26.3,2,0.08000000000000185,0.040000000000000924,24.999999999999424,0.019999999999999574
43,least,26.32,26.66,5,0.33999999999999986,0.06799999999999998,14.705882352941183,0.03999999999999915
44,one,26.7,26.92,3,0.22000000000000242,0.07333333333333414,13.636363636363487,0.05999999999999872
45,person,26.98,27.3,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.03999999999999915
46,that,27.34,27.46,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.019999999999999574
47,you,27.48,27.56,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.060000000000002274
48,avoid,27.62,28.02,5,0.3999999999999986,0.07999999999999971,12.500000000000044,0.03999999999999915
49,because,28.06,28.32,7,0.26000000000000156,0.037142857142857366,26.92307692307676,0.03999999999999915
50,you,28.36,28.42,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.2799999999999976
51,just,28.7,28.98,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.0799999999999983
52,don't,29.06,29.3,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.0799999999999983
53,want,29.38,29.54,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.0
54,to,29.54,29.58,2,0.03999999999999915,0.019999999999999574,50.000000000001066,0.0400000000000027
55,talk,29.62,29.82,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.03999999999999915
56,to,29.86,29.92,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.03999999999999915
57,them,29.96,30.1,4,0.14000000000000057,0.03500000000000014,28.571428571428456,3.0
58,you,33.1,33.16,3,0.05999999999999517,0.01999999999999839,50.00000000000403,0.020000000000003126
59,know,33.18,33.24,4,0.060000000000002274,0.015000000000000568,66.66666666666414,0.03999999999999915
60,it,33.28,33.32,2,0.03999999999999915,0.019999999999999574,50.000000000001066,0.03999999999999915
