,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,the,4.42,4.42,3,0.0,0.0,inf,1.4400000000000004
1,the,5.86,5.86,3,0.0,0.0,inf,7.62
2,the,13.48,13.48,3,0.0,0.0,inf,1.1799999999999997
3,uh,14.66,14.66,2,0.0,0.0,inf,1.8000000000000007
4,when,16.46,16.62,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.03999999999999915
5,i,16.66,16.7,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.060000000000002274
6,was,16.76,16.92,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.05999999999999872
7,the,16.98,17.04,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.060000000000002274
8,only,17.1,17.26,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.03999999999999915
9,item,17.3,17.56,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274
10,my,17.62,17.7,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.08000000000000185
11,country,17.78,18.24,7,0.4599999999999973,0.06571428571428532,15.217391304347915,0.0400000000000027
12,was,18.28,18.46,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.05999999999999872
13,the,18.52,18.6,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.0799999999999983
14,best,18.68,19.08,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.060000000000002274
15,on,19.14,19.22,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.019999999999999574
16,the,19.24,19.32,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.05999999999999872
17,planet,19.38,19.88,6,0.5,0.08333333333333333,12.0,0.620000000000001
18,and,20.5,20.62,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.019999999999999574
19,i,20.64,20.68,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.120000000000001
20,grew,20.8,21.04,4,0.23999999999999844,0.05999999999999961,16.666666666666774,0.019999999999999574
21,up,21.06,21.16,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.05999999999999872
22,singing,21.22,21.58,7,0.35999999999999943,0.051428571428571344,19.444444444444475,0.0
23,with,21.58,21.68,4,0.10000000000000142,0.025000000000000355,39.99999999999943,0.03999999999999915
24,some,21.72,21.94,4,0.22000000000000242,0.055000000000000604,18.18181818181798,0.05999999999999872
25,code,22.0,22.34,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.0
26,and,22.34,22.42,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.03999999999999915
27,nothing,22.46,22.8,7,0.33999999999999986,0.04857142857142855,20.588235294117656,0.03999999999999915
28,to,22.84,22.94,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.0799999999999983
29,embar,23.02,23.38,5,0.35999999999999943,0.07199999999999988,13.88888888888891,1.0400000000000027
30,and,24.42,24.56,3,0.13999999999999702,0.04666666666666567,21.428571428571885,0.0400000000000027
31,i,24.6,24.66,1,0.05999999999999872,0.05999999999999872,16.666666666667023,0.0799999999999983
32,was,24.74,24.9,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.10000000000000142
33,very,25.0,25.3,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.09999999999999787
34,proud,25.4,25.88,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.7800000000000011
35,in,26.66,26.82,2,0.16000000000000014,0.08000000000000007,12.49999999999999,0.05999999999999872
36,school,26.88,27.22,6,0.33999999999999986,0.05666666666666664,17.64705882352942,0.0400000000000027
37,we,27.26,27.32,2,0.05999999999999872,0.02999999999999936,33.333333333334046,0.03999999999999915
38,spent,27.36,27.64,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.03999999999999915
39,a,27.68,27.7,1,0.019999999999999574,0.019999999999999574,50.000000000001066,0.03999999999999915
40,lot,27.74,27.92,3,0.18000000000000327,0.06000000000000109,16.666666666666362,0.0
41,of,27.92,27.98,2,0.05999999999999872,0.02999999999999936,33.333333333334046,0.05999999999999872
