,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,the,4.42,4.42,3,0.0,0.0,inf,1.4400000000000004,4.42
1,the,5.86,5.86,3,0.0,0.0,inf,7.62,5.86
2,the,13.48,13.48,3,0.0,0.0,inf,1.1799999999999997,13.48
3,uh,14.66,14.66,2,0.0,0.0,inf,1.8000000000000007,14.66
4,when,16.46,16.62,4,0.1600000000000001,0.04000000000000002,24.99999999999998,0.03999999999999915,16.54
5,i,16.66,16.7,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.060000000000002274,16.68
6,was,16.76,16.92,3,0.1600000000000001,0.053333333333333365,18.749999999999982,0.05999999999999872,16.840000000000003
7,the,16.98,17.04,3,0.0599999999999987,0.019999999999999567,50.000000000001066,0.060000000000002274,17.009999999999998
8,only,17.1,17.26,4,0.1600000000000001,0.04000000000000002,24.99999999999998,0.03999999999999915,17.18
9,item,17.3,17.56,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274,17.43
10,my,17.62,17.7,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.08000000000000185,17.66
11,country,17.78,18.24,7,0.4599999999999973,0.06571428571428532,15.217391304347917,0.0400000000000027,18.009999999999998
12,was,18.28,18.46,3,0.1799999999999997,0.059999999999999894,16.666666666666693,0.05999999999999872,18.37
13,the,18.52,18.6,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.0799999999999983,18.560000000000002
14,best,18.68,19.08,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.060000000000002274,18.88
15,on,19.14,19.22,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.019999999999999574,19.18
16,the,19.24,19.32,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.05999999999999872,19.28
17,planet,19.38,19.88,6,0.5,0.08333333333333333,12.0,0.620000000000001,19.63
18,and,20.5,20.62,3,0.120000000000001,0.040000000000000334,24.999999999999797,0.019999999999999574,20.560000000000002
19,i,20.64,20.68,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.120000000000001,20.66
20,grew,20.8,21.04,4,0.2399999999999984,0.0599999999999996,16.666666666666774,0.019999999999999574,20.92
21,up,21.06,21.16,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.05999999999999872,21.11
22,singing,21.22,21.58,7,0.3599999999999994,0.05142857142857134,19.444444444444475,0.0,21.4
23,with,21.58,21.68,4,0.1000000000000014,0.02500000000000035,39.99999999999943,0.03999999999999915,21.63
24,some,21.72,21.94,4,0.2200000000000024,0.0550000000000006,18.18181818181798,0.05999999999999872,21.83
25,code,22.0,22.34,4,0.3399999999999998,0.08499999999999995,11.764705882352946,0.0,22.17
26,and,22.34,22.42,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.03999999999999915,22.380000000000003
27,nothing,22.46,22.8,7,0.3399999999999998,0.04857142857142854,20.588235294117656,0.03999999999999915,22.630000000000003
28,to,22.84,22.94,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.0799999999999983,22.89
29,embar,23.02,23.38,5,0.3599999999999994,0.07199999999999987,13.88888888888891,1.0400000000000027,23.2
30,and,24.42,24.56,3,0.139999999999997,0.04666666666666566,21.428571428571885,0.0400000000000027,24.490000000000002
31,i,24.6,24.66,1,0.0599999999999987,0.0599999999999987,16.666666666667023,0.0799999999999983,24.630000000000003
32,was,24.74,24.9,3,0.1600000000000001,0.053333333333333365,18.749999999999982,0.10000000000000142,24.82
33,very,25.0,25.3,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.09999999999999787,25.15
34,proud,25.4,25.88,5,0.4800000000000004,0.09600000000000009,10.416666666666655,0.7800000000000011,25.64
35,in,26.66,26.82,2,0.1600000000000001,0.08000000000000004,12.49999999999999,0.05999999999999872,26.740000000000002
36,school,26.88,27.22,6,0.3399999999999998,0.056666666666666636,17.64705882352942,0.0400000000000027,27.049999999999997
37,we,27.26,27.32,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.03999999999999915,27.29
38,spent,27.36,27.64,5,0.2800000000000011,0.056000000000000216,17.857142857142783,0.03999999999999915,27.5
39,a,27.68,27.7,1,0.0199999999999995,0.0199999999999995,50.000000000001066,0.03999999999999915,27.689999999999998
40,lot,27.74,27.92,3,0.1800000000000032,0.06000000000000107,16.666666666666362,0.0,27.83
41,of,27.92,27.98,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.05999999999999872,27.950000000000003
42,time,28.04,28.28,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.03999999999999915,28.16
43,stating,28.32,28.68,7,0.3599999999999994,0.05142857142857134,19.444444444444475,0.019999999999999574,28.5
44,the,28.7,28.78,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.0799999999999983,28.740000000000002
45,historic,28.86,29.34,8,0.4800000000000004,0.06000000000000005,16.666666666666654,0.14000000000000057,29.1
46,key,29.48,29.68,3,0.1999999999999993,0.06666666666666643,15.000000000000052,0.019999999999999574,29.58
47,me,29.7,29.82,2,0.120000000000001,0.0600000000000005,16.66666666666653,0.0799999999999983,29.759999999999998
48,song,29.9,30.2,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.03999999999999915,30.049999999999997
49,but,30.24,30.32,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.0799999999999983,30.28
50,we,30.4,30.5,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.10000000000000142,30.45
51,never,30.6,30.84,5,0.2399999999999984,0.04799999999999968,20.83333333333347,0.08000000000000185,30.72
52,learnt,30.92,31.18,6,0.259999999999998,0.043333333333333,23.07692307692325,0.1999999999999993,31.05
53,much,31.38,31.68,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.08000000000000185,31.53
54,about,31.76,32.02,5,0.2600000000000015,0.0520000000000003,19.23076923076912,0.05999999999999517,31.89
