,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude
0,0,i,9.36,9.48,100.0,0.12,1,0.6470588235294117,0.0,0.0328167282501052
1,1,met,9.48,9.69,100.0,0.21,3,0.35294117647058815,0.0,0.19668723118932313
2,2,a,9.69,9.75,100.0,0.06,1,0.2941176470588235,0.02999999999999936,0.19375868017646705
3,3,traveller,9.78,10.26,100.0,0.48,9,0.25490196078431365,0.0600000000000005,0.4266231972482807
4,4,from,10.32,10.5,100.0,0.18,4,0.20588235294117643,0.0,0.31856591191168915
5,5,an,10.5,10.59,100.0,0.09,2,0.20588235294117643,0.0,0.46661040694556766
6,6,antique,10.59,11.07,100.0,0.48,7,0.3445378151260504,0.0,0.2533855945741008
7,7,land,11.07,11.67,100.0,0.6,4,0.8235294117647057,0.6300000000000008,0.2946861789140063
8,8,who,12.3,12.42,100.0,0.12,3,0.1764705882352941,0.0,0.46253878552359334
9,9,said,12.42,12.9,100.0,0.48,4,0.6470588235294117,0.5099999999999998,0.16564510587528958
10,10,two,13.41,13.68,100.0,0.27,3,0.4705882352941177,0.0,0.46922896877382253
11,11,vast,13.68,14.22,100.0,0.54,4,0.7352941176470588,0.0,0.25917107317997035
12,12,and,14.22,14.37,100.0,0.15,3,0.23529411764705876,0.030000000000001137,0.21694235127801104
13,13,trunk,14.4,14.76,64.5136,0.36,5,0.3647058823529411,0.0,0.09718877610794589
14,14,less,14.76,15.089999,83.5052,0.329999,4,0.4264691176470588,9.999999992515995e-07,0.10695867982684011
15,15,legs,15.09,15.48,100.0,0.39,4,0.5147058823529412,0.0,0.18133040403074824
16,16,of,15.48,15.6,100.0,0.12,2,0.2941176470588235,0.0,0.0
17,17,stone,15.6,16.23,100.0,0.63,5,0.6823529411764706,0.3299999999999983,0.2891810294234355
18,18,stand,16.56,17.07,100.0,0.51,5,0.5411764705882354,0.0,0.2701190031999871
19,19,in,17.07,17.16,100.0,0.09,2,0.20588235294117643,0.0,0.5431638131551816
20,20,the,17.16,17.25,100.0,0.09,3,0.11764705882352938,0.0,0.4409906087724613
21,21,desert,17.25,17.73,100.0,0.48,6,0.411764705882353,1.0799999999999983,0.055837096058283284
22,22,near,18.81,19.08,100.0,0.27,4,0.338235294117647,0.0,0.7128216335303248
23,23,them,19.08,19.29,100.0,0.21,4,0.24999999999999997,0.0,0.5897617081121722
24,24,on,19.29,19.41,100.0,0.12,2,0.2941176470588235,0.0,0.47193708113763033
25,25,the,19.41,19.5,100.0,0.09,3,0.11764705882352938,0.0,0.27444102935909054
26,26,sand,19.5,20.1,100.0,0.6,4,0.8235294117647057,0.29999999999999716,0.25317652738166435
27,27,half,20.4,20.73,100.0,0.33,4,0.42647058823529416,0.0,0.25552481549387873
28,28,sunk,20.73,21.24,100.0,0.51,4,0.6911764705882353,0.5700000000000003,0.20650801661702153
29,29,a,21.81,21.9,100.0,0.09,1,0.47058823529411764,0.0,0.07015509310343941
30,30,shattered,21.9,22.38,100.0,0.48,9,0.25490196078431365,0.0,0.06273214378381606
31,31,visage,22.38,22.8,100.0,0.42,6,0.35294117647058815,0.0,0.24729418469642872
32,32,lies,22.8,23.46,100.0,0.66,4,0.9117647058823529,0.75,0.2511729372840302
33,33,whose,24.21,24.48,100.0,0.27,5,0.25882352941176473,0.0,0.20161274701803572
34,34,frown,24.48,25.02,100.0,0.54,5,0.5764705882352942,0.0,0.35445912334406826
35,35,and,25.02,25.2,100.0,0.18,3,0.2941176470588235,0.0,0.4901563562925893
36,36,wrinkled,25.2,25.62,100.0,0.42,8,0.24999999999999997,0.0,0.43500371314436737
37,37,lip,25.62,25.98,100.0,0.36,3,0.6470588235294117,0.4800000000000004,0.11420588496149574
38,38,and,26.46,26.61,100.0,0.15,3,0.23529411764705876,0.0,0.3264505819006102
39,39,sneer,26.61,27.3,100.0,0.69,5,0.752941176470588,0.0,0.3864619106858105
40,40,of,27.3,27.48,100.0,0.18,2,0.47058823529411764,0.0,0.40430099611194353
41,41,cold,27.48,27.84,100.0,0.36,4,0.47058823529411764,0.0,0.08026723194866718
42,42,command,27.84,28.5,100.0,0.66,7,0.4957983193277311,0.7199999999999989,0.21417916489011993
43,43,tell,29.22,29.52,100.0,0.3,4,0.38235294117647056,0.0,0.3197805547148503
44,44,that,29.52,29.7,100.0,0.18,4,0.20588235294117643,0.0,0.480923356521692
45,45,it's,29.7,29.82,100.0,0.12,4,0.11764705882352938,0.0,0.21514442068743841
46,46,sculptor,29.82,30.57,100.0,0.75,8,0.4926470588235294,0.41999999999999815,0.19808751997284305
47,47,well,30.99,31.38,100.0,0.39,4,0.5147058823529412,0.0,0.6952331732346629
48,48,those,31.38,31.65,100.0,0.27,5,0.25882352941176473,0.0,0.5508649721695346
49,49,passions,31.65,32.13,100.0,0.48,8,0.2941176470588235,0.0,0.2066994978224231
50,50,read,32.13,32.52,100.0,0.39,4,0.5147058823529412,0.75,0.12881927795678877
51,51,which,33.27,33.51,100.0,0.24,5,0.22352941176470587,0.0,0.05121654147162959
52,52,yet,33.51,33.75,100.0,0.24,3,0.411764705882353,0.0,0.5203288959956678
53,53,survive,33.75,34.5,100.0,0.75,7,0.5714285714285714,0.6000000000000014,0.25774135370173495
54,54,stamped,35.1,35.82,100.0,0.72,7,0.5462184873949579,0.0,0.16829593355715716
55,55,on,35.82,35.97,100.0,0.15,2,0.38235294117647056,0.0,0.4628302319428293
56,56,these,35.97,36.21,100.0,0.24,5,0.22352941176470587,0.0,0.39057829556806756
57,57,lifeless,36.21,36.78,100.0,0.57,8,0.36029411764705876,0.030000000000001137,0.2036401084115416
58,58,things,36.81,37.5,100.0,0.69,6,0.6176470588235293,0.9600000000000009,0.22959899028305547
59,59,the,38.46,38.58,100.0,0.12,3,0.1764705882352941,0.0,0.33268465667719943
60,60,hand,38.58,38.91,100.0,0.33,4,0.42647058823529416,0.0,0.6579041044491737
61,61,that,38.91,39.12,100.0,0.21,4,0.24999999999999997,0.0,0.18096447113795697
62,62,mocked,39.12,39.45,100.0,0.33,6,0.2647058823529411,0.0,0.3491486094240721
63,63,them,39.45,39.72,100.0,0.27,4,0.338235294117647,0.35999999999999943,0.7030981920651155
