,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude
0,0,i,1.44,1.92,100.0,0.48,1,1.0,0.06000000000000005,0.5485216939356624
1,1,met,1.98,2.25,100.0,0.27,3,0.13333333333333575,0.0,0.3208187508669539
2,2,a,2.25,2.34,100.0,0.0899999999999998,1,0.13333333333333527,0.03000000000000025,0.15443246601053118
3,3,traveller,2.37,2.88,100.0,0.5099999999999998,9,0.05925925925926179,0.0,0.21320402859361576
4,4,from,2.88,3.24,100.0,0.3600000000000003,4,0.13333333333333588,0.0,0.15456107042547126
5,5,an,3.24,3.42,100.0,0.1799999999999997,2,0.13333333333333536,0.08999999999999986,0.243278408481002
6,6,antique,3.51,4.23,100.0,0.7200000000000006,7,0.1619047619047644,0.0,0.27450102178138
7,7,land,4.23,4.89,100.0,0.6599999999999993,4,0.3000000000000015,0.7200000000000006,0.15203925352703765
8,8,who,5.61,5.88,100.0,0.2699999999999996,3,0.1333333333333354,0.0,0.2861294640449517
9,9,said,5.88,6.42,100.0,0.54,4,0.23333333333333547,1.08,0.3555103576383631
10,10,two,7.5,7.95,72.2581,0.4500000000000002,3,0.2666666666666688,0.0,0.5873551715968476
11,11,vast,7.95,8.73,100.0,0.7800000000000002,4,0.36666666666666853,0.0,0.31556868316020964
12,12,and,8.73,8.88,100.0,0.1500000000000003,3,0.044444444444447284,0.05999999999999872,0.35593268122843846
13,13,tranquil,8.94,9.45,100.0,0.5099999999999998,8,0.07500000000000248,0.0600000000000005,0.22510012669884016
14,14,legs,9.51,9.96,100.0,0.450000000000001,4,0.18333333333333615,0.0,0.1858023013198416
15,15,of,9.96,10.11,100.0,0.1499999999999985,2,0.1000000000000008,0.0,0.11741319628312563
16,16,stone,10.11,10.83,100.0,0.7200000000000006,5,0.2533333333333357,0.0,0.26552815628859794
17,17,stand,10.83,11.55,100.0,0.7200000000000006,5,0.2533333333333357,0.0,0.21038256703580793
18,18,in,11.55,11.73,100.0,0.1799999999999997,2,0.13333333333333536,0.0,0.3255053315900325
19,19,the,11.73,11.85,100.0,0.1199999999999992,3,0.022222222222224315,0.0,0.2032848713815102
20,20,desert,11.85,12.39,100.0,0.5400000000000009,6,0.13333333333333605,1.1399999999999988,0.03366704694889344
21,21,near,13.53,13.86,100.0,0.33,4,0.1166666666666691,0.0,0.4641524371447651
22,22,them,13.86,14.25,100.0,0.3900000000000005,4,0.15000000000000263,0.7200000000000006,0.43818120807196875
23,23,on,14.97,15.27,100.0,0.2999999999999989,2,0.26666666666666744,0.0,0.42330246726493354
24,24,the,15.27,15.36,100.0,0.0899999999999998,3,2.5905203907920247e-15,0.0,0.3346444950172075
25,25,sand,15.36,16.08,100.0,0.7199999999999989,4,0.3333333333333345,0.75,0.2517586610092442
26,26,half,16.83,17.19,100.0,0.360000000000003,4,0.13333333333333738,0.0,0.2707822942442902
27,27,sunk,17.19,17.7,100.0,0.509999999999998,4,0.21666666666666773,0.0,0.2263971747976529
28,28,a,17.7,17.79,100.0,0.0899999999999998,1,0.13333333333333527,0.0,0.11534045842144672
29,29,shattered,17.79,18.3,100.0,0.5100000000000016,9,0.05925925925926222,0.0,0.132134664045723
30,30,visage,18.3,18.78,100.0,0.4800000000000004,6,0.11111111111111371,0.0,0.19215212096655435
31,31,lies,18.78,19.5,100.0,0.7199999999999989,4,0.3333333333333345,0.4499999999999993,0.056332060041953916
32,32,whose,19.95,20.28,100.0,0.3300000000000018,5,0.08000000000000333,0.0,0.06360693745981165
33,33,frown,20.28,21.06,100.0,0.7799999999999976,5,0.2800000000000009,0.5100000000000016,0.19032130465425304
34,34,and,21.57,21.78,100.0,0.2100000000000008,3,0.08888888888889199,0.0,0.1456451313985685
35,35,wrinkled,21.78,22.35,100.0,0.5700000000000003,8,0.09166666666666924,0.0,0.2715788801434092
36,36,lip,22.35,22.8,100.0,0.4499999999999993,3,0.26666666666666816,0.7799999999999976,0.17727612737352968
37,37,and,23.58,23.76,100.0,0.1800000000000032,3,0.0666666666666716,0.0,0.21853334713934416
38,38,sneer,23.76,24.3,100.0,0.5399999999999991,5,0.17333333333333523,0.0,0.650823496451993
39,39,of,24.3,24.45,100.0,0.1499999999999985,2,0.1000000000000008,0.0,0.21969674857794008
40,40,cold,24.45,24.99,100.0,0.5399999999999991,4,0.23333333333333497,0.060000000000002274,0.35747390623243297
41,41,command,25.05,25.89,100.0,0.8399999999999999,7,0.20000000000000215,0.5700000000000003,0.1738923980653791
42,42,tell,26.46,26.82,100.0,0.3599999999999994,4,0.13333333333333536,0.0,0.4004970596042935
43,43,that,26.82,27.03,100.0,0.2100000000000008,4,0.05000000000000304,0.0,0.2923050901489692
44,44,it's,27.03,27.24,100.0,0.2099999999999973,4,0.0500000000000011,0.0,0.101653618614825
45,45,sculptor,27.24,27.99,100.0,0.75,8,0.14166666666666902,0.75,0.17360569354423863
46,46,well,28.74,29.13,100.0,0.3900000000000005,4,0.15000000000000263,0.0,0.49159004913928034
47,47,those,29.13,29.49,100.0,0.3599999999999994,5,0.09333333333333553,0.0,0.18191650771876852
48,48,passions,29.49,30.06,100.0,0.5700000000000003,8,0.09166666666666924,0.0,0.11411694390713183
49,49,read,30.06,30.48,100.0,0.4200000000000017,4,0.1666666666666699,0.030000000000001137,0.10237266066236343
50,50,which,30.51,30.78,100.0,0.2699999999999996,5,0.05333333333333574,0.0,0.028125955299794246
51,51,yet,30.78,31.11,100.0,0.3299999999999983,3,0.17777777777777878,0.0,0.05621245829099646
52,52,survive,31.11,31.98,100.0,0.870000000000001,7,0.20952380952381203,0.33000000000000185,0.05866210030220418
53,53,stamped,32.31,32.97,100.0,0.6599999999999966,7,0.14285714285714413,0.0,0.10082190176124528
54,54,on,32.97,33.18,100.0,0.2100000000000008,2,0.16666666666666985,0.030000000000001137,0.16607081150761308
55,55,these,33.21,33.57,100.0,0.3599999999999994,5,0.09333333333333553,0.060000000000002274,0.08738115244350435
56,56,lifeless,33.63,34.26,100.0,0.6299999999999955,8,0.10833333333333452,0.030000000000001137,0.05567263685454142
57,57,things,34.29,35.1,100.0,0.8100000000000023,6,0.23333333333333625,1.0499999999999972,0.03469995255363419
58,58,the,36.15,36.27,100.0,0.1200000000000045,3,0.022222222222228232,0.0,0.12341949267496394
59,59,hand,36.27,36.72,100.0,0.4499999999999957,4,0.18333333333333318,0.060000000000002274,0.14917457567813325
60,60,that,36.78,36.99,100.0,0.2100000000000008,4,0.05000000000000304,0.0,0.04302592332678503
61,61,mocked,36.99,37.47,100.0,0.4799999999999969,6,0.11111111111111238,0.0,0.025812624821482815
62,62,them,37.47,37.62,100.0,0.1499999999999985,4,0.016666666666668526,1.2000000000000028,0.0
63,63,and,38.82,39.0,100.0,0.1799999999999997,3,0.06666666666666898,0.0,0.1642209663015246
64,64,the,39.0,39.12,100.0,0.1199999999999974,3,0.022222222222222976,0.0,0.12735780766724933
65,65,hat,39.12,39.72,100.0,0.6000000000000014,3,0.37777777777778054,0.12000000000000455,0.027735669079348744
66,66,looks,39.84,40.05,100.0,0.2099999999999937,5,0.026666666666666533,0.030000000000001137,0.023147942047183984
67,67,fade,40.08,40.56,100.0,0.480000000000004,4,0.2000000000000044,1.8299999999999983,0.006404604261740022
68,68,and,42.39,42.57,100.0,0.1799999999999997,3,0.06666666666666898,0.0,0.5218866497370954
69,69,on,42.57,42.78,100.0,0.2100000000000008,2,0.16666666666666985,0.0,1.0
70,70,the,42.78,42.87,100.0,0.0899999999999963,3,0.0,0.0,0.5559964245140206
71,71,pedestal,42.87,43.74,100.0,0.8700000000000045,8,0.17500000000000354,0.8099999999999952,0.2350319933898783
72,72,these,44.55,44.82,100.0,0.2700000000000031,5,0.05333333333333731,0.0,0.37428704357584547
73,73,words,44.82,45.27,100.0,0.4500000000000028,5,0.13333333333333694,0.0,0.23096021385449486
74,74,appear,45.27,45.75,100.0,0.4799999999999969,6,0.11111111111111238,1.9500000000000028,0.031079579083046184
