,Word,Start,End,length,time_spent,std_time_spent,post_space
0,hi,10.38,10.48,2,0.09999999999999964,0.04999999999999982,0.08000000000000007
1,everybody,10.56,10.98,9,0.41999999999999993,0.04666666666666666,1.1199999999999992
2,today,12.1,12.38,5,0.28000000000000114,0.05600000000000023,0.05999999999999872
3,our,12.44,12.56,3,0.120000000000001,0.040000000000000334,0.019999999999999574
4,economy,12.58,13.04,7,0.4599999999999991,0.06571428571428559,0.040000000000000924
5,is,13.08,13.16,2,0.08000000000000007,0.040000000000000036,0.0600000000000005
6,growing,13.22,13.56,7,0.33999999999999986,0.04857142857142855,0.019999999999999574
7,and,13.58,13.64,3,0.0600000000000005,0.020000000000000167,0.019999999999999574
8,our,13.66,13.76,3,0.09999999999999964,0.033333333333333215,0.0600000000000005
9,businesses,13.82,14.4,10,0.5800000000000001,0.05800000000000001,0.09999999999999964
10,are,14.5,14.6,3,0.09999999999999964,0.033333333333333215,0.0600000000000005
11,consistently,14.66,15.36,12,0.6999999999999993,0.05833333333333327,0.10000000000000142
12,generating,15.46,15.9,10,0.4399999999999995,0.04399999999999995,0.0600000000000005
13,new,15.96,16.08,3,0.11999999999999744,0.03999999999999915,0.0400000000000027
14,jobs,16.12,16.5,4,0.379999999999999,0.09499999999999975,1.0199999999999996
15,but,17.52,17.64,3,0.120000000000001,0.040000000000000334,0.09999999999999787
16,decades,17.74,18.22,7,0.4800000000000004,0.06857142857142863,0.0400000000000027
17,long,18.26,18.52,4,0.259999999999998,0.0649999999999995,0.05999999999999872
18,trends,18.58,19.04,6,0.46000000000000085,0.07666666666666681,0.1999999999999993
19,still,19.24,19.48,5,0.240000000000002,0.048000000000000397,0.0799999999999983
20,threatened,19.56,19.88,10,0.3200000000000003,0.03200000000000003,0.0
21,the,19.88,19.92,3,0.0400000000000027,0.013333333333334233,0.03999999999999915
22,middle,19.96,20.14,6,0.17999999999999972,0.029999999999999954,0.019999999999999574
23,class,20.16,20.56,5,0.3999999999999986,0.07999999999999971,1.0600000000000023
24,although,21.62,21.86,8,0.23999999999999844,0.029999999999999805,0.14000000000000057
25,the,22.0,22.06,3,0.05999999999999872,0.019999999999999574,0.060000000000002274
26,top,22.12,22.44,3,0.3200000000000003,0.10666666666666676,0.03999999999999915
27,are,22.48,22.54,3,0.05999999999999872,0.019999999999999574,0.03999999999999915
28,doing,22.58,22.78,5,0.20000000000000284,0.04000000000000057,0.03999999999999915
29,better,22.82,23.04,6,0.21999999999999886,0.03666666666666648,0.03999999999999915
30,than,23.08,23.18,4,0.10000000000000142,0.025000000000000355,0.019999999999999574
31,ever,23.2,23.38,4,0.17999999999999972,0.04499999999999993,0.6999999999999993
32,too,24.08,24.2,3,0.120000000000001,0.040000000000000334,0.08000000000000185
33,many,24.28,24.46,4,0.17999999999999972,0.04499999999999993,0.03999999999999915
34,americans,24.5,24.92,9,0.4200000000000017,0.046666666666666856,0.03999999999999915
35,are,24.96,25.06,3,0.09999999999999787,0.033333333333332625,0.060000000000002274
36,working,25.12,25.44,7,0.3200000000000003,0.045714285714285756,0.09999999999999787
37,harder,25.54,25.86,6,0.3200000000000003,0.05333333333333338,0.03999999999999915
38,than,25.9,26.02,4,0.120000000000001,0.03000000000000025,0.0
39,ever,26.02,26.2,4,0.17999999999999972,0.04499999999999993,0.5399999999999991
40,but,26.74,26.84,3,0.10000000000000142,0.033333333333333805,0.05999999999999872
41,feel,26.9,27.1,4,0.20000000000000284,0.05000000000000071,0.03999999999999915
42,like,27.14,27.28,4,0.14000000000000057,0.03500000000000014,0.019999999999999574
