,Word,Start,End,length,time_spent,std_time_spent,post_space
0,hi,10.18,10.28,2,0.09999999999999964,0.04999999999999982,0.08000000000000007
1,everybody,10.36,10.74,9,0.3800000000000008,0.04222222222222231,0.7599999999999998
2,this,11.5,11.64,4,0.14000000000000057,0.03500000000000014,0.03999999999999915
3,week,11.68,11.84,4,0.16000000000000014,0.040000000000000036,0.019999999999999574
4,i,11.86,11.9,1,0.040000000000000924,0.040000000000000924,0.08000000000000007
5,travelled,11.98,12.28,9,0.29999999999999893,0.033333333333333215,0.02000000000000135
6,to,12.3,12.38,2,0.08000000000000007,0.040000000000000036,0.03999999999999915
7,new,12.42,12.54,3,0.11999999999999922,0.03999999999999974,0.02000000000000135
8,england,12.56,12.82,7,0.2599999999999998,0.03714285714285711,0.03999999999999915
9,where,12.86,12.96,5,0.10000000000000142,0.020000000000000285,0.03999999999999915
10,i,13.0,13.02,1,0.019999999999999574,0.019999999999999574,0.0600000000000005
11,was,13.08,13.14,3,0.0600000000000005,0.020000000000000167,0.05999999999999872
12,joined,13.2,13.5,6,0.3000000000000007,0.05000000000000012,0.019999999999999574
13,by,13.52,13.64,2,0.120000000000001,0.0600000000000005,0.09999999999999964
14,four,13.74,13.96,4,0.22000000000000064,0.05500000000000016,0.03999999999999915
15,governors,14.0,14.38,9,0.3800000000000008,0.04222222222222231,0.019999999999999574
16,who,14.4,14.5,3,0.09999999999999964,0.033333333333333215,0.019999999999999574
17,are,14.52,14.6,3,0.08000000000000007,0.02666666666666669,0.0600000000000005
18,working,14.66,14.98,7,0.3200000000000003,0.045714285714285756,0.03999999999999915
19,to,15.02,15.08,2,0.0600000000000005,0.03000000000000025,0.03999999999999915
20,raise,15.12,15.36,5,0.2400000000000002,0.04800000000000004,0.02000000000000135
21,the,15.38,15.44,3,0.05999999999999872,0.019999999999999574,0.02000000000000135
22,minimum,15.46,15.76,7,0.29999999999999893,0.042857142857142705,0.040000000000000924
23,wage,15.8,16.06,4,0.259999999999998,0.0649999999999995,0.060000000000002274
24,in,16.12,16.2,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
25,each,16.26,16.48,4,0.21999999999999886,0.054999999999999716,0.0
26,of,16.48,16.56,2,0.0799999999999983,0.03999999999999915,0.0400000000000027
27,their,16.6,16.7,5,0.09999999999999787,0.019999999999999574,0.060000000000002274
28,states,16.76,17.14,6,0.379999999999999,0.06333333333333317,0.7199999999999989
29,and,17.86,17.96,3,0.10000000000000142,0.033333333333333805,0.0
30,they've,17.96,18.08,7,0.11999999999999744,0.017142857142856776,0.020000000000003126
31,also,18.1,18.3,4,0.1999999999999993,0.04999999999999982,0.05999999999999872
32,joined,18.36,18.56,6,0.1999999999999993,0.033333333333333215,0.019999999999999574
33,me,18.58,18.64,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
34,in,18.68,18.72,2,0.03999999999999915,0.019999999999999574,0.060000000000002274
35,calling,18.78,19.08,7,0.29999999999999716,0.04285714285714245,0.020000000000003126
36,on,19.1,19.18,2,0.0799999999999983,0.03999999999999915,0.08000000000000185
37,congress,19.26,19.66,8,0.3999999999999986,0.04999999999999982,0.03999999999999915
38,to,19.7,19.76,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
39,raise,19.8,20.04,5,0.23999999999999844,0.04799999999999969,0.019999999999999574
40,the,20.06,20.1,3,0.0400000000000027,0.013333333333334233,0.03999999999999915
41,minimum,20.14,20.4,7,0.259999999999998,0.03714285714285686,0.0400000000000027
42,wage,20.44,20.72,4,0.2799999999999976,0.0699999999999994,0.019999999999999574
43,from,20.74,20.92,4,0.18000000000000327,0.04500000000000082,0.41999999999999815
44,seven,21.34,21.58,5,0.23999999999999844,0.04799999999999969,0.0400000000000027
45,dollars,21.62,21.88,7,0.259999999999998,0.03714285714285686,0.019999999999999574
46,and,21.9,21.96,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
47,twenty,22.0,22.18,6,0.17999999999999972,0.029999999999999954,0.03999999999999915
48,five,22.22,22.38,4,0.16000000000000014,0.040000000000000036,0.0400000000000027
49,cents,22.42,22.66,5,0.23999999999999844,0.04799999999999969,0.019999999999999574
50,an,22.68,22.74,2,0.05999999999999872,0.02999999999999936,0.0400000000000027
51,hour,22.78,23.0,4,0.21999999999999886,0.054999999999999716,0.35999999999999943
52,to,23.36,23.44,2,0.08000000000000185,0.040000000000000924,0.11999999999999744
53,ten,23.56,23.72,3,0.16000000000000014,0.05333333333333338,0.060000000000002274
54,dollars,23.78,24.12,7,0.33999999999999986,0.04857142857142855,0.03999999999999915
55,and,24.16,24.28,3,0.120000000000001,0.040000000000000334,0.09999999999999787
56,ten,24.38,24.56,3,0.17999999999999972,0.05999999999999991,0.060000000000002274
57,cents,24.62,24.82,5,0.1999999999999993,0.039999999999999855,0.019999999999999574
58,an,24.84,24.92,2,0.08000000000000185,0.040000000000000924,0.019999999999999574
59,hour,24.94,25.16,4,0.21999999999999886,0.054999999999999716,0.8399999999999999
60,because,26.0,26.26,7,0.26000000000000156,0.037142857142857366,0.019999999999999574
61,it,26.28,26.32,2,0.03999999999999915,0.019999999999999574,0.019999999999999574
62,would,26.34,26.46,5,0.120000000000001,0.024000000000000198,0.05999999999999872
63,give,26.52,26.74,4,0.21999999999999886,0.054999999999999716,0.16000000000000014
64,nearly,26.9,27.2,6,0.3000000000000007,0.05000000000000012,0.16000000000000014
65,eight,27.36,27.54,5,0.17999999999999972,0.03599999999999994,0.03999999999999915
66,hundred,27.58,27.8,7,0.22000000000000242,0.03142857142857177,0.0799999999999983
67,thousand,27.88,28.26,8,0.38000000000000256,0.04750000000000032,0.03999999999999915
68,americans,28.3,28.78,9,0.4800000000000004,0.05333333333333338,0.05999999999999872
69,in,28.84,28.94,2,0.10000000000000142,0.05000000000000071,0.03999999999999915
70,their,28.98,29.1,5,0.120000000000001,0.024000000000000198,0.05999999999999872
71,states,29.16,29.48,6,0.3200000000000003,0.05333333333333338,0.0799999999999983
72,erase,29.56,30.04,5,0.4800000000000004,0.09600000000000009,0.4800000000000004
73,and,30.52,30.66,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
74,lift,30.7,30.88,4,0.17999999999999972,0.04499999999999993,0.0400000000000027
75,wages,30.92,31.26,5,0.33999999999999986,0.06799999999999998,0.05999999999999872
76,for,31.32,31.42,3,0.10000000000000142,0.033333333333333805,0.019999999999999574
77,about,31.44,31.66,5,0.21999999999999886,0.043999999999999775,0.10000000000000142
78,twenty,31.76,32.02,6,0.26000000000000156,0.04333333333333359,0.05999999999999517
79,eight,32.08,32.2,5,0.12000000000000455,0.02400000000000091,0.09999999999999432
80,million,32.3,32.7,7,0.4000000000000057,0.05714285714285795,0.27999999999999403
81,people,32.98,33.3,6,0.3200000000000003,0.05333333333333338,0.020000000000003126
82,across,33.32,33.64,6,0.3200000000000003,0.05333333333333338,0.03999999999999915
83,the,33.68,33.74,3,0.060000000000002274,0.020000000000000757,0.05999999999999517
84,country,33.8,34.14,7,0.3400000000000034,0.04857142857142906,0.9399999999999977
85,so,35.08,35.2,2,0.12000000000000455,0.060000000000002274,0.03999999999999915
86,these,35.24,35.4,5,0.1599999999999966,0.03199999999999932,0.03999999999999915
87,governors,35.44,35.86,9,0.4200000000000017,0.046666666666666856,0.20000000000000284
88,aren't,36.06,36.28,6,0.21999999999999886,0.03666666666666648,0.01999999999999602
89,waiting,36.3,36.56,7,0.2600000000000051,0.03714285714285787,0.03999999999999915
90,for,36.6,36.68,3,0.0799999999999983,0.0266666666666661,0.060000000000002274
91,congress,36.74,37.06,8,0.3200000000000003,0.040000000000000036,0.03999999999999915
92,to,37.1,37.16,2,0.05999999999999517,0.029999999999997584,0.04000000000000625
93,make,37.2,37.4,4,0.19999999999999574,0.049999999999998934,0.020000000000003126
94,up,37.42,37.5,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
95,its,37.56,37.72,3,0.1599999999999966,0.0533333333333322,0.03999999999999915
96,mind,37.76,38.04,4,0.28000000000000114,0.07000000000000028,0.5399999999999991
97,and,38.58,38.74,3,0.1600000000000037,0.053333333333334565,0.01999999999999602
98,in,38.76,38.82,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
99,my,38.86,38.98,2,0.11999999999999744,0.05999999999999872,0.0800000000000054
100,state,39.06,39.28,5,0.21999999999999886,0.043999999999999775,0.0
101,of,39.28,39.32,2,0.03999999999999915,0.019999999999999574,0.020000000000003126
102,the,39.34,39.38,3,0.03999999999999915,0.01333333333333305,0.03999999999999915
103,union,39.42,39.68,5,0.259999999999998,0.0519999999999996,0.020000000000003126
104,address,39.7,40.06,7,0.35999999999999943,0.051428571428571344,0.0799999999999983
105,i,40.14,40.2,1,0.060000000000002274,0.060000000000002274,0.09999999999999432
106,asked,40.3,40.52,5,0.22000000000000597,0.04400000000000119,0.01999999999999602
107,america's,40.54,40.96,9,0.4200000000000017,0.046666666666666856,0.0799999999999983
108,business,41.04,41.38,8,0.3400000000000034,0.042500000000000426,0.03999999999999915
109,leaders,41.42,41.72,7,0.29999999999999716,0.04285714285714245,0.3400000000000034
110,to,42.06,42.14,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
111,go,42.2,42.28,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
112,ahead,42.34,42.64,5,0.29999999999999716,0.05999999999999943,0.0799999999999983
113,and,42.72,42.84,3,0.12000000000000455,0.040000000000001514,0.0799999999999983
114,do,42.92,43.02,2,0.10000000000000142,0.05000000000000071,0.09999999999999432
115,what,43.12,43.26,4,0.14000000000000057,0.03500000000000014,0.060000000000002274
116,they,43.32,43.46,4,0.14000000000000057,0.03500000000000014,0.0799999999999983
117,could,43.54,43.68,5,0.14000000000000057,0.028000000000000115,0.03999999999999915
118,do,43.72,43.84,2,0.12000000000000455,0.060000000000002274,0.3399999999999963
119,to,44.18,44.26,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
120,raise,44.32,44.58,5,0.259999999999998,0.0519999999999996,0.03999999999999915
121,their,44.62,44.7,5,0.0800000000000054,0.01600000000000108,0.01999999999999602
122,employees,44.72,45.1,9,0.38000000000000256,0.04222222222222251,0.03999999999999915
123,wages,45.14,45.48,5,0.3399999999999963,0.06799999999999926,0.0800000000000054
124,too,45.56,45.72,3,0.1599999999999966,0.0533333333333322,0.8999999999999986
125,and,46.62,46.74,3,0.12000000000000455,0.040000000000001514,0.01999999999999602
126,increasingly,46.76,47.34,12,0.5800000000000054,0.04833333333333378,0.23999999999999488
127,it's,47.58,47.74,4,0.1600000000000037,0.040000000000000924,0.01999999999999602
128,not,47.76,47.9,3,0.14000000000000057,0.046666666666666856,0.060000000000002274
129,just,47.96,48.12,4,0.1599999999999966,0.03999999999999915,0.03999999999999915
130,large,48.16,48.4,5,0.240000000000002,0.048000000000000397,0.03999999999999915
131,companies,48.44,48.78,9,0.3400000000000034,0.03777777777777816,0.03999999999999915
