Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,before,0.16,0.42,0.26,0.04,0,6,0.2795698924731184,0.16609399711865344
1,i,0.46,0.48,0.0199999999999999,0.06,0,1,0.12903225806451554,0.36030587917716905
2,began,0.54,0.9,0.36,0.18,0,5,0.4645161290322583,0.15091285686101327
3,i'd,1.08,1.22,0.1399999999999999,0.02,0,3,0.30107526881720426,0.09890938117809626
4,like,1.24,1.36,0.1200000000000001,0.0399999999999998,0,4,0.19354838709677447,0.24931698946809444
5,to,1.4,1.48,0.08,0.1599999999999999,0,2,0.2580645161290324,0.04562863350432662
6,extend,1.64,1.94,0.3,0.02,0,6,0.3225806451612905,0.14180273599549154
7,a,1.96,1.98,0.02,0.04,0,1,0.1290322580645162,0.28326798186023683
8,few,2.02,2.18,0.1600000000000001,0.06,0,3,0.34408602150537676,0.13098094926444268
9,thank,2.24,2.5,0.2599999999999998,0.02,0,5,0.33548387096774185,0.06701627426956196
10,you,2.52,2.6,0.08,0.7599999999999998,0,3,0.17204301075268827,0.11366606475671832
11,first,3.36,3.6,0.2400000000000002,0.06,0,5,0.30967741935483917,0.22837617727110202
12,to,3.66,3.7,0.04,0.04,0,2,0.1290322580645162,0.03813239537715864
13,the,3.74,3.8,0.0599999999999996,0.1,0,3,0.12903225806451535,0.1913976989363083
14,nsda,3.9,4.52,0.6199999999999997,0.5,0,4,1.0,0.18670375597167918
15,for,5.02,5.2,0.1800000000000006,0.2800000000000002,0,3,0.3870967741935499,0.224516859123765
16,hosting,5.48,5.88,0.3999999999999994,0.04,0,7,0.3686635944700457,0.2661357956561796
17,this,5.92,6.04,0.1200000000000001,0.04,0,4,0.19354838709677447,0.1733760155074817
18,tournament,6.08,6.58,0.5,0.2199999999999997,0,10,0.32258064516129054,0.18434325051138922
19,which,6.8,7.04,0.2400000000000002,0.04,0,5,0.30967741935483917,0.16989148620950337
20,i,7.08,7.12,0.04,0.0599999999999996,0,1,0.2580645161290324,0.3328471802477585
21,think,7.18,7.28,0.1000000000000005,0.0199999999999995,0,5,0.12903225806451685,0.17449638622388577
22,is,7.3,7.36,0.0600000000000005,0.04,0,2,0.1935483870967759,0.11543397897736976
23,amazing,7.4,7.9,0.5,0.0199999999999995,0,7,0.46082949308755783,0.1855725768118529
24,it,7.92,8.06,0.1400000000000005,0.1999999999999993,0,2,0.4516129032258083,0.15622857997066128
25,offers,8.26,8.68,0.4199999999999999,0.0199999999999995,0,6,0.45161290322580655,0.23868900562882245
26,an,8.7,8.74,0.0400000000000009,0.0600000000000005,0,2,0.12903225806451912,0.1693307989594005
27,opportunity,8.8,9.3,0.5,0.08,0,11,0.29325513196480957,0.16011194042527693
28,for,9.38,9.46,0.08,0.0599999999999987,0,3,0.17204301075268827,0.04050619929154483
29,traditional,9.52,9.9,0.3800000000000008,0.0399999999999991,0,11,0.2228739002932557,0.13690065755722977
30,debaters,9.94,10.32,0.3800000000000008,0.0399999999999991,0,8,0.3064516129032266,0.136595245159848
31,like,10.36,10.5,0.1400000000000005,0.0600000000000005,0,4,0.22580645161290416,0.08932867843854304
32,me,10.56,10.7,0.1399999999999988,0.5,0,2,0.4516129032258028,0.1285084284526953
33,to,11.2,11.26,0.0600000000000005,0.0600000000000005,0,2,0.1935483870967759,0.020313045163990993
34,show,11.32,11.46,0.1400000000000005,0.0399999999999991,0,4,0.22580645161290416,0.41517055080992554
35,what,11.5,11.6,0.0999999999999996,0.0199999999999995,0,4,0.1612903225806446,0.41133118255924095
36,we,11.62,11.68,0.0600000000000005,0.0999999999999996,0,2,0.1935483870967759,0.15255699252783336
37,do,11.78,11.92,0.1400000000000005,0.2400000000000002,0,2,0.4516129032258083,0.14079573493806963
38,on,12.16,12.26,0.0999999999999996,0.0199999999999995,0,2,0.3225806451612892,0.11487452393622853
39,the,12.28,12.32,0.0400000000000009,0.0399999999999991,0,3,0.08602150537634608,0.1457921653284427
40,national,12.36,12.72,0.3600000000000012,0.0599999999999987,0,8,0.2903225806451624,0.128903320554565
41,stage,12.78,13.2,0.4199999999999999,0.7200000000000006,0,5,0.5419354838709679,0.08530634577117796
42,i'm,13.92,14.08,0.1600000000000001,0.0199999999999995,0,3,0.34408602150537676,0.11833230818695335
43,also,14.1,14.38,0.2800000000000011,0.5399999999999991,0,4,0.45161290322580844,0.385623374890571
44,i,14.92,15.0,0.08,0.0600000000000005,0,1,0.5161290322580648,0.22537962524272262
45,also,15.06,15.22,0.1600000000000001,0.0599999999999987,0,4,0.25806451612903253,0.39755407614981886
46,want,15.28,15.4,0.120000000000001,0.0,0,4,0.1935483870967759,0.37742454325520597
47,to,15.4,15.48,0.08,0.08,0,2,0.2580645161290324,0.19436637344340157
48,thank,15.56,15.88,0.3200000000000003,0.1799999999999979,0,5,0.4129032258064522,0.21109169180887707
49,my,16.06,16.16,0.1000000000000014,0.1000000000000014,0,2,0.322580645161295,0.2725018986956679
50,schools,16.26,16.48,0.2199999999999988,0.0199999999999995,0,7,0.20276497695852436,0.21249650325244201
51,administration,16.5,17.18,0.6799999999999997,0.0599999999999987,0,14,0.3133640552995392,0.25088805116292395
52,for,17.24,17.34,0.1000000000000014,0.0199999999999995,0,3,0.21505376344086333,0.13997525750143078
53,their,17.36,17.46,0.1000000000000014,0.0599999999999987,0,5,0.12903225806451799,0.3476995514476261
54,undying,17.52,18.02,0.5,0.0399999999999991,0,7,0.46082949308755783,0.30689499093351585
55,support,18.06,18.38,0.3200000000000003,0.0400000000000027,0,7,0.2949308755760373,0.18864143972015743
56,for,18.42,18.5,0.0799999999999983,0.0599999999999987,0,3,0.1720430107526846,0.09920245709287533
57,a,18.56,18.58,0.0199999999999995,0.0600000000000022,0,1,0.129032258064513,0.33659090775721034
58,speech,18.64,18.9,0.259999999999998,0.0,0,6,0.2795698924731163,0.08551767280767737
59,in,18.9,18.94,0.0400000000000027,0.0399999999999991,0,2,0.1290322580645249,0.10147501396803767
60,debate,18.98,19.24,0.259999999999998,0.0400000000000027,0,6,0.2795698924731163,0.19357269747973285
61,program,19.28,19.74,0.4599999999999973,0.4200000000000017,0,7,0.4239631336405507,0.18078098428474737
62,specifically,20.16,20.62,0.4600000000000008,0.1199999999999974,0,12,0.2473118279569898,0.1409655389002346
63,doctor,20.74,21.02,0.2800000000000011,0.0399999999999991,0,6,0.30107526881720564,0.3429172275906148
64,doctory,21.06,21.48,0.4200000000000017,0.0999999999999978,0,7,0.38709677419355015,0.24619587448828534
65,and,21.58,21.66,0.0800000000000018,0.0199999999999995,0,3,0.17204301075269215,0.10150097722213797
66,mr,21.68,21.76,0.0800000000000018,0.1600000000000001,0,2,0.25806451612903825,0.15531194473382587
67,galloger,21.92,22.38,0.4599999999999973,0.4000000000000021,0,8,0.3709677419354819,0.2548859696901337
68,without,22.78,23.02,0.2399999999999984,0.0199999999999995,0,7,0.2211981566820263,0.4080819343933084
69,your,23.04,23.14,0.1000000000000014,0.0399999999999991,0,4,0.1612903225806475,0.2827414200421342
70,support,23.18,23.56,0.379999999999999,0.1000000000000014,0,7,0.35023041474654304,0.22199019125226882
71,i,23.66,23.74,0.0799999999999983,0.0600000000000022,0,1,0.5161290322580538,0.3634860399925998
72,wouldn't,23.8,23.96,0.1600000000000001,0.0599999999999987,0,8,0.12903225806451626,0.29960982344523923
73,be,24.02,24.12,0.1000000000000014,0.3200000000000003,0,2,0.322580645161295,0.15100440923616995
74,where,24.44,24.6,0.1600000000000001,0.0399999999999991,0,5,0.206451612903226,0.34019485354639906
75,i,24.64,24.7,0.0599999999999987,0.0399999999999991,0,1,0.3870967741935402,0.36251890073422405
