,Word,Start,End,length,time_spent,std_time_spent,post_space
0,i,19.84,19.9,1,0.05999999999999872,0.05999999999999872,0.060000000000002274
1,would,19.96,20.04,5,0.0799999999999983,0.01599999999999966,0.060000000000002274
2,like,20.1,20.2,4,0.09999999999999787,0.024999999999999467,0.060000000000002274
3,everyone,20.26,20.56,8,0.29999999999999716,0.037499999999999645,0.0400000000000027
4,here,20.6,20.8,4,0.1999999999999993,0.04999999999999982,0.03999999999999915
5,to,20.84,20.92,2,0.08000000000000185,0.040000000000000924,0.03999999999999915
6,close,20.96,21.2,5,0.23999999999999844,0.04799999999999969,0.060000000000002274
7,his,21.26,21.46,3,0.1999999999999993,0.06666666666666643,0.019999999999999574
8,or,21.48,21.6,2,0.120000000000001,0.0600000000000005,0.03999999999999915
9,her,21.64,21.76,3,0.120000000000001,0.040000000000000334,0.11999999999999744
10,eyes,21.88,22.18,4,0.3000000000000007,0.07500000000000018,0.03999999999999915
11,and,22.22,22.32,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
12,imagine,22.36,22.76,7,0.40000000000000213,0.057142857142857446,0.0
13,a,22.76,22.8,1,0.03999999999999915,0.03999999999999915,0.03999999999999915
14,situation,22.84,23.48,9,0.6400000000000006,0.07111111111111118,0.8000000000000007
15,you,24.28,24.44,3,0.16000000000000014,0.05333333333333338,0.09999999999999787
16,and,24.54,24.64,3,0.10000000000000142,0.033333333333333805,0.019999999999999574
17,your,24.66,24.76,4,0.10000000000000142,0.025000000000000355,0.03999999999999915
18,graphic,24.8,25.14,7,0.33999999999999986,0.04857142857142855,0.019999999999999574
19,joe,25.16,25.44,3,0.28000000000000114,0.09333333333333371,0.41999999999999815
20,at,25.86,25.92,2,0.060000000000002274,0.030000000000001137,0.019999999999999574
21,the,25.94,26.02,3,0.0799999999999983,0.0266666666666661,0.03999999999999915
22,zoo,26.06,26.28,3,0.22000000000000242,0.07333333333333414,0.35999999999999943
23,observing,26.64,27.04,9,0.3999999999999986,0.04444444444444429,0.060000000000002274
24,animals,27.1,27.56,7,0.4599999999999973,0.06571428571428532,0.9000000000000021
25,all,28.46,28.62,3,0.16000000000000014,0.05333333333333338,0.03999999999999915
26,of,28.66,28.68,2,0.019999999999999574,0.009999999999999787,0.05999999999999872
27,a,28.74,28.76,1,0.020000000000003126,0.020000000000003126,0.05999999999999872
28,sudden,28.82,29.16,6,0.33999999999999986,0.05666666666666664,0.10000000000000142
