,Word,Start,End,length,time_spent,std_time_spent,post_space
0,hi,2.1,2.22,2,0.1200000000000001,0.06000000000000005,0.09999999999999964
1,everyone,2.32,2.78,8,0.45999999999999996,0.057499999999999996,0.14000000000000012
2,today,2.92,3.16,5,0.2400000000000002,0.04800000000000004,0.040000000000000036
3,i'm,3.2,3.24,3,0.040000000000000036,0.013333333333333345,0.019999999999999574
4,going,3.26,3.42,5,0.16000000000000014,0.03200000000000003,0.0
5,to,3.42,3.48,2,0.06000000000000005,0.030000000000000027,0.06000000000000005
6,show,3.54,3.68,4,0.14000000000000012,0.03500000000000003,0.040000000000000036
7,you,3.72,3.82,3,0.09999999999999964,0.033333333333333215,0.1200000000000001
8,how,3.94,4.04,3,0.10000000000000009,0.03333333333333336,0.019999999999999574
9,to,4.06,4.12,2,0.0600000000000005,0.03000000000000025,0.040000000000000036
10,make,4.16,4.36,4,0.20000000000000018,0.050000000000000044,0.040000000000000036
11,one,4.4,4.52,3,0.11999999999999922,0.03999999999999974,0.0
12,of,4.52,4.56,2,0.040000000000000036,0.020000000000000018,0.040000000000000036
13,my,4.6,4.68,2,0.08000000000000007,0.040000000000000036,0.10000000000000053
14,all,4.78,4.94,3,0.16000000000000014,0.05333333333333338,0.040000000000000036
15,time,4.98,5.2,4,0.21999999999999975,0.05499999999999994,0.05999999999999961
16,david,5.26,5.5,5,0.2400000000000002,0.04800000000000004,0.05999999999999961
17,drinks,5.56,5.92,6,0.3600000000000003,0.06000000000000005,0.33999999999999986
18,if,6.26,6.42,2,0.16000000000000014,0.08000000000000007,0.020000000000000462
19,you,6.44,6.54,3,0.09999999999999964,0.033333333333333215,0.05999999999999961
20,like,6.6,6.74,4,0.14000000000000057,0.03500000000000014,0.05999999999999961
21,chocolate,6.8,7.22,9,0.41999999999999993,0.04666666666666666,0.0600000000000005
22,your,7.28,7.38,4,0.09999999999999964,0.02499999999999991,0.040000000000000036
23,shirt,7.42,7.64,5,0.21999999999999975,0.04399999999999995,0.0
