,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,hi,2.1,2.22,2,0.1200000000000001,0.06000000000000005,0.09999999999999964,2.16
1,everyone,2.32,2.78,8,0.4599999999999999,0.05749999999999999,0.14000000000000012,2.55
2,today,2.92,3.16,5,0.2400000000000002,0.04800000000000004,0.040000000000000036,3.04
3,i'm,3.2,3.24,3,0.04,0.013333333333333334,0.019999999999999574,3.22
4,going,3.26,3.42,5,0.1600000000000001,0.032000000000000015,0.0,3.34
5,to,3.42,3.48,2,0.06,0.03,0.06000000000000005,3.45
6,show,3.54,3.68,4,0.1400000000000001,0.035000000000000024,0.040000000000000036,3.6100000000000003
7,you,3.72,3.82,3,0.0999999999999996,0.0333333333333332,0.1200000000000001,3.77
8,how,3.94,4.04,3,0.1,0.03333333333333333,0.019999999999999574,3.99
9,to,4.06,4.12,2,0.0600000000000005,0.03000000000000025,0.040000000000000036,4.09
10,make,4.16,4.36,4,0.2000000000000001,0.050000000000000024,0.040000000000000036,4.26
11,one,4.4,4.52,3,0.1199999999999992,0.03999999999999974,0.0,4.46
12,of,4.52,4.56,2,0.04,0.02,0.040000000000000036,4.539999999999999
13,my,4.6,4.68,2,0.08,0.04,0.10000000000000053,4.64
14,all,4.78,4.94,3,0.1600000000000001,0.053333333333333365,0.040000000000000036,4.86
15,time,4.98,5.2,4,0.2199999999999997,0.054999999999999924,0.05999999999999961,5.09
16,david,5.26,5.5,5,0.2400000000000002,0.04800000000000004,0.05999999999999961,5.38
17,drinks,5.56,5.92,6,0.3600000000000003,0.06000000000000005,0.33999999999999986,5.74
18,if,6.26,6.42,2,0.1600000000000001,0.08000000000000004,0.020000000000000462,6.34
19,you,6.44,6.54,3,0.0999999999999996,0.0333333333333332,0.05999999999999961,6.49
20,like,6.6,6.74,4,0.1400000000000005,0.03500000000000013,0.05999999999999961,6.67
21,chocolate,6.8,7.22,9,0.4199999999999999,0.046666666666666655,0.0600000000000005,7.01
22,your,7.28,7.38,4,0.0999999999999996,0.0249999999999999,0.040000000000000036,7.33
23,shirt,7.42,7.64,5,0.2199999999999997,0.04399999999999994,0.0,7.529999999999999
24,all,7.64,7.72,3,0.08,0.02666666666666667,0.020000000000000462,7.68
25,of,7.74,7.82,2,0.08,0.04,0.05999999999999961,7.78
26,this,7.88,8.14,4,0.2600000000000007,0.06500000000000017,0.6199999999999992,8.01
27,i'm,8.76,8.94,3,0.1799999999999997,0.059999999999999894,0.040000000000000924,8.85
28,sure,8.98,9.14,4,0.1600000000000001,0.04000000000000002,0.05999999999999872,9.06
29,many,9.2,9.4,4,0.200000000000001,0.05000000000000025,0.03999999999999915,9.3
30,of,9.44,9.5,2,0.0600000000000005,0.03000000000000025,0.08000000000000007,9.469999999999999
31,you,9.58,9.66,3,0.08,0.02666666666666667,0.09999999999999964,9.620000000000001
32,have,9.76,9.88,4,0.120000000000001,0.03000000000000025,0.05999999999999872,9.82
33,had,9.94,10.06,3,0.120000000000001,0.040000000000000334,0.019999999999999574,10.0
34,the,10.08,10.14,3,0.0600000000000005,0.020000000000000167,0.05999999999999872,10.11
35,classic,10.2,10.68,7,0.4800000000000004,0.06857142857142863,0.08000000000000007,10.44
36,hot,10.76,10.94,3,0.1799999999999997,0.059999999999999894,0.040000000000000924,10.85
37,chocolate,10.98,11.42,9,0.4399999999999995,0.048888888888888836,0.0600000000000005,11.2
38,on,11.48,11.58,2,0.0999999999999996,0.0499999999999998,0.019999999999999574,11.530000000000001
39,a,11.6,11.64,1,0.0400000000000009,0.0400000000000009,0.05999999999999872,11.620000000000001
40,cold,11.7,11.88,4,0.1800000000000015,0.04500000000000037,0.03999999999999915,11.79
41,winter's,11.92,12.24,8,0.3200000000000003,0.040000000000000036,0.019999999999999574,12.08
42,day,12.26,12.44,3,0.1799999999999997,0.059999999999999894,0.5200000000000014,12.35
43,but,12.96,13.06,3,0.0999999999999996,0.0333333333333332,0.05999999999999872,13.010000000000002
44,have,13.12,13.22,4,0.1000000000000014,0.02500000000000035,0.019999999999999574,13.17
45,you,13.24,13.32,3,0.08,0.02666666666666667,0.03999999999999915,13.280000000000001
46,thought,13.36,13.54,7,0.1799999999999997,0.02571428571428567,0.02000000000000135,13.45
47,about,13.56,13.76,5,0.1999999999999993,0.039999999999999855,0.0600000000000005,13.66
48,switching,13.82,14.16,9,0.3399999999999998,0.03777777777777776,0.019999999999999574,13.99
49,it,14.18,14.28,2,0.0999999999999996,0.0499999999999998,0.02000000000000135,14.23
50,up,14.3,14.44,2,0.1399999999999988,0.0699999999999994,0.0600000000000005,14.370000000000001
51,and,14.5,14.56,3,0.0600000000000005,0.020000000000000167,0.03999999999999915,14.530000000000001
52,having,14.6,14.82,6,0.2200000000000006,0.03666666666666677,0.0600000000000005,14.71
53,frozen,14.88,15.24,6,0.3599999999999994,0.059999999999999894,0.03999999999999915,15.06
54,hot,15.28,15.46,3,0.1800000000000015,0.0600000000000005,0.019999999999999574,15.370000000000001
55,chocolate,15.48,15.94,9,0.4599999999999991,0.05111111111111101,0.1800000000000015,15.71
56,on,16.12,16.22,2,0.0999999999999978,0.0499999999999989,0.0400000000000027,16.17
57,a,16.26,16.3,1,0.0399999999999991,0.0399999999999991,0.03999999999999915,16.28
58,hot,16.34,16.56,3,0.2199999999999988,0.07333333333333293,0.0400000000000027,16.45
59,day,16.6,16.78,3,0.1799999999999997,0.059999999999999894,0.03999999999999915,16.69
60,to,16.82,16.9,2,0.0799999999999983,0.03999999999999915,0.0400000000000027,16.86
61,call,16.94,17.08,4,0.139999999999997,0.03499999999999925,0.060000000000002274,17.009999999999998
62,you,17.14,17.2,3,0.0599999999999987,0.019999999999999567,0.08000000000000185,17.17
63,off,17.28,17.5,3,0.2199999999999988,0.07333333333333293,0.7800000000000011,17.39
64,i've,18.28,18.56,4,0.2799999999999976,0.0699999999999994,0.019999999999999574,18.42
65,been,18.58,18.7,4,0.120000000000001,0.03000000000000025,0.03999999999999915,18.64
66,making,18.74,19.06,6,0.3200000000000003,0.05333333333333338,0.0400000000000027,18.9
67,this,19.1,19.28,4,0.1799999999999997,0.04499999999999992,0.03999999999999915,19.19
68,drink,19.32,19.56,5,0.2399999999999984,0.04799999999999968,0.019999999999999574,19.439999999999998
69,since,19.58,19.78,5,0.2000000000000028,0.040000000000000556,0.019999999999999574,19.68
70,i,19.8,19.84,1,0.0399999999999991,0.0399999999999991,0.03999999999999915,19.82
71,was,19.88,19.94,3,0.0600000000000022,0.020000000000000732,0.019999999999999574,19.91
72,about,19.96,20.18,5,0.2199999999999988,0.04399999999999976,0.03999999999999915,20.07
73,twelve,20.22,20.5,6,0.2800000000000011,0.04666666666666685,0.03999999999999915,20.36
74,years,20.54,20.76,5,0.2200000000000024,0.044000000000000476,0.03999999999999915,20.65
75,old,20.8,21.12,3,0.3200000000000003,0.10666666666666676,0.0799999999999983,20.96
76,and,21.2,21.32,3,0.120000000000001,0.040000000000000334,0.019999999999999574,21.259999999999998
77,i,21.34,21.4,1,0.0599999999999987,0.0599999999999987,0.060000000000002274,21.369999999999997
78,perfected,21.46,21.92,9,0.4600000000000008,0.0511111111111112,0.019999999999999574,21.69
79,it,21.94,22.02,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,21.98
80,over,22.06,22.28,4,0.2200000000000024,0.0550000000000006,0.03999999999999915,22.17
81,time,22.32,22.58,4,0.259999999999998,0.0649999999999995,0.860000000000003,22.45
82,today,23.44,23.68,5,0.2399999999999984,0.04799999999999968,0.03999999999999915,23.560000000000002
83,i'm,23.72,23.82,3,0.1000000000000014,0.0333333333333338,0.03999999999999915,23.77
84,going,23.86,24.02,5,0.1600000000000001,0.032000000000000015,0.0,23.939999999999998
85,to,24.02,24.08,2,0.0599999999999987,0.02999999999999935,0.0400000000000027,24.049999999999997
86,show,24.12,24.26,4,0.1400000000000005,0.03500000000000013,0.03999999999999915,24.19
87,you,24.3,24.38,3,0.0799999999999983,0.0266666666666661,0.0400000000000027,24.34
88,how,24.42,24.52,3,0.0999999999999978,0.0333333333333326,0.019999999999999574,24.47
89,to,24.54,24.6,2,0.0600000000000022,0.0300000000000011,0.03999999999999915,24.57
90,make,24.64,24.8,4,0.1600000000000001,0.04000000000000002,0.0799999999999983,24.72
91,frozen,24.88,25.18,6,0.3000000000000007,0.05000000000000012,0.03999999999999915,25.03
92,hot,25.22,25.4,3,0.1799999999999997,0.059999999999999894,0.0400000000000027,25.31
93,chocolate,25.44,25.88,9,0.4399999999999977,0.048888888888888635,0.060000000000002274,25.66
94,with,25.94,26.06,4,0.1199999999999974,0.02999999999999935,0.08000000000000185,26.0
95,minimal,26.14,26.48,7,0.3399999999999998,0.04857142857142854,0.03999999999999915,26.310000000000002
96,ingredients,26.52,27.04,11,0.5199999999999996,0.04727272727272724,0.060000000000002274,26.78
97,that,27.1,27.22,4,0.1199999999999974,0.02999999999999935,0.019999999999999574,27.16
98,you,27.24,27.32,3,0.0800000000000018,0.02666666666666727,0.05999999999999872,27.28
99,should,27.38,27.54,6,0.1600000000000001,0.026666666666666682,0.060000000000002274,27.46
100,just,27.6,27.72,4,0.1199999999999974,0.02999999999999935,0.0400000000000027,27.66
101,have,27.76,27.92,4,0.1600000000000001,0.04000000000000002,0.05999999999999872,27.840000000000003
102,laying,27.98,28.18,6,0.1999999999999993,0.033333333333333215,0.019999999999999574,28.08
103,around,28.2,28.42,6,0.2200000000000024,0.03666666666666706,0.019999999999999574,28.310000000000002
104,your,28.44,28.54,4,0.0999999999999978,0.02499999999999945,0.019999999999999574,28.490000000000002
105,house,28.56,28.86,5,0.3000000000000007,0.060000000000000143,0.620000000000001,28.71
106,i,29.48,29.58,1,0.0999999999999978,0.0999999999999978,0.060000000000002274,29.53
107,will,29.64,29.74,4,0.0999999999999978,0.02499999999999945,0.0400000000000027,29.689999999999998
108,show,29.78,29.92,4,0.1400000000000005,0.03500000000000013,0.019999999999999574,29.85
109,you,29.94,30.0,3,0.0599999999999987,0.019999999999999567,0.05999999999999872,29.97
110,how,30.06,30.16,3,0.1000000000000014,0.0333333333333338,0.019999999999999574,30.11
111,to,30.18,30.24,2,0.0599999999999987,0.02999999999999935,0.060000000000002274,30.21
112,prepare,30.3,30.62,7,0.3200000000000003,0.045714285714285756,0.019999999999999574,30.46
113,your,30.64,30.72,4,0.0799999999999983,0.019999999999999574,0.0400000000000027,30.68
114,work,30.76,30.96,4,0.1999999999999993,0.04999999999999982,0.019999999999999574,30.86
115,area,30.98,31.32,4,0.3399999999999998,0.08499999999999995,0.7000000000000028,31.15
116,how,32.02,32.16,3,0.1399999999999934,0.04666666666666447,0.020000000000003126,32.09
117,to,32.18,32.26,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,32.22
118,make,32.3,32.46,4,0.1600000000000037,0.040000000000000924,0.03999999999999915,32.379999999999995
119,the,32.5,32.56,3,0.0600000000000022,0.020000000000000732,0.05999999999999517,32.53
120,actual,32.62,32.92,6,0.3000000000000042,0.050000000000000704,0.03999999999999915,32.769999999999996
121,frozen,32.96,33.2,6,0.240000000000002,0.040000000000000334,0.03999999999999915,33.08
122,hot,33.24,33.36,3,0.1199999999999974,0.039999999999999133,0.03999999999999915,33.3
123,chocolate,33.4,33.84,9,0.4400000000000048,0.04888888888888942,0.4799999999999969,33.620000000000005
124,and,34.32,34.46,3,0.1400000000000005,0.046666666666666835,0.03999999999999915,34.39
125,then,34.5,34.64,4,0.1400000000000005,0.03500000000000013,0.060000000000002274,34.57
126,how,34.7,34.8,3,0.0999999999999943,0.03333333333333143,0.020000000000003126,34.75
127,to,34.82,34.88,2,0.0600000000000022,0.0300000000000011,0.03999999999999915,34.85
128,add,34.92,35.04,3,0.1199999999999974,0.039999999999999133,0.020000000000003126,34.980000000000004
129,a,35.06,35.1,1,0.0399999999999991,0.0399999999999991,0.03999999999999915,35.08
130,little,35.14,35.28,6,0.1400000000000005,0.023333333333333418,0.03999999999999915,35.21
131,bit,35.32,35.46,3,0.1400000000000005,0.046666666666666835,0.0,35.39
132,of,35.46,35.52,2,0.0600000000000022,0.0300000000000011,0.05999999999999517,35.49
133,your,35.58,35.68,4,0.1000000000000014,0.02500000000000035,0.020000000000003126,35.629999999999995
134,own,35.7,35.86,3,0.1599999999999966,0.0533333333333322,0.03999999999999915,35.78
135,taste,35.9,36.16,5,0.259999999999998,0.0519999999999996,0.060000000000002274,36.03
136,to,36.22,36.3,2,0.0799999999999983,0.03999999999999915,0.04000000000000625,36.26
137,make,36.34,36.5,4,0.1599999999999966,0.03999999999999915,0.020000000000003126,36.42
138,it,36.52,36.58,2,0.0599999999999951,0.02999999999999755,0.03999999999999915,36.55
139,the,36.62,36.66,3,0.0399999999999991,0.013333333333333032,0.04000000000000625,36.64
140,way,36.7,36.82,3,0.1199999999999974,0.039999999999999133,0.0799999999999983,36.760000000000005
141,you,36.9,36.96,3,0.0600000000000022,0.020000000000000732,0.0799999999999983,36.93
142,want,37.04,37.24,4,0.2000000000000028,0.0500000000000007,0.03999999999999915,37.14
143,it,37.28,37.4,2,0.1199999999999974,0.0599999999999987,1.1200000000000045,37.34
144,first,38.52,38.8,5,0.279999999999994,0.055999999999998794,0.04000000000000625,38.66
145,it's,38.84,38.98,4,0.1399999999999934,0.03499999999999835,0.020000000000003126,38.91
146,important,39.0,39.38,9,0.3800000000000025,0.0422222222222225,0.01999999999999602,39.19
147,to,39.4,39.46,2,0.0600000000000022,0.0300000000000011,0.060000000000002274,39.43
148,clean,39.52,39.7,5,0.1799999999999997,0.035999999999999935,0.03999999999999915,39.61
149,off,39.74,39.88,3,0.1400000000000005,0.046666666666666835,0.03999999999999915,39.81
150,your,39.92,40.0,4,0.0799999999999983,0.019999999999999574,0.03999999999999915,39.96
151,work,40.04,40.22,4,0.1799999999999997,0.04499999999999992,0.020000000000003126,40.129999999999995
152,space,40.24,40.54,5,0.2999999999999971,0.05999999999999942,0.020000000000003126,40.39
153,and,40.56,40.62,3,0.0599999999999951,0.019999999999998366,0.020000000000003126,40.59
154,where,40.64,40.76,5,0.1199999999999974,0.02399999999999948,0.020000000000003126,40.7
155,you're,40.78,40.9,6,0.1199999999999974,0.019999999999999567,0.03999999999999915,40.84
156,going,40.94,41.14,5,0.2000000000000028,0.040000000000000556,0.03999999999999915,41.04
157,to,41.18,41.24,2,0.0600000000000022,0.0300000000000011,0.03999999999999915,41.21
158,be,41.28,41.36,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,41.32
159,making,41.4,41.72,6,0.3200000000000003,0.05333333333333338,0.020000000000003126,41.56
160,it,41.74,41.88,2,0.1400000000000005,0.07000000000000026,1.019999999999996,41.81
161,according,42.9,43.34,9,0.4400000000000048,0.04888888888888942,0.03999999999999915,43.120000000000005
162,to,43.38,43.48,2,0.0999999999999943,0.04999999999999715,0.22000000000000597,43.43
163,man's,43.7,43.98,5,0.279999999999994,0.055999999999998794,0.020000000000003126,43.84
164,article,44.0,44.4,7,0.3999999999999986,0.05714285714285694,0.0799999999999983,44.2
165,on,44.48,44.58,2,0.1000000000000014,0.0500000000000007,0.060000000000002274,44.53
166,web,44.64,44.82,3,0.1799999999999997,0.059999999999999894,0.020000000000003126,44.730000000000004
167,md,44.84,45.12,2,0.279999999999994,0.139999999999997,0.060000000000002274,44.980000000000004
168,website,45.18,45.68,7,0.5,0.07142857142857142,0.060000000000002274,45.43
169,it,45.74,45.84,2,0.1000000000000014,0.0500000000000007,0.03999999999999915,45.790000000000006
