,Word,Start,End,length,time_spent,std_time_spent,post_space
0,my,0.64,0.76,2,0.12,0.06,0.09999999999999998
1,next,0.86,1.14,4,0.2799999999999999,0.06999999999999998,0.06000000000000005
2,guest,1.2,1.56,5,0.3600000000000001,0.07200000000000002,0.020000000000000018
3,is,1.58,1.7,2,0.11999999999999988,0.05999999999999994,0.040000000000000036
4,a,1.74,1.78,1,0.040000000000000036,0.040000000000000036,0.09999999999999987
5,very,1.88,2.2,4,0.3200000000000003,0.08000000000000007,0.09999999999999964
6,funny,2.3,2.54,5,0.2400000000000002,0.04800000000000004,0.06000000000000005
7,comedian,2.6,3.06,8,0.45999999999999996,0.057499999999999996,0.06000000000000005
8,headlining,3.12,3.62,10,0.5,0.05,0.020000000000000018
9,the,3.64,3.7,3,0.06000000000000005,0.020000000000000018,0.020000000000000018
10,atlanta,3.72,4.08,7,0.3599999999999999,0.051428571428571414,0.05999999999999961
11,improv,4.14,4.6,6,0.45999999999999996,0.07666666666666666,0.0600000000000005
12,june,4.66,4.9,4,0.2400000000000002,0.06000000000000005,0.08000000000000007
13,fifth,4.98,5.26,5,0.27999999999999936,0.05599999999999987,0.0600000000000005
14,through,5.32,5.5,7,0.17999999999999972,0.025714285714285672,0.05999999999999961
15,seventh,5.56,5.94,7,0.3800000000000008,0.054285714285714395,0.07999999999999918
16,please,6.02,6.3,6,0.28000000000000025,0.04666666666666671,0.040000000000000036
17,welcome,6.34,6.76,7,0.41999999999999993,0.05999999999999999,0.08000000000000007
18,alley,6.84,7.16,5,0.3200000000000003,0.06400000000000006,0.040000000000000036
19,****,7.2,7.6,4,0.39999999999999947,0.09999999999999987,7.700000000000001
20,hi,15.3,15.48,2,0.17999999999999972,0.08999999999999986,0.17999999999999972
21,everybody,15.66,16.16,9,0.5,0.05555555555555555,0.120000000000001
22,hi,16.28,16.52,2,0.23999999999999844,0.11999999999999922,0.379999999999999
23,i'm,16.9,17.0,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
24,very,17.04,17.2,4,0.16000000000000014,0.040000000000000036,0.019999999999999574
25,excited,17.22,17.6,7,0.38000000000000256,0.05428571428571465,0.019999999999999574
26,to,17.62,17.7,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
27,be,17.76,17.88,2,0.11999999999999744,0.05999999999999872,0.17999999999999972
28,here,18.06,18.4,4,0.33999999999999986,0.08499999999999996,0.16000000000000014
29,it's,18.56,18.86,4,0.3000000000000007,0.07500000000000018,0.060000000000002274
30,been,18.92,19.26,4,0.33999999999999986,0.08499999999999996,0.09999999999999787
31,a,19.36,19.42,1,0.060000000000002274,0.060000000000002274,0.0799999999999983
32,big,19.5,19.7,3,0.1999999999999993,0.06666666666666643,0.060000000000002274
33,year,19.76,19.94,4,0.17999999999999972,0.04499999999999993,0.0799999999999983
34,for,20.02,20.18,3,0.16000000000000014,0.05333333333333338,0.08000000000000185
35,me,20.26,20.44,2,0.17999999999999972,0.08999999999999986,0.13999999999999702
36,i,20.58,20.64,1,0.060000000000002274,0.060000000000002274,0.09999999999999787
37,turn,20.74,20.98,4,0.240000000000002,0.0600000000000005,0.05999999999999872
38,thirty,21.04,21.28,6,0.240000000000002,0.040000000000000334,0.0799999999999983
39,two,21.36,21.58,3,0.21999999999999886,0.07333333333333296,0.7800000000000011
40,and,22.36,22.78,3,0.4200000000000017,0.14000000000000057,0.05999999999999872
41,in,22.84,22.96,2,0.120000000000001,0.0600000000000005,0.05999999999999872
42,january,23.02,23.78,7,0.7600000000000016,0.10857142857142879,0.11999999999999744
43,i,23.9,23.98,1,0.08000000000000185,0.08000000000000185,0.14000000000000057
44,got,24.12,24.4,3,0.2799999999999976,0.09333333333333253,0.16000000000000014
45,engaged,24.56,25.48,7,0.9200000000000017,0.13142857142857167,3.6799999999999997
46,my,29.16,29.32,2,0.16000000000000014,0.08000000000000007,0.3200000000000003
47,boyfriend,29.64,30.0,9,0.35999999999999943,0.03999999999999994,0.120000000000001
48,i,30.12,30.18,1,0.05999999999999872,0.05999999999999872,0.10000000000000142
49,have,30.28,30.38,4,0.09999999999999787,0.024999999999999467,0.019999999999999574
50,been,30.4,30.52,4,0.120000000000001,0.03000000000000025,0.019999999999999574
51,together,30.54,30.96,8,0.4200000000000017,0.05250000000000021,0.09999999999999787
52,for,31.06,31.26,3,0.20000000000000284,0.06666666666666761,0.21999999999999886
53,five,31.48,31.8,4,0.3200000000000003,0.08000000000000007,0.05999999999999872
54,years,31.86,32.26,5,0.3999999999999986,0.07999999999999971,0.10000000000000142
55,and,32.36,32.66,3,0.29999999999999716,0.09999999999999905,0.04000000000000625
56,i,32.7,32.76,1,0.05999999999999517,0.05999999999999517,0.0800000000000054
57,just,32.84,33.04,4,0.19999999999999574,0.049999999999998934,0.060000000000002274
58,had,33.1,33.28,3,0.17999999999999972,0.05999999999999991,0.060000000000002274
59,this,33.34,33.54,4,0.19999999999999574,0.049999999999998934,0.30000000000000426
60,sneaking,33.84,34.38,8,0.5399999999999991,0.0674999999999999,0.05999999999999517
61,suspicion,34.44,35.28,9,0.8400000000000034,0.09333333333333371,0.14000000000000057
62,that,35.42,35.56,4,0.14000000000000057,0.03500000000000014,0.03999999999999915
63,he,35.6,35.68,2,0.0799999999999983,0.03999999999999915,0.03999999999999915
64,was,35.72,35.84,3,0.12000000000000455,0.040000000000001514,0.03999999999999915
65,going,35.88,36.02,5,0.14000000000000057,0.028000000000000115,0.0
66,to,36.02,36.08,2,0.05999999999999517,0.029999999999997584,0.03999999999999915
67,propose,36.12,36.88,7,0.7600000000000051,0.1085714285714293,1.0
68,because,37.88,38.18,7,0.29999999999999716,0.04285714285714245,0.03999999999999915
69,i,38.22,38.26,1,0.03999999999999915,0.03999999999999915,0.0800000000000054
70,had,38.34,38.46,3,0.11999999999999744,0.03999999999999915,0.03999999999999915
71,been,38.5,38.64,4,0.14000000000000057,0.03500000000000014,0.03999999999999915
72,pressuring,38.68,39.18,10,0.5,0.05,0.03999999999999915
73,him,39.22,39.38,3,0.1600000000000037,0.053333333333334565,0.0799999999999983
74,to,39.46,39.54,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
75,do,39.6,39.72,2,0.11999999999999744,0.05999999999999872,0.10000000000000142
76,it,39.82,39.96,2,0.14000000000000057,0.07000000000000028,1.7999999999999972
77,that's,41.76,41.98,6,0.21999999999999886,0.03666666666666648,0.04000000000000625
78,how,42.02,42.08,3,0.05999999999999517,0.01999999999999839,0.03999999999999915
79,proposals,42.12,42.56,9,0.44000000000000483,0.048888888888889426,0.03999999999999915
