,Word,Start,End,length,time_spent,std_time_spent,post_space
0,my,1.0,1.1,2,0.10000000000000009,0.050000000000000044,0.07999999999999985
1,first,1.18,1.46,5,0.28,0.05600000000000001,0.06000000000000005
2,guest,1.52,1.78,5,0.26,0.052000000000000005,0.06000000000000005
3,tonight,1.84,2.26,7,0.4199999999999997,0.059999999999999956,0.1200000000000001
4,created,2.38,2.82,7,0.43999999999999995,0.06285714285714285,0.08000000000000007
5,seinfeld,2.9,3.68,8,0.7800000000000002,0.09750000000000003,0.21999999999999975
6,and,3.9,4.04,3,0.14000000000000012,0.04666666666666671,0.019999999999999574
7,this,4.06,4.22,4,0.16000000000000014,0.040000000000000036,0.0600000000000005
8,thursday,4.28,4.78,8,0.5,0.0625,0.040000000000000036
9,night,4.82,5.1,5,0.27999999999999936,0.05599999999999987,0.54
10,will,5.64,5.82,4,0.1800000000000006,0.04500000000000015,0.05999999999999961
11,be,5.88,5.98,2,0.10000000000000053,0.050000000000000266,0.13999999999999968
12,in,6.12,6.2,2,0.08000000000000007,0.040000000000000036,0.040000000000000036
13,a,6.24,6.3,1,0.05999999999999961,0.05999999999999961,0.08000000000000007
14,year,6.38,6.72,4,0.33999999999999986,0.08499999999999996,0.0600000000000005
15,long,6.78,7.04,4,0.2599999999999998,0.06499999999999995,0.040000000000000036
16,residency,7.08,7.58,9,0.5,0.05555555555555555,0.05999999999999961
17,at,7.64,7.7,2,0.0600000000000005,0.03000000000000025,0.019999999999999574
18,the,7.72,7.76,3,0.040000000000000036,0.013333333333333345,0.08000000000000007
19,beacon,7.84,8.12,6,0.27999999999999936,0.04666666666666656,0.02000000000000135
20,theater,8.14,8.4,7,0.2599999999999998,0.03714285714285711,0.0600000000000005
21,here,8.46,8.64,4,0.17999999999999972,0.04499999999999993,0.05999999999999872
22,new,8.7,8.84,3,0.14000000000000057,0.046666666666666856,0.0
23,york,8.84,9.12,4,0.27999999999999936,0.06999999999999984,0.46000000000000085
24,please,9.58,9.8,6,0.22000000000000064,0.03666666666666677,0.03999999999999915
25,welcome,9.84,10.22,7,0.3800000000000008,0.054285714285714395,0.379999999999999
26,jerry,10.6,10.86,5,0.2599999999999998,0.051999999999999956,0.040000000000000924
27,seinfeld,10.9,11.46,8,0.5600000000000005,0.07000000000000006,18.619999999999997
28,okay,30.08,30.44,4,0.360000000000003,0.09000000000000075,0.5199999999999996
29,that's,30.96,31.26,6,0.3000000000000007,0.05000000000000012,7.179999999999996
30,thank,38.44,38.7,5,0.2600000000000051,0.052000000000001025,0.03999999999999915
31,you,38.74,38.86,3,0.11999999999999744,0.03999999999999915,0.5200000000000031
32,thank,39.38,39.68,5,0.29999999999999716,0.05999999999999943,0.0
33,you,39.68,39.8,3,0.11999999999999744,0.03999999999999915,0.14000000000000057
34,all,39.94,40.1,3,0.1600000000000037,0.053333333333334565,0.01999999999999602
35,right,40.12,40.56,5,0.44000000000000483,0.08800000000000097,2.219999999999999
36,i,42.78,42.96,1,0.17999999999999972,0.17999999999999972,0.19999999999999574
37,heard,43.16,43.56,5,0.4000000000000057,0.08000000000000114,0.05999999999999517
38,back,43.62,43.9,4,0.28000000000000114,0.07000000000000028,0.020000000000003126
39,stage,43.92,44.6,5,0.6799999999999997,0.13599999999999995,0.4399999999999977
40,the,45.04,45.18,3,0.14000000000000057,0.046666666666666856,0.259999999999998
41,one,45.44,45.58,3,0.14000000000000057,0.046666666666666856,0.020000000000003126
42,of,45.6,45.62,2,0.01999999999999602,0.00999999999999801,0.03999999999999915
43,the,45.66,45.7,3,0.04000000000000625,0.013333333333335418,0.05999999999999517
44,changes,45.76,46.14,7,0.38000000000000256,0.05428571428571465,0.03999999999999915
45,made,46.18,46.36,4,0.17999999999999972,0.04499999999999993,0.060000000000002274
46,to,46.42,46.48,2,0.05999999999999517,0.029999999999997584,0.04000000000000625
47,the,46.52,46.6,3,0.0799999999999983,0.0266666666666661,0.05999999999999517
48,theater,46.66,47.04,7,0.38000000000000256,0.05428571428571465,0.30000000000000426
49,bigger,47.34,47.82,6,0.4799999999999969,0.07999999999999947,0.28000000000000114
50,seats,48.1,48.7,5,0.6000000000000014,0.12000000000000029,0.9599999999999937
