,Unnamed: 0.1,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,time,post_space,pitch
0,0,we,1.3,1.36,0.06,4.54,0,2,0.03,0.3878563263851495,1.33,4.54,120.0678257253754
1,1,the,5.9,5.9,0.0,8.86,0,3,0.0,,5.9,8.86,
2,2,the,14.76,14.76,0.0,0.5400000000000009,0,3,0.0,,14.76,0.5400000000000009,
3,3,so,15.3,15.42,0.1199999999999992,0.0999999999999996,1,2,0.0599999999999996,0.49774183709546016,15.36,0.09999999999999964,236.90391738045236
4,4,today,15.52,15.76,0.2400000000000002,0.0400000000000009,1,5,0.04800000000000004,0.472345339817822,15.64,0.040000000000000924,229.8894573588478
5,5,we,15.8,15.86,0.0599999999999987,0.0600000000000005,1,2,0.02999999999999935,0.38460677828062945,15.83,0.0600000000000005,239.81039154468144
6,6,talked,15.92,16.18,0.2599999999999998,0.0,1,6,0.0433333333333333,0.2179762325370955,16.05,0.0,93.29514737510053
7,7,about,16.18,16.4,0.2199999999999988,0.0800000000000018,1,5,0.04399999999999976,0.3204692671934587,16.29,0.08000000000000185,101.45083201479518
8,8,augmenting,16.48,17.18,0.6999999999999993,0.1999999999999993,1,10,0.06999999999999992,0.1781857298575061,16.83,0.1999999999999993,147.54918516492285
9,9,machine,17.38,17.9,0.5199999999999996,0.0400000000000027,1,7,0.07428571428571422,0.17111532987369452,17.64,0.0400000000000027,170.60136617430405
10,10,and,17.94,18.06,0.1199999999999974,0.0400000000000027,1,3,0.039999999999999133,0.13757123051165376,18.0,0.0400000000000027,170.02226684794138
11,11,human,18.1,18.44,0.3399999999999998,0.0999999999999978,1,5,0.06799999999999996,0.14344237580110691,18.270000000000003,0.09999999999999787,157.48415084685828
12,12,intelligence,18.54,19.26,0.7200000000000024,0.2799999999999976,1,12,0.0600000000000002,0.13728375476521326,18.9,0.2799999999999976,152.30334152055633
13,13,with,19.54,19.74,0.1999999999999993,0.0600000000000022,1,4,0.04999999999999982,0.12743540407923346,19.64,0.060000000000002274,168.876969483796
14,14,data,19.8,20.02,0.2199999999999988,0.0399999999999991,1,4,0.0549999999999997,0.21851143845040272,19.91,0.03999999999999915,165.48864398441398
15,15,visualization,20.06,20.8,0.740000000000002,0.1400000000000005,1,13,0.056923076923077076,0.10642202019476293,20.43,0.14000000000000057,134.4413922572226
16,16,and,20.94,21.88,0.9399999999999976,0.0600000000000022,1,3,0.3133333333333325,0.14656057225739505,21.41,0.060000000000002274,186.12505887998137
17,17,the,21.94,22.0,0.0599999999999987,0.1000000000000014,1,3,0.019999999999999567,0.22921823675891795,21.97,0.10000000000000142,180.59685632722906
18,18,interesting,22.1,22.54,0.4399999999999977,0.0399999999999991,1,11,0.03999999999999979,0.22361961036741523,22.32,0.03999999999999915,239.60419104916195
19,19,thing,22.58,22.94,0.360000000000003,0.259999999999998,1,5,0.07200000000000059,0.15884558804791682,22.759999999999998,0.259999999999998,184.12754813654354
20,20,is,23.2,23.38,0.1799999999999997,0.0199999999999995,1,2,0.08999999999999984,0.17581226083382556,23.29,0.019999999999999574,171.60849217345012
21,21,that,23.4,23.6,0.2000000000000028,0.1600000000000001,1,4,0.0500000000000007,0.198545496735528,23.5,0.16000000000000014,166.76408562580576
22,22,data,23.76,23.96,0.1999999999999993,0.0199999999999995,1,4,0.04999999999999982,0.32484212171382704,23.86,0.019999999999999574,190.3733906304706
23,23,visualisation,23.98,24.48,0.5,0.0399999999999991,1,13,0.038461538461538464,0.18184838379100093,24.23,0.03999999999999915,178.5980646366289
24,24,is,24.52,24.6,0.0800000000000018,0.0399999999999991,1,2,0.0400000000000009,0.1875709088130318,24.560000000000002,0.03999999999999915,150.38542060044432
25,25,so,24.64,24.76,0.120000000000001,0.1600000000000001,1,2,0.0600000000000005,0.18410160179644453,24.700000000000003,0.16000000000000014,175.0115424916337
26,26,interdisciplinary,24.92,25.96,1.0399999999999991,0.5799999999999983,1,17,0.06117647058823524,0.17493293661009923,25.44,0.5799999999999983,156.59789008399892
27,27,that,26.54,26.88,0.3399999999999998,0.7200000000000024,0,4,0.08499999999999995,0.2859815765379012,26.71,0.7200000000000024,169.34702733391248
28,28,we,27.6,27.74,0.139999999999997,0.2000000000000028,0,2,0.0699999999999985,0.21032234007608894,27.67,0.20000000000000284,182.332899685091
29,29,talked,27.94,28.46,0.5199999999999996,0.0199999999999995,1,6,0.0866666666666666,0.16649981976043166,28.200000000000003,0.019999999999999574,209.68649037009982
30,30,about,28.48,28.9,0.4199999999999981,0.0800000000000018,1,5,0.08399999999999962,0.21524172715469714,28.689999999999998,0.08000000000000185,169.82943219178878
31,31,a,28.98,29.04,0.0599999999999987,0.120000000000001,1,1,0.0599999999999987,0.18539597801741975,29.009999999999998,0.120000000000001,183.50115803777385
32,32,range,29.16,29.7,0.5399999999999991,0.0600000000000022,1,5,0.10799999999999983,0.18224698862547709,29.43,0.060000000000002274,184.8195928379641
33,33,of,29.76,29.92,0.1600000000000001,0.1999999999999993,1,2,0.08000000000000004,0.13900170126510403,29.840000000000003,0.1999999999999993,166.2576092924832
34,34,projects,30.12,30.78,0.6600000000000001,0.0199999999999995,1,8,0.08250000000000002,0.14247632961129814,30.450000000000003,0.019999999999999574,202.19124433062936
35,35,and,30.8,30.94,0.1400000000000005,0.139999999999997,1,3,0.046666666666666835,0.1442952674790276,30.87,0.13999999999999702,175.71753629862
36,36,of,31.08,31.26,0.1800000000000032,0.6199999999999974,1,2,0.0900000000000016,0.15937242824421582,31.17,0.6199999999999974,161.95171027542057
37,37,officialisation,31.88,32.56,0.6800000000000033,0.0399999999999991,1,15,0.04533333333333355,0.18778579595173966,32.22,0.03999999999999915,184.17983329171176
38,38,investigations,32.6,33.32,0.7199999999999989,0.0399999999999991,1,14,0.051428571428571344,0.17282072333359527,32.96,0.03999999999999915,170.19411954378384
39,39,if,33.36,33.48,0.1199999999999974,0.0200000000000031,1,2,0.0599999999999987,0.09386932999085151,33.42,0.020000000000003126,211.8145654155941
40,40,you,33.5,33.56,0.0600000000000022,0.0599999999999951,1,3,0.020000000000000732,0.21731398575827016,33.53,0.05999999999999517,244.5608572994185
41,41,will,33.62,33.84,0.2200000000000059,0.4399999999999977,1,4,0.05500000000000148,0.18216402260968437,33.730000000000004,0.4399999999999977,249.22567879527085
42,42,from,34.28,34.58,0.2999999999999971,0.4200000000000017,0,4,0.07499999999999928,0.30617287848921326,34.43,0.4200000000000017,170.33681019161477
43,43,science,35.0,35.72,0.7199999999999989,0.2800000000000011,1,7,0.10285714285714269,0.2694125036751844,35.36,0.28000000000000114,204.80565396920187
44,44,to,36.0,36.22,0.2199999999999988,1.0,0,2,0.1099999999999994,0.15600531745756585,36.11,1.0,171.2132997990912
45,45,product,37.22,37.94,0.7199999999999989,0.4600000000000008,1,7,0.10285714285714269,0.20857482045175924,37.58,0.46000000000000085,190.53824236800065
46,46,to,38.4,38.58,0.1799999999999997,0.480000000000004,0,2,0.08999999999999984,0.21786059143214442,38.489999999999995,0.480000000000004,172.22539372802035
47,47,art,39.06,39.5,0.4399999999999977,0.2199999999999988,1,3,0.14666666666666592,0.34324889872696224,39.28,0.21999999999999886,192.88693724738437
48,48,and,39.72,39.82,0.1000000000000014,0.0399999999999991,1,3,0.0333333333333338,0.20154170836899987,39.769999999999996,0.03999999999999915,161.36707617218468
49,49,design,39.86,40.44,0.5799999999999983,0.3400000000000034,1,6,0.09666666666666639,0.1899300312334912,40.15,0.3400000000000034,179.6399569315601
50,50,and,40.78,41.14,0.3599999999999994,0.4600000000000008,0,3,0.11999999999999979,0.15309162820329164,40.96,0.46000000000000085,172.64662595180977
51,51,really,41.6,41.88,0.2800000000000011,0.1400000000000005,1,6,0.04666666666666685,0.41688389635779965,41.74,0.14000000000000057,226.34805487975757
52,52,a,42.02,42.7,0.6799999999999997,0.0999999999999943,1,1,0.6799999999999997,0.1742140650066269,42.36,0.09999999999999432,149.51307665106307
53,53,wide,42.8,43.42,0.6200000000000045,0.6000000000000014,1,4,0.15500000000000114,0.14551026960781963,43.11,0.6000000000000014,165.6998931521146
54,54,range,44.02,44.48,0.4599999999999937,0.2200000000000059,0,5,0.09199999999999874,0.13750853914800137,44.25,0.22000000000000597,84.80140156246675
55,55,of,44.7,44.88,0.1799999999999997,0.2199999999999988,0,2,0.08999999999999984,0.10197187670372154,44.790000000000006,0.21999999999999886,128.02330175977485
56,56,different,45.1,45.48,0.3799999999999954,0.1799999999999997,1,9,0.04222222222222171,0.0881691276409136,45.29,0.17999999999999972,83.05537247385722
57,57,perspectives,45.66,46.26,0.6000000000000014,0.0399999999999991,1,12,0.05000000000000012,0.12755905988529795,45.959999999999994,0.03999999999999915,122.14560358669736
58,58,for,46.3,46.36,0.0600000000000022,0.1000000000000014,1,3,0.020000000000000732,0.0615984061290422,46.33,0.10000000000000142,84.2838611199273
59,59,visualisation,46.46,47.14,0.6799999999999997,0.759999999999998,1,13,0.052307692307692284,0.10072533662591295,46.8,0.759999999999998,155.84890118375696
60,60,each,47.9,48.12,0.2199999999999988,0.0800000000000054,1,4,0.0549999999999997,0.31534716314944916,48.01,0.0800000000000054,266.3107301449157
61,61,visualization,48.2,48.78,0.5799999999999983,0.0399999999999991,1,13,0.04461538461538449,0.2901451008503275,48.49,0.03999999999999915,227.07365874518925
62,62,project,48.82,49.28,0.4600000000000008,0.0799999999999983,1,7,0.06571428571428582,0.24956192323217422,49.05,0.0799999999999983,158.27881455321727
63,63,is,49.36,49.52,0.1600000000000037,0.0399999999999991,1,2,0.08000000000000185,0.19999895359036945,49.44,0.03999999999999915,158.6282894521988
64,64,different,49.56,50.0,0.4399999999999977,0.740000000000002,1,9,0.048888888888888635,0.12278901505522365,49.78,0.740000000000002,125.21771413173168
