,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time,pitch
0,i,12.68,12.78,0.1,0.1,0,1,0.1,0.5082891871568813,0.10000000000000142,12.73,288.76507045150413
1,spend,12.88,13.1,0.22,0.04,0,5,0.044,0.22715366700096573,0.040000000000000924,12.99,277.3626741742782
2,most,13.14,13.38,0.24,0.02,0,4,0.06,0.15587123158764774,0.019999999999999574,13.260000000000002,206.18151738603274
3,of,13.4,13.46,0.06,0.02,0,2,0.03,0.14243200871070028,0.019999999999999574,13.43,224.6527901952448
4,my,13.48,13.58,0.1,0.08,0,2,0.05,0.32955374074013244,0.08000000000000007,13.530000000000001,215.164333671896
5,day,13.66,13.86,0.2,0.04,0,3,0.06666666666666667,0.2854777430040237,0.040000000000000924,13.76,189.36014407594243
6,in,13.9,13.96,0.06,0.06,0,2,0.03,0.12104636902195665,0.05999999999999872,13.93,184.58362168072347
7,front,14.02,14.2,0.18,0.0,0,5,0.036,0.19222150687750522,0.0,14.11,186.2736357911463
8,of,14.2,14.26,0.06,0.04,0,2,0.03,0.06562053880449635,0.040000000000000924,14.23,168.65842162613512
9,computers,14.3,14.92,0.62,0.76,0,9,0.06888888888888889,0.12092619948439327,0.7599999999999998,14.61,193.10741171962903
10,so,15.68,15.78,0.1,0.04,0,2,0.05,0.17321063803226494,0.040000000000000924,15.73,312.773190988313
11,i,15.82,15.86,0.04,0.06,0,1,0.04,0.3915671590970655,0.0600000000000005,15.84,313.1928980862242
12,tend,15.92,16.1,0.18,0.04,0,4,0.045,0.14619099796670987,0.03999999999999915,16.01,187.81843097637673
13,to,16.14,16.2,0.06,0.04,0,2,0.03,0.24765692133892941,0.03999999999999915,16.17,173.5801766977378
14,take,16.24,16.4,0.16,0.06,0,4,0.04,0.24217270786484205,0.060000000000002274,16.32,297.4285929654477
15,shotgun,16.46,16.92,0.46,0.04,0,7,0.06571428571428571,0.28421368144602727,0.03999999999999915,16.69,188.76999056016652
16,whenever,16.96,17.22,0.26,0.0,0,8,0.0325,0.353009970419615,0.0,17.09,197.98265034042134
17,i,17.22,17.28,0.06,0.06,0,1,0.06,0.3008828646603942,0.05999999999999872,17.25,191.16411779283754
18,take,17.34,17.5,0.16,0.0,0,4,0.04,0.1005138739793295,0.0,17.42,195.13221083560745
19,a,17.5,17.54,0.04,0.06,0,1,0.04,0.13103985364870885,0.060000000000002274,17.52,181.43323384866483
20,shared,17.6,17.86,0.26,0.02,0,6,0.043333333333333335,0.17900476814030972,0.019999999999999574,17.73,175.31549654030022
21,ride,17.88,18.24,0.36,1.3,0,4,0.09,0.24202922953922648,1.3000000000000007,18.06,131.50772537338656
22,this,19.54,19.7,0.16,0.08,0,4,0.04,0.17179650235875843,0.08000000000000185,19.619999999999997,229.81200248227597
23,one,19.78,19.96,0.18,0.04,0,3,0.06,0.33707231209394295,0.03999999999999915,19.87,229.6121680050836
24,time,20.0,20.4,0.4,0.66,0,4,0.1,0.2325350410836952,0.6600000000000001,20.2,296.90512520917395
25,i,21.06,21.16,0.1,0.06,0,1,0.1,0.2517412630371168,0.05999999999999872,21.11,253.04733639772263
26,happen,21.22,21.46,0.24,0.02,0,6,0.04,0.3847215572477515,0.019999999999999574,21.34,202.44117647702183
27,to,21.48,21.56,0.08,0.06,0,2,0.04,0.16820902583532518,0.060000000000002274,21.52,307.7803830342753
28,mention,21.62,22.02,0.4,0.04,0,7,0.05714285714285715,0.2353969788977246,0.03999999999999915,21.82,249.26990461740968
29,that,22.06,22.2,0.14,0.08,0,4,0.035,0.292453665705965,0.08000000000000185,22.13,214.24774907167026
30,i'm,22.28,22.42,0.14,0.04,0,3,0.04666666666666667,0.4010858069084548,0.03999999999999915,22.35,241.28343947175753
31,on,22.46,22.56,0.1,0.06,0,2,0.05,0.43374430016938,0.060000000000002274,22.509999999999998,294.2668868654304
32,my,22.62,22.7,0.08,0.08,0,2,0.04,0.4467524621368841,0.08000000000000185,22.66,309.5019953883854
33,way,22.78,22.96,0.18,0.02,0,3,0.06,0.3863937375983822,0.019999999999999574,22.87,243.76431980693434
34,to,22.98,23.04,0.06,0.04,0,2,0.03,0.22635661758483938,0.03999999999999915,23.009999999999998,241.99239026959037
35,give,23.08,23.2,0.12,0.04,0,4,0.03,0.26595934844526864,0.03999999999999915,23.14,221.2663064063816
36,a,23.24,23.28,0.04,0.04,0,1,0.04,0.11161649394198804,0.03999999999999915,23.259999999999998,193.2020140243532
37,talk,23.32,23.76,0.44,0.32,0,4,0.11,0.1733093111479951,0.31999999999999673,23.54,187.58245182678772
38,about,24.08,24.34,0.26,0.06,0,5,0.052000000000000005,0.39046394525096834,0.05999999999999872,24.21,198.92896421745306
39,artificial,24.4,24.96,0.56,0.06,0,10,0.05600000000000001,0.2183791004460423,0.05999999999999872,24.68,205.23913334920732
40,intelligence,25.02,25.8,0.78,1.56,0,12,0.065,0.08081230646710992,1.5599999999999987,25.41,149.32348884474266
41,the,27.36,27.42,0.06,0.06,0,3,0.02,0.21632897938020873,0.05999999999999872,27.39,
42,drivers,27.48,27.86,0.38,0.04,0,7,0.054285714285714284,0.5003166144198998,0.03999999999999915,27.67,202.40284523467403
43,eyebrows,27.9,28.32,0.42,0.04,0,8,0.0525,0.5335420782932129,0.03999999999999915,28.11,245.02738300692053
44,go,28.36,28.46,0.1,0.08,0,2,0.05,0.2712051645168675,0.0799999999999983,28.41,189.472066089126
45,up,28.54,28.7,0.16,1.14,0,2,0.08,0.21031627331461947,1.1400000000000006,28.619999999999997,148.22705286045883
46,yell,29.84,30.1,0.26,0.04,0,4,0.065,0.5205218824147095,0.03999999999999915,29.97,224.64757881526157
47,make,30.14,30.34,0.2,0.1,0,4,0.05,0.22538795785088292,0.10000000000000142,30.240000000000002,199.93574798161416
48,robots,30.44,31.12,0.68,1.48,0,6,0.11333333333333334,0.22282653788123102,1.4800000000000004,30.78,204.85520438320668
49,we,32.6,32.68,0.08,0.06,0,2,0.04,0.37534107813479733,0.060000000000002274,32.64,149.28361489186133
50,got,32.74,32.86,0.12,0.04,0,3,0.04,1.0,0.03999999999999915,32.8,197.9502101821219
51,enough,32.9,33.18,0.28,0.18,0,6,0.04666666666666667,0.36829850755701565,0.17999999999999972,33.04,244.60875798897354
52,trouble,33.36,34.04,0.68,0.38,0,7,0.09714285714285716,0.2684507852249139,0.38000000000000256,33.7,217.86058777923256
53,without,34.42,34.9,0.48,0.28,0,7,0.06857142857142857,0.3626675318404965,0.28000000000000114,34.66,204.00202081268546
54,robots,35.18,35.92,0.74,1.96,0,6,0.12333333333333334,0.16769092007215863,1.9600000000000009,35.55,164.1351597782449
55,cause,37.88,38.06,0.18,0.04,0,5,0.036,0.5479303612785179,0.03999999999999915,37.97,305.3431599783261
56,i,38.1,38.16,0.06,0.04,0,1,0.06,0.9345879320604684,0.04000000000000625,38.129999999999995,290.95688671757335
57,don't,38.2,38.28,0.08,0.04,0,5,0.016,0.48933360785860797,0.03999999999999915,38.24,192.98061157506785
58,know,38.32,38.4,0.08,0.06,0,4,0.02,0.6758529196283249,0.060000000000002274,38.36,318.1255322690764
59,the,38.46,38.5,0.04,0.02,0,3,0.013333333333333334,0.28527903342361066,0.020000000000003126,38.480000000000004,326.2693966458999
60,exact,38.52,38.78,0.26,0.04,0,5,0.052000000000000005,0.43972184234345607,0.03999999999999915,38.650000000000006,251.58069675050973
61,pattern,38.82,39.12,0.3,0.0,0,7,0.04285714285714286,0.4084396122943583,0.0,38.97,212.73525076267683
62,of,39.12,39.16,0.04,0.04,0,2,0.02,0.16884455739910545,0.04000000000000625,39.14,196.04762388311153
63,electoral,39.2,39.52,0.32,0.02,0,9,0.035555555555555556,0.3432807477125967,0.01999999999999602,39.36,218.91909487207428
64,magazine,39.54,39.84,0.3,0.04,0,8,0.0375,0.3597969754736456,0.03999999999999915,39.69,241.42128892258808
65,signals,39.88,40.16,0.28,0.04,0,7,0.04,0.2692379015383123,0.04000000000000625,40.019999999999996,214.63356535515595
66,going,40.2,40.38,0.18,0.02,0,5,0.036,0.3422661841765955,0.01999999999999602,40.290000000000006,214.20330090727415
67,through,40.4,40.5,0.1,0.02,0,7,0.014285714285714287,0.18683378586364302,0.020000000000003126,40.45,265.76034087002324
68,his,40.52,40.6,0.08,0.04,0,3,0.02666666666666667,0.31793274063006544,0.03999999999999915,40.56,272.69373443529696
69,rain,40.64,40.8,0.16,0.02,0,4,0.04,0.4469025609896397,0.020000000000003126,40.72,251.26011212929208
70,at,40.82,40.86,0.04,0.02,0,2,0.02,0.36883569427772867,0.020000000000003126,40.84,276.2183903162359
71,that,40.88,41.0,0.12,0.04,0,4,0.03,0.7400627932003462,0.03999999999999915,40.94,292.6335726913061
72,moment,41.04,41.32,0.28,0.04,0,6,0.04666666666666667,0.26797816037416383,0.03999999999999915,41.18,241.02986920557655
73,but,41.36,41.46,0.1,0.06,0,3,0.03333333333333333,0.5215113606944257,0.060000000000002274,41.41,285.2168336326356
74,i,41.52,41.58,0.06,0.08,0,1,0.06,0.4456485740960133,0.0799999999999983,41.55,263.8206068211011
75,can,41.66,41.74,0.08,0.06,0,3,0.02666666666666667,0.27369027189282213,0.05999999999999517,41.7,180.9082115737488
76,guess,41.8,42.14,0.34,0.52,0,5,0.068,0.3906545386840439,0.519999999999996,41.97,202.98325179356203
77,skynet,42.66,43.22,0.56,0.98,0,6,0.09333333333333334,0.37015908500259714,0.980000000000004,42.94,198.95216618473737
78,terminator,44.2,44.82,0.62,0.94,0,10,0.062,0.3062603081652372,0.9399999999999977,44.510000000000005,217.23325441923225
79,health,45.76,46.22,0.46,0.04,0,6,0.07666666666666667,0.4557161747962754,0.03999999999999915,45.989999999999995,204.6625699238257
80,care,46.26,46.58,0.32,0.08,0,4,0.08,0.44363274860543167,0.0799999999999983,46.42,227.55083757424902
81,i,46.66,46.74,0.08,0.14,0,1,0.08,0.49264570698976495,0.14000000000000057,46.7,165.22156149735724
82,say,46.88,47.14,0.26,1.28,0,3,0.08666666666666667,0.4090804911398174,1.2800000000000011,47.010000000000005,185.6443784158708
83,i,48.42,48.52,0.1,0.14,0,1,0.1,0.0678831677876282,0.13999999999999346,48.47,201.7349877894366
84,work,48.66,49.0,0.34,0.36,0,4,0.085,0.16308472179901862,0.35999999999999943,48.83,229.3550214144619
85,in,49.36,49.48,0.12,0.08,0,2,0.06,0.13223580981536162,0.0800000000000054,49.42,199.27640644050533
86,health,49.56,49.84,0.28,0.02,0,6,0.04666666666666667,0.19578438920043248,0.01999999999999602,49.7,211.3931049802244
87,care,49.86,50.16,0.3,1.26,0,4,0.075,0.13775385408691587,1.2600000000000051,50.01,154.8019779061442
88,we,51.42,51.52,0.1,0.12,0,2,0.05,0.18797992394676288,0.11999999999999744,51.47,230.19915691902446
89,match,51.64,51.96,0.32,0.06,0,5,0.064,0.24401591601903067,0.060000000000002274,51.8,196.31321469418745
90,patience,52.02,52.78,0.76,1.04,0,8,0.095,0.06560283322208242,1.0399999999999991,52.400000000000006,273.23751867457827
91,to,53.82,53.94,0.12,0.06,0,2,0.06,0.07994989986139411,0.060000000000002274,53.879999999999995,176.288560894106
92,treatments,54.0,54.72,0.72,1.44,0,10,0.072,0.047403433051564796,1.4399999999999977,54.36,185.85763316163283
93,yeah,56.16,56.16,0.0,3.46,0,4,0.0,,3.460000000000001,56.16,
94,you,59.62,59.86,0.24,0.08,0,3,0.08,0.2450526639838823,0.0799999999999983,59.739999999999995,248.90612461961152
95,decide,59.94,60.66,0.72,0.12,0,6,0.12,0.38082294761129654,0.12000000000000455,60.3,234.39877027883398
96,who,60.78,60.9,0.12,1.08,0,3,0.04,0.051726911980187015,1.0799999999999983,60.84,76.81622736217348
97,gets,61.98,62.5,0.52,0.56,0,4,0.13,0.22131637273598972,0.5600000000000023,62.239999999999995,211.57687666615973
98,what,63.06,63.42,0.36,1.88,0,4,0.09,0.2943232649797924,1.8799999999999955,63.24,200.60268964154025
99,and,65.3,65.54,0.24,0.06,0,3,0.08,0.7042430808436632,0.05999999999998806,65.42,292.879347762178
100,all,65.6,65.7,0.1,0.04,0,3,0.03333333333333333,0.6110333764211925,0.03999999999999204,65.65,293.7793673459824
101,of,65.74,65.8,0.06,0.04,0,2,0.03,0.4065081253057404,0.04000000000000625,65.77,188.3020930269424
102,a,65.84,65.88,0.04,0.04,0,1,0.04,0.3714117449152805,0.04000000000000625,65.86,205.3276446226366
103,sudden,65.92,66.18,0.26,0.04,0,6,0.043333333333333335,0.3888596365992454,0.03999999999999204,66.05000000000001,262.997578790291
104,despite,66.22,66.58,0.36,0.04,0,7,0.05142857142857143,0.32600578719448103,0.04000000000000625,66.4,242.44444918670573
105,being,66.62,66.76,0.14,0.0,0,5,0.028000000000000004,0.26222024701857166,0.0,66.69,257.1872125761983
106,a,66.76,66.8,0.04,0.02,0,1,0.04,0.3245218742726191,0.01999999999999602,66.78,241.53424715752053
107,generally,66.82,67.12,0.3,0.04,0,9,0.03333333333333333,0.34317757344595146,0.03999999999999204,66.97,250.8483082057842
108,small,67.16,67.42,0.26,0.04,0,5,0.052000000000000005,0.3414901175736096,0.03999999999999204,67.28999999999999,235.98819298433924
109,and,67.46,67.56,0.1,0.02,0,3,0.03333333333333333,0.2219783263329119,0.01999999999999602,67.50999999999999,209.61627841452568
110,assuming,67.58,67.88,0.3,0.02,0,8,0.0375,0.23049281837110663,0.020000000000010232,67.72999999999999,278.1699765496219
111,female,67.9,68.26,0.36,0.06,0,6,0.06,0.3231264939894372,0.05999999999998806,68.08000000000001,204.55576208263818
112,i,68.32,68.4,0.08,0.04,0,1,0.08,0.4285246870841256,0.03999999999999204,68.36,169.62503647322214
113,have,68.44,68.52,0.08,0.02,0,4,0.02,0.18802040477713614,0.020000000000010232,68.47999999999999,220.36722955308102
114,become,68.54,68.9,0.36,0.6,0,6,0.06,0.2354988514220669,0.5999999999999943,68.72,182.84905262887708
115,the,69.5,69.6,0.1,0.08,0,3,0.03333333333333333,0.5596388686803533,0.0800000000000125,69.55,191.67097187093003
116,man,69.68,70.0,0.32,2.32,0,3,0.10666666666666667,0.2277179459464353,2.319999999999993,69.84,150.18311738013972
117,what,72.32,72.48,0.16,0.02,0,4,0.04,0.5432025171651725,0.01999999999999602,72.4,238.57961028160705
118,can,72.5,72.6,0.1,0.02,0,3,0.03333333333333333,0.27450796755641843,0.020000000000010232,72.55,302.91593908765464
119,we,72.62,72.7,0.08,0.06,0,2,0.04,0.5007742217903866,0.060000000000002274,72.66,261.4610542756586
120,do,72.76,72.84,0.08,0.92,0,2,0.04,0.4113976841652985,0.9200000000000017,72.80000000000001,249.15889673683586
121,the,73.76,73.82,0.06,0.1,0,3,0.02,0.8168004030696794,0.10000000000000853,73.78999999999999,317.60095857836734
122,thing,73.92,74.14,0.22,0.02,0,5,0.044,0.41080880638210404,0.01999999999999602,74.03,221.32003429261098
123,is,74.16,74.32,0.16,0.04,0,2,0.08,0.32807162205867113,0.04000000000000625,74.24,164.48346742154493
124,the,74.36,74.48,0.12,0.38,0,3,0.04,0.8080961905248921,0.37999999999999545,74.42,238.84856924074103
125,thing,74.86,75.08,0.22,0.02,0,5,0.044,0.406223604554564,0.01999999999999602,74.97,244.96316171642096
126,is,75.1,75.3,0.2,0.3,0,2,0.1,0.2748534385404034,0.29999999999999716,75.19999999999999,227.71851441298887
127,he,75.6,75.72,0.12,0.12,0,2,0.06,0.3643086889191028,0.12000000000000455,75.66,313.9331961630048
128,does,75.84,76.14,0.3,0.08,0,4,0.075,0.48155253514196955,0.0799999999999983,75.99000000000001,270.2900662191293
