,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time
0,i,12.68,12.78,0.1,0.1,0,1,0.1,0.3625207502367703,0.10000000000000142,12.73
1,spend,12.88,13.1,0.22,0.04,0,5,0.044,0.2627525387759591,0.040000000000000924,12.99
2,most,13.14,13.38,0.24,0.02,0,4,0.06,0.2015735098503928,0.019999999999999574,13.260000000000002
3,of,13.4,13.46,0.06,0.02,0,2,0.03,0.2048257644514688,0.019999999999999574,13.43
4,my,13.48,13.58,0.1,0.08,0,2,0.05,0.2789816646810744,0.08000000000000007,13.530000000000001
5,day,13.66,13.86,0.2,0.04,0,3,0.06666666666666667,0.2537790911498782,0.040000000000000924,13.76
6,in,13.9,13.96,0.06,0.06,0,2,0.03,0.1443709930526494,0.05999999999999872,13.93
7,front,14.02,14.2,0.18,0.0,0,5,0.036,0.1298950096567027,0.0,14.11
8,of,14.2,14.26,0.06,0.04,0,2,0.03,0.0765266423168321,0.040000000000000924,14.23
9,computers,14.3,14.92,0.62,0.76,0,9,0.06888888888888889,0.1111835466019326,0.7599999999999998,14.61
10,so,15.68,15.78,0.1,0.04,0,2,0.05,0.1332048882937636,0.040000000000000924,15.73
11,i,15.82,15.86,0.04,0.06,0,1,0.04,0.4499079188732359,0.0600000000000005,15.84
12,tend,15.92,16.1,0.18,0.04,0,4,0.045,0.2188494823331604,0.03999999999999915,16.01
13,to,16.14,16.2,0.06,0.04,0,2,0.03,0.1973901009643414,0.03999999999999915,16.17
14,take,16.24,16.4,0.16,0.06,0,4,0.04,0.2445454601999515,0.060000000000002274,16.32
15,shotgun,16.46,16.92,0.46,0.04,0,7,0.06571428571428571,0.200563908639547,0.03999999999999915,16.69
16,whenever,16.96,17.22,0.26,0.0,0,8,0.0325,0.2684736955212372,0.0,17.09
17,i,17.22,17.28,0.06,0.06,0,1,0.06,0.2876805427864711,0.05999999999999872,17.25
18,take,17.34,17.5,0.16,0.0,0,4,0.04,0.076596298651115,0.0,17.42
19,a,17.5,17.54,0.04,0.06,0,1,0.04,0.1703466211341441,0.060000000000002274,17.52
20,shared,17.6,17.86,0.26,0.02,0,6,0.043333333333333335,0.1484815296092785,0.019999999999999574,17.73
21,ride,17.88,18.24,0.36,1.3,0,4,0.09,0.1469757370719233,1.3000000000000007,18.06
22,this,19.54,19.7,0.16,0.08,0,4,0.04,0.1862327182669984,0.08000000000000185,19.619999999999997
23,one,19.78,19.96,0.18,0.04,0,3,0.06,0.3508462685055782,0.03999999999999915,19.87
24,time,20.0,20.4,0.4,0.66,0,4,0.1,0.2907428769712931,0.6600000000000001,20.2
25,i,21.06,21.16,0.1,0.06,0,1,0.1,0.0809296860006011,0.05999999999999872,21.11
26,happen,21.22,21.46,0.24,0.02,0,6,0.04,0.384094097991584,0.019999999999999574,21.34
27,to,21.48,21.56,0.08,0.06,0,2,0.04,0.1331916991796314,0.060000000000002274,21.52
28,mention,21.62,22.02,0.4,0.04,0,7,0.05714285714285715,0.3013358136470059,0.03999999999999915,21.82
29,that,22.06,22.2,0.14,0.08,0,4,0.035,0.3597366051850296,0.08000000000000185,22.13
30,i'm,22.28,22.42,0.14,0.04,0,3,0.04666666666666667,0.2462513361020936,0.03999999999999915,22.35
31,on,22.46,22.56,0.1,0.06,0,2,0.05,0.5608265027402871,0.060000000000002274,22.509999999999998
32,my,22.62,22.7,0.08,0.08,0,2,0.04,0.5138937822538986,0.08000000000000185,22.66
33,way,22.78,22.96,0.18,0.02,0,3,0.06,0.4439348381426165,0.019999999999999574,22.87
34,to,22.98,23.04,0.06,0.04,0,2,0.03,0.2048153036321142,0.03999999999999915,23.009999999999998
35,give,23.08,23.2,0.12,0.04,0,4,0.03,0.2715564620133015,0.03999999999999915,23.14
36,a,23.24,23.28,0.04,0.04,0,1,0.04,0.1144947516137345,0.03999999999999915,23.259999999999998
37,talk,23.32,23.76,0.44,0.32,0,4,0.11,0.1513049098935135,0.31999999999999673,23.54
38,about,24.08,24.34,0.26,0.06,0,5,0.052000000000000005,0.2901286354922095,0.05999999999999872,24.21
39,artificial,24.4,24.96,0.56,0.06,0,10,0.05600000000000001,0.2016187862152438,0.05999999999999872,24.68
40,intelligence,25.02,25.8,0.78,1.56,0,12,0.065,0.0685641319505715,1.5599999999999987,25.41
41,the,27.36,27.42,0.06,0.06,0,3,0.02,0.0772577687722584,0.05999999999999872,27.39
42,drivers,27.48,27.86,0.38,0.04,0,7,0.054285714285714284,0.5246244401548913,0.03999999999999915,27.67
43,eyebrows,27.9,28.32,0.42,0.04,0,8,0.0525,0.4901377057817009,0.03999999999999915,28.11
44,go,28.36,28.46,0.1,0.08,0,2,0.05,0.2420438330006525,0.0799999999999983,28.41
45,up,28.54,28.7,0.16,1.14,0,2,0.08,0.1614306103459294,1.1400000000000006,28.619999999999997
46,yell,29.84,30.1,0.26,0.04,0,4,0.065,0.4458425856700962,0.03999999999999915,29.97
47,make,30.14,30.34,0.2,0.1,0,4,0.05,0.194972860063876,0.10000000000000142,30.240000000000002
48,robots,30.44,31.12,0.68,1.48,0,6,0.11333333333333334,0.2355540803724486,1.4800000000000004,30.78
49,we,32.6,32.68,0.08,0.06,0,2,0.04,0.3534834080802855,0.060000000000002274,32.64
50,got,32.74,32.86,0.12,0.04,0,3,0.04,1.0,0.03999999999999915,32.8
51,enough,32.9,33.18,0.28,0.18,0,6,0.04666666666666667,0.2908075805720882,0.17999999999999972,33.04
52,trouble,33.36,34.04,0.68,0.38,0,7,0.09714285714285716,0.2448758179475834,0.38000000000000256,33.7
53,without,34.42,34.9,0.48,0.28,0,7,0.06857142857142857,0.3425430520439428,0.28000000000000114,34.66
54,robots,35.18,35.92,0.74,1.96,0,6,0.12333333333333334,0.1586173529310777,1.9600000000000009,35.55
55,cause,37.88,38.06,0.18,0.04,0,5,0.036,0.4244527401150323,0.03999999999999915,37.97
56,i,38.1,38.16,0.06,0.04,0,1,0.06,0.3983585560808531,0.04000000000000625,38.129999999999995
57,don't,38.2,38.28,0.08,0.04,0,5,0.016,0.4774600207039406,0.03999999999999915,38.24
58,know,38.32,38.4,0.08,0.06,0,4,0.02,0.8344937931765017,0.060000000000002274,38.36
59,the,38.46,38.5,0.04,0.02,0,3,0.013333333333333334,0.31631237080947,0.020000000000003126,38.480000000000004
60,exact,38.52,38.78,0.26,0.04,0,5,0.052000000000000005,0.3778792077735153,0.03999999999999915,38.650000000000006
61,pattern,38.82,39.12,0.3,0.0,0,7,0.04285714285714286,0.2623782522015901,0.0,38.97
62,of,39.12,39.16,0.04,0.04,0,2,0.02,0.2003274707666041,0.04000000000000625,39.14
63,electoral,39.2,39.52,0.32,0.02,0,9,0.035555555555555556,0.3012404682262743,0.01999999999999602,39.36
64,magazine,39.54,39.84,0.3,0.04,0,8,0.0375,0.3503238872291631,0.03999999999999915,39.69
65,signals,39.88,40.16,0.28,0.04,0,7,0.04,0.2621131693846498,0.04000000000000625,40.019999999999996
66,going,40.2,40.38,0.18,0.02,0,5,0.036,0.3346451923322948,0.01999999999999602,40.290000000000006
67,through,40.4,40.5,0.1,0.02,0,7,0.014285714285714287,0.181896383510978,0.020000000000003126,40.45
68,his,40.52,40.6,0.08,0.04,0,3,0.02666666666666667,0.4371965390520528,0.03999999999999915,40.56
69,rain,40.64,40.8,0.16,0.02,0,4,0.04,0.411191295542791,0.020000000000003126,40.72
70,at,40.82,40.86,0.04,0.02,0,2,0.02,0.51527673084505,0.020000000000003126,40.84
71,that,40.88,41.0,0.12,0.04,0,4,0.03,0.5346402729199498,0.03999999999999915,40.94
72,moment,41.04,41.32,0.28,0.04,0,6,0.04666666666666667,0.26499823509014,0.03999999999999915,41.18
73,but,41.36,41.46,0.1,0.06,0,3,0.03333333333333333,0.459985165427256,0.060000000000002274,41.41
74,i,41.52,41.58,0.06,0.08,0,1,0.06,0.3549198623488111,0.0799999999999983,41.55
75,can,41.66,41.74,0.08,0.06,0,3,0.02666666666666667,0.2962865457794905,0.05999999999999517,41.7
76,guess,41.8,42.14,0.34,0.52,0,5,0.068,0.3543658214331096,0.519999999999996,41.97
77,skynet,42.66,43.22,0.56,0.98,0,6,0.09333333333333334,0.2931135551088518,0.980000000000004,42.94
78,terminator,44.2,44.82,0.62,0.94,0,10,0.062,0.3004551458116388,0.9399999999999977,44.510000000000005
79,health,45.76,46.22,0.46,0.04,0,6,0.07666666666666667,0.5101245314652586,0.03999999999999915,45.989999999999995
80,care,46.26,46.58,0.32,0.08,0,4,0.08,0.3791482685435576,0.0799999999999983,46.42
81,i,46.66,46.74,0.08,0.14,0,1,0.08,0.2544935933842763,0.14000000000000057,46.7
82,say,46.88,47.14,0.26,1.28,0,3,0.08666666666666667,0.2295283260411648,1.2800000000000011,47.010000000000005
83,i,48.42,48.52,0.1,0.14,0,1,0.1,0.0298914614598676,0.13999999999999346,48.47
84,work,48.66,49.0,0.34,0.36,0,4,0.085,0.1984884537348186,0.35999999999999943,48.83
85,in,49.36,49.48,0.12,0.08,0,2,0.06,0.1015439745279991,0.0800000000000054,49.42
86,health,49.56,49.84,0.28,0.02,0,6,0.04666666666666667,0.1805398010313116,0.01999999999999602,49.7
87,care,49.86,50.16,0.3,1.26,0,4,0.075,0.0849906326189928,1.2600000000000051,50.01
88,we,51.42,51.52,0.1,0.12,0,2,0.05,0.2326698079596185,0.11999999999999744,51.47
89,match,51.64,51.96,0.32,0.06,0,5,0.064,0.1741805290978764,0.060000000000002274,51.8
90,patience,52.02,52.78,0.76,1.04,0,8,0.095,0.0667044239913629,1.0399999999999991,52.400000000000006
91,to,53.82,53.94,0.12,0.06,0,2,0.06,0.0495040841253438,0.060000000000002274,53.879999999999995
92,treatments,54.0,54.72,0.72,1.44,0,10,0.072,0.0401772034526169,1.4399999999999977,54.36
93,yeah,56.16,56.16,0.0,3.46,0,4,0.0,,3.460000000000001,56.16
94,you,59.62,59.86,0.24,0.08,0,3,0.08,0.3732814275644569,0.0799999999999983,59.739999999999995
95,decide,59.94,60.66,0.72,0.12,0,6,0.12,0.3308211502877173,0.12000000000000455,60.3
96,who,60.78,60.9,0.12,1.08,0,3,0.04,0.0268131533211664,1.0799999999999983,60.84
97,gets,61.98,62.5,0.52,0.56,0,4,0.13,0.2417298714072065,0.5600000000000023,62.239999999999995
98,what,63.06,63.42,0.36,1.88,0,4,0.09,0.2577264577729,1.8799999999999955,63.24
99,and,65.3,65.54,0.24,0.06,0,3,0.08,0.4529987375864355,0.05999999999998806,65.42
100,all,65.6,65.7,0.1,0.04,0,3,0.03333333333333333,0.6693740146744562,0.03999999999999204,65.65
101,of,65.74,65.8,0.06,0.04,0,2,0.03,0.610747681408867,0.04000000000000625,65.77
102,a,65.84,65.88,0.04,0.04,0,1,0.04,0.4363532415134129,0.04000000000000625,65.86
103,sudden,65.92,66.18,0.26,0.04,0,6,0.043333333333333335,0.4057932191569818,0.03999999999999204,66.05000000000001
104,despite,66.22,66.58,0.36,0.04,0,7,0.05142857142857143,0.2597732914265999,0.04000000000000625,66.4
105,being,66.62,66.76,0.14,0.0,0,5,0.028000000000000004,0.2572316825583723,0.0,66.69
106,a,66.76,66.8,0.04,0.02,0,1,0.04,0.3374395504825713,0.01999999999999602,66.78
