,time,amplitude,pitch
0,0.0,,
1,0.01,,
2,0.02,,
3,0.03,,
4,0.04,,
5,0.05,,
6,0.06,,
7,0.07,,
8,0.08,,
9,0.09,,
10,0.1,,
11,0.11,,
12,0.12,,
13,0.13,,
14,0.14,,
15,0.15,,
16,0.16,,
17,0.17,,
18,0.18,,
19,0.19,,
20,0.2,,
21,0.21,,
22,0.22,,
23,0.23,,
24,0.24,,
25,0.25,,
26,0.26,,
27,0.27,,
28,0.28,,
29,0.29,,
30,0.3,,
31,0.31,,
32,0.32,,
33,0.33,,
34,0.34,,
35,0.35000000000000003,,
36,0.36,,
37,0.37,,
38,0.38,,
39,0.39,,
40,0.4,,
41,0.41000000000000003,,
42,0.42,,
43,0.43,,
44,0.44,,
45,0.45,,260.1574947773569
46,0.46,,262.45605992710307
47,0.47000000000000003,,262.19357080564254
48,0.48,,261.49187063710076
49,0.49,,260.6319402603118
50,0.5,,260.58270894733863
51,0.51,,261.805411373033
52,0.52,,260.64928120983916
53,0.53,,262.0421931980066
54,0.54,,261.8030976960703
55,0.55,,262.240555137771
56,0.56,,261.88024037420513
57,0.5700000000000001,,260.61395779725103
58,0.58,,261.4427682684867
59,0.59,,261.53565546826724
60,0.6,,262.24961838639064
61,0.61,,
62,0.62,,
63,0.63,,
64,0.64,,
65,0.65,,
66,0.66,,
67,0.67,,
68,0.68,,
69,0.6900000000000001,,
70,0.7000000000000001,,
71,0.71,,
72,0.72,,
73,0.73,,
74,0.74,,
75,0.75,,
76,0.76,,
77,0.77,,
78,0.78,,
79,0.79,,
80,0.8,,
81,0.81,,
82,0.8200000000000001,,
83,0.8300000000000001,,
84,0.84,,
85,0.85,,
86,0.86,,
87,0.87,0.267212172057017,
88,0.88,0.5074862327125623,
89,0.89,0.6090191771463889,
90,0.9,0.5734135650541392,87.60969342663078
91,0.91,0.47845161788216883,
92,0.92,0.3806398653116668,
93,0.93,0.3110877248969658,
94,0.9400000000000001,0.28763981576361525,
95,0.9500000000000001,0.29497719944584244,
96,0.96,0.31296467447882,
97,0.97,0.3285115210467325,
98,0.98,0.33198907614235035,
99,0.99,0.32122749811217316,87.26090403754594
100,1.0,0.30197793111564425,87.01136809297888
101,1.01,0.2805466491414441,88.2903686423752
102,1.02,0.263674260840243,87.18579233832952
103,1.03,0.2569752303333463,87.53667451350904
104,1.04,0.25809739687788685,88.05030171082501
105,1.05,0.26127968970870563,86.87354742290688
106,1.06,0.2574941611132485,87.19259733923647
107,1.07,0.23458688509536615,87.47280504380238
108,1.08,0.1915519158490015,87.19365855892508
109,1.09,0.1533969662841368,87.29827994610446
110,1.1,0.14360110261380002,87.14452138555359
111,1.11,0.1545398119007788,87.59615477302484
112,1.12,0.16776499592715172,87.73679931075509
113,1.1300000000000001,0.1784581275945483,86.93960583813252
114,1.1400000000000001,0.19392177639022842,87.861489451584
115,1.1500000000000001,0.2154197102826284,86.58960902448307
116,1.16,0.23066021746282017,86.99062201938901
117,1.17,0.22862556181165977,88.08138095206564
118,1.18,0.21440962132840166,86.62872282881293
119,1.19,0.1982760356805793,87.55073149807731
120,1.2,0.18642655287853357,87.29692773457508
121,1.21,0.18170853337227927,87.5506281280464
122,1.22,0.18229362048488895,87.00085195346784
123,1.23,0.17761097959928104,87.01729521764183
124,1.24,0.15952246073087603,87.07987143485023
125,1.25,0.13654398093848374,87.43756674584354
126,1.26,0.1215624671398961,87.75833913851079
127,1.27,0.11753873965363744,87.22792976968283
128,1.28,0.12005982863750321,87.42289020659678
129,1.29,0.1266912373768985,87.1181210499758
130,1.3,0.1387494203195152,87.95498692091645
131,1.31,0.15559815773119062,87.35593837383097
132,1.32,0.16635576628500073,87.40751433307919
133,1.33,0.1600266034944073,87.35729357058851
134,1.34,0.15948422969091625,87.44565875634784
135,1.35,0.2100393284324003,87.40447536646401
136,1.36,0.31674876040616173,87.21281014926055
137,1.37,0.42003997678290117,87.16732983747337
138,1.3800000000000001,0.46979733567260523,
139,1.3900000000000001,0.47629887644617885,
140,1.4000000000000001,0.4630015298906386,
141,1.41,0.4332476020888747,
142,1.42,0.37833991785567744,
143,1.43,0.3133091278307221,
144,1.44,0.28787376346829446,
145,1.45,0.33103114482573354,
146,1.46,0.3876630836797008,
147,1.47,0.39101377032224655,
148,1.48,0.3452664691956473,
149,1.49,0.29435588673792357,
150,1.5,0.2618032754767601,87.25270786546571
151,1.51,0.24345573482771124,86.99611992867406
152,1.52,0.23363730847314865,87.54001023164457
153,1.53,0.227915610881528,87.14263153469345
154,1.54,0.22278759696553466,87.37641653509505
155,1.55,0.22068239465431083,86.88659968223779
156,1.56,0.22685458223069868,86.07637148673274
157,1.57,0.23844614750114185,86.89452962254958
158,1.58,0.24273866301778102,86.69936731629429
159,1.59,0.2335973660461835,86.40126226633117
160,1.6,0.22594479863522224,87.35238776779089
161,1.61,0.23600810285896184,87.86251218124971
162,1.62,0.260156439997918,87.3002183788443
163,1.6300000000000001,0.28554071672839426,85.1359054709042
164,1.6400000000000001,0.3029669043772222,87.71244569712857
165,1.6500000000000001,0.3073611586271777,87.75362431666949
166,1.6600000000000001,0.29698342497518343,87.28552340310588
167,1.67,0.2783873623386267,88.3679951541625
168,1.68,0.2588222157676552,87.04986642041413
169,1.69,0.24085549279901236,87.11222364193625
170,1.7,0.22502019871877052,88.00763960037185
171,1.71,0.21112522130727313,87.06107395930657
172,1.72,0.19825251279815384,87.1147936974376
173,1.73,0.18553086814580338,86.79958030079813
174,1.74,0.17228038615346822,87.03136808238666
175,1.75,0.1582549058063678,87.27582143645928
176,1.76,0.14576408950505132,87.08277763087764
177,1.77,0.13796636644965768,88.0369057034818
178,1.78,0.1351037504074524,86.98895606073951
179,1.79,0.13471346098090245,87.07801445181178
180,1.8,0.13535784142342813,87.29680315948916
181,1.81,0.13807136401055944,87.1818753172519
182,1.82,0.14253643117128412,87.37780259580987
