,Word,Start,End,length,time_spent,std_time_spent,post_space
0,the,6.34,6.34,3,0.0,0.0,0.9000000000000004
1,whenever,7.24,7.62,8,0.3799999999999999,0.04749999999999999,0.040000000000000036
2,i,7.66,7.72,1,0.05999999999999961,0.05999999999999961,0.10000000000000053
3,woke,7.82,8.02,4,0.1999999999999993,0.04999999999999982,0.0
4,up,8.02,8.12,2,0.09999999999999964,0.04999999999999982,0.08000000000000007
5,crying,8.2,8.54,6,0.33999999999999986,0.05666666666666664,0.02000000000000135
6,in,8.56,8.62,2,0.05999999999999872,0.02999999999999936,0.02000000000000135
7,the,8.64,8.7,3,0.05999999999999872,0.019999999999999574,0.040000000000000924
8,middle,8.74,8.96,6,0.22000000000000064,0.03666666666666677,0.03999999999999915
9,of,9.0,9.08,2,0.08000000000000007,0.040000000000000036,0.03999999999999915
10,the,9.12,9.18,3,0.0600000000000005,0.020000000000000167,0.040000000000000924
11,night,9.22,9.42,5,0.1999999999999993,0.039999999999999855,0.019999999999999574
12,when,9.44,9.54,4,0.09999999999999964,0.02499999999999991,0.040000000000000924
13,i,9.58,9.62,1,0.03999999999999915,0.03999999999999915,0.0600000000000005
14,was,9.68,9.82,3,0.14000000000000057,0.046666666666666856,0.019999999999999574
15,a,9.84,9.86,1,0.019999999999999574,0.019999999999999574,0.0600000000000005
16,baby,9.92,10.26,4,0.33999999999999986,0.08499999999999996,0.2599999999999998
17,my,10.52,10.64,2,0.120000000000001,0.0600000000000005,0.05999999999999872
18,mum,10.7,10.9,3,0.20000000000000107,0.06666666666666703,0.03999999999999915
19,would,10.94,11.04,5,0.09999999999999964,0.019999999999999928,0.02000000000000135
20,always,11.06,11.3,6,0.2400000000000002,0.040000000000000036,0.05999999999999872
21,have,11.36,11.52,4,0.16000000000000014,0.040000000000000036,0.0600000000000005
22,my,11.58,11.66,2,0.08000000000000007,0.040000000000000036,0.08000000000000007
23,dad,11.74,11.98,3,0.2400000000000002,0.08000000000000007,0.03999999999999915
24,go,12.02,12.18,2,0.16000000000000014,0.08000000000000007,0.0600000000000005
25,and,12.24,12.32,3,0.08000000000000007,0.02666666666666669,0.03999999999999915
26,get,12.36,12.52,3,0.16000000000000014,0.05333333333333338,0.019999999999999574
27,me,12.54,12.6,2,0.0600000000000005,0.03000000000000025,0.0600000000000005
