,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,the,6.34,6.34,3,0.0,0.0,0.9000000000000004,6.34
1,whenever,7.24,7.62,8,0.3799999999999999,0.04749999999999999,0.040000000000000036,7.43
2,i,7.66,7.72,1,0.0599999999999996,0.0599999999999996,0.10000000000000053,7.6899999999999995
3,woke,7.82,8.02,4,0.1999999999999993,0.04999999999999982,0.0,7.92
4,up,8.02,8.12,2,0.0999999999999996,0.0499999999999998,0.08000000000000007,8.07
5,crying,8.2,8.54,6,0.3399999999999998,0.056666666666666636,0.02000000000000135,8.37
6,in,8.56,8.62,2,0.0599999999999987,0.02999999999999935,0.02000000000000135,8.59
7,the,8.64,8.7,3,0.0599999999999987,0.019999999999999567,0.040000000000000924,8.67
8,middle,8.74,8.96,6,0.2200000000000006,0.03666666666666677,0.03999999999999915,8.850000000000001
9,of,9.0,9.08,2,0.08,0.04,0.03999999999999915,9.04
10,the,9.12,9.18,3,0.0600000000000005,0.020000000000000167,0.040000000000000924,9.149999999999999
11,night,9.22,9.42,5,0.1999999999999993,0.039999999999999855,0.019999999999999574,9.32
12,when,9.44,9.54,4,0.0999999999999996,0.0249999999999999,0.040000000000000924,9.489999999999998
13,i,9.58,9.62,1,0.0399999999999991,0.0399999999999991,0.0600000000000005,9.6
14,was,9.68,9.82,3,0.1400000000000005,0.046666666666666835,0.019999999999999574,9.75
15,a,9.84,9.86,1,0.0199999999999995,0.0199999999999995,0.0600000000000005,9.85
16,baby,9.92,10.26,4,0.3399999999999998,0.08499999999999995,0.2599999999999998,10.09
17,my,10.52,10.64,2,0.120000000000001,0.0600000000000005,0.05999999999999872,10.58
18,mum,10.7,10.9,3,0.200000000000001,0.066666666666667,0.03999999999999915,10.8
19,would,10.94,11.04,5,0.0999999999999996,0.01999999999999992,0.02000000000000135,10.989999999999998
20,always,11.06,11.3,6,0.2400000000000002,0.040000000000000036,0.05999999999999872,11.18
21,have,11.36,11.52,4,0.1600000000000001,0.04000000000000002,0.0600000000000005,11.44
22,my,11.58,11.66,2,0.08,0.04,0.08000000000000007,11.620000000000001
23,dad,11.74,11.98,3,0.2400000000000002,0.08000000000000007,0.03999999999999915,11.86
24,go,12.02,12.18,2,0.1600000000000001,0.08000000000000004,0.0600000000000005,12.1
25,and,12.24,12.32,3,0.08,0.02666666666666667,0.03999999999999915,12.280000000000001
26,get,12.36,12.52,3,0.1600000000000001,0.053333333333333365,0.019999999999999574,12.44
27,me,12.54,12.6,2,0.0600000000000005,0.03000000000000025,0.0600000000000005,12.57
28,out,12.66,12.78,3,0.1199999999999992,0.03999999999999974,0.0,12.719999999999999
29,of,12.78,12.82,2,0.0400000000000009,0.02000000000000045,0.03999999999999915,12.8
30,my,12.86,12.96,2,0.1000000000000014,0.0500000000000007,0.0799999999999983,12.91
31,crib,13.04,13.36,4,0.3200000000000003,0.08000000000000007,0.120000000000001,13.2
32,and,13.48,13.6,3,0.1199999999999992,0.03999999999999974,0.040000000000000924,13.54
33,bring,13.64,13.82,5,0.1799999999999997,0.035999999999999935,0.03999999999999915,13.73
34,me,13.86,13.92,2,0.0600000000000005,0.03000000000000025,0.08000000000000007,13.89
35,back,14.0,14.2,4,0.1999999999999993,0.04999999999999982,0.040000000000000924,14.1
36,into,14.24,14.4,4,0.1600000000000001,0.04000000000000002,0.0600000000000005,14.32
37,their,14.46,14.6,5,0.1399999999999988,0.027999999999999758,0.040000000000000924,14.530000000000001
38,room,14.64,14.94,4,0.2999999999999989,0.07499999999999972,0.3600000000000012,14.79
39,and,15.3,15.38,3,0.08,0.02666666666666667,0.03999999999999915,15.34
40,he,15.42,15.48,2,0.0600000000000005,0.03000000000000025,0.05999999999999872,15.45
41,would,15.54,15.64,5,0.1000000000000014,0.020000000000000278,0.03999999999999915,15.59
42,place,15.68,16.0,5,0.3200000000000003,0.06400000000000006,0.03999999999999915,15.84
43,me,16.04,16.14,2,0.1000000000000014,0.0500000000000007,0.05999999999999872,16.09
44,on,16.2,16.3,2,0.1000000000000014,0.0500000000000007,0.05999999999999872,16.25
45,her,16.36,16.46,3,0.1000000000000014,0.0333333333333338,0.05999999999999872,16.41
46,chest,16.52,17.02,5,0.5,0.1,0.5,16.77
47,she,17.52,17.64,3,0.120000000000001,0.040000000000000334,0.05999999999999872,17.58
48,couldn't,17.7,17.92,8,0.2200000000000024,0.0275000000000003,0.05999999999999872,17.810000000000002
49,move,17.98,18.16,4,0.1799999999999997,0.04499999999999992,0.019999999999999574,18.07
50,her,18.18,18.3,3,0.120000000000001,0.040000000000000334,0.05999999999999872,18.240000000000002
51,arms,18.36,18.76,4,0.4000000000000021,0.10000000000000052,0.0799999999999983,18.560000000000002
52,but,18.84,19.02,3,0.1799999999999997,0.059999999999999894,0.14000000000000057,18.93
53,this,19.16,19.36,4,0.1999999999999993,0.04999999999999982,0.060000000000002274,19.259999999999998
54,was,19.42,19.56,3,0.139999999999997,0.04666666666666566,0.060000000000002274,19.490000000000002
55,the,19.62,19.68,3,0.0599999999999987,0.019999999999999567,0.03999999999999915,19.65
56,way,19.72,19.86,3,0.1400000000000005,0.046666666666666835,0.060000000000002274,19.79
57,that,19.92,20.04,4,0.1199999999999974,0.02999999999999935,0.060000000000002274,19.98
58,she,20.1,20.26,3,0.1600000000000001,0.053333333333333365,0.05999999999999872,20.18
59,was,20.32,20.44,3,0.120000000000001,0.040000000000000334,0.03999999999999915,20.380000000000003
60,able,20.48,20.68,4,0.1999999999999993,0.04999999999999982,0.019999999999999574,20.58
61,to,20.7,20.76,2,0.0600000000000022,0.0300000000000011,0.05999999999999872,20.73
62,come,20.82,21.0,4,0.1799999999999997,0.04499999999999992,0.03999999999999915,20.91
63,for,21.04,21.14,3,0.1000000000000014,0.0333333333333338,0.05999999999999872,21.09
64,me,21.2,21.34,2,0.1400000000000005,0.07000000000000026,0.7399999999999984,21.27
65,my,22.08,22.18,2,0.1000000000000014,0.0500000000000007,0.03999999999999915,22.13
66,mom,22.22,22.44,3,0.2200000000000024,0.07333333333333412,0.09999999999999787,22.33
67,had,22.54,22.78,3,0.240000000000002,0.08000000000000067,0.09999999999999787,22.66
68,a,22.88,23.0,1,0.120000000000001,0.120000000000001,0.0799999999999983,22.939999999999998
69,ls,23.08,23.54,2,0.4600000000000008,0.2300000000000004,0.4400000000000013,23.31
70,she,23.98,24.14,3,0.1600000000000001,0.053333333333333365,0.0799999999999983,24.060000000000002
71,died,24.22,24.46,4,0.240000000000002,0.0600000000000005,0.03999999999999915,24.34
72,when,24.5,24.6,4,0.1000000000000014,0.02500000000000035,0.019999999999999574,24.55
73,i,24.62,24.66,1,0.0399999999999991,0.0399999999999991,0.05999999999999872,24.64
74,was,24.72,24.82,3,0.1000000000000014,0.0333333333333338,0.0799999999999983,24.77
75,three,24.9,25.06,5,0.1600000000000001,0.032000000000000015,0.060000000000002274,24.979999999999997
76,years,25.12,25.34,5,0.2199999999999988,0.04399999999999976,0.03999999999999915,25.23
77,old,25.38,25.66,3,0.2800000000000011,0.0933333333333337,0.8599999999999994,25.52
78,most,26.52,26.74,4,0.2199999999999988,0.0549999999999997,0.0400000000000027,26.63
79,people,26.78,26.98,6,0.1999999999999993,0.033333333333333215,0.03999999999999915,26.880000000000003
80,that,27.02,27.12,4,0.1000000000000014,0.02500000000000035,0.019999999999999574,27.07
81,i,27.14,27.18,1,0.0399999999999991,0.0399999999999991,0.08000000000000185,27.16
82,talked,27.26,27.5,6,0.2399999999999984,0.03999999999999974,0.0,27.380000000000003
83,to,27.5,27.58,2,0.0799999999999983,0.03999999999999915,0.10000000000000142,27.54
84,have,27.68,27.78,4,0.1000000000000014,0.02500000000000035,0.05999999999999872,27.73
85,no,27.84,27.96,2,0.120000000000001,0.0600000000000005,0.0799999999999983,27.9
86,idea,28.04,28.36,4,0.3200000000000003,0.08000000000000007,0.03999999999999915,28.2
87,what,28.4,28.52,4,0.120000000000001,0.03000000000000025,0.08000000000000185,28.46
88,a,28.6,28.7,1,0.0999999999999978,0.0999999999999978,0.060000000000002274,28.65
89,ls,28.76,29.1,2,0.3399999999999998,0.1699999999999999,0.0799999999999983,28.93
90,is,29.18,29.46,2,0.2800000000000011,0.14000000000000054,0.03999999999999915,29.32
91,they've,29.5,29.68,7,0.1799999999999997,0.02571428571428567,0.03999999999999915,29.59
92,never,29.72,29.9,5,0.1799999999999997,0.035999999999999935,0.08000000000000185,29.81
93,heard,29.98,30.16,5,0.1799999999999997,0.035999999999999935,0.019999999999999574,30.07
94,of,30.18,30.24,2,0.0599999999999987,0.02999999999999935,0.0400000000000027,30.21
95,it,30.28,30.36,2,0.0799999999999983,0.03999999999999915,0.03999999999999915,30.32
96,before,30.4,30.84,6,0.4400000000000013,0.07333333333333354,0.7399999999999984,30.619999999999997
97,als,31.58,32.14,3,0.5600000000000023,0.18666666666666742,0.0799999999999983,31.86
98,is,32.22,32.34,2,0.1200000000000045,0.06000000000000225,0.01999999999999602,32.28
99,a,32.36,32.4,1,0.0399999999999991,0.0399999999999991,0.10000000000000142,32.379999999999995
100,horrible,32.5,33.0,8,0.5,0.0625,0.03999999999999915,32.75
101,disease,33.04,33.46,7,0.4200000000000017,0.06000000000000024,0.01999999999999602,33.25
102,that,33.48,33.56,4,0.0800000000000054,0.02000000000000135,0.03999999999999915,33.519999999999996
103,can,33.6,33.7,3,0.1000000000000014,0.0333333333333338,0.05999999999999517,33.650000000000006
104,affect,33.76,34.02,6,0.2600000000000051,0.04333333333333419,0.11999999999999744,33.89
105,anyone,34.14,34.66,6,0.519999999999996,0.086666666666666,0.6400000000000006,34.4
106,people,35.3,35.56,6,0.2600000000000051,0.04333333333333419,0.05999999999999517,35.43
107,that,35.62,35.72,4,0.1000000000000014,0.02500000000000035,0.3200000000000003,35.67
108,people,36.04,36.3,6,0.259999999999998,0.043333333333333,0.04000000000000625,36.17
109,need,36.34,36.5,4,0.1599999999999966,0.03999999999999915,0.020000000000003126,36.42
110,to,36.52,36.58,2,0.0599999999999951,0.02999999999999755,0.060000000000002274,36.55
111,understand,36.64,37.28,10,0.6400000000000006,0.06400000000000006,0.14000000000000057,36.96
112,what,37.42,37.6,4,0.1799999999999997,0.04499999999999992,0.01999999999999602,37.510000000000005
113,it,37.62,37.7,2,0.0800000000000054,0.0400000000000027,0.05999999999999517,37.66
114,is,37.76,38.08,2,0.3200000000000003,0.16000000000000014,0.17999999999999972,37.92
115,how,38.26,38.48,3,0.2199999999999988,0.07333333333333293,0.04000000000000625,38.37
116,it's,38.52,38.66,4,0.1399999999999934,0.03499999999999835,0.020000000000003126,38.59
117,diagnosed,38.68,39.46,9,0.7800000000000011,0.0866666666666668,0.3999999999999986,39.07
118,what,39.86,40.02,4,0.1600000000000037,0.040000000000000924,0.05999999999999517,39.94
119,treatments,40.08,40.48,10,0.3999999999999986,0.039999999999999855,0.020000000000003126,40.28
120,are,40.5,40.62,3,0.1199999999999974,0.039999999999999133,0.020000000000003126,40.56
121,available,40.64,41.18,9,0.5399999999999991,0.05999999999999991,0.10000000000000142,40.91
122,and,41.28,41.46,3,0.1799999999999997,0.059999999999999894,0.060000000000002274,41.370000000000005
