,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,here's,0.02,0.14,6,0.12,0.02,0.01999999999999999,0.08
1,a,0.16,0.22,1,0.06,0.06,0.04000000000000001,0.19
2,go,0.26,0.42,2,0.1599999999999999,0.07999999999999995,0.2,0.33999999999999997
3,these,0.62,0.96,5,0.3399999999999999,0.06799999999999998,0.08000000000000007,0.79
4,ten,1.04,1.32,3,0.28,0.09333333333333334,0.09999999999999987,1.1800000000000002
5,words,1.42,1.96,5,0.54,0.10800000000000001,4.4,1.69
6,these,6.36,6.6,5,0.2399999999999993,0.04799999999999986,0.040000000000000036,6.48
7,ten,6.64,6.86,3,0.2200000000000006,0.07333333333333354,0.05999999999999961,6.75
8,words,6.92,7.24,5,0.3200000000000003,0.06400000000000006,0.7199999999999998,7.08
9,sort,7.96,8.2,4,0.2399999999999993,0.059999999999999824,0.02000000000000135,8.08
10,of,8.22,8.32,2,0.0999999999999996,0.0499999999999998,0.03999999999999915,8.27
11,a,8.36,8.4,1,0.0400000000000009,0.0400000000000009,0.0600000000000005,8.379999999999999
12,cinematic,8.46,9.04,9,0.5799999999999983,0.06444444444444425,0.040000000000000924,8.75
13,phenomenon,9.08,9.86,10,0.7799999999999994,0.07799999999999993,0.0600000000000005,9.469999999999999
14,that,9.92,10.04,4,0.1199999999999992,0.0299999999999998,0.040000000000000924,9.98
15,spread,10.08,10.42,6,0.3399999999999998,0.056666666666666636,0.040000000000000924,10.25
16,its,10.46,10.62,3,0.1599999999999983,0.05333333333333277,0.040000000000000924,10.54
17,fingers,10.66,11.02,7,0.3599999999999994,0.05142857142857134,0.08000000000000007,10.84
18,so,11.1,11.32,2,0.2200000000000006,0.1100000000000003,0.17999999999999972,11.21
19,deeply,11.5,11.86,6,0.3599999999999994,0.059999999999999894,0.0600000000000005,11.68
20,into,11.92,12.12,4,0.1999999999999993,0.04999999999999982,0.040000000000000924,12.02
21,american,12.16,12.58,8,0.4199999999999999,0.052499999999999984,0.03999999999999915,12.370000000000001
22,culture,12.62,13.06,7,0.4400000000000013,0.06285714285714304,0.47999999999999865,12.84
23,that,13.54,13.66,4,0.120000000000001,0.03000000000000025,0.03999999999999915,13.6
24,our,13.7,13.82,3,0.120000000000001,0.040000000000000334,0.0600000000000005,13.76
25,car,13.88,14.1,3,0.2199999999999988,0.07333333333333293,0.08000000000000007,13.99
26,companies,14.18,14.6,9,0.4199999999999999,0.046666666666666655,0.019999999999999574,14.39
27,are,14.62,14.68,3,0.0600000000000005,0.020000000000000167,0.040000000000000924,14.649999999999999
28,dressing,14.72,15.02,8,0.2999999999999989,0.03749999999999986,0.019999999999999574,14.870000000000001
29,up,15.04,15.16,2,0.120000000000001,0.0600000000000005,0.019999999999999574,15.1
30,a,15.18,15.22,1,0.0400000000000009,0.0400000000000009,0.019999999999999574,15.2
31,little,15.24,15.44,6,0.1999999999999993,0.033333333333333215,0.040000000000000924,15.34
32,children,15.48,15.9,8,0.4199999999999999,0.052499999999999984,0.11999999999999922,15.690000000000001
33,and,16.02,16.12,3,0.1000000000000014,0.0333333333333338,0.03999999999999915,16.07
34,start,16.16,16.42,5,0.2600000000000015,0.0520000000000003,0.0799999999999983,16.29
35,mader,16.5,16.84,5,0.3399999999999998,0.06799999999999996,0.5800000000000018,16.67
36,and,17.42,17.58,3,0.1599999999999966,0.0533333333333322,0.060000000000002274,17.5
