Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,produces,0.06,0.5,0.44,0.02,0,8,0.39285714285710144,0.3378041537143436
1,a,0.52,0.56,0.04,0.0599999999999999,0,1,0.2857142857142556,0.19356044806649172
2,certain,0.62,0.88,0.26,0.04,0,7,0.26530612244895163,0.39243690414270205
3,model,0.92,1.2,0.2799999999999999,0.0,0,5,0.3999999999999577,0.5213440304815639
4,of,1.2,1.24,0.04,0.06,0,2,0.1428571428571278,0.14747135714941648
5,car,1.3,1.56,0.26,0.02,0,3,0.6190476190475538,0.3426398885137818
6,out,1.58,1.68,0.0999999999999998,0.02,0,3,0.23809523809521252,0.23406709338814616
7,the,1.7,1.76,0.06,0.04,0,3,0.1428571428571278,0.13890550125926063
8,sam,1.8,2.04,0.24,0.04,0,3,0.5714285714285112,0.22560505310027762
9,doesn't,2.08,2.3,0.2199999999999997,0.06,0,7,0.22448979591834337,0.2006892767552491
10,step,2.36,2.58,0.2200000000000002,0.06,0,4,0.3928571428571018,0.248072807135992
11,in,2.64,2.7,0.06,0.04,0,2,0.2142857142856917,0.34960694909324175
12,and,2.74,2.78,0.0399999999999995,0.06,0,3,0.09523809523808402,0.18722098876802543
13,buy,2.84,3.04,0.2000000000000001,0.04,0,3,0.4761904761904262,0.2968583325078424
14,up,3.08,3.16,0.08,0.04,0,2,0.2857142857142556,0.11781594108509261
15,the,3.2,3.26,0.0599999999999996,0.04,0,3,0.14285714285712686,0.006483364806914988
16,surplus,3.3,3.76,0.4599999999999999,0.3399999999999998,0,7,0.4693877551019912,0.13550504023345009
17,why,4.1,4.26,0.1600000000000001,0.04,0,3,0.380952380952341,0.36435423248329335
18,this,4.3,4.44,0.1400000000000005,0.0599999999999996,0,4,0.24999999999997458,0.2921843819680896
19,constant,4.5,4.94,0.4400000000000004,0.1399999999999996,0,8,0.3928571428571018,0.18523434872324782
20,courting,5.08,5.44,0.3600000000000003,0.0199999999999995,0,8,0.32142857142853787,0.35114269251286806
