,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time
0,talk,0.2,0.36,0.1599999999999999,0.02,0,4,0.03999999999999997,0.1358148600515089,0.020000000000000018,0.28
1,about,0.38,0.6,0.2199999999999999,0.06,0,5,0.04399999999999998,0.3371422938804506,0.06000000000000005,0.49
2,what,0.66,0.84,0.1799999999999999,0.14,0,4,0.04499999999999998,0.3377955239693336,0.14,0.75
3,what,0.98,1.18,0.1999999999999999,0.1,0,4,0.049999999999999975,0.282848850152522,0.10000000000000009,1.08
4,talk,1.28,1.6,0.32,0.0999999999999998,0,4,0.08,0.0558563414518472,0.09999999999999987,1.44
5,americans,1.7,2.62,0.9200000000000002,0.2999999999999998,0,9,0.10222222222222224,0.2473106916599037,0.2999999999999998,2.16
6,believe,2.92,3.4,0.48,0.06,0,7,0.06857142857142857,0.1629395311681645,0.06000000000000005,3.16
7,by,3.46,3.6,0.1400000000000001,0.1,0,2,0.07000000000000005,0.3112760612661089,0.10000000000000009,3.5300000000000002
8,way,3.7,3.9,0.1999999999999997,0.02,0,3,0.06666666666666657,0.3192663349109819,0.020000000000000018,3.8
9,of,3.92,4.0,0.08,0.0599999999999996,0,2,0.04,0.191696410993768,0.05999999999999961,3.96
10,some,4.06,4.2,0.1400000000000005,0.0199999999999995,0,4,0.03500000000000013,0.1354948705229043,0.019999999999999574,4.13
11,of,4.22,4.3,0.08,0.0600000000000005,0,2,0.04,0.1404875932581117,0.0600000000000005,4.26
12,this,4.36,4.5,0.1399999999999996,0.0599999999999996,0,4,0.0349999999999999,0.1399494626148892,0.05999999999999961,4.43
13,polling,4.56,4.98,0.4200000000000008,0.0199999999999995,0,7,0.060000000000000116,0.1495921661063773,0.019999999999999574,4.77
14,the,5.0,5.04,0.04,0.0599999999999996,0,3,0.013333333333333334,0.2436165353581692,0.05999999999999961,5.02
15,c,5.1,5.2,0.1000000000000005,0.04,0,1,0.1000000000000005,0.1357199889404696,0.040000000000000036,5.15
16,n,5.24,5.28,0.04,0.0599999999999996,0,1,0.04,0.6648475329113072,0.05999999999999961,5.26
17,n,5.34,5.4,0.0600000000000005,0.0599999999999996,0,1,0.0600000000000005,0.3297345727818089,0.05999999999999961,5.37
18,polling,5.46,5.86,0.4000000000000003,0.0999999999999996,0,7,0.05714285714285718,0.3366648732864915,0.09999999999999964,5.66
19,finding,5.96,6.4,0.4400000000000004,0.04,0,7,0.06285714285714292,0.2520251452218746,0.040000000000000036,6.18
20,this,6.44,6.6,0.1599999999999992,0.04,0,4,0.0399999999999998,0.3017992230942872,0.040000000000000036,6.52
21,week,6.64,6.78,0.1400000000000005,0.0199999999999995,0,4,0.03500000000000013,0.1660875846355851,0.019999999999999574,6.71
22,the,6.8,6.86,0.0600000000000005,0.0599999999999996,0,3,0.020000000000000167,0.2245564678831847,0.05999999999999961,6.83
23,forty,6.92,7.12,0.2000000000000001,0.04,0,5,0.04000000000000002,0.3643065898424071,0.040000000000000036,7.02
24,five,7.16,7.34,0.1799999999999997,0.04,0,4,0.04499999999999992,0.3189522863239512,0.040000000000000036,7.25
25,percent,7.38,7.78,0.4000000000000003,0.2999999999999998,0,7,0.05714285714285718,0.1986457969567792,0.2999999999999998,7.58
26,you,8.08,8.16,0.08,0.0399999999999991,0,3,0.02666666666666667,0.1758697478225756,0.03999999999999915,8.120000000000001
27,know,8.2,8.28,0.08,0.0600000000000005,0,4,0.02,0.6762378698597237,0.0600000000000005,8.239999999999998
28,survey,8.34,8.72,0.3800000000000008,0.0599999999999987,0,6,0.06333333333333346,0.4196222865201575,0.05999999999999872,8.530000000000001
29,believe,8.78,9.0,0.2200000000000006,0.0199999999999995,0,7,0.031428571428571514,0.3419032438159277,0.019999999999999574,8.89
30,the,9.02,9.06,0.0400000000000009,0.0599999999999987,0,3,0.013333333333333634,0.2690797529433667,0.05999999999999872,9.04
31,present,9.12,9.44,0.3200000000000003,0.08,0,7,0.045714285714285756,0.3039442288085895,0.08000000000000007,9.28
32,should,9.52,9.78,0.2599999999999998,0.0600000000000005,0,6,0.0433333333333333,0.4583698364638593,0.0600000000000005,9.649999999999999
33,be,9.84,9.94,0.0999999999999996,0.0999999999999996,0,2,0.0499999999999998,0.2801940913125829,0.09999999999999964,9.89
34,impeached,10.04,10.58,0.5400000000000009,0.08,0,9,0.0600000000000001,0.1850648506751973,0.08000000000000007,10.309999999999999
35,and,10.66,10.86,0.1999999999999993,0.0400000000000009,0,3,0.06666666666666643,0.2965319811857401,0.040000000000000924,10.76
36,removed,10.9,11.26,0.3599999999999994,0.0199999999999995,0,7,0.05142857142857134,0.3449871406913347,0.019999999999999574,11.08
37,from,11.28,11.42,0.1400000000000005,0.0600000000000005,0,4,0.03500000000000013,0.1613333286524344,0.0600000000000005,11.35
38,office,11.48,12.04,0.5599999999999987,0.9800000000000004,0,6,0.09333333333333312,0.2686645995316346,0.9800000000000004,11.76
39,and,13.02,13.3,0.2800000000000011,0.1399999999999988,0,3,0.0933333333333337,0.4404781196197056,0.1399999999999988,13.16
40,and,13.44,13.92,0.4800000000000004,0.2799999999999993,0,3,0.16000000000000014,0.1708137940890637,0.27999999999999936,13.68
41,one,14.2,14.4,0.200000000000001,0.0399999999999991,0,3,0.066666666666667,0.4692318260204198,0.03999999999999915,14.3
42,has,14.44,14.64,0.200000000000001,0.0199999999999995,0,3,0.066666666666667,0.4579655778010668,0.019999999999999574,14.54
43,to,14.66,14.74,0.08,0.0600000000000005,0,2,0.04,0.1210793688160235,0.0600000000000005,14.7
