,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time
0,under,2.8,2.8,0.0,3.1800000000000006,0,5,0.0,,3.1800000000000006,2.8
1,the,5.98,5.98,0.0,1.739999999999999,0,3,0.0,,1.7399999999999993,5.98
2,the,7.72,7.72,0.0,0.8400000000000007,0,3,0.0,,0.8400000000000007,7.72
3,the,8.56,8.62,0.0599999999999987,2.0,0,3,0.019999999999999567,0.5609667941233198,2.0,8.59
4,the,10.62,10.62,0.0,2.92,0,3,0.0,,2.92,10.62
5,this,13.54,13.72,0.1800000000000015,0.0199999999999995,0,4,0.04500000000000037,0.2610305836160908,0.019999999999999574,13.629999999999999
6,is,13.74,13.86,0.1199999999999992,0.0400000000000009,0,2,0.0599999999999996,0.3271020408288094,0.040000000000000924,13.8
7,an,13.9,13.96,0.0600000000000005,0.0999999999999996,0,2,0.03000000000000025,0.4984310374145151,0.09999999999999964,13.93
8,n,14.06,14.1,0.0399999999999991,0.1400000000000005,0,1,0.0399999999999991,0.6283187985582732,0.14000000000000057,14.08
9,b,14.24,14.34,0.0999999999999996,0.1600000000000001,0,1,0.0999999999999996,0.4062039597331035,0.16000000000000014,14.29
10,c,14.5,14.7,0.1999999999999993,0.3600000000000012,0,1,0.1999999999999993,0.3228118117534417,0.3600000000000012,14.6
11,special,15.06,15.52,0.4599999999999991,0.0600000000000005,0,7,0.06571428571428559,0.4222782497213704,0.0600000000000005,15.29
12,news,15.58,15.92,0.3399999999999998,0.0400000000000009,0,4,0.08499999999999995,0.4843469479017241,0.040000000000000924,15.75
13,report,15.96,16.42,0.4600000000000008,1.639999999999997,0,6,0.0766666666666668,0.3206430078559846,1.639999999999997,16.19
14,brought,18.06,18.3,0.240000000000002,0.0399999999999991,0,7,0.03428571428571457,0.5731577547253905,0.03999999999999915,18.18
15,to,18.34,18.42,0.0800000000000018,0.0399999999999991,0,2,0.0400000000000009,0.4235575978138404,0.03999999999999915,18.380000000000003
16,you,18.46,18.56,0.0999999999999978,0.1400000000000005,0,3,0.0333333333333326,0.5255084028010831,0.14000000000000057,18.509999999999998
17,by,18.7,18.86,0.1600000000000001,0.1000000000000014,0,2,0.08000000000000004,0.7371330642974435,0.10000000000000142,18.78
18,the,18.96,19.04,0.0799999999999983,0.0600000000000022,0,3,0.0266666666666661,0.4512087857419269,0.060000000000002274,19.0
19,gulf,19.1,19.42,0.3200000000000003,0.1599999999999966,0,4,0.08000000000000007,0.5355612766006466,0.1599999999999966,19.26
20,oil,19.58,19.9,0.3200000000000003,0.0600000000000022,0,3,0.10666666666666676,0.7681971893035092,0.060000000000002274,19.74
21,cooperation,19.96,20.58,0.6199999999999974,2.0400000000000027,0,11,0.05636363636363613,0.5322631025018176,2.0400000000000027,20.27
22,this,22.62,22.8,0.1799999999999997,0.0399999999999991,0,4,0.04499999999999992,0.4560932931865943,0.03999999999999915,22.71
23,program,22.84,23.28,0.4400000000000013,0.0199999999999995,0,7,0.06285714285714304,0.628275683376899,0.019999999999999574,23.060000000000002
24,is,23.3,23.38,0.0799999999999983,0.0400000000000027,0,2,0.03999999999999915,0.5371000065447774,0.0400000000000027,23.34
