,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,in,0.52,0.6,2,0.0799999999999999,0.03999999999999995,0.06000000000000005,0.56
1,two,0.66,0.76,3,0.0999999999999999,0.0333333333333333,0.020000000000000018,0.71
2,thousand,0.78,1.1,8,0.32,0.04,0.05999999999999983,0.9400000000000001
3,four,1.16,1.44,4,0.28,0.07,0.16000000000000014,1.2999999999999998
4,then,1.6,1.76,4,0.1599999999999999,0.03999999999999997,0.06000000000000005,1.6800000000000002
5,illinois,1.82,2.3,8,0.4799999999999997,0.05999999999999996,0.06000000000000005,2.06
6,senate,2.36,2.6,6,0.2400000000000002,0.040000000000000036,0.040000000000000036,2.48
7,candidate,2.64,3.02,9,0.3799999999999999,0.04222222222222221,0.040000000000000036,2.83
8,barak,3.06,3.38,5,0.3199999999999998,0.06399999999999996,0.020000000000000018,3.2199999999999998
9,obama,3.4,3.82,5,0.4199999999999999,0.08399999999999998,0.18000000000000016,3.61
10,delivered,4.0,4.4,9,0.4000000000000003,0.04444444444444448,0.040000000000000036,4.2
11,the,4.44,4.5,3,0.0599999999999996,0.01999999999999987,0.1200000000000001,4.470000000000001
12,key,4.62,4.8,3,0.1799999999999997,0.059999999999999894,0.020000000000000462,4.71
13,note,4.82,5.0,4,0.1799999999999997,0.04499999999999992,0.019999999999999574,4.91
14,address,5.02,5.4,7,0.3800000000000008,0.054285714285714395,0.040000000000000036,5.21
15,at,5.44,5.5,2,0.0599999999999996,0.0299999999999998,0.0,5.470000000000001
16,the,5.5,5.56,3,0.0599999999999996,0.01999999999999987,0.0600000000000005,5.529999999999999
17,democratic,5.62,6.1,10,0.4799999999999995,0.047999999999999945,0.0600000000000005,5.859999999999999
18,national,6.16,6.52,8,0.3599999999999994,0.04499999999999992,0.020000000000000462,6.34
19,convention,6.54,7.0,10,0.4599999999999999,0.04599999999999999,0.040000000000000036,6.77
20,in,7.04,7.1,2,0.0599999999999996,0.0299999999999998,0.0600000000000005,7.07
21,boston,7.16,7.6,6,0.4399999999999995,0.07333333333333325,0.6799999999999997,7.38
22,he,8.28,8.36,2,0.08,0.04,0.040000000000000924,8.32
23,spoke,8.4,8.62,5,0.2199999999999988,0.04399999999999976,0.02000000000000135,8.51
24,about,8.64,8.82,5,0.1799999999999997,0.035999999999999935,0.019999999999999574,8.73
25,his,8.84,8.92,3,0.08,0.02666666666666667,0.040000000000000924,8.879999999999999
26,personal,8.96,9.34,8,0.379999999999999,0.047499999999999876,0.0600000000000005,9.15
27,background,9.4,9.96,10,0.5600000000000005,0.05600000000000005,0.23999999999999844,9.68
28,and,10.2,10.34,3,0.1400000000000005,0.046666666666666835,0.019999999999999574,10.27
29,about,10.36,10.56,5,0.200000000000001,0.0400000000000002,0.019999999999999574,10.46
30,the,10.58,10.62,3,0.0399999999999991,0.013333333333333032,0.040000000000000924,10.6
31,democratic,10.66,11.14,10,0.4800000000000004,0.04800000000000004,0.03999999999999915,10.9
32,party,11.18,11.48,5,0.3000000000000007,0.060000000000000143,0.6799999999999997,11.33
33,here,12.16,12.34,4,0.1799999999999997,0.04499999999999992,0.019999999999999574,12.25
34,is,12.36,12.46,2,0.1000000000000014,0.0500000000000007,0.03999999999999915,12.41
35,that,12.5,12.64,4,0.1400000000000005,0.03500000000000013,0.05999999999999872,12.57
36,speech,12.7,13.0,6,0.3000000000000007,0.05000000000000012,0.0600000000000005,12.85
37,in,13.06,13.12,2,0.0599999999999987,0.02999999999999935,0.040000000000000924,13.09
38,its,13.16,13.26,3,0.0999999999999996,0.0333333333333332,0.019999999999999574,13.21
39,entirety,13.28,13.76,8,0.4800000000000004,0.06000000000000005,4.3199999999999985,13.52
40,the,18.08,18.16,3,0.0800000000000018,0.02666666666666727,4.32,18.119999999999997
41,the,22.48,22.48,3,0.0,0.0,1.4400000000000013,22.48
42,the,23.92,23.92,3,0.0,0.0,0.6799999999999997,23.92
43,the,24.6,24.6,3,0.0,0.0,3.0799999999999983,24.6
44,the,27.68,27.68,3,0.0,0.0,1.1400000000000006,27.68
45,the,28.82,28.82,3,0.0,0.0,4.060000000000002,28.82
46,the,32.88,32.88,3,0.0,0.0,1.5599999999999952,32.88
47,the,34.44,34.44,3,0.0,0.0,0.6600000000000037,34.44
48,the,35.1,35.18,3,0.0799999999999983,0.0266666666666661,2.0799999999999983,35.14
49,thank,37.26,37.42,5,0.1600000000000037,0.032000000000000736,0.0,37.34
50,you,37.42,37.52,3,0.1000000000000014,0.0333333333333338,2.1399999999999935,37.47
51,thank,39.66,39.86,5,0.2000000000000028,0.040000000000000556,0.0,39.76
52,you,39.86,39.94,3,0.0799999999999983,0.0266666666666661,0.060000000000002274,39.9
53,so,40.0,40.14,2,0.1400000000000005,0.07000000000000026,0.060000000000002274,40.07
54,much,40.2,40.4,4,0.1999999999999957,0.04999999999999893,1.7800000000000011,40.3
55,thank,42.18,42.42,5,0.240000000000002,0.048000000000000397,0.0,42.3
56,you,42.42,42.56,3,0.1400000000000005,0.046666666666666835,0.37999999999999545,42.49
57,thank,42.94,43.16,5,0.2199999999999988,0.04399999999999976,0.0,43.05
58,you,43.16,43.24,3,0.0800000000000054,0.026666666666668466,0.05999999999999517,43.2
59,so,43.3,43.44,2,0.1400000000000005,0.07000000000000026,0.0800000000000054,43.37
60,much,43.52,43.78,4,0.259999999999998,0.0649999999999995,1.5399999999999991,43.650000000000006
61,thank,45.32,45.62,5,0.2999999999999971,0.05999999999999942,0.0,45.47
62,you,45.62,45.7,3,0.0800000000000054,0.026666666666668466,0.0799999999999983,45.66
63,so,45.78,45.94,2,0.1599999999999966,0.0799999999999983,0.0800000000000054,45.86
64,much,46.02,46.3,4,0.279999999999994,0.0699999999999985,0.1600000000000037,46.16
65,thank,46.46,46.7,5,0.240000000000002,0.048000000000000397,0.0,46.58
66,you,46.7,46.82,3,0.1199999999999974,0.039999999999999133,1.8800000000000026,46.760000000000005
67,thank,48.7,48.96,5,0.259999999999998,0.0519999999999996,0.01999999999999602,48.83
68,you,48.98,49.08,3,0.1000000000000014,0.0333333333333338,3.700000000000003,49.03
69,thank,52.78,53.04,5,0.259999999999998,0.0519999999999996,0.020000000000003126,52.91
70,you,53.06,53.2,3,0.1400000000000005,0.046666666666666835,2.0,53.13
71,you,55.2,55.3,3,0.0999999999999943,0.03333333333333143,0.10000000000000142,55.25
72,make,55.4,55.62,4,0.2199999999999988,0.0549999999999997,0.020000000000003126,55.51
73,us,55.64,55.78,2,0.1400000000000005,0.07000000000000026,0.0799999999999983,55.71
74,all,55.86,56.02,3,0.1600000000000037,0.053333333333334565,0.05999999999999517,55.94
75,proud,56.08,56.58,5,0.5,0.1,3.460000000000001,56.33
76,on,60.04,60.18,2,0.1400000000000005,0.07000000000000026,0.060000000000002274,60.11
77,behalf,60.24,60.78,6,0.5399999999999991,0.08999999999999986,0.29999999999999716,60.510000000000005
78,of,61.08,61.2,2,0.1200000000000045,0.06000000000000225,0.05999999999999517,61.14
79,the,61.26,61.32,3,0.0600000000000022,0.020000000000000732,0.060000000000002274,61.29
80,great,61.38,61.62,5,0.2399999999999948,0.04799999999999896,0.060000000000002274,61.5
81,state,61.68,61.94,5,0.259999999999998,0.0519999999999996,0.020000000000003126,61.81
82,of,61.96,62.0,2,0.0399999999999991,0.01999999999999955,0.060000000000002274,61.980000000000004
83,illinois,62.06,62.52,8,0.4600000000000008,0.0575000000000001,2.1399999999999935,62.290000000000006
84,cross,64.66,65.12,5,0.4600000000000079,0.09200000000000158,0.01999999999999602,64.89
85,roads,65.14,65.54,5,0.4000000000000057,0.08000000000000114,0.03999999999999204,65.34
86,of,65.58,65.68,2,0.1000000000000085,0.05000000000000425,0.03999999999999204,65.63
87,a,65.72,65.76,1,0.0400000000000062,0.0400000000000062,0.03999999999999204,65.74000000000001
88,nation,65.8,66.32,6,0.519999999999996,0.086666666666666,1.1200000000000045,66.06
89,land,67.44,67.86,4,0.4200000000000017,0.10500000000000043,0.01999999999999602,67.65
90,of,67.88,67.96,2,0.0799999999999983,0.03999999999999915,0.0800000000000125,67.91999999999999
91,lincoln,68.04,68.5,7,0.4599999999999937,0.06571428571428481,1.519999999999996,68.27000000000001
92,let,70.02,70.16,3,0.1400000000000005,0.046666666666666835,0.0,70.09
93,me,70.16,70.24,2,0.0799999999999983,0.03999999999999915,0.060000000000002274,70.19999999999999
94,express,70.3,70.86,7,0.5600000000000023,0.08000000000000032,0.09999999999999432,70.58
95,my,70.96,71.1,2,0.1400000000000005,0.07000000000000026,0.0800000000000125,71.03
96,deepest,71.18,71.6,7,0.4199999999999875,0.059999999999998214,0.020000000000010232,71.39
97,gratitude,71.62,72.26,9,0.6400000000000006,0.07111111111111118,0.7599999999999909,71.94
98,for,73.02,73.12,3,0.1000000000000085,0.033333333333336164,0.03999999999999204,73.07
99,the,73.16,73.2,3,0.0400000000000062,0.013333333333335399,0.060000000000002274,73.18
100,privilege,73.26,73.66,9,0.3999999999999915,0.044444444444443496,0.020000000000010232,73.46000000000001
101,of,73.68,73.74,2,0.059999999999988,0.029999999999994,0.04000000000000625,73.71000000000001
102,addressing,73.78,74.26,10,0.480000000000004,0.048000000000000397,0.01999999999999602,74.02000000000001
103,this,74.28,74.4,4,0.1200000000000045,0.030000000000001126,0.03999999999999204,74.34
104,convention,74.44,74.94,10,0.5,0.05,1.8599999999999994,74.69
105,tonight,76.8,77.12,7,0.3200000000000074,0.04571428571428677,0.01999999999999602,76.96000000000001
106,is,77.14,77.22,2,0.0799999999999983,0.03999999999999915,0.01999999999999602,77.18
107,a,77.24,77.28,1,0.0400000000000062,0.0400000000000062,0.03999999999999204,77.25999999999999
