,Word,Start,End,length,time_spent,std_time_spent,post_space
0,on,1.7,1.86,2,0.16000000000000014,0.08000000000000007,0.05999999999999983
1,election,1.92,2.3,8,0.3799999999999999,0.04749999999999999,0.040000000000000036
2,night,2.34,2.6,5,0.26000000000000023,0.052000000000000046,0.10000000000000009
3,twenty,2.7,2.94,6,0.23999999999999977,0.03999999999999996,0.08000000000000007
4,sixteen,3.02,3.64,7,0.6200000000000001,0.08857142857142859,0.49999999999999956
5,then,4.14,4.36,4,0.22000000000000064,0.05500000000000016,0.08000000000000007
6,president,4.44,4.98,9,0.54,0.060000000000000005,0.03999999999999915
7,barak,5.02,5.44,5,0.4200000000000008,0.08400000000000016,0.040000000000000036
8,o'bama,5.48,5.92,6,0.4399999999999995,0.07333333333333325,0.0600000000000005
9,called,5.98,6.24,6,0.2599999999999998,0.0433333333333333,0.08000000000000007
10,donald,6.32,6.7,6,0.3799999999999999,0.06333333333333331,0.05999999999999961
11,trump,6.76,7.12,5,0.3600000000000003,0.07200000000000006,0.019999999999999574
12,at,7.14,7.22,2,0.08000000000000007,0.040000000000000036,0.020000000000000462
13,about,7.24,7.54,5,0.2999999999999998,0.05999999999999996,0.09999999999999964
14,three,7.64,7.88,5,0.2400000000000002,0.04800000000000004,0.0600000000000005
15,o'clock,7.94,8.36,7,0.41999999999999904,0.059999999999999866,0.0600000000000005
16,in,8.42,8.48,2,0.0600000000000005,0.03000000000000025,0.019999999999999574
17,the,8.5,8.56,3,0.0600000000000005,0.020000000000000167,0.08000000000000007
18,morning,8.64,9.04,7,0.3999999999999986,0.05714285714285694,0.040000000000000924
19,to,9.08,9.16,2,0.08000000000000007,0.040000000000000036,0.08000000000000007
20,congratulate,9.24,9.96,12,0.7200000000000006,0.06000000000000005,0.019999999999999574
21,him,9.98,10.1,3,0.11999999999999922,0.03999999999999974,0.5600000000000005
22,even,10.66,10.88,4,0.22000000000000064,0.05500000000000016,0.019999999999999574
23,though,10.9,11.0,6,0.09999999999999964,0.016666666666666607,0.0600000000000005
24,mister,11.06,11.28,6,0.21999999999999886,0.03666666666666648,0.08000000000000007
25,trump,11.36,11.64,5,0.28000000000000114,0.05600000000000023,0.019999999999999574
26,had,11.66,11.8,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
27,lost,11.84,12.18,4,0.33999999999999986,0.08499999999999996,0.08000000000000007
28,the,12.26,12.32,3,0.0600000000000005,0.020000000000000167,0.03999999999999915
29,popular,12.36,12.84,7,0.4800000000000004,0.06857142857142863,0.0600000000000005
30,vote,12.9,13.2,4,0.29999999999999893,0.07499999999999973,0.3800000000000008
31,and,13.58,13.72,3,0.14000000000000057,0.046666666666666856,0.05999999999999872
32,took,13.78,14.0,4,0.22000000000000064,0.05500000000000016,0.0600000000000005
33,the,14.06,14.12,3,0.05999999999999872,0.019999999999999574,0.040000000000000924
34,electoral,14.16,14.64,9,0.4800000000000004,0.05333333333333338,0.05999999999999872
35,college,14.7,15.1,7,0.40000000000000036,0.0571428571428572,0.0600000000000005
36,by,15.16,15.28,2,0.11999999999999922,0.05999999999999961,0.10000000000000142
37,less,15.38,15.64,4,0.2599999999999998,0.06499999999999995,0.05999999999999872
38,than,15.7,15.86,4,0.16000000000000014,0.040000000000000036,0.14000000000000057
39,one,16.0,16.24,3,0.23999999999999844,0.07999999999999947,0.08000000000000185
40,percent,16.32,16.9,7,0.5799999999999983,0.08285714285714262,0.10000000000000142
41,in,17.0,17.14,2,0.14000000000000057,0.07000000000000028,0.09999999999999787
42,three,17.24,17.44,5,0.20000000000000284,0.04000000000000057,0.0799999999999983
43,states,17.52,17.98,6,0.46000000000000085,0.07666666666666681,0.7399999999999984
44,today,18.72,19.1,5,0.38000000000000256,0.07600000000000051,0.3999999999999986
45,president,19.5,20.06,9,0.5599999999999987,0.06222222222222208,0.060000000000002274
46,trump,20.12,20.5,5,0.379999999999999,0.0759999999999998,0.14000000000000057
47,declines,20.64,21.16,8,0.5199999999999996,0.06499999999999995,0.03999999999999915
48,to,21.2,21.28,2,0.08000000000000185,0.040000000000000924,0.05999999999999872
49,accept,21.34,21.74,6,0.3999999999999986,0.06666666666666643,0.0400000000000027
50,the,21.78,21.84,3,0.05999999999999872,0.019999999999999574,0.05999999999999872
51,verdict,21.9,22.26,7,0.360000000000003,0.05142857142857186,0.0
52,of,22.26,22.32,2,0.05999999999999872,0.02999999999999936,0.03999999999999915
53,the,22.36,22.4,3,0.03999999999999915,0.01333333333333305,0.0400000000000027
54,voters,22.44,22.86,6,0.41999999999999815,0.06999999999999969,0.4200000000000017
55,despite,23.28,23.74,7,0.4599999999999973,0.06571428571428532,0.08000000000000185
56,losing,23.82,24.22,6,0.3999999999999986,0.06666666666666643,0.08000000000000185
57,by,24.3,24.44,2,0.14000000000000057,0.07000000000000028,0.09999999999999787
58,greater,24.54,24.88,7,0.33999999999999986,0.04857142857142855,0.060000000000002274
59,margins,24.94,25.46,7,0.5199999999999996,0.07428571428571422,0.05999999999999872
60,to,25.52,25.64,2,0.120000000000001,0.0600000000000005,0.120000000000001
61,president,25.76,26.26,9,0.5,0.05555555555555555,0.019999999999999574
62,elect,26.28,26.66,5,0.379999999999999,0.0759999999999998,0.120000000000001
63,joe,26.78,27.0,3,0.21999999999999886,0.07333333333333296,0.03999999999999915
64,beyton,27.04,27.44,6,0.40000000000000213,0.06666666666666703,0.8200000000000003
65,mr,28.26,28.38,2,0.11999999999999744,0.05999999999999872,0.17999999999999972
66,obama,28.56,28.98,5,0.4200000000000017,0.08400000000000034,0.05999999999999872
67,hasn't,29.04,29.38,6,0.33999999999999986,0.05666666666666664,0.060000000000002274
68,spoken,29.44,29.86,6,0.41999999999999815,0.06999999999999969,0.03999999999999915
69,of,29.9,29.96,2,0.060000000000002274,0.030000000000001137,0.03999999999999915
70,the,30.0,30.04,3,0.03999999999999915,0.01333333333333305,0.060000000000002274
71,election,30.1,30.54,8,0.4399999999999977,0.054999999999999716,0.060000000000002274
72,standoff,30.6,31.2,8,0.5999999999999979,0.07499999999999973,0.16000000000000014
73,until,31.36,31.82,5,0.46000000000000085,0.09200000000000016,0.14000000000000057
74,today,31.96,32.38,5,0.4200000000000017,0.08400000000000034,0.6799999999999997
75,we,33.06,33.16,2,0.09999999999999432,0.04999999999999716,0.0800000000000054
76,spoke,33.24,33.56,5,0.3200000000000003,0.06400000000000006,0.03999999999999915
77,to,33.6,33.68,2,0.0799999999999983,0.03999999999999915,0.03999999999999915
78,the,33.72,33.78,3,0.060000000000002274,0.020000000000000757,0.060000000000002274
79,forty,33.84,34.1,5,0.259999999999998,0.0519999999999996,0.0799999999999983
80,fourth,34.18,34.46,6,0.28000000000000114,0.046666666666666856,0.0799999999999983
81,president,34.54,35.06,9,0.5200000000000031,0.05777777777777812,0.0799999999999983
82,on,35.14,35.26,2,0.11999999999999744,0.05999999999999872,0.060000000000002274
83,the,35.32,35.36,3,0.03999999999999915,0.01333333333333305,0.060000000000002274
84,release,35.42,35.82,7,0.3999999999999986,0.05714285714285694,0.020000000000003126
85,of,35.84,35.92,2,0.0799999999999983,0.03999999999999915,0.03999999999999915
86,his,35.96,36.14,3,0.17999999999999972,0.05999999999999991,0.060000000000002274
87,new,36.2,36.38,3,0.17999999999999972,0.05999999999999991,0.03999999999999915
88,book,36.42,36.78,4,0.35999999999999943,0.08999999999999986,0.240000000000002
89,a,37.02,37.08,1,0.05999999999999517,0.05999999999999517,0.10000000000000142
90,promised,37.18,37.64,8,0.46000000000000085,0.05750000000000011,0.060000000000002274
91,land,37.7,38.1,4,0.3999999999999986,0.09999999999999964,0.3399999999999963
92,a,38.44,38.54,1,0.10000000000000142,0.10000000000000142,0.060000000000002274
93,memoir,38.6,39.1,6,0.5,0.08333333333333333,0.240000000000002
94,of,39.34,39.48,2,0.13999999999999346,0.06999999999999673,0.0800000000000054
95,his,39.56,39.76,3,0.19999999999999574,0.06666666666666525,0.10000000000000142
