,Unnamed: 0,Word,Start,End,length,time_spent,std_time_spent,post_space,time,speed
0,0,on,1.7,1.86,2,0.1600000000000001,0.08,0.0599999999999998,1.78,12.499999999999993
1,1,election,1.92,2.3,8,0.3799999999999999,0.0474999999999999,0.04,2.11,21.052631578947373
2,2,night,2.34,2.6,5,0.2600000000000002,0.052,0.1,2.47,19.23076923076922
3,3,twenty,2.7,2.94,6,0.2399999999999997,0.0399999999999999,0.08,2.8200000000000003,25.00000000000003
4,4,sixteen,3.02,3.64,7,0.6200000000000001,0.0885714285714285,0.4999999999999995,3.33,11.29032258064516
5,5,then,4.14,4.36,4,0.2200000000000006,0.0550000000000001,0.08,4.25,18.18181818181813
6,6,president,4.44,4.98,9,0.54,0.06,0.0399999999999991,4.710000000000001,16.666666666666664
7,7,barak,5.02,5.44,5,0.4200000000000008,0.0840000000000001,0.04,5.23,11.904761904761882
8,8,o'bama,5.48,5.92,6,0.4399999999999995,0.0733333333333332,0.0600000000000005,5.7,13.636363636363651
9,9,called,5.98,6.24,6,0.2599999999999998,0.0433333333333333,0.08,6.11,23.076923076923094
10,10,donald,6.32,6.7,6,0.3799999999999999,0.0633333333333333,0.0599999999999996,6.51,15.789473684210531
11,11,trump,6.76,7.12,5,0.3600000000000003,0.072,0.0199999999999995,6.94,13.888888888888877
12,12,at,7.14,7.22,2,0.08,0.04,0.0200000000000004,7.18,25.0
13,13,about,7.24,7.54,5,0.2999999999999998,0.0599999999999999,0.0999999999999996,7.390000000000001,16.666666666666675
14,14,three,7.64,7.88,5,0.2400000000000002,0.048,0.0600000000000005,7.76,20.833333333333314
15,15,o'clock,7.94,8.36,7,0.419999999999999,0.0599999999999998,0.0600000000000005,8.15,16.666666666666707
16,16,in,8.42,8.48,2,0.0600000000000005,0.0300000000000002,0.0199999999999995,8.45,33.33333333333306
17,17,the,8.5,8.56,3,0.0600000000000005,0.0200000000000001,0.08,8.530000000000001,49.99999999999959
18,18,morning,8.64,9.04,7,0.3999999999999986,0.0571428571428569,0.0400000000000009,8.84,17.500000000000064
19,19,to,9.08,9.16,2,0.08,0.04,0.08,9.12,25.0
20,20,congratulate,9.24,9.96,12,0.7200000000000006,0.06,0.0199999999999995,9.6,16.666666666666654
21,21,him,9.98,10.1,3,0.1199999999999992,0.0399999999999997,0.5600000000000005,10.04,25.000000000000167
22,22,even,10.66,10.88,4,0.2200000000000006,0.0550000000000001,0.0199999999999995,10.77,18.18181818181813
23,23,though,10.9,11.0,6,0.0999999999999996,0.0166666666666666,0.0600000000000005,10.95,60.00000000000024
24,24,mister,11.06,11.28,6,0.2199999999999988,0.0366666666666664,0.08,11.17,27.27272727272742
25,25,trump,11.36,11.64,5,0.2800000000000011,0.0560000000000002,0.0199999999999995,11.5,17.857142857142787
26,26,had,11.66,11.8,3,0.1400000000000005,0.0466666666666668,0.0399999999999991,11.73,21.42857142857135
27,27,lost,11.84,12.18,4,0.3399999999999998,0.0849999999999999,0.08,12.01,11.764705882352947
28,28,the,12.26,12.32,3,0.0600000000000005,0.0200000000000001,0.0399999999999991,12.29,49.99999999999959
29,29,popular,12.36,12.84,7,0.4800000000000004,0.0685714285714286,0.0600000000000005,12.6,14.58333333333332
30,30,vote,12.9,13.2,4,0.2999999999999989,0.0749999999999997,0.3800000000000008,13.05,13.333333333333384
31,31,and,13.58,13.72,3,0.1400000000000005,0.0466666666666668,0.0599999999999987,13.65,21.42857142857135
32,32,took,13.78,14.0,4,0.2200000000000006,0.0550000000000001,0.0600000000000005,13.89,18.18181818181813
33,33,the,14.06,14.12,3,0.0599999999999987,0.0199999999999995,0.0400000000000009,14.09,50.00000000000108
34,34,electoral,14.16,14.64,9,0.4800000000000004,0.0533333333333333,0.0599999999999987,14.4,18.749999999999982
35,35,college,14.7,15.1,7,0.4000000000000003,0.0571428571428571,0.0600000000000005,14.9,17.499999999999986
36,36,by,15.16,15.28,2,0.1199999999999992,0.0599999999999996,0.1000000000000014,15.22,16.666666666666778
37,37,less,15.38,15.64,4,0.2599999999999998,0.0649999999999999,0.0599999999999987,15.510000000000002,15.384615384615397
38,38,than,15.7,15.86,4,0.1600000000000001,0.04,0.1400000000000005,15.78,24.999999999999986
39,39,one,16.0,16.24,3,0.2399999999999984,0.0799999999999994,0.0800000000000018,16.119999999999997,12.500000000000083
40,40,percent,16.32,16.9,7,0.5799999999999983,0.0828571428571426,0.1000000000000014,16.61,12.068965517241415
41,41,in,17.0,17.14,2,0.1400000000000005,0.0700000000000002,0.0999999999999978,17.07,14.285714285714233
42,42,three,17.24,17.44,5,0.2000000000000028,0.0400000000000005,0.0799999999999983,17.34,24.999999999999652
43,43,states,17.52,17.98,6,0.4600000000000008,0.0766666666666668,0.7399999999999984,17.75,13.043478260869543
44,44,today,18.72,19.1,5,0.3800000000000025,0.0760000000000005,0.3999999999999986,18.91,13.15789473684202
45,45,president,19.5,20.06,9,0.5599999999999987,0.062222222222222,0.0600000000000022,19.78,16.07142857142861
46,46,trump,20.12,20.5,5,0.379999999999999,0.0759999999999998,0.1400000000000005,20.31,13.15789473684214
47,47,declines,20.64,21.16,8,0.5199999999999996,0.0649999999999999,0.0399999999999991,20.9,15.384615384615397
48,48,to,21.2,21.28,2,0.0800000000000018,0.0400000000000009,0.0599999999999987,21.24,24.999999999999435
49,49,accept,21.34,21.74,6,0.3999999999999986,0.0666666666666664,0.0400000000000027,21.54,15.000000000000053
50,50,the,21.78,21.84,3,0.0599999999999987,0.0199999999999995,0.0599999999999987,21.81,50.00000000000108
51,51,verdict,21.9,22.26,7,0.360000000000003,0.0514285714285718,0.0,22.08,19.444444444444283
