,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,aussie,6.36,6.7,6,0.33999999999999986,0.05666666666666664,17.64705882352942,0.040000000000000036
1,mandius,6.74,7.24,7,0.5,0.07142857142857142,14.0,0.39999999999999947
2,by,7.64,7.78,2,0.14000000000000057,0.07000000000000028,14.285714285714228,0.05999999999999961
3,persea,7.84,8.28,6,0.4399999999999995,0.07333333333333325,13.636363636363651,0.0600000000000005
4,bish,8.34,8.66,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.11999999999999922
5,shelley,8.78,9.12,7,0.33999999999999986,0.04857142857142855,20.588235294117656,2.0200000000000014
6,the,11.14,11.14,3,0.0,0.0,inf,0.47999999999999865
7,i,11.62,11.72,1,0.10000000000000142,0.10000000000000142,9.999999999999858,0.03999999999999915
8,met,11.76,11.9,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.019999999999999574
9,a,11.92,11.96,1,0.040000000000000924,0.040000000000000924,24.999999999999424,0.0799999999999983
10,traveller,12.04,12.62,9,0.5800000000000001,0.06444444444444446,15.517241379310343,0.3200000000000003
11,from,12.94,13.08,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.019999999999999574
12,an,13.1,13.16,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.03999999999999915
13,ancheekland,13.2,14.18,11,0.9800000000000004,0.08909090909090912,11.224489795918362,0.7400000000000002
14,who,14.92,15.06,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.05999999999999872
15,said,15.12,15.48,4,0.3600000000000012,0.0900000000000003,11.111111111111073,1.0399999999999991
16,two,16.52,16.88,3,0.35999999999999943,0.11999999999999982,8.333333333333346,0.240000000000002
17,vast,17.12,17.7,4,0.5799999999999983,0.14499999999999957,6.896551724137951,0.5600000000000023
18,trunkless,18.26,18.9,9,0.639999999999997,0.07111111111111078,14.062500000000066,0.16000000000000014
19,legs,19.06,19.36,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.0
20,of,19.36,19.42,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.05999999999999872
21,stone,19.48,20.04,5,0.5599999999999987,0.11199999999999974,8.928571428571448,0.5199999999999996
22,stand,20.56,21.24,5,0.6799999999999997,0.13599999999999995,7.352941176470591,0.020000000000003126
23,in,21.26,21.34,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.05999999999999872
24,the,21.4,21.46,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.05999999999999872
25,desert,21.52,22.02,6,0.5,0.08333333333333333,12.0,1.620000000000001
26,near,23.64,23.84,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.05999999999999872
27,them,23.9,24.12,4,0.22000000000000242,0.055000000000000604,18.18181818181798,0.35999999999999943
28,on,24.48,24.66,2,0.17999999999999972,0.08999999999999986,11.111111111111128,0.03999999999999915
29,the,24.7,24.76,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.05999999999999872
30,sand,24.82,25.3,4,0.4800000000000004,0.1200000000000001,8.333333333333327,0.5199999999999996
31,half,25.82,26.08,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274
32,sunk,26.14,26.54,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.740000000000002
33,a,27.28,27.36,1,0.0799999999999983,0.0799999999999983,12.500000000000266,0.08000000000000185
34,shattered,27.44,27.88,9,0.4399999999999977,0.048888888888888635,20.45454545454556,0.060000000000002274
35,visit,27.94,28.26,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.05999999999999872
36,lies,28.32,28.78,4,0.46000000000000085,0.11500000000000021,8.695652173913027,1.2799999999999976
37,whose,30.06,30.28,5,0.22000000000000242,0.04400000000000048,22.727272727272478,0.05999999999999872
38,frown,30.34,31.06,5,0.7199999999999989,0.14399999999999977,6.944444444444455,0.08000000000000185
39,and,31.14,31.24,3,0.09999999999999787,0.033333333333332625,30.00000000000064,0.16000000000000014
40,wrinkled,31.4,31.9,8,0.5,0.0625,16.0,0.060000000000002274
41,slip,31.96,32.38,4,0.4200000000000017,0.10500000000000043,9.523809523809485,0.5399999999999991
42,and,32.92,33.1,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.11999999999999744
43,sneer,33.22,33.92,5,0.7000000000000028,0.14000000000000057,7.142857142857114,0.8399999999999963
44,cool,34.76,35.54,4,0.7800000000000011,0.19500000000000028,5.128205128205121,0.1600000000000037
45,command,35.7,36.58,7,0.8799999999999955,0.12571428571428506,7.954545454545496,1.1400000000000006
46,tell,37.72,38.0,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.0799999999999983
47,that,38.08,38.2,4,0.12000000000000455,0.030000000000001137,33.33333333333207,0.01999999999999602
48,it's,38.22,38.32,4,0.10000000000000142,0.025000000000000355,39.99999999999943,0.14000000000000057
49,gold,38.46,38.7,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.01999999999999602
50,to,38.72,38.82,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.060000000000002274
51,her,38.88,38.98,3,0.09999999999999432,0.03333333333333144,30.000000000001705,0.0800000000000054
52,well,39.06,39.42,4,0.35999999999999943,0.08999999999999986,11.111111111111128,0.14000000000000057
53,those,39.56,39.78,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.03999999999999915
54,passions,39.82,40.46,8,0.6400000000000006,0.08000000000000007,12.49999999999999,0.03999999999999915
55,red,40.5,40.76,3,0.259999999999998,0.086666666666666,11.538461538461627,1.1600000000000037
56,would,41.92,42.06,5,0.14000000000000057,0.028000000000000115,35.714285714285566,0.09999999999999432
57,yet,42.16,42.36,3,0.20000000000000284,0.06666666666666761,14.999999999999787,0.03999999999999915
58,survive,42.4,42.94,7,0.5399999999999991,0.07714285714285703,12.962962962962983,1.3000000000000043
59,stamp,44.24,44.74,5,0.5,0.1,10.0,0.05999999999999517
60,done,44.8,45.02,4,0.22000000000000597,0.05500000000000149,18.18181818181769,0.01999999999999602
61,these,45.04,45.46,5,0.4200000000000017,0.08400000000000034,11.904761904761857,0.3200000000000003
62,lifeless,45.78,46.24,8,0.46000000000000085,0.05750000000000011,17.391304347826054,0.05999999999999517
63,things,46.3,46.74,6,0.44000000000000483,0.07333333333333414,13.636363636363487,1.8200000000000003
64,the,48.56,48.64,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.0799999999999983
65,hand,48.72,48.96,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.03999999999999915
66,that,49.0,49.14,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.10000000000000142
67,mocked,49.24,49.56,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.01999999999999602
68,them,49.58,49.74,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.9799999999999969
69,and,50.72,50.86,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.020000000000003126
70,the,50.88,50.92,3,0.03999999999999915,0.01333333333333305,75.0000000000016,0.0799999999999983
71,heart,51.0,51.4,5,0.3999999999999986,0.07999999999999971,12.500000000000044,0.5600000000000023
72,that,51.96,52.08,4,0.11999999999999744,0.02999999999999936,33.333333333334046,0.1600000000000037
73,fed,52.24,52.5,3,0.259999999999998,0.086666666666666,11.538461538461627,1.6400000000000006
74,and,54.14,54.28,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.060000000000002274
75,on,54.34,54.46,2,0.11999999999999744,0.05999999999999872,16.666666666667023,0.03999999999999915
76,the,54.5,54.54,3,0.03999999999999915,0.01333333333333305,75.0000000000016,0.060000000000002274
77,pedestal,54.6,55.24,8,0.6400000000000006,0.08000000000000007,12.49999999999999,0.29999999999999716
78,these,55.54,55.72,5,0.17999999999999972,0.03599999999999994,27.77777777777782,0.03999999999999915
79,words,55.76,56.04,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.020000000000003126
80,appear,56.06,56.48,6,0.4199999999999946,0.0699999999999991,14.28571428571447,2.940000000000005
81,my,59.42,59.62,2,0.19999999999999574,0.09999999999999787,10.000000000000213,0.10000000000000142
82,name,59.72,60.42,4,0.7000000000000028,0.1750000000000007,5.714285714285691,0.01999999999999602
83,is,60.44,60.56,2,0.12000000000000455,0.060000000000002274,16.666666666666035,0.0799999999999983
84,aussie,60.64,61.02,6,0.38000000000000256,0.06333333333333376,15.78947368421042,0.01999999999999602
85,manges,61.04,61.66,6,0.6199999999999974,0.1033333333333329,9.677419354838749,1.1400000000000006
86,king,62.8,63.28,4,0.480000000000004,0.120000000000001,8.333333333333265,0.5399999999999991
87,of,63.82,64.04,2,0.22000000000000597,0.11000000000000298,9.090909090908845,0.11999999999999034
88,kings,64.16,64.82,5,0.6599999999999966,0.1319999999999993,7.575757575757615,1.8600000000000136
89,look,66.68,66.94,4,0.2599999999999909,0.06499999999999773,15.384615384615923,0.12000000000000455
90,on,67.06,67.24,2,0.1799999999999926,0.0899999999999963,11.111111111111567,0.060000000000002274
91,my,67.3,67.54,2,0.2400000000000091,0.12000000000000455,8.333333333333018,0.4199999999999875
92,works,67.96,68.54,5,0.5800000000000125,0.1160000000000025,8.620689655172228,0.6999999999999886
93,you,69.24,69.48,3,0.2400000000000091,0.08000000000000303,12.499999999999526,0.29999999999999716
94,mighty,69.78,70.16,6,0.37999999999999545,0.06333333333333258,15.789473684210716,1.0799999999999983
95,and,71.24,71.54,3,0.30000000000001137,0.1000000000000038,9.999999999999622,0.0
96,despair,71.54,72.24,7,0.6999999999999886,0.09999999999999838,10.000000000000162,2.940000000000012
97,uh,75.18,75.18,2,0.0,0.0,inf,1.259999999999991
98,nothing,76.44,76.98,7,0.5400000000000063,0.07714285714285804,12.962962962962813,0.7399999999999949
99,beside,77.72,78.24,6,0.519999999999996,0.086666666666666,11.538461538461627,0.04000000000000625
