,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,9.36,9.48,100.0,0.12,1,0.12,0.0,0.5874848673356952,9.42,98.38158124963772
1,1,1,met,9.48,9.69,100.0,0.21,3,0.06999999999999999,0.0,0.5454653468393927,9.585,118.17340601995048
2,2,2,a,9.69,9.75,100.0,0.06,1,0.06,0.02999999999999936,0.25396166419221305,9.72,128.01886174116316
3,3,3,traveller,9.78,10.26,100.0,0.48,9,0.05333333333333333,0.0600000000000005,0.6893763590557579,10.02,101.98063704357735
4,4,4,from,10.32,10.5,100.0,0.18,4,0.045,0.0,0.6766388271570392,10.41,87.92511659595088
5,5,5,an,10.5,10.59,100.0,0.09,2,0.045,0.0,0.7730809867308713,10.545,91.43133860486847
6,6,6,antique,10.59,11.07,100.0,0.48,7,0.06857142857142857,0.0,0.5461364710974025,10.83,102.97632951004798
7,7,7,land,11.07,11.67,100.0,0.6,4,0.15,0.6300000000000008,0.5302842954028385,11.37,87.74175500743253
8,8,8,who,12.3,12.42,100.0,0.12,3,0.04,0.0,0.8708746620020211,12.36,112.91391750648805
9,9,9,said,12.42,12.9,100.0,0.48,4,0.12,0.5099999999999998,0.5161960832990043,12.66,87.66440555869562
10,10,10,two,13.41,13.68,100.0,0.27,3,0.09000000000000001,0.0,0.7155861456004018,13.545,108.04331406658287
11,11,11,vast,13.68,14.22,100.0,0.54,4,0.135,0.0,0.6486967376530804,13.95,106.53828928524715
12,12,12,and,14.22,14.37,100.0,0.15,3,0.049999999999999996,0.030000000000001137,0.48080744624577193,14.295,88.20304955244835
13,13,13,trunk,14.4,14.76,64.5136,0.36,5,0.072,0.0,0.4300593848230146,14.58,108.35586398931777
14,14,14,less,14.76,15.089999,83.5052,0.329999,4,0.08249975,9.999999992515995e-07,0.5269524615677752,14.9249995,85.84943542393029
15,15,15,legs,15.09,15.48,100.0,0.39,4,0.0975,0.0,0.5819716992091251,15.285,92.75645559865185
16,16,16,of,15.48,15.6,100.0,0.12,2,0.06,0.0,0.3222136433975144,15.54,88.46570245883692
17,17,17,stone,15.6,16.23,100.0,0.63,5,0.126,0.3299999999999983,0.5430214888104192,15.915,90.96137852774986
18,18,18,stand,16.56,17.07,100.0,0.51,5,0.10200000000000001,0.0,0.6109133752542979,16.814999999999998,93.39416156842738
19,19,19,in,17.07,17.16,100.0,0.09,2,0.045,0.0,0.7119825772846724,17.115000000000002,84.46958555139287
20,20,20,the,17.16,17.25,100.0,0.09,3,0.03,0.0,0.5755439696252889,17.205,83.69695545615613
21,21,21,desert,17.25,17.73,100.0,0.48,6,0.08,1.0799999999999983,0.40453614125221976,17.490000000000002,92.83710532641017
22,22,22,near,18.81,19.08,100.0,0.27,4,0.0675,0.0,0.8797274797674048,18.945,113.43169482084198
23,23,23,them,19.08,19.29,100.0,0.21,4,0.0525,0.0,0.867436566556616,19.185,96.07548827215008
24,24,24,on,19.29,19.41,100.0,0.12,2,0.06,0.0,0.7423858776174946,19.35,92.31600982120213
25,25,25,the,19.41,19.5,100.0,0.09,3,0.03,0.0,0.7189786348427427,19.455,87.88252066096427
26,26,26,sand,19.5,20.1,100.0,0.6,4,0.15,0.29999999999999716,0.4949662756892818,19.8,86.62500737659288
27,27,27,half,20.4,20.73,100.0,0.33,4,0.0825,0.0,0.6307985023151371,20.565,101.68304940591969
28,28,28,sunk,20.73,21.24,100.0,0.51,4,0.1275,0.5700000000000003,0.482987344098391,20.985,92.94201156893641
29,29,29,a,21.81,21.9,100.0,0.09,1,0.09,0.0,0.46686313871991236,21.855,
30,30,30,shattered,21.9,22.38,100.0,0.48,9,0.05333333333333333,0.0,0.4860183287169124,22.14,95.4509943054115
31,31,31,visage,22.38,22.8,100.0,0.42,6,0.06999999999999999,0.0,0.5820018102989615,22.59,92.88875376311324
32,32,32,lies,22.8,23.46,100.0,0.66,4,0.165,0.75,0.5329563421226453,23.130000000000003,84.35177272269648
33,33,33,whose,24.21,24.48,100.0,0.27,5,0.054000000000000006,0.0,0.5923789509478141,24.345,100.45959536716589
34,34,34,frown,24.48,25.02,100.0,0.54,5,0.10800000000000001,0.0,0.6998247366386914,24.75,96.75293604121563
35,35,35,and,25.02,25.2,100.0,0.18,3,0.06,0.0,0.6430642834569019,25.11,86.56458574888198
36,36,36,wrinkled,25.2,25.62,100.0,0.42,8,0.0525,0.0,0.6337846410333832,25.41,95.38995602127994
37,37,37,lip,25.62,25.98,100.0,0.36,3,0.12,0.4800000000000004,0.39904988501628874,25.8,96.11401397176816
38,38,38,and,26.46,26.61,100.0,0.15,3,0.049999999999999996,0.0,0.6988147126362351,26.535,86.81928143508583
39,39,39,sneer,26.61,27.3,100.0,0.69,5,0.13799999999999998,0.0,0.7134484270515467,26.955,91.81843259631992
40,40,40,of,27.3,27.48,100.0,0.18,2,0.09,0.0,0.5319569004214809,27.39,100.37019780852933
41,41,41,cold,27.48,27.84,100.0,0.36,4,0.09,0.0,0.4815862459629729,27.66,92.17598583823825
42,42,42,command,27.84,28.5,100.0,0.66,7,0.09428571428571429,0.7199999999999989,0.48737002380216177,28.17,85.58313796447548
43,43,43,tell,29.22,29.52,100.0,0.3,4,0.075,0.0,0.7198275021042287,29.37,96.32077611151973
44,44,44,that,29.52,29.7,100.0,0.18,4,0.045,0.0,0.6936241517795855,29.61,97.88613666907064
45,45,45,it's,29.7,29.82,100.0,0.12,4,0.03,0.0,0.5271815699334134,29.76,
46,46,46,sculptor,29.82,30.57,100.0,0.75,8,0.09375,0.41999999999999815,0.5307815277973571,30.195,93.18799756751203
