,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,as,0.04,0.22,2,0.18,0.09,11.11111111111111,0.04000000000000001
1,amanda's,0.26,1.0,8,0.74,0.0925,10.81081081081081,0.41999999999999993
2,by,1.42,1.6,2,0.18000000000000016,0.09000000000000008,11.111111111111102,0.09999999999999987
3,persebas,1.7,2.44,8,0.74,0.0925,10.81081081081081,0.10000000000000009
4,shelley,2.54,3.0,7,0.45999999999999996,0.06571428571428571,15.217391304347828,0.9199999999999999
5,i,3.92,4.02,1,0.09999999999999964,0.09999999999999964,10.000000000000036,0.0600000000000005
6,met,4.08,4.24,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.019999999999999574
7,a,4.26,4.3,1,0.040000000000000036,0.040000000000000036,24.99999999999998,0.0600000000000005
8,traveller,4.36,4.94,9,0.5800000000000001,0.06444444444444446,15.517241379310343,0.1999999999999993
9,from,5.14,5.32,4,0.1800000000000006,0.04500000000000015,22.222222222222147,0.040000000000000036
10,an,5.36,5.42,2,0.05999999999999961,0.029999999999999805,33.33333333333355,0.0600000000000005
11,antique,5.48,5.88,7,0.39999999999999947,0.057142857142857065,17.500000000000025,0.10000000000000053
12,land,5.98,6.42,4,0.4399999999999995,0.10999999999999988,9.0909090909091,0.020000000000000462
13,who,6.44,6.54,3,0.09999999999999964,0.033333333333333215,30.000000000000107,0.05999999999999961
14,said,6.6,6.96,4,0.3600000000000003,0.09000000000000008,11.111111111111102,0.9000000000000004
15,too,7.86,8.02,3,0.15999999999999925,0.05333333333333309,18.75000000000009,0.120000000000001
16,vast,8.14,8.56,4,0.41999999999999993,0.10499999999999998,9.523809523809526,0.03999999999999915
17,and,8.6,8.68,3,0.08000000000000007,0.02666666666666669,37.499999999999964,0.040000000000000924
18,trunkless,8.72,9.2,9,0.47999999999999865,0.053333333333333184,18.750000000000053,0.08000000000000007
19,legs,9.28,9.56,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.019999999999999574
20,of,9.58,9.66,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.08000000000000007
21,stone,9.74,10.12,5,0.379999999999999,0.0759999999999998,13.15789473684214,0.040000000000000924
22,stand,10.16,10.5,5,0.33999999999999986,0.06799999999999998,14.705882352941183,0.0
23,in,10.5,10.58,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.019999999999999574
24,the,10.6,10.66,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.0600000000000005
25,desert,10.72,11.2,6,0.47999999999999865,0.07999999999999978,12.500000000000036,0.9400000000000013
26,near,12.14,12.36,4,0.21999999999999886,0.054999999999999716,18.181818181818276,0.040000000000000924
27,them,12.4,12.6,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.0600000000000005
28,on,12.66,12.76,2,0.09999999999999964,0.04999999999999982,20.00000000000007,0.040000000000000924
29,the,12.8,12.86,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.0600000000000005
30,sand,12.92,13.42,4,0.5,0.125,8.0,0.5199999999999996
31,half,13.94,14.22,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.03999999999999915
32,sunker,14.26,14.7,6,0.4399999999999995,0.07333333333333325,13.636363636363651,0.0600000000000005
33,shattered,14.76,15.18,9,0.41999999999999993,0.04666666666666666,21.42857142857143,0.0600000000000005
34,visit,15.24,15.62,5,0.379999999999999,0.0759999999999998,13.15789473684214,0.14000000000000057
35,lies,15.76,16.26,4,0.5000000000000018,0.12500000000000044,7.999999999999972,0.4799999999999969
36,whose,16.74,16.98,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.05999999999999872
37,frown,17.04,17.52,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.019999999999999574
38,and,17.54,17.62,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.03999999999999915
39,wrinkled,17.66,18.04,8,0.379999999999999,0.047499999999999876,21.052631578947423,0.060000000000002274
40,lip,18.1,18.44,3,0.33999999999999986,0.11333333333333329,8.82352941176471,0.29999999999999716
41,and,18.74,18.86,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.120000000000001
42,sneer,18.98,19.4,5,0.41999999999999815,0.08399999999999963,11.904761904761957,0.020000000000003126
43,of,19.42,19.5,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.0799999999999983
44,cold,19.58,19.9,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.0400000000000027
45,command,19.94,20.48,7,0.5399999999999991,0.07714285714285703,12.962962962962983,0.4400000000000013
46,tell,20.92,21.16,4,0.23999999999999844,0.05999999999999961,16.666666666666774,0.03999999999999915
47,that,21.2,21.32,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.019999999999999574
48,its,21.34,21.46,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.0799999999999983
49,sculptor,21.54,22.04,8,0.5,0.0625,16.0,0.08000000000000185
50,well,22.12,22.34,4,0.21999999999999886,0.054999999999999716,18.181818181818276,0.019999999999999574
51,those,22.36,22.54,5,0.17999999999999972,0.03599999999999994,27.77777777777782,0.03999999999999915
52,passions,22.58,23.08,8,0.5,0.0625,16.0,0.060000000000002274
53,read,23.14,23.36,4,0.21999999999999886,0.054999999999999716,18.181818181818276,0.060000000000002274
54,which,23.42,23.6,5,0.17999999999999972,0.03599999999999994,27.77777777777782,0.03999999999999915
55,yet,23.64,23.86,3,0.21999999999999886,0.07333333333333296,13.636363636363706,0.060000000000002274
56,survive,23.92,24.54,7,0.6199999999999974,0.0885714285714282,11.290322580645208,0.7200000000000024
57,stamped,25.26,25.74,7,0.4799999999999969,0.06857142857142813,14.583333333333428,0.0400000000000027
58,on,25.78,25.88,2,0.09999999999999787,0.049999999999998934,20.000000000000426,0.0400000000000027
59,these,25.92,26.12,5,0.1999999999999993,0.039999999999999855,25.00000000000009,0.0799999999999983
60,lifeless,26.2,26.78,8,0.5800000000000018,0.07250000000000023,13.793103448275819,0.0799999999999983
61,things,26.86,27.36,6,0.5,0.08333333333333333,12.0,0.5199999999999996
62,a,27.88,27.96,1,0.08000000000000185,0.08000000000000185,12.499999999999712,0.0799999999999983
63,hand,28.04,28.38,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.019999999999999574
64,and,28.4,28.48,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.05999999999999872
65,marked,28.54,28.86,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.03999999999999915
66,them,28.9,29.12,4,0.22000000000000242,0.055000000000000604,18.18181818181798,0.5599999999999987
67,and,29.68,29.8,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.03999999999999915
68,the,29.84,29.9,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.060000000000002274
69,heart,29.96,30.26,5,0.3000000000000007,0.060000000000000143,16.66666666666663,0.019999999999999574
70,that,30.28,30.4,4,0.11999999999999744,0.02999999999999936,33.333333333334046,0.10000000000000142
71,fed,30.5,30.88,3,0.379999999999999,0.12666666666666634,7.894736842105284,1.379999999999999
72,and,32.26,32.4,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.020000000000003126
73,on,32.42,32.52,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.03999999999999915
