,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,as,0.04,0.22,2,0.18,0.09,11.11111111111111,0.04000000000000001,0.13
1,amanda's,0.26,1.0,8,0.74,0.0925,10.81081081081081,0.41999999999999993,0.63
2,by,1.42,1.6,2,0.1800000000000001,0.09000000000000005,11.111111111111105,0.09999999999999987,1.51
3,persebas,1.7,2.44,8,0.74,0.0925,10.81081081081081,0.10000000000000009,2.07
4,shelley,2.54,3.0,7,0.4599999999999999,0.0657142857142857,15.21739130434783,0.9199999999999999,2.77
5,i,3.92,4.02,1,0.0999999999999996,0.0999999999999996,10.000000000000039,0.0600000000000005,3.9699999999999998
6,met,4.08,4.24,3,0.1600000000000001,0.053333333333333365,18.74999999999999,0.019999999999999574,4.16
7,a,4.26,4.3,1,0.04,0.04,25.0,0.0600000000000005,4.279999999999999
8,traveller,4.36,4.94,9,0.5800000000000001,0.06444444444444446,15.517241379310343,0.1999999999999993,4.65
9,from,5.14,5.32,4,0.1800000000000006,0.04500000000000015,22.222222222222147,0.040000000000000036,5.23
10,an,5.36,5.42,2,0.0599999999999996,0.0299999999999998,33.333333333333556,0.0600000000000005,5.390000000000001
11,antique,5.48,5.88,7,0.3999999999999994,0.05714285714285706,17.500000000000025,0.10000000000000053,5.68
12,land,5.98,6.42,4,0.4399999999999995,0.10999999999999988,9.0909090909091,0.020000000000000462,6.2
13,who,6.44,6.54,3,0.0999999999999996,0.0333333333333332,30.00000000000012,0.05999999999999961,6.49
14,said,6.6,6.96,4,0.3600000000000003,0.09000000000000008,11.111111111111102,0.9000000000000004,6.779999999999999
15,too,7.86,8.02,3,0.1599999999999992,0.053333333333333066,18.750000000000092,0.120000000000001,7.9399999999999995
16,vast,8.14,8.56,4,0.4199999999999999,0.10499999999999997,9.523809523809527,0.03999999999999915,8.350000000000001
17,and,8.6,8.68,3,0.08,0.02666666666666667,37.5,0.040000000000000924,8.64
18,trunkless,8.72,9.2,9,0.4799999999999986,0.05333333333333318,18.750000000000053,0.08000000000000007,8.96
19,legs,9.28,9.56,4,0.2800000000000011,0.07000000000000027,14.285714285714231,0.019999999999999574,9.42
20,of,9.58,9.66,2,0.08,0.04,25.0,0.08000000000000007,9.620000000000001
21,stone,9.74,10.12,5,0.379999999999999,0.0759999999999998,13.15789473684214,0.040000000000000924,9.93
22,stand,10.16,10.5,5,0.3399999999999998,0.06799999999999996,14.705882352941185,0.0,10.33
23,in,10.5,10.58,2,0.08,0.04,25.0,0.019999999999999574,10.54
24,the,10.6,10.66,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.0600000000000005,10.629999999999999
25,desert,10.72,11.2,6,0.4799999999999986,0.07999999999999977,12.500000000000037,0.9400000000000013,10.96
26,near,12.14,12.36,4,0.2199999999999988,0.0549999999999997,18.18181818181828,0.040000000000000924,12.25
27,them,12.4,12.6,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.0600000000000005,12.5
28,on,12.66,12.76,2,0.0999999999999996,0.0499999999999998,20.000000000000078,0.040000000000000924,12.71
29,the,12.8,12.86,3,0.0599999999999987,0.019999999999999567,50.00000000000108,0.0600000000000005,12.83
30,sand,12.92,13.42,4,0.5,0.125,8.0,0.5199999999999996,13.17
