,Unnamed: 0.1,Unnamed: 0.1.1,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude,time,pitch
0,0,0,i,10.65,10.83,100.0,0.18,1,0.18,0.0,0.5422354888883866,10.74,128.55594089085972
1,1,1,met,10.83,11.13,100.0,0.3,3,0.09999999999999999,0.0,0.4706243127366629,10.98,156.65766823166615
2,2,2,a,11.13,11.22,100.0,0.09,1,0.09,0.05999999999999872,0.293191780377303,11.175,174.2109571049309
3,3,3,traveller,11.28,11.73,100.0,0.45,9,0.05,0.05999999999999872,0.7494216061689931,11.505,145.94112434102294
4,4,4,from,11.79,11.94,100.0,0.15,4,0.0375,0.0,0.48164460442720175,11.864999999999998,131.31735768071502
5,5,5,an,11.94,12.03,100.0,0.09,2,0.045,0.0,0.4516630104733418,11.985,136.3982390768311
6,6,6,antique,12.03,12.57,100.0,0.54,7,0.07714285714285715,0.0,0.2555743119870266,12.3,147.8157864806561
7,7,7,land,12.57,13.2,100.0,0.63,4,0.1575,0.0,0.4677260839264415,12.885,124.63652399677645
8,8,8,who,13.2,13.38,100.0,0.18,3,0.06,0.0,0.28826373225725493,13.29,105.9454383513201
9,9,9,said,13.38,13.92,100.0,0.54,4,0.135,0.7799999999999994,0.3195212265279024,13.65,122.98018000076603
10,10,10,two,14.7,15.03,100.0,0.33,3,0.11,0.0,0.28740431384940174,14.864999999999998,161.1236298220499
11,11,11,vast,15.03,15.81,100.0,0.78,4,0.195,0.0,0.4719673173253337,15.42,140.67729492374832
12,12,12,and,15.81,15.96,100.0,0.15,3,0.049999999999999996,0.17999999999999972,0.28518449280219793,15.885000000000002,118.62185520181636
13,13,13,tranquil,16.14,16.612326,100.0,0.472326,8,0.05904075,0.11511700000000147,0.24681133216876933,16.376163,149.87579404934138
14,14,14,legs,16.727443,17.31,100.0,0.582557,4,0.14563925,0.0,0.3632811513766553,17.018721499999998,109.76975107408772
15,15,15,of,17.31,17.43,100.0,0.12,2,0.06,0.0,0.20228170014016783,17.369999999999997,96.55596055187749
16,16,16,stone,17.43,18.18,100.0,0.75,5,0.15,0.05999999999999872,0.3205731795991751,17.805,111.17302212766177
17,17,17,stand,18.24,18.72,100.0,0.48,5,0.096,0.0,0.3569484805700758,18.48,101.383627434592
18,18,18,in,18.72,18.84,100.0,0.12,2,0.06,0.0,0.31916474850795645,18.78,96.67155984915513
19,19,19,the,18.84,18.96,100.0,0.12,3,0.04,0.0,0.2055495534697751,18.9,90.12694209103597
20,20,20,desert,18.96,19.35,100.0,0.39,6,0.065,1.1999999999999993,0.23431489125226215,19.155,96.68565513855764
21,21,21,near,20.55,20.91,100.0,0.36,4,0.09,0.0,0.7263297378643266,20.73,154.5160763357688
22,22,22,them,20.91,21.24,100.0,0.33,4,0.0825,0.0,0.4647420805299914,21.075,159.42333798743465
23,23,23,on,21.24,21.39,100.0,0.15,2,0.075,0.0,0.4337436966199884,21.315,139.39514882631187
24,24,24,the,21.39,21.51,100.0,0.12,3,0.04,0.0,0.3716014435120331,21.450000000000003,144.07573958700226
25,25,25,sand,21.51,22.17,100.0,0.66,4,0.165,0.4499999999999993,0.42927023840652206,21.840000000000003,118.19816462891313
26,26,26,half,22.62,22.95,100.0,0.33,4,0.0825,0.0,0.6501528341855065,22.785,136.8127748051453
27,27,27,sunk,22.95,23.49,100.0,0.54,4,0.135,0.5700000000000003,0.23366797018933746,23.22,121.62050291987046
28,28,28,a,24.06,24.12,100.0,0.06,1,0.06,0.0,0.2916684792622591,24.09,111.54440943367474
29,29,29,shattered,24.12,24.57,100.0,0.45,9,0.05,0.0,0.5288031793874307,24.345,144.73522851090743
30,30,30,visage,24.57,24.93,100.0,0.36,6,0.06,0.0,0.5587219443279059,24.75,114.0062088120032
31,31,31,lies,24.93,25.56,100.0,0.63,4,0.1575,0.45000000000000284,0.4924895506474291,25.245,99.38855013953643
32,32,32,was,26.01,26.19,100.0,0.18,3,0.06,0.0,0.2523577733899328,26.1,124.47099616528092
33,33,33,frown,26.19,26.73,100.0,0.54,5,0.10800000000000001,0.0,0.6143480430536934,26.46,136.91797776925708
34,34,34,and,26.73,26.85,100.0,0.12,3,0.04,0.0,0.43665552798295104,26.79,115.15199412682456
35,35,35,wrinkled,26.85,27.27,100.0,0.42,8,0.0525,0.0,0.3300722878054647,27.06,126.76672146850632
36,36,36,lip,27.27,27.6,100.0,0.33,3,0.11,0.0,0.2768280690179729,27.435,131.58475464537227
37,37,37,and,27.6,27.72,100.0,0.12,3,0.04,0.0,0.363119210582739,27.66,113.95580938255029
38,38,38,sneer,27.72,28.32,100.0,0.6,5,0.12,0.0,0.5948818197719983,28.02,135.02186791753988
39,39,39,of,28.32,28.44,100.0,0.12,2,0.06,0.0,0.10914055383794237,28.380000000000003,80.08287127084724
40,40,40,cold,28.44,28.86,100.0,0.42,4,0.105,0.0,0.37690964195815885,28.65,132.96736227738495
41,41,41,command,28.86,29.58,100.0,0.72,7,0.10285714285714286,0.4200000000000017,0.43895405162145024,29.22,118.58605759944764
42,42,42,tell,30.0,30.39,100.0,0.39,4,0.0975,0.0,0.7016617545813759,30.195,169.22195001224455
43,43,43,that,30.39,30.57,100.0,0.18,4,0.045,0.0,0.6600523061497595,30.48,155.48843064152265
44,44,44,it's,30.57,30.72,100.0,0.15,4,0.0375,0.0,0.19402598460816606,30.645,110.73089059447146
45,45,45,sculptor,30.72,31.53,100.0,0.81,8,0.10125,0.2099999999999973,0.4032243694192661,31.125,143.869096198674
46,46,46,well,31.74,32.25,100.0,0.51,4,0.1275,0.0,0.6870010648654084,31.995,173.73472939653388
47,47,47,those,32.25,32.64,100.0,0.39,5,0.078,0.060000000000002274,0.5453749630467247,32.445,174.3947755419975
48,48,48,passions,32.7,33.3,100.0,0.6,8,0.075,0.0,0.4723086125204548,33.0,122.70513372320045
49,49,49,read,33.3,33.84,100.0,0.54,4,0.135,0.35999999999999943,0.3513080744315055,33.57,97.01692551787923
50,50,50,which,34.2,34.44,100.0,0.24,5,0.048,0.0,0.3114263453493912,34.32,119.52290644180513
51,51,51,yet,34.44,34.71,100.0,0.27,3,0.09000000000000001,0.0,0.4001533073081055,34.575,148.55373488203688
52,52,52,survive,34.71,35.46,100.0,0.75,7,0.10714285714285714,0.35999999999999943,0.6472173368322985,35.085,127.51543895373088
53,53,53,stamped,35.82,36.48,100.0,0.66,7,0.09428571428571429,0.0,0.3244283121377586,36.15,137.01196503137774
54,54,54,on,36.48,36.66,100.0,0.18,2,0.09,0.0,0.6543377157494501,36.56999999999999,126.07558833195361
55,55,55,those,36.66,37.14,100.0,0.48,5,0.096,0.0,0.5049155015510789,36.9,130.50291082004426
56,56,56,lifeless,37.14,37.86,100.0,0.72,8,0.09,0.0,0.41712791349673733,37.5,127.4197557858447
57,57,57,things,37.86,38.52,100.0,0.66,6,0.11,0.38999999999999346,0.3240572652697672,38.19,115.9457815478591
58,58,58,the,38.91,39.06,64.3225,0.15,3,0.049999999999999996,0.0,0.6478801654614256,38.985,96.74509793053954
59,59,59,hand,39.06,39.54,100.0,0.48,4,0.12,0.0,0.4502926830142587,39.3,120.4924353689005
60,60,60,that,39.54,39.72,100.0,0.18,4,0.045,0.0,0.3891968674272671,39.63,105.45773089415313
61,61,61,mocked,39.72,40.20189,100.0,0.48189,6,0.080315,0.0,0.2597003834836572,39.960945,111.6404818407209
62,62,62,them,40.20189,40.32,84.0029,0.11811,4,0.0295275,0.8100000000000023,0.3491660468396081,40.260945,103.16800469465049
63,63,63,and,41.13,41.25,100.0,0.12,3,0.04,0.0,0.252038892591748,41.19,98.28136249593435
64,64,64,the,41.25,41.37,100.0,0.12,3,0.04,0.0,0.6368861004499826,41.31,98.55824937110926
65,65,65,heart,41.37,41.85,100.0,0.48,5,0.096,0.240000000000002,0.4688322764485842,41.61,110.26864873870355
66,66,66,that,42.09,42.24,100.0,0.15,4,0.0375,0.0,0.11782500016807851,42.165000000000006,215.56440169555412
67,67,67,fed,42.24,42.63,100.0,0.39,3,0.13,1.4099999999999966,0.14916233352578384,42.435,89.71401731521618
