,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,i,0.3,0.3,1,0.0,0.0,inf,1.06,0.3
1,i,1.36,1.56,1,0.1999999999999999,0.1999999999999999,5.000000000000003,0.43999999999999995,1.46
2,met,2.0,2.24,3,0.2400000000000002,0.08000000000000007,12.49999999999999,0.019999999999999574,2.12
3,a,2.26,2.3,1,0.04,0.04,25.0,0.06000000000000005,2.28
4,traveller,2.36,2.86,9,0.5,0.05555555555555555,18.0,0.08000000000000007,2.61
5,from,2.94,3.22,4,0.2800000000000002,0.07000000000000005,14.285714285714276,0.03999999999999959,3.08
6,an,3.26,3.38,2,0.1200000000000001,0.06000000000000005,16.666666666666654,0.14000000000000012,3.32
7,antique,3.52,4.16,7,0.6400000000000001,0.09142857142857144,10.937499999999998,0.09999999999999964,3.84
8,land,4.26,4.88,4,0.6200000000000001,0.15500000000000003,6.451612903225805,0.7400000000000002,4.57
9,who,5.62,5.82,3,0.2000000000000001,0.0666666666666667,14.999999999999993,0.08000000000000007,5.720000000000001
10,said,5.9,6.36,4,0.4599999999999999,0.11499999999999998,8.695652173913045,1.1399999999999997,6.130000000000001
11,two,7.5,7.76,3,0.2599999999999998,0.0866666666666666,11.538461538461547,0.27999999999999936,7.63
12,vast,8.04,8.68,4,0.6400000000000006,0.16000000000000014,6.249999999999995,0.0600000000000005,8.36
13,and,8.74,8.84,3,0.0999999999999996,0.0333333333333332,30.00000000000012,0.09999999999999964,8.79
14,trunkless,8.94,9.46,9,0.5200000000000014,0.05777777777777793,17.307692307692264,0.05999999999999872,9.2
15,legs,9.52,9.94,4,0.4199999999999999,0.10499999999999997,9.523809523809527,0.040000000000000924,9.73
16,of,9.98,10.06,2,0.08,0.04,25.0,0.09999999999999964,10.02
17,stones,10.16,10.84,6,0.6799999999999997,0.11333333333333329,8.82352941176471,0.120000000000001,10.5
18,stand,10.96,11.52,5,0.5599999999999987,0.11199999999999974,8.928571428571448,0.019999999999999574,11.24
19,in,11.54,11.68,2,0.1400000000000005,0.07000000000000026,14.285714285714233,0.0600000000000005,11.61
20,the,11.74,11.8,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.08000000000000007,11.77
21,desert,11.88,12.36,6,0.4799999999999986,0.07999999999999977,12.500000000000037,1.200000000000001,12.120000000000001
22,near,13.56,13.86,4,0.2999999999999989,0.07499999999999972,13.333333333333384,0.02000000000000135,13.71
23,them,13.88,14.16,4,0.2799999999999993,0.06999999999999983,14.285714285714322,0.8399999999999999,14.02
24,on,15.0,15.18,2,0.1799999999999997,0.08999999999999984,11.11111111111113,0.0600000000000005,15.09
25,the,15.24,15.32,3,0.08,0.02666666666666667,37.5,0.0600000000000005,15.280000000000001
26,sand,15.38,16.08,4,0.6999999999999975,0.17499999999999938,5.714285714285735,0.7800000000000011,15.73
27,half,16.86,17.16,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.05999999999999872,17.009999999999998
28,sunker,17.22,17.78,6,0.5600000000000023,0.09333333333333371,10.714285714285671,0.03999999999999915,17.5
29,shattered,17.82,18.26,9,0.4400000000000013,0.04888888888888903,20.454545454545396,0.05999999999999872,18.04
