,time,amplitude,pitch
0,0.0,,
1,0.01,,
2,0.02,,
3,0.03,,
4,0.04,,
5,0.05,,
6,0.06,,
7,0.07,,
8,0.08,,
9,0.09,,
10,0.1,,
11,0.11,,
12,0.12,,
13,0.13,,
14,0.14,,
15,0.15,,
16,0.16,,
17,0.17,,
18,0.18,,
19,0.19,,
20,0.2,,
21,0.21,,
22,0.22,,
23,0.23,,
24,0.24,,
25,0.25,,
26,0.26,,
27,0.27,,
28,0.28,,
29,0.29,,
30,0.3,,
31,0.31,,
32,0.32,,
33,0.33,,
34,0.34,,
35,0.35000000000000003,,
36,0.36,,
37,0.37,,
38,0.38,,
39,0.39,,
40,0.4,,
41,0.41000000000000003,,
42,0.42,,
43,0.43,,
44,0.44,,
45,0.45,,
46,0.46,,
47,0.47000000000000003,,
48,0.48,,
49,0.49,,
50,0.5,,
51,0.51,,
52,0.52,,
53,0.53,,
54,0.54,,
55,0.55,,
56,0.56,,
57,0.5700000000000001,,
58,0.58,,
59,0.59,,
60,0.6,,
61,0.61,,
62,0.62,,
63,0.63,,
64,0.64,,
65,0.65,,
66,0.66,,
67,0.67,,
68,0.68,,
69,0.6900000000000001,,
70,0.7000000000000001,,
71,0.71,,
72,0.72,,
73,0.73,,
74,0.74,,
75,0.75,,
76,0.76,,
77,0.77,,
78,0.78,,
79,0.79,,
80,0.8,,
81,0.81,,
82,0.8200000000000001,,
83,0.8300000000000001,,
84,0.84,,
85,0.85,,
86,0.86,,
87,0.87,,
88,0.88,,
89,0.89,,
90,0.9,,
91,0.91,,
92,0.92,,
93,0.93,,
94,0.9400000000000001,,
95,0.9500000000000001,,
96,0.96,,
97,0.97,,
98,0.98,,
99,0.99,,
100,1.0,,
101,1.01,,
102,1.02,,
103,1.03,,
104,1.04,,
105,1.05,,
106,1.06,,
107,1.07,,
108,1.08,,
109,1.09,,
110,1.1,,
111,1.11,,
112,1.12,,
113,1.1300000000000001,,
114,1.1400000000000001,,
115,1.1500000000000001,,
116,1.16,,
117,1.17,,
118,1.18,,
119,1.19,,
120,1.2,,
121,1.21,,
122,1.22,,
123,1.23,,
124,1.24,,
125,1.25,,
126,1.26,0.17200488276762282,
127,1.27,0.3067005788355165,
128,1.28,0.40859651341459907,
129,1.29,0.4416493546951337,
130,1.3,0.43467755614387854,119.88243377086664
131,1.31,0.4183058488790286,120.73301955025356
132,1.32,0.4025081347314761,142.8463929823467
133,1.33,0.39197355093903613,151.9810738771051
134,1.34,0.3963177752874922,156.6976643498365
135,1.35,0.42827348491220746,160.5846091015672
136,1.36,0.48530887081528007,165.67819974673168
137,1.37,0.5405488218686735,187.15375055575467
138,1.3800000000000001,0.568045577376468,171.47595382374666
139,1.3900000000000001,0.554131952538426,172.90212657181934
140,1.4000000000000001,0.4916511373487961,170.56112182843464
141,1.41,0.41175740446320824,166.07494044873727
142,1.42,0.3687981483014392,156.4672764678433
143,1.43,0.3851693893375495,147.01589696032957
144,1.44,0.4364028043080505,148.20327879833638
145,1.45,0.48654536551031924,142.97164586824135
146,1.46,0.4716309107513483,143.27395800031923
147,1.47,0.33378374827863017,138.95606490867692
148,1.48,0.136660782735404,
149,1.49,,
150,1.5,,
151,1.51,0.10495312139929953,
152,1.52,0.23358374644217803,
153,1.53,0.3460133205127297,
154,1.54,0.39318188477130483,
155,1.55,0.3787984325237759,
156,1.56,0.3339763488161731,
157,1.57,0.29363216700823846,
158,1.58,0.2969974858856888,
159,1.59,0.36286276852503724,
160,1.6,0.4492768443081429,
161,1.61,0.5083882231750045,147.18055927434466
162,1.62,0.5329042543215664,143.50098521179953
163,1.6300000000000001,0.5346022514650141,143.16377589907424
164,1.6400000000000001,0.5245579300204781,140.75386742632077
165,1.6500000000000001,0.5129428737466386,142.06496422672535
166,1.6600000000000001,0.508709968162976,141.19399063120196
167,1.67,0.5176969765234744,138.7718595502344
168,1.68,0.5424643273561782,134.44160391187503
169,1.69,0.5661727405944744,132.01348603630717
170,1.7,0.5643980680967898,129.1286792563657
171,1.71,0.5296896404901098,125.32100790722036
172,1.72,0.47186502964522875,124.16448143027733
173,1.73,0.4045932857504317,121.9421846394927
174,1.74,0.3489753178135847,118.8635471350051
175,1.75,0.3204702509681368,116.48599752553802
176,1.76,0.29205350834988,114.0394978857219
177,1.77,0.2227233623911095,108.80056185900706
178,1.78,0.1226090006813385,89.96038609375726
179,1.79,,94.85089656884973
180,1.8,,87.77874709373613
181,1.81,,81.30845410654804
182,1.82,,83.6747634816086
183,1.83,,87.94470449056958
184,1.84,,85.55142635404954
185,1.85,,80.79162851775116
186,1.86,,75.35244810462943
187,1.87,,70.09952450743154
188,1.8800000000000001,,69.50520843254536
189,1.8900000000000001,,69.77264651567128
190,1.9000000000000001,,76.62466147587986
191,1.9100000000000001,,77.86294616107583
192,1.92,0.11186093515477682,77.13334260960974
193,1.93,0.13156870460921083,82.69508727263957
194,1.94,0.1501250497776988,83.30248195214953
195,1.95,0.1522289236070905,76.43367481987114
196,1.96,0.12687839870420334,
197,1.97,,
198,1.98,,
199,1.99,,
200,2.0,,
201,2.0100000000000002,,
202,2.02,,
203,2.0300000000000002,,
204,2.04,,
205,2.05,,
206,2.06,,
207,2.07,,
208,2.08,,
209,2.09,,
210,2.1,,
211,2.11,,92.55593429004776
212,2.12,,85.73195904749143
213,2.13,,84.1743841338024
214,2.14,,88.44451509520549
215,2.15,,95.43578878358059
216,2.16,0.1104007306620415,93.59310964330548
217,2.17,0.1451575866353195,96.80589407419978
218,2.18,0.18496540804295988,95.65144610067955
219,2.19,0.22308769880665963,97.76756219410763
220,2.2,0.2555965605498229,111.2657567013634
221,2.21,0.2800213909915815,99.21874795658394
222,2.22,0.29170785326539067,101.56374714286625
223,2.23,0.2832268449072437,101.3318340824678
224,2.24,0.25440100367917945,101.11708643360404
225,2.25,0.22789156511885592,101.05430635921591
226,2.2600000000000002,0.22786749347965243,102.87305740106915
