,Word,Start,End,length,time_spent,std_time_spent,pitch,time,post_space,amplitude
0,i,10.88,10.98,1,0.1,0.1,285.44792355562754,10.93,0.08000000000000007,0.6078211081583264
1,made,11.06,11.22,4,0.16,0.04,259.0835300860453,11.14,0.019999999999999574,0.8322500787484078
2,a,11.24,11.28,1,0.04,0.04,253.12183108059116,11.26,0.0600000000000005,0.8277765739355979
3,traveller,11.34,11.8,9,0.46,0.051111111111111114,241.73009534635725,11.57,0.08000000000000007,0.6442231003762032
4,from,11.88,12.06,4,0.18,0.045,232.95582617871136,11.97,0.03999999999999915,0.4956188812928947
5,an,12.1,12.16,2,0.06,0.03,221.08912285970237,12.13,0.0600000000000005,0.5147895765628675
6,antique,12.22,12.64,7,0.42,0.06,219.72785968068646,12.43,0.05999999999999872,0.36002793171889774
7,land,12.7,13.16,4,0.46,0.115,221.97642105999722,12.93,0.33999999999999986,0.42238852243678016
8,who,13.5,13.64,3,0.14,0.04666666666666667,244.74174207124193,13.57,0.09999999999999964,0.4064817040184629
9,said,13.74,14.06,4,0.32,0.08,222.18761776428073,13.9,0.33999999999999986,0.46044203490861596
10,two,14.4,14.6,3,0.2,0.06666666666666667,210.50374101326386,14.5,0.08000000000000007,0.5042983170258148
11,waste,14.68,15.1,5,0.42,0.08399999999999999,246.2152735887316,14.89,0.040000000000000924,0.45743450674193936
12,and,15.14,15.22,3,0.08,0.02666666666666667,220.89927115329175,15.18,0.05999999999999872,0.45946285535641956
13,trunkets,15.28,15.68,8,0.4,0.05,230.01177891297,15.48,0.0600000000000005,0.4898118744320741
14,legs,15.74,16.0,4,0.26,0.065,225.55250000146918,15.87,0.019999999999999574,0.5069068848476552
15,of,16.02,16.08,2,0.06,0.03,237.68333220679722,16.05,0.060000000000002274,0.4813118479652493
16,stone,16.14,16.66,5,0.52,0.10400000000000001,220.74196348553116,16.4,0.33999999999999986,0.46911220853396685
17,standing,17.0,17.46,8,0.46,0.0575,245.27170749651867,17.23,0.019999999999999574,0.6043096946242659
18,the,17.48,17.54,3,0.06,0.02,242.66030350611655,17.51,0.060000000000002274,0.4969700950568912
19,desert,17.6,18.16,6,0.56,0.09333333333333334,227.00170695505878,17.88,0.4800000000000004,0.4838601685340388
20,near,18.64,18.84,4,0.2,0.05,248.70581542108522,18.74,0.03999999999999915,0.7554602679122835
21,them,18.88,19.12,4,0.24,0.06,237.27686856051562,19.0,0.14000000000000057,0.5676830879680147
22,on,19.26,19.36,2,0.1,0.05,229.63540065647607,19.31,0.060000000000002274,0.4989788182693516
23,the,19.42,19.48,3,0.06,0.02,237.92467085590778,19.45,0.0799999999999983,0.3559142342304582
24,sand,19.56,20.04,4,0.48,0.12,218.31848627777785,19.8,0.46000000000000085,0.3885190073541288
25,half,20.5,20.8,4,0.3,0.075,233.18023328399195,20.65,0.0799999999999983,0.41477310869281825
26,sunk,20.88,21.28,4,0.4,0.1,211.7058678267962,21.08,0.0799999999999983,0.49666728278184596
27,a,21.36,21.44,1,0.08,0.08,166.6178687821213,21.4,0.05999999999999872,0.2188592109616852
28,shattered,21.5,21.96,9,0.46,0.051111111111111114,226.97142723646908,21.73,0.03999999999999915,0.4737841685060617
29,bessarch,22.0,22.5,8,0.5,0.0625,230.00586244414671,22.25,0.03999999999999915,0.5058682167538318
30,lies,22.54,23.02,4,0.48,0.12,215.72184290750403,22.78,0.35999999999999943,0.4887770974738299
31,whose,23.38,23.66,5,0.28,0.05600000000000001,245.45599405838917,23.52,0.05999999999999872,0.3755553847602392
32,frown,23.72,24.2,5,0.48,0.096,228.846375174457,23.96,0.620000000000001,0.411784937193509
33,and,24.82,25.0,3,0.18,0.06,265.6149195986528,24.91,0.03999999999999915,0.9280836772945832
34,wrinkled,25.04,25.44,8,0.4,0.05,259.07121561202206,25.24,0.13999999999999702,0.5474313437877205
35,lip,25.58,25.88,3,0.3,0.09999999999999999,185.4031784294863,25.73,0.120000000000001,0.3115009020168584
36,hence,26.0,26.3,5,0.3,0.06,228.71715681911058,26.15,0.019999999999999574,0.5213459298947916
37,near,26.32,26.56,4,0.24,0.06,222.6214811755722,26.44,0.019999999999999574,0.5184417526524916
38,of,26.58,26.66,2,0.08,0.04,233.7590152259545,26.62,0.0799999999999983,0.3202550167031765
39,cold,26.74,27.04,4,0.3,0.075,217.92263329738603,26.89,0.03999999999999915,0.5338290631269871
40,command,27.08,27.64,7,0.56,0.08,221.8668031660054,27.36,0.5999999999999979,0.38945407423808515
41,tell,28.24,28.5,4,0.26,0.065,217.65914298854858,28.37,0.0799999999999983,0.6235413908687847
42,that,28.58,28.72,4,0.14,0.035,221.60879503945435,28.65,0.0400000000000027,0.4853765450884182
43,its,28.76,28.92,3,0.16,0.05333333333333334,209.93353165905032,28.84,0.03999999999999915,0.5988869770231073
44,culture,28.96,29.42,7,0.46,0.06571428571428571,223.98341964548536,29.19,0.05999999999999872,0.40350377593828374
45,will,29.48,29.64,4,0.16,0.04,225.3567225477216,29.56,0.05999999999999872,0.3668794153485164
46,those,29.7,29.92,5,0.22,0.044,230.2332235577427,29.81,0.0799999999999983,0.48791309655342646
47,passions,30.0,30.48,8,0.48,0.06,217.2116857587382,30.24,0.05999999999999872,0.49046074598186823
48,red,30.54,30.86,3,0.32,0.10666666666666667,219.1785006136454,30.7,0.6000000000000014,0.31795894231093924
49,but,31.46,31.6,3,0.14,0.04666666666666667,219.68005150809228,31.53,0.03999999999999915,0.5408090234309562
50,she,31.64,31.74,3,0.1,0.03333333333333333,122.74383976643236,31.69,0.0400000000000027,0.7031904773101313
51,had,31.78,31.9,3,0.12,0.04,125.99615946991248,31.84,0.0400000000000027,0.3694397903882292
52,survive,31.94,32.58,7,0.64,0.09142857142857143,235.90425039333147,32.26,0.20000000000000284,0.5398518699805982
53,stamped,32.78,33.24,7,0.46,0.06571428571428571,231.993010501392,33.01,0.01999999999999602,0.6218402878006788
54,on,33.26,33.36,2,0.1,0.05,226.2713664258922,33.31,0.03999999999999915,0.5719439430038533
55,these,33.4,33.62,5,0.22,0.044,228.27460718015072,33.51,0.060000000000002274,0.5453672143742969
56,lifeless,33.68,34.14,8,0.46,0.0575,228.3382138899909,33.91,0.060000000000002274,0.4709169726703476
57,things,34.2,34.68,6,0.48,0.08,230.52317706881016,34.44,0.5799999999999983,0.4662458254826704
58,the,35.26,35.34,3,0.08,0.02666666666666667,255.6964141349131,35.3,0.0799999999999983,0.40412302922244087
59,hand,35.42,35.66,4,0.24,0.06,241.07203279873485,35.54,0.020000000000003126,0.6442471336545958
60,that,35.68,35.82,4,0.14,0.035,245.51144433462304,35.75,0.060000000000002274,0.3099632068278486
61,mocked,35.88,36.2,6,0.32,0.05333333333333334,217.00060066438058,36.04,0.0799999999999983,0.4360343544808057
62,them,36.28,36.54,4,0.26,0.065,212.5089542793031,36.41,0.17999999999999972,0.43538845386585645
63,and,36.72,36.84,3,0.12,0.04,235.8551405595368,36.78,0.01999999999999602,0.2878780838004649
64,the,36.86,36.92,3,0.06,0.02,231.01488615928355,36.89,0.05999999999999517,0.4608435134073161
65,heart,36.98,37.28,5,0.3,0.06,229.63770569181963,37.13,0.0799999999999983,0.3281424625615879
66,that,37.36,37.52,4,0.16,0.04,226.54476487505553,37.44,0.0799999999999983,0.2954206113227838
67,fed,37.6,37.92,3,0.32,0.10666666666666667,227.53857179203413,37.76,0.4799999999999969,0.30000949013841555
68,and,38.4,38.6,3,0.2,0.06666666666666667,270.19029099148486,38.5,0.03999999999999915,0.6544274657806527
69,on,38.64,38.74,2,0.1,0.05,256.5579241313226,38.69,0.03999999999999915,1.0
70,the,38.78,38.84,3,0.06,0.02,258.06945713264156,38.81,0.05999999999999517,0.5764968486808115
71,pedestal,38.9,39.46,8,0.56,0.07,243.99875668877473,39.18,0.03999999999999915,0.5595192180506856
72,lease,39.5,39.76,5,0.26,0.052000000000000005,224.61485666296622,39.63,0.03999999999999915,0.5477037087215068
73,words,39.8,40.08,5,0.28,0.05600000000000001,233.49007961570913,39.94,0.020000000000003126,0.4210642406416665
74,appear,40.1,40.54,6,0.44,0.07333333333333333,221.5888635921475,40.32,0.5399999999999991,0.2772113433915527
75,my,41.08,41.26,2,0.18,0.09,234.89577234262987,41.17,0.0800000000000054,0.6247805945080814
76,name,41.34,41.64,4,0.3,0.075,230.61797677442888,41.49,0.03999999999999915,0.49845250353566384
77,is,41.68,41.8,2,0.12,0.06,219.17455250696437,41.74,0.04000000000000625,0.6525658441799637
78,osimundia's,41.84,42.88,11,1.04,0.09454545454545454,216.40398620500528,42.36,0.1599999999999966,0.39241871305166953
79,king,43.04,43.36,4,0.32,0.08,224.58310433709903,43.2,0.020000000000003126,0.39895228898450535
80,of,43.38,43.48,2,0.1,0.05,219.43471296677868,43.43,0.060000000000002274,0.3410148535392454
81,kings,43.54,44.08,5,0.54,0.10800000000000001,212.30211388937843,43.81,0.8999999999999986,0.5794341614112142
82,look,44.98,45.18,4,0.2,0.05,226.47908254871925,45.08,0.03999999999999915,0.4372816864054322
83,on,45.22,45.36,2,0.14,0.07,260.5362225999995,45.29,0.060000000000002274,0.8924728478321227
84,my,45.42,45.54,2,0.12,0.06,260.22632694436066,45.48,0.0799999999999983,0.7967171343619068
85,works,45.62,46.04,5,0.42,0.08399999999999999,231.5764320186372,45.83,0.0799999999999983,0.39861727128563634
