,Word,Start,End,length,time_spent,std_time_spent,pitch,amplitude2,time,post_space,speed
0,i,10.88,10.98,1,0.1,0.1,,0.455392361,10.93,0.08000000000000007,10.0
1,made,11.06,11.22,4,0.16,0.04,,0.447141136,11.14,0.019999999999999574,25.0
2,a,11.24,11.28,1,0.04,0.04,,0.413736522,11.26,0.0600000000000005,25.0
3,traveller,11.34,11.8,9,0.46,0.051111111111111114,,0.34268136,11.57,0.08000000000000007,19.565217391304348
4,from,11.88,12.06,4,0.18,0.045,,0.284842074,11.97,0.03999999999999915,22.22222222222222
5,an,12.1,12.16,2,0.06,0.03,,0.244712576,12.129999999999999,0.0600000000000005,33.333333333333336
6,antique,12.22,12.64,7,0.42,0.06,,0.210774528,12.43,0.05999999999999872,16.666666666666668
7,land,12.7,13.16,4,0.46,0.115,,0.226976871,12.93,0.33999999999999986,8.695652173913043
8,who,13.5,13.64,3,0.14,0.04666666666666667,,0.280892015,13.57,0.09999999999999964,21.428571428571427
9,said,13.74,14.06,4,0.32,0.08,,0.267252633,13.9,0.33999999999999986,12.5
10,two,14.4,14.6,3,0.2,0.06666666666666667,,0.319957167,14.5,0.08000000000000007,15.0
11,waste,14.68,15.1,5,0.42,0.08399999999999999,,0.285713143,14.89,0.040000000000000924,11.904761904761905
12,and,15.14,15.22,3,0.08,0.02666666666666667,,0.249028126,15.18,0.05999999999999872,37.5
13,trunkets,15.28,15.68,8,0.4,0.05,,0.289591565,15.48,0.0600000000000005,20.0
14,legs,15.74,16.0,4,0.26,0.065,,0.287920912,15.870000000000001,0.019999999999999574,15.384615384615383
15,of,16.02,16.08,2,0.06,0.03,,0.255249739,16.049999999999997,0.060000000000002274,33.333333333333336
16,stone,16.14,16.66,5,0.52,0.10400000000000001,,0.25275575,16.4,0.33999999999999986,9.615384615384615
17,standing,17.0,17.46,8,0.46,0.0575,,0.33190539,17.23,0.019999999999999574,17.391304347826086
18,the,17.48,17.54,3,0.06,0.02,,0.252216776,17.509999999999998,0.060000000000002274,50.0
19,desert,17.6,18.16,6,0.56,0.09333333333333334,,0.261530285,17.880000000000003,0.4800000000000004,10.714285714285714
20,near,18.64,18.84,4,0.2,0.05,,0.391439968,18.740000000000002,0.03999999999999915,20.0
21,them,18.88,19.12,4,0.24,0.06,,0.280910254,19.0,0.14000000000000057,16.666666666666668
22,on,19.26,19.36,2,0.1,0.05,,0.270173997,19.310000000000002,0.060000000000002274,20.0
23,the,19.42,19.48,3,0.06,0.02,,0.228508711,19.450000000000003,0.0799999999999983,50.0
24,sand,19.56,20.04,4,0.48,0.12,,0.204059396,19.799999999999997,0.46000000000000085,8.333333333333334
25,half,20.5,20.8,4,0.3,0.075,,0.243783639,20.65,0.0799999999999983,13.333333333333334
26,sunk,20.88,21.28,4,0.4,0.1,,0.280225305,21.08,0.0799999999999983,10.0
27,a,21.36,21.44,1,0.08,0.08,,0.21277371,21.4,0.05999999999999872,12.5
28,shattered,21.5,21.96,9,0.46,0.051111111111111114,,0.274153566,21.73,0.03999999999999915,19.565217391304348
29,bessarch,22.0,22.5,8,0.5,0.0625,,0.300593104,22.25,0.03999999999999915,16.0
30,lies,22.54,23.02,4,0.48,0.12,,0.259285813,22.78,0.35999999999999943,8.333333333333334
31,whose,23.38,23.66,5,0.28,0.05600000000000001,,0.22699666,23.52,0.05999999999999872,17.857142857142854
32,frown,23.72,24.2,5,0.48,0.096,,0.214529423,23.96,0.620000000000001,10.416666666666668
33,and,24.82,25.0,3,0.18,0.06,,0.495375037,24.91,0.03999999999999915,16.666666666666668
34,wrinkled,25.04,25.44,8,0.4,0.05,,0.301045867,25.240000000000002,0.13999999999999702,20.0
35,lip,25.58,25.88,3,0.3,0.09999999999999999,,0.177246864,25.729999999999997,0.120000000000001,10.0
36,hence,26.0,26.3,5,0.3,0.06,,0.289702434,26.15,0.019999999999999574,16.666666666666668
37,near,26.32,26.56,4,0.24,0.06,,0.282470107,26.439999999999998,0.019999999999999574,16.666666666666668
38,of,26.58,26.66,2,0.08,0.04,,0.150907785,26.619999999999997,0.0799999999999983,25.0
39,cold,26.74,27.04,4,0.3,0.075,,0.336556178,26.89,0.03999999999999915,13.333333333333334
40,command,27.08,27.64,7,0.56,0.08,,0.205068866,27.36,0.5999999999999979,12.499999999999998
41,tell,28.24,28.5,4,0.26,0.065,,0.365312836,28.369999999999997,0.0799999999999983,15.384615384615383
42,that,28.58,28.72,4,0.14,0.035,,0.269056837,28.65,0.0400000000000027,28.57142857142857
43,its,28.76,28.92,3,0.16,0.05333333333333334,,0.359529972,28.840000000000003,0.03999999999999915,18.75
44,culture,28.96,29.42,7,0.46,0.06571428571428571,,0.242211914,29.19,0.05999999999999872,15.217391304347826
