,time,amplitude,pitch
0,0.0,,
1,0.01,,
2,0.02,,
3,0.03,,
4,0.04,,
5,0.05,,
6,0.06,,
7,0.07,,
8,0.08,,
9,0.09,,
10,0.1,,
11,0.11,,
12,0.12,,
13,0.13,,
14,0.14,,86.00780815245442
15,0.15,,87.61709396615485
16,0.16,,87.23841599494078
17,0.17,,87.52316940017398
18,0.18,,87.56110573550905
19,0.19,,87.5419582498994
20,0.2,,87.46787141972595
21,0.21,,87.36723765388112
22,0.22,,87.31009316739998
23,0.23,,87.33286309812985
24,0.24,,87.61124666443618
25,0.25,,87.19262862316398
26,0.26,,87.21374948173207
27,0.27,,87.54389129923374
28,0.28,,87.50222565828744
29,0.29,,87.50964324098558
30,0.3,,87.37574864749743
31,0.31,,87.36543838627398
32,0.32,,87.06918860203407
33,0.33,,87.54816457685712
34,0.34,,87.4913836021162
35,0.35000000000000003,,87.33292535246878
36,0.36,,87.48004886666418
37,0.37,,87.52354507212809
38,0.38,,87.73525524025062
39,0.39,,87.59165445672353
40,0.4,,87.12405231115281
41,0.41000000000000003,,87.2619776375996
42,0.42,,87.57487081377909
43,0.43,,86.92705754312057
44,0.44,,87.19981251737084
45,0.45,,87.1647449800332
46,0.46,,87.29280087591141
47,0.47000000000000003,,87.26891223940612
48,0.48,,88.23141666959458
49,0.49,0.11312524998521344,131.85190057946016
50,0.5,0.11976716140966505,131.73840553294832
51,0.51,0.121079844438534,129.9422135986792
52,0.52,0.12493584655363932,130.59148716670447
53,0.53,0.12871431098560338,129.8144641754827
54,0.54,0.12685415359083252,130.9740910077377
55,0.55,0.12035264889853751,131.5936816940026
56,0.56,0.11529945191900592,129.77475794986933
57,0.5700000000000001,0.1143500053683635,131.04358479526192
58,0.58,0.11363168360103354,130.4874177918836
59,0.59,0.10957189964791814,131.6124658104829
60,0.6,0.10322734224356195,130.58196614728084
61,0.61,,131.88445355695276
62,0.62,,129.58652001553736
63,0.63,,128.55406100604444
64,0.64,,132.75960145918938
65,0.65,,130.7325170292645
66,0.66,,133.95041478189378
67,0.67,,127.43981762209378
68,0.68,0.10557651250823569,131.00545884615036
69,0.6900000000000001,0.11251990501234527,131.34111097621258
70,0.7000000000000001,0.105601030291712,128.74451735863454
71,0.71,,132.91512443426234
72,0.72,,131.73470039144132
73,0.73,0.11800152152388392,133.33973492431903
74,0.74,0.14869768305306624,
75,0.75,0.13846184827868502,
76,0.76,0.10335878695334123,
77,0.77,,
78,0.78,0.12166922529777525,
79,0.79,0.16292074745951274,
80,0.8,0.19106826778755884,145.32644163860027
81,0.81,0.20596799930824794,146.22125789258547
82,0.8200000000000001,0.21220346893111153,146.82865546618794
83,0.8300000000000001,0.20909775220695745,146.20702612061234
84,0.84,0.1933569211985613,144.67010085562714
85,0.85,0.1706531233899839,126.52489024845856
86,0.86,0.15809134652889723,126.23681272843135
87,0.87,0.16682571265220067,124.95047007521329
88,0.88,0.18730625605017617,110.68965986657851
89,0.89,0.2072122589211969,110.79637917376029
90,0.9,0.2243687904441245,109.95477917332867
91,0.91,0.24136971210007344,110.39393494269109
92,0.92,0.25301039486293325,110.49736048069364
93,0.93,0.2449881914607961,109.77311169395992
94,0.9400000000000001,0.21317075287146373,110.06899249990406
95,0.9500000000000001,0.1833547781523411,110.34646600300047
96,0.96,0.18151653830367764,109.54412246663966
97,0.97,0.19629849682318093,110.72676861296267
98,0.98,0.20033441027912616,109.7748830967204
99,0.99,0.18705963300976167,110.58558891153109
100,1.0,0.1721176684847034,109.55973208944536
101,1.01,0.16681008572535302,111.10260962468433
102,1.02,0.16867208962283306,109.05524842638084
103,1.03,0.172964290935852,111.21154161452239
104,1.04,0.17413807514564725,110.79844512475344
105,1.05,0.16656416270808386,
106,1.06,0.15010722908292395,
107,1.07,0.12999315968396882,
108,1.08,0.11429612218794043,
109,1.09,0.11714812180916703,
110,1.1,0.14905372678888465,
111,1.11,0.19364490837294185,
112,1.12,0.22564547450201905,
113,1.1300000000000001,0.2399054457592924,
114,1.1400000000000001,0.24918027590165165,
115,1.1500000000000001,0.26009211457078807,
116,1.16,0.2650849854953909,
117,1.17,0.2590054578521217,
118,1.18,0.2593354438011392,
119,1.19,0.2886374053126789,
120,1.2,0.3281199908515366,
121,1.21,0.32559990264411137,
122,1.22,0.26437132790584117,
123,1.23,0.1973385586076252,
124,1.24,0.18136701354564866,
125,1.25,0.25444944214642745,
126,1.26,0.44038243319225717,
127,1.27,0.6424013384482059,
128,1.28,0.6754931290848925,
129,1.29,0.48775088129909827,
130,1.3,0.2626531945599523,
131,1.31,0.16639763745494232,
132,1.32,0.1853622584984942,
133,1.33,0.2566688760445298,
134,1.34,0.31975875698162737,
135,1.35,0.3165553716258752,
136,1.36,0.24679154729094707,
137,1.37,0.20195652425217114,
138,1.3800000000000001,0.24746215654474926,
139,1.3900000000000001,0.31271609228667274,
140,1.4000000000000001,0.30353959796394664,
141,1.41,0.23848461663954076,
142,1.42,0.20499016099336329,
143,1.43,0.2288474794324655,
144,1.44,0.24490034508481823,
145,1.45,0.20644403596741867,
146,1.46,0.1585854737317071,
147,1.47,0.16006241920815034,
148,1.48,0.20130394815660443,
149,1.49,0.23459956745506605,
150,1.5,0.23750899123089522,
151,1.51,0.22168148241701552,
152,1.52,0.19944514086496606,
153,1.53,0.177713512652028,
154,1.54,0.1619876477368064,
155,1.55,0.1549947979414405,
156,1.56,0.15792433676025594,
157,1.57,0.16850856179980309,
158,1.58,0.1803038705894806,
159,1.59,0.18736091413044975,
160,1.6,0.18591700615708717,
161,1.61,0.17433430243430018,
162,1.62,0.1644801401798694,
163,1.6300000000000001,0.1738729298685908,
164,1.6400000000000001,0.20028160199417971,
165,1.6500000000000001,0.21954733344780722,
166,1.6600000000000001,0.21634506303110118,
167,1.67,0.20186945110626445,
168,1.68,0.1925737961015684,
169,1.69,0.21122833437624766,
170,1.7,0.28124555343281543,
