,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,that's,0.18,0.42,6,0.24,0.04,25.0,0.9400000000000002
1,aussie,1.36,1.7,6,0.33999999999999986,0.05666666666666664,17.64705882352942,0.040000000000000036
2,mendius,1.74,2.36,7,0.6199999999999999,0.08857142857142855,11.290322580645164,0.30000000000000027
3,by,2.66,2.8,2,0.13999999999999968,0.06999999999999984,14.285714285714318,0.06000000000000005
4,persea,2.86,3.34,6,0.48,0.08,12.5,0.16000000000000014
5,by,3.5,3.66,2,0.16000000000000014,0.08000000000000007,12.49999999999999,0.08000000000000007
6,she,3.74,3.92,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.33999999999999986
7,shelley,4.26,4.7,7,0.4400000000000004,0.06285714285714292,15.909090909090896,2.0999999999999996
8,i,6.8,6.9,1,0.10000000000000053,0.10000000000000053,9.999999999999947,0.05999999999999961
9,met,6.96,7.12,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.040000000000000036
10,a,7.16,7.2,1,0.040000000000000036,0.040000000000000036,24.99999999999998,0.05999999999999961
11,traveler,7.26,7.8,8,0.54,0.0675,14.814814814814813,0.10000000000000053
12,from,7.9,8.06,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.019999999999999574
13,an,8.08,8.16,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.0600000000000005
14,antique,8.22,8.7,7,0.47999999999999865,0.06857142857142838,14.583333333333375,0.040000000000000924
15,land,8.74,9.24,4,0.5,0.125,8.0,0.41999999999999993
16,who,9.66,9.84,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.08000000000000007
17,said,9.92,10.32,4,0.40000000000000036,0.10000000000000009,9.999999999999991,0.8599999999999994
18,two,11.18,11.42,3,0.2400000000000002,0.08000000000000007,12.49999999999999,0.09999999999999964
19,vast,11.52,12.0,4,0.4800000000000004,0.1200000000000001,8.333333333333327,0.03999999999999915
20,and,12.04,12.12,3,0.08000000000000007,0.02666666666666669,37.499999999999964,0.08000000000000007
21,trunkless,12.2,12.7,9,0.5,0.05555555555555555,18.0,0.0600000000000005
22,legs,12.76,13.14,4,0.3800000000000008,0.0950000000000002,10.526315789473662,0.03999999999999915
23,of,13.18,13.26,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.0600000000000005
24,stone,13.32,13.8,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.05999999999999872
25,stand,13.86,14.26,5,0.40000000000000036,0.08000000000000007,12.49999999999999,0.019999999999999574
26,in,14.28,14.34,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.040000000000000924
27,the,14.38,14.42,3,0.03999999999999915,0.01333333333333305,75.0000000000016,0.0600000000000005
28,desert,14.48,14.96,6,0.4800000000000004,0.08000000000000007,12.49999999999999,1.4800000000000004
29,near,16.44,16.68,4,0.23999999999999844,0.05999999999999961,16.666666666666774,0.05999999999999872
30,them,16.74,17.0,4,0.26000000000000156,0.06500000000000039,15.384615384615293,0.3000000000000007
31,on,17.3,17.48,2,0.17999999999999972,0.08999999999999986,11.111111111111128,0.03999999999999915
32,the,17.52,17.58,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.08000000000000185
33,sand,17.66,18.12,4,0.46000000000000085,0.11500000000000021,8.695652173913027,0.0799999999999983
34,half,18.2,18.54,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.08000000000000185
35,sunker,18.62,19.02,6,0.3999999999999986,0.06666666666666643,15.000000000000053,0.05999999999999872
36,shattered,19.08,19.5,9,0.4200000000000017,0.046666666666666856,21.428571428571342,0.05999999999999872
37,visions,19.56,19.98,7,0.4200000000000017,0.06000000000000024,16.6666666666666,0.16000000000000014
38,lies,20.14,20.76,4,0.620000000000001,0.15500000000000025,6.451612903225796,0.33999999999999986
39,whose,21.1,21.38,5,0.2799999999999976,0.055999999999999515,17.85714285714301,0.060000000000002274
