,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,i,15.26,15.4,1,0.14000000000000057,0.14000000000000057,7.142857142857114,0.1399999999999988
1,met,15.54,15.78,3,0.2400000000000002,0.08000000000000007,12.49999999999999,0.040000000000000924
2,the,15.82,15.9,3,0.08000000000000007,0.02666666666666669,37.499999999999964,0.08000000000000007
3,traveler,15.98,16.6,8,0.620000000000001,0.07750000000000012,12.903225806451593,0.2799999999999976
4,from,16.88,17.04,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.03999999999999915
5,an,17.08,17.16,2,0.08000000000000185,0.040000000000000924,24.999999999999424,0.1999999999999993
6,antique,17.36,17.92,7,0.5600000000000023,0.08000000000000032,12.499999999999948,0.0799999999999983
7,land,18.0,18.48,4,0.4800000000000004,0.1200000000000001,8.333333333333327,0.5399999999999991
8,who,19.02,19.18,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.10000000000000142
9,said,19.28,19.6,4,0.3200000000000003,0.08000000000000007,12.49999999999999,1.139999999999997
10,too,20.74,20.92,3,0.18000000000000327,0.06000000000000109,16.666666666666362,0.1599999999999966
11,fast,21.08,21.62,4,0.5400000000000027,0.13500000000000068,7.40740740740737,0.0799999999999983
12,and,21.7,21.82,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.10000000000000142
13,trunkless,21.92,22.44,9,0.5199999999999996,0.057777777777777733,17.30769230769232,0.0799999999999983
14,legs,22.52,22.84,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.03999999999999915
15,of,22.88,22.96,2,0.08000000000000185,0.040000000000000924,24.999999999999424,0.0799999999999983
16,stone,23.04,23.52,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.3200000000000003
17,stand,23.84,24.36,5,0.5199999999999996,0.10399999999999991,9.615384615384624,0.019999999999999574
18,in,24.38,24.46,2,0.08000000000000185,0.040000000000000924,24.999999999999424,0.03999999999999915
19,the,24.5,24.56,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.060000000000002274
20,desert,24.62,25.12,6,0.5,0.08333333333333333,12.0,1.3399999999999999
21,near,26.46,26.7,4,0.23999999999999844,0.05999999999999961,16.666666666666774,0.08000000000000185
22,them,26.78,27.02,4,0.23999999999999844,0.05999999999999961,16.666666666666774,0.10000000000000142
23,on,27.12,27.26,2,0.14000000000000057,0.07000000000000028,14.285714285714228,0.03999999999999915
24,the,27.3,27.38,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.08000000000000185
25,sand,27.46,27.98,4,0.5199999999999996,0.1299999999999999,7.692307692307699,0.6799999999999997
26,half,28.66,28.94,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.17999999999999972
27,sunk,29.12,29.56,4,0.4399999999999977,0.10999999999999943,9.090909090909138,0.5600000000000023
28,a,30.12,30.22,1,0.09999999999999787,0.09999999999999787,10.000000000000213,0.08000000000000185
29,shattered,30.3,30.74,9,0.4399999999999977,0.048888888888888635,20.45454545454556,0.0400000000000027
30,visage,30.78,31.2,6,0.41999999999999815,0.06999999999999969,14.285714285714349,0.060000000000002274
31,lives,31.26,31.76,5,0.5,0.1,10.0,0.5399999999999956
32,whose,32.3,32.58,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.03999999999999915
33,frown,32.62,33.14,5,0.5200000000000031,0.10400000000000062,9.615384615384558,0.46000000000000085
34,and,33.6,33.74,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.05999999999999517
35,record,33.8,34.1,6,0.30000000000000426,0.05000000000000071,19.999999999999716,0.05999999999999517
36,lip,34.16,34.44,3,0.28000000000000114,0.09333333333333371,10.714285714285671,0.1600000000000037
37,and,34.6,34.74,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.05999999999999517
38,sneer,34.8,35.12,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.17999999999999972
39,cold,35.3,35.62,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.060000000000002274
40,command,35.68,36.28,7,0.6000000000000014,0.08571428571428592,11.66666666666664,0.8200000000000003
41,tell,37.1,37.36,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.0799999999999983
42,the,37.44,37.52,3,0.0800000000000054,0.026666666666668466,37.49999999999747,0.03999999999999915
43,disculture,37.56,38.44,10,0.8799999999999955,0.08799999999999955,11.363636363636422,0.0800000000000054
44,well,38.52,38.92,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.29999999999999716
45,those,39.22,39.46,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.0799999999999983
46,passions,39.54,40.06,8,0.5200000000000031,0.06500000000000039,15.384615384615293,0.05999999999999517
47,red,40.12,40.44,3,0.3200000000000003,0.10666666666666676,9.374999999999991,0.3400000000000034
48,which,40.78,40.98,5,0.19999999999999574,0.03999999999999915,25.000000000000533,0.0800000000000054
49,yet,41.06,41.22,3,0.1599999999999966,0.0533333333333322,18.7500000000004,0.03999999999999915
50,survive,41.26,41.88,7,0.6200000000000045,0.08857142857142922,11.290322580645078,0.7199999999999989
51,stamped,42.6,43.12,7,0.519999999999996,0.07428571428571372,13.461538461538565,0.060000000000002274
52,on,43.18,43.28,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.060000000000002274
