,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,the,1.14,1.14,3,0.0,0.0,inf,3.2,1.14
1,i,4.34,4.44,1,0.1000000000000005,0.1000000000000005,9.99999999999995,0.05999999999999961,4.390000000000001
2,made,4.5,4.66,4,0.1600000000000001,0.04000000000000002,24.999999999999986,0.019999999999999574,4.58
3,a,4.68,4.72,1,0.04,0.04,25.0,0.040000000000000036,4.699999999999999
4,travel,4.76,5.14,6,0.3799999999999999,0.06333333333333331,15.789473684210531,0.0,4.949999999999999
5,up,5.14,5.26,2,0.1200000000000001,0.06000000000000005,16.666666666666654,0.020000000000000462,5.199999999999999
6,on,5.28,5.34,2,0.0599999999999996,0.0299999999999998,33.333333333333556,0.040000000000000036,5.3100000000000005
7,an,5.38,5.44,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.05999999999999961,5.41
8,antique,5.5,5.96,7,0.4599999999999999,0.0657142857142857,15.21739130434783,0.040000000000000036,5.73
9,land,6.0,6.42,4,0.4199999999999999,0.10499999999999997,9.523809523809527,0.08000000000000007,6.21
10,who,6.5,6.62,3,0.1200000000000001,0.040000000000000036,24.99999999999998,0.05999999999999961,6.5600000000000005
11,said,6.68,6.98,4,0.3000000000000007,0.07500000000000018,13.333333333333302,0.6399999999999997,6.83
12,two,7.62,7.9,3,0.2800000000000002,0.0933333333333334,10.714285714285706,0.16000000000000014,7.76
13,vast,8.06,8.56,4,0.5,0.125,8.0,0.019999999999999574,8.31
14,and,8.58,8.68,3,0.0999999999999996,0.0333333333333332,30.00000000000012,0.08000000000000007,8.629999999999999
15,trunkless,8.76,9.22,9,0.4600000000000008,0.0511111111111112,19.565217391304316,0.03999999999999915,8.99
16,legs,9.26,9.5,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.019999999999999574,9.379999999999999
17,of,9.52,9.58,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.0600000000000005,9.55
18,stones,9.64,10.08,6,0.4399999999999995,0.07333333333333325,13.636363636363651,0.08000000000000007,9.86
19,stand,10.16,10.48,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.019999999999999574,10.32
20,in,10.5,10.56,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.019999999999999574,10.530000000000001
21,the,10.58,10.64,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.05999999999999872,10.61
22,desert,10.7,11.08,6,0.3800000000000008,0.06333333333333346,15.789473684210494,0.5999999999999996,10.89
23,near,11.68,11.88,4,0.200000000000001,0.05000000000000025,19.9999999999999,0.03999999999999915,11.780000000000001
24,them,11.92,12.1,4,0.1799999999999997,0.04499999999999992,22.22222222222226,0.08000000000000007,12.01
25,on,12.18,12.28,2,0.0999999999999996,0.0499999999999998,20.000000000000078,0.040000000000000924,12.23
26,the,12.32,12.38,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.05999999999999872,12.350000000000001
27,sand,12.44,12.92,4,0.4800000000000004,0.1200000000000001,8.333333333333327,0.33999999999999986,12.68
28,half,13.26,13.52,4,0.2599999999999998,0.06499999999999995,15.384615384615397,0.040000000000000924,13.39
29,sunk,13.56,13.96,4,0.4000000000000003,0.10000000000000007,9.999999999999993,0.41999999999999993,13.760000000000002
30,a,14.38,14.46,1,0.08,0.08,12.5,0.05999999999999872,14.420000000000002
31,shattered,14.52,14.86,9,0.3399999999999998,0.03777777777777776,26.470588235294134,0.040000000000000924,14.69
32,visit,14.9,15.18,5,0.2799999999999993,0.05599999999999986,17.8571428571429,0.08000000000000007,15.04
33,lives,15.26,15.78,5,0.5199999999999996,0.10399999999999991,9.615384615384624,0.41999999999999993,15.52
34,whose,16.2,16.44,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.03999999999999915,16.32
35,frown,16.48,17.0,5,0.5199999999999996,0.10399999999999991,9.615384615384624,0.05999999999999872,16.740000000000002
36,and,17.06,17.24,3,0.1799999999999997,0.059999999999999894,16.666666666666696,0.33999999999999986,17.15
37,wrinkled,17.58,18.0,8,0.4200000000000017,0.05250000000000021,19.04761904761897,0.03999999999999915,17.79
38,lip,18.04,18.3,3,0.2600000000000015,0.08666666666666717,11.53846153846147,0.03999999999999915,18.17
39,and,18.34,18.42,3,0.0800000000000018,0.02666666666666727,37.499999999999154,0.09999999999999787,18.380000000000003
40,sneer,18.52,19.02,5,0.5,0.1,10.0,0.03999999999999915,18.77
41,of,19.06,19.12,2,0.0600000000000022,0.0300000000000011,33.333333333332114,0.05999999999999872,19.09
42,cold,19.18,19.46,4,0.2800000000000011,0.07000000000000027,14.285714285714231,0.03999999999999915,19.32
43,command,19.5,20.06,7,0.5599999999999987,0.07999999999999982,12.500000000000028,0.4200000000000017,19.78
44,tell,20.48,20.74,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.060000000000002274,20.61
45,that,20.8,20.92,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.019999999999999574,20.86
46,it's,20.94,21.04,4,0.0999999999999978,0.02499999999999945,40.00000000000088,0.08000000000000185,20.990000000000002
47,sculptor,21.12,21.74,8,0.6199999999999974,0.07749999999999968,12.903225806451665,0.5200000000000031,21.43
48,well,22.26,22.56,4,0.2999999999999971,0.07499999999999928,13.333333333333462,0.060000000000002274,22.41
49,those,22.62,22.86,5,0.2399999999999984,0.04799999999999968,20.83333333333347,0.060000000000002274,22.740000000000002
50,passions,22.92,23.46,8,0.5399999999999991,0.0674999999999999,14.814814814814838,0.05999999999999872,23.19
51,read,23.52,23.78,4,0.2600000000000015,0.06500000000000038,15.384615384615296,0.019999999999999574,23.65
52,which,23.8,23.96,5,0.1600000000000001,0.032000000000000015,31.249999999999982,0.019999999999999574,23.880000000000003
53,yet,23.98,24.14,3,0.1600000000000001,0.053333333333333365,18.74999999999999,0.03999999999999915,24.060000000000002
54,survive,24.18,24.82,7,0.6400000000000006,0.09142857142857151,10.937499999999991,0.6400000000000006,24.5
55,stand,25.46,25.88,5,0.4199999999999981,0.08399999999999962,11.904761904761958,0.0400000000000027,25.67
56,on,25.92,26.04,2,0.1199999999999974,0.0599999999999987,16.666666666667027,0.03999999999999915,25.98
57,these,26.08,26.22,5,0.1400000000000005,0.0280000000000001,35.71428571428558,0.0400000000000027,26.15
58,lifeless,26.26,26.66,8,0.3999999999999986,0.04999999999999982,20.00000000000007,0.03999999999999915,26.46
59,things,26.7,27.18,6,0.4800000000000004,0.08000000000000007,12.49999999999999,0.740000000000002,26.939999999999998
60,a,27.92,28.02,1,0.0999999999999978,0.0999999999999978,10.00000000000022,0.08000000000000185,27.97
61,hand,28.1,28.5,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.10000000000000142,28.3
62,that,28.6,28.68,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.120000000000001,28.64
63,mocked,28.8,29.14,6,0.3399999999999998,0.056666666666666636,17.647058823529424,0.0799999999999983,28.97
64,them,29.22,29.42,4,0.2000000000000028,0.0500000000000007,19.999999999999723,0.6999999999999993,29.32
65,and,30.12,30.22,3,0.0999999999999978,0.0333333333333326,30.00000000000066,0.019999999999999574,30.17
66,the,30.24,30.3,3,0.0600000000000022,0.020000000000000732,49.99999999999817,0.0799999999999983,30.27
67,heart,30.38,30.78,5,0.4000000000000021,0.08000000000000042,12.499999999999934,0.09999999999999787,30.58
68,had,30.88,31.02,3,0.1400000000000005,0.046666666666666835,21.42857142857135,0.05999999999999872,30.95
69,fed,31.08,31.46,3,0.3800000000000025,0.1266666666666675,7.894736842105211,0.8800000000000026,31.27
70,and,32.34,32.48,3,0.1399999999999934,0.04666666666666447,21.428571428572436,0.060000000000002274,32.41
71,on,32.54,32.66,2,0.1199999999999974,0.0599999999999987,16.666666666667027,0.04000000000000625,32.599999999999994
72,the,32.7,32.76,3,0.0599999999999951,0.019999999999998366,50.000000000004086,0.060000000000002274,32.730000000000004
73,pedestal,32.82,33.48,8,0.6599999999999966,0.08249999999999957,12.121212121212183,0.5800000000000054,33.15
74,these,34.06,34.3,5,0.2399999999999948,0.04799999999999896,20.833333333333783,0.04000000000000625,34.18
75,words,34.34,34.7,5,0.3599999999999994,0.07199999999999987,13.888888888888912,0.03999999999999915,34.52
76,appear,34.74,35.16,6,0.4199999999999946,0.0699999999999991,14.28571428571447,0.8200000000000003,34.95
77,my,35.98,36.16,2,0.1799999999999997,0.08999999999999984,11.11111111111113,0.1600000000000037,36.06999999999999
78,name,36.32,36.68,4,0.3599999999999994,0.08999999999999984,11.11111111111113,0.020000000000003126,36.5
79,is,36.7,36.84,2,0.1400000000000005,0.07000000000000026,14.285714285714233,0.05999999999999517,36.77
80,audimendi,36.9,37.56,9,0.6600000000000037,0.07333333333333375,13.63636363636356,0.0799999999999983,37.230000000000004
81,asking,37.64,38.04,6,0.3999999999999986,0.06666666666666643,15.000000000000053,0.020000000000003126,37.84
82,up,38.06,38.2,2,0.1400000000000005,0.07000000000000026,14.285714285714233,0.03999999999999915,38.13
83,kings,38.24,38.78,5,0.5399999999999991,0.10799999999999983,9.259259259259274,0.8599999999999994,38.510000000000005
84,look,39.64,39.82,4,0.1799999999999997,0.04499999999999992,22.22222222222226,0.020000000000003126,39.730000000000004
85,on,39.84,39.96,2,0.1199999999999974,0.0599999999999987,16.666666666667027,0.03999999999999915,39.900000000000006
86,my,40.0,40.14,2,0.1400000000000005,0.07000000000000026,14.285714285714233,0.0799999999999983,40.07
87,work,40.22,40.58,4,0.3599999999999994,0.08999999999999984,11.11111111111113,0.060000000000002274,40.4
88,scheme,40.64,40.98,6,0.3399999999999963,0.05666666666666605,17.647058823529605,0.060000000000002274,40.81
89,mighty,41.04,41.42,6,0.3800000000000025,0.06333333333333376,15.789473684210423,0.5799999999999983,41.230000000000004
90,and,42.0,42.24,3,0.240000000000002,0.08000000000000067,12.499999999999897,0.14000000000000057,42.120000000000005
91,despair,42.38,42.98,7,0.5999999999999943,0.0857142857142849,11.666666666666778,1.6400000000000006,42.68
92,nothing,44.62,44.92,7,0.3000000000000042,0.04285714285714346,23.333333333333005,0.03999999999999915,44.769999999999996
93,beside,44.96,45.5,6,0.5399999999999991,0.08999999999999986,11.111111111111128,0.03999999999999915,45.230000000000004
94,remains,45.54,46.2,7,0.6600000000000037,0.09428571428571482,10.606060606060547,1.0999999999999943,45.870000000000005
95,round,47.3,47.74,5,0.4400000000000048,0.08800000000000095,11.36363636363624,0.05999999999999517,47.519999999999996
96,the,47.8,47.88,3,0.0800000000000054,0.026666666666668466,37.49999999999747,0.05999999999999517,47.84
97,decay,47.94,48.46,5,0.5200000000000031,0.10400000000000062,9.615384615384558,0.03999999999999915,48.2
98,of,48.5,48.58,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.060000000000002274,48.54
99,that,48.64,48.84,4,0.2000000000000028,0.0500000000000007,19.999999999999723,0.0799999999999983,48.74
100,colossal,48.92,49.82,8,0.8999999999999986,0.11249999999999982,8.888888888888903,0.1599999999999966,49.370000000000005
101,wreck,49.98,50.44,5,0.4600000000000008,0.09200000000000016,10.869565217391285,1.0399999999999991,50.209999999999994
102,bound,51.48,51.98,5,0.5,0.1,10.0,0.060000000000002274,51.73
103,listen,52.04,52.44,6,0.3999999999999986,0.06666666666666643,15.000000000000053,0.14000000000000057,52.239999999999995
104,there,52.58,52.9,5,0.3200000000000003,0.06400000000000006,15.624999999999986,1.0799999999999983,52.739999999999995
105,the,53.98,54.08,3,0.1000000000000014,0.0333333333333338,29.99999999999958,0.0799999999999983,54.03
106,loan,54.16,54.76,4,0.6000000000000014,0.15000000000000036,6.666666666666651,0.03999999999999915,54.459999999999994
107,and,54.8,54.9,3,0.1000000000000014,0.0333333333333338,29.99999999999958,0.10000000000000142,54.849999999999994
108,level,55.0,55.32,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.060000000000002274,55.16
109,sands,55.38,56.22,5,0.8399999999999963,0.16799999999999926,5.952380952380978,1.5,55.8
110,stretch,57.72,58.22,7,0.5,0.07142857142857142,14.0,0.10000000000000142,57.97
111,far,58.32,58.72,3,0.3999999999999986,0.13333333333333286,7.500000000000027,0.0799999999999983,58.519999999999996
112,away,58.8,59.22,4,0.4200000000000017,0.10500000000000043,9.523809523809485,0.0,59.01
