,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,was,0.3,0.48,3,0.18,0.06,16.666666666666668,0.040000000000000036
1,amanda's,0.52,1.1,8,0.5800000000000001,0.07250000000000001,13.793103448275861,0.17999999999999994
2,by,1.28,1.42,2,0.1399999999999999,0.06999999999999995,14.285714285714295,0.040000000000000036
3,persebas,1.46,2.06,8,0.6000000000000001,0.07500000000000001,13.333333333333332,0.06000000000000005
4,shelley,2.12,2.52,7,0.3999999999999999,0.05714285714285713,17.500000000000004,3.86
5,i,6.38,6.46,1,0.08000000000000007,0.08000000000000007,12.49999999999999,0.05999999999999961
6,met,6.52,6.66,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.040000000000000036
7,a,6.7,6.72,1,0.019999999999999574,0.019999999999999574,50.000000000001066,0.0600000000000005
8,traveller,6.78,7.12,9,0.33999999999999986,0.037777777777777764,26.47058823529413,0.019999999999999574
9,from,7.14,7.28,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.019999999999999574
10,an,7.3,7.38,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.040000000000000036
11,antique,7.42,7.92,7,0.5,0.07142857142857142,14.0,0.040000000000000036
12,land,7.96,8.42,4,0.45999999999999996,0.11499999999999999,8.695652173913045,0.14000000000000057
13,who,8.56,8.68,3,0.11999999999999922,0.03999999999999974,25.000000000000163,0.0600000000000005
14,said,8.74,8.98,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.9399999999999995
15,two,9.92,10.14,3,0.22000000000000064,0.07333333333333354,13.636363636363598,0.09999999999999964
16,vast,10.24,10.78,4,0.5399999999999991,0.1349999999999998,7.407407407407419,0.0600000000000005
17,and,10.84,10.96,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.09999999999999964
18,trunkless,11.06,11.52,9,0.4599999999999991,0.05111111111111101,19.565217391304387,0.040000000000000924
19,legs,11.56,11.82,4,0.2599999999999998,0.06499999999999995,15.384615384615397,0.019999999999999574
20,of,11.84,11.92,2,0.08000000000000007,0.040000000000000036,24.99999999999998,0.08000000000000007
21,stone,12.0,12.52,5,0.5199999999999996,0.10399999999999991,9.615384615384624,0.040000000000000924
22,stand,12.56,12.92,5,0.35999999999999943,0.07199999999999988,13.88888888888891,0.040000000000000924
23,in,12.96,13.02,2,0.05999999999999872,0.02999999999999936,33.333333333334046,0.0600000000000005
24,the,13.08,13.14,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.05999999999999872
25,desert,13.2,13.58,6,0.3800000000000008,0.06333333333333346,15.789473684210494,0.5600000000000005
26,near,14.14,14.38,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.03999999999999915
27,them,14.42,14.6,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.08000000000000007
28,on,14.68,14.78,2,0.09999999999999964,0.04999999999999982,20.00000000000007,0.040000000000000924
29,the,14.82,14.88,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.05999999999999872
30,sand,14.94,15.36,4,0.41999999999999993,0.10499999999999998,9.523809523809526,0.2599999999999998
31,half,15.62,15.86,4,0.2400000000000002,0.06000000000000005,16.666666666666654,0.040000000000000924
32,sunk,15.9,16.26,4,0.3600000000000012,0.0900000000000003,11.111111111111073,0.5799999999999983
33,a,16.84,16.94,1,0.10000000000000142,0.10000000000000142,9.999999999999858,0.05999999999999872
34,shattered,17.0,17.42,9,0.4200000000000017,0.046666666666666856,21.428571428571342,0.05999999999999872
35,visage,17.48,17.88,6,0.3999999999999986,0.06666666666666643,15.000000000000053,0.0400000000000027
36,lies,17.92,18.32,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.6999999999999993
37,whose,19.02,19.26,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.03999999999999915
38,frown,19.3,19.78,5,0.4800000000000004,0.09600000000000009,10.416666666666657,0.0799999999999983
39,and,19.86,19.98,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.05999999999999872
40,wrinkled,20.04,20.34,8,0.3000000000000007,0.03750000000000009,26.666666666666604,0.10000000000000142
41,lip,20.44,20.72,3,0.2799999999999976,0.09333333333333253,10.714285714285806,0.10000000000000142
42,and,20.82,20.94,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.0799999999999983
43,sneer,21.02,21.34,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.03999999999999915
44,of,21.38,21.44,2,0.060000000000002274,0.030000000000001137,33.33333333333207,0.03999999999999915
45,cold,21.48,21.76,4,0.28000000000000114,0.07000000000000028,14.285714285714228,0.03999999999999915
46,command,21.8,22.3,7,0.5,0.07142857142857142,14.0,0.5599999999999987
47,tell,22.86,23.1,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.019999999999999574
48,that,23.12,23.26,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.019999999999999574
49,it,23.28,23.38,2,0.09999999999999787,0.049999999999998934,20.000000000000426,0.060000000000002274
50,sculptor,23.44,24.0,8,0.5599999999999987,0.06999999999999984,14.285714285714318,0.0799999999999983
51,well,24.08,24.34,4,0.26000000000000156,0.06500000000000039,15.384615384615293,0.03999999999999915
52,those,24.38,24.58,5,0.1999999999999993,0.039999999999999855,25.00000000000009,0.0400000000000027
53,passions,24.62,25.04,8,0.41999999999999815,0.05249999999999977,19.047619047619133,0.03999999999999915
54,red,25.08,25.36,3,0.28000000000000114,0.09333333333333371,10.714285714285671,0.120000000000001
55,which,25.48,25.68,5,0.1999999999999993,0.039999999999999855,25.00000000000009,0.120000000000001
56,yet,25.8,26.04,3,0.23999999999999844,0.07999999999999947,12.500000000000082,0.08000000000000185
57,survive,26.12,26.68,7,0.5599999999999987,0.07999999999999982,12.500000000000028,0.35999999999999943
58,stamped,27.04,27.48,7,0.4400000000000013,0.06285714285714304,15.909090909090862,0.03999999999999915
59,on,27.52,27.6,2,0.08000000000000185,0.040000000000000924,24.999999999999424,0.05999999999999872
60,these,27.66,27.88,5,0.21999999999999886,0.043999999999999775,22.727272727272844,0.0400000000000027
61,lifeless,27.92,28.38,8,0.4599999999999973,0.05749999999999966,17.39130434782619,0.060000000000002274
62,things,28.44,28.82,6,0.379999999999999,0.06333333333333317,15.789473684210568,0.6999999999999993
63,the,29.52,29.62,3,0.10000000000000142,0.033333333333333805,29.999999999999574,0.0799999999999983
64,hand,29.7,30.06,4,0.35999999999999943,0.08999999999999986,11.111111111111128,0.08000000000000185
65,that,30.14,30.26,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.0799999999999983
66,mocked,30.34,30.66,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.03999999999999915
67,them,30.7,30.88,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.3200000000000003
68,and,31.2,31.32,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.03999999999999915
69,the,31.36,31.44,3,0.08000000000000185,0.026666666666667282,37.49999999999913,0.05999999999999872
70,heart,31.5,31.84,5,0.33999999999999986,0.06799999999999998,14.705882352941183,0.05999999999999872
71,that,31.9,32.06,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.03999999999999915
72,fed,32.1,32.44,3,0.3399999999999963,0.1133333333333321,8.823529411764802,1.8000000000000043
73,and,34.24,34.38,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.03999999999999915
74,on,34.42,34.5,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.03999999999999915
75,the,34.54,34.6,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.03999999999999915
76,pedestal,34.64,35.08,8,0.4399999999999977,0.054999999999999716,18.181818181818276,0.03999999999999915
77,these,35.12,35.32,5,0.20000000000000284,0.04000000000000057,24.999999999999645,0.03999999999999915
78,words,35.36,35.66,5,0.29999999999999716,0.05999999999999943,16.666666666666824,0.04000000000000625
79,appear,35.7,36.08,6,0.37999999999999545,0.06333333333333258,15.789473684210716,1.3800000000000026
80,my,37.46,37.58,2,0.11999999999999744,0.05999999999999872,16.666666666667023,0.0799999999999983
81,name,37.66,37.92,4,0.2600000000000051,0.06500000000000128,15.384615384615081,0.01999999999999602
82,is,37.94,38.04,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.060000000000002274
83,osimandeus,38.1,38.88,10,0.7800000000000011,0.07800000000000011,12.820512820512802,0.21999999999999886
84,king,39.1,39.42,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.03999999999999915
85,of,39.46,39.56,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.05999999999999517
86,kings,39.62,40.1,5,0.480000000000004,0.09600000000000079,10.41666666666658,0.9200000000000017
87,look,41.02,41.26,4,0.23999999999999488,0.05999999999999872,16.666666666667023,0.10000000000000142
88,on,41.36,41.48,2,0.11999999999999744,0.05999999999999872,16.666666666667023,0.060000000000002274
89,my,41.54,41.68,2,0.14000000000000057,0.07000000000000028,14.285714285714228,0.0799999999999983
90,works,41.76,42.24,5,0.480000000000004,0.09600000000000079,10.41666666666658,0.19999999999999574
91,yem,42.44,42.72,3,0.28000000000000114,0.09333333333333371,10.714285714285671,0.020000000000003126
92,mighty,42.74,43.12,6,0.37999999999999545,0.06333333333333258,15.789473684210716,0.5200000000000031
93,and,43.64,43.84,3,0.20000000000000284,0.06666666666666761,14.999999999999787,0.11999999999999744
94,despair,43.96,44.54,7,0.5799999999999983,0.08285714285714262,12.068965517241415,2.1400000000000006
95,nothing,46.68,46.98,7,0.29999999999999716,0.04285714285714245,23.333333333333556,0.04000000000000625
96,beside,47.02,47.42,6,0.3999999999999986,0.06666666666666643,15.000000000000053,0.03999999999999915
97,remains,47.46,48.04,7,0.5799999999999983,0.08285714285714262,12.068965517241415,1.1199999999999974
98,round,49.16,49.44,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.03999999999999915
99,the,49.48,49.54,3,0.060000000000002274,0.020000000000000757,49.9999999999981,0.03999999999999915
100,decay,49.58,50.04,5,0.46000000000000085,0.09200000000000016,10.869565217391283,0.060000000000002274
101,of,50.1,50.18,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.03999999999999915
102,that,50.22,50.4,4,0.17999999999999972,0.04499999999999993,22.222222222222257,0.060000000000002274
103,colossal,50.46,50.94,8,0.4799999999999969,0.05999999999999961,16.666666666666774,0.03999999999999915
104,wreck,50.98,51.36,5,0.38000000000000256,0.07600000000000051,13.157894736842017,0.3200000000000003
105,boundless,51.68,52.26,9,0.5799999999999983,0.06444444444444425,15.51724137931039,0.060000000000002274
106,and,52.32,52.46,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.0799999999999983
107,bear,52.54,52.92,4,0.38000000000000256,0.09500000000000064,10.526315789473614,0.7199999999999989
108,balone,53.64,54.2,6,0.5600000000000023,0.09333333333333371,10.714285714285671,0.0
109,and,54.2,54.3,3,0.09999999999999432,0.03333333333333144,30.000000000001705,0.0800000000000054
110,level,54.38,54.62,5,0.23999999999999488,0.047999999999998974,20.833333333333776,0.0800000000000054
111,sands,54.7,55.24,5,0.5399999999999991,0.10799999999999983,9.259259259259274,0.11999999999999744
112,stretch,55.36,55.8,7,0.4399999999999977,0.06285714285714253,15.909090909090992,0.10000000000000142
113,far,55.9,56.2,3,0.30000000000000426,0.10000000000000142,9.999999999999858,0.05999999999999517
114,away,56.26,56.66,4,0.3999999999999986,0.09999999999999964,10.000000000000036,
