,Word,Start,End,length,time_spent,std_time_spent,post_space
0,yeah,1.16,1.16,4,0.0,0.0,0.76
1,yeah,1.92,1.92,4,0.0,0.0,1.08
2,i,3.0,3.0,1,0.0,0.0,4.16
3,well,7.16,7.32,4,0.16000000000000014,0.040000000000000036,4.699999999999999
4,the,12.02,12.02,3,0.0,0.0,2.3000000000000007
5,imagine,14.32,14.72,7,0.40000000000000036,0.0571428571428572,0.05999999999999872
6,for,14.78,14.88,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
7,a,14.92,14.94,1,0.019999999999999574,0.019999999999999574,0.040000000000000924
8,moment,14.98,15.3,6,0.3200000000000003,0.05333333333333338,1.3000000000000007
9,the,16.6,16.66,3,0.05999999999999872,0.019999999999999574,0.03999999999999915
10,worst,16.7,16.9,5,0.1999999999999993,0.039999999999999855,0.020000000000003126
11,car,16.92,17.08,3,0.1599999999999966,0.0533333333333322,0.060000000000002274
12,crashed,17.14,17.54,7,0.3999999999999986,0.05714285714285694,0.9000000000000021
13,our,18.44,18.54,3,0.09999999999999787,0.033333333333332625,0.03999999999999915
14,accident,18.58,18.92,8,0.3400000000000034,0.042500000000000426,0.019999999999999574
15,did,18.94,19.08,3,0.13999999999999702,0.04666666666666567,0.020000000000003126
16,you,19.1,19.18,3,0.0799999999999983,0.0266666666666661,0.03999999999999915
17,ever,19.22,19.4,4,0.17999999999999972,0.04499999999999993,0.14000000000000057
18,seen,19.54,19.8,4,0.26000000000000156,0.06500000000000039,0.0799999999999983
19,or,19.88,19.96,2,0.08000000000000185,0.040000000000000924,0.05999999999999872
20,heard,20.02,20.16,5,0.14000000000000057,0.028000000000000115,0.0
21,about,20.16,20.42,5,0.26000000000000156,0.05200000000000031,0.6999999999999993
22,imagine,21.12,21.5,7,0.379999999999999,0.054285714285714146,0.0
23,the,21.5,21.56,3,0.05999999999999872,0.019999999999999574,0.060000000000002274
24,smoke,21.62,22.06,5,0.4399999999999977,0.08799999999999955,1.4600000000000009
25,the,23.52,23.6,3,0.08000000000000185,0.026666666666667282,0.05999999999999872
26,skid,23.66,23.9,4,0.23999999999999844,0.05999999999999961,0.020000000000003126
27,marks,23.92,24.26,5,0.33999999999999986,0.06799999999999998,0.0799999999999983
28,the,24.34,24.4,3,0.05999999999999872,0.019999999999999574,0.0400000000000027
29,glass,24.44,24.96,5,0.5199999999999996,0.10399999999999991,0.14000000000000057
30,strong,25.1,25.34,6,0.23999999999999844,0.03999999999999974,0.019999999999999574
31,about,25.36,25.58,5,0.21999999999999886,0.043999999999999775,0.020000000000003126
32,the,25.6,25.66,3,0.05999999999999872,0.019999999999999574,0.03999999999999915
33,highway,25.7,26.1,7,0.40000000000000213,0.057142857142857446,0.879999999999999
34,the,26.98,27.04,3,0.05999999999999872,0.019999999999999574,0.060000000000002274
35,metal,27.1,27.44,5,0.33999999999999986,0.06799999999999998,0.259999999999998
36,from,27.7,27.84,4,0.14000000000000057,0.03500000000000014,0.019999999999999574
37,the,27.86,27.92,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
38,car,27.96,28.28,3,0.3200000000000003,0.10666666666666676,1.0599999999999987
39,twisted,29.34,29.78,7,0.4400000000000013,0.06285714285714304,0.019999999999999574
40,and,29.8,29.86,3,0.05999999999999872,0.019999999999999574,0.060000000000002274
41,torn,29.92,30.28,4,0.35999999999999943,0.08999999999999986,0.7199999999999989
42,screams,31.0,31.4,7,0.3999999999999986,0.05714285714285694,0.020000000000003126
43,of,31.42,31.48,2,0.05999999999999872,0.02999999999999936,0.019999999999999574
44,the,31.5,31.56,3,0.05999999999999872,0.019999999999999574,0.0400000000000027
45,victims,31.6,32.04,7,0.4399999999999977,0.06285714285714253,0.060000000000002274
46,may,32.1,32.18,3,0.0799999999999983,0.0266666666666661,0.060000000000002274
47,be,32.24,32.3,2,0.05999999999999517,0.029999999999997584,0.04000000000000625
48,a,32.34,32.36,1,0.01999999999999602,0.01999999999999602,0.03999999999999915
49,little,32.4,32.56,6,0.1600000000000037,0.026666666666667282,0.03999999999999915
50,bit,32.6,32.72,3,0.11999999999999744,0.03999999999999915,0.020000000000003126
51,of,32.74,32.78,2,0.03999999999999915,0.019999999999999574,0.03999999999999915
52,blood,32.82,33.16,5,0.3399999999999963,0.06799999999999926,0.6200000000000045
53,often,33.78,34.04,5,0.259999999999998,0.0519999999999996,0.020000000000003126
54,the,34.06,34.1,3,0.03999999999999915,0.01333333333333305,0.05999999999999517
55,distance,34.16,34.64,8,0.480000000000004,0.0600000000000005,0.4799999999999969
56,asyrum,35.12,35.68,6,0.5600000000000023,0.09333333333333371,0.5200000000000031
57,approaching,36.2,36.72,11,0.519999999999996,0.04727272727272691,0.1600000000000037
58,as,36.88,37.04,2,0.1599999999999966,0.0799999999999983,0.03999999999999915
59,it,37.08,37.26,2,0.17999999999999972,0.08999999999999986,1.1200000000000045
60,response,38.38,38.82,8,0.4399999999999977,0.054999999999999716,0.0
61,to,38.82,38.86,2,0.03999999999999915,0.019999999999999574,0.03999999999999915
62,the,38.9,38.96,3,0.060000000000002274,0.020000000000000757,0.060000000000002274
63,accident,39.02,39.4,8,0.37999999999999545,0.04749999999999943,0.12000000000000455
64,by,39.52,39.66,2,0.13999999999999346,0.06999999999999673,0.060000000000002274
65,standards,39.72,40.06,9,0.3400000000000034,0.03777777777777816,0.03999999999999915
66,running,40.1,40.36,7,0.259999999999998,0.03714285714285686,0.020000000000003126
67,up,40.38,40.5,2,0.11999999999999744,0.05999999999999872,0.03999999999999915
68,to,40.54,40.6,2,0.060000000000002274,0.030000000000001137,0.05999999999999517
69,assist,40.66,41.08,6,0.4200000000000017,0.07000000000000028,2.980000000000004
70,moment,44.06,44.32,6,0.259999999999998,0.043333333333333,0.03999999999999915
71,later,44.36,44.6,5,0.240000000000002,0.048000000000000397,0.03999999999999915
72,you,44.64,44.7,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
73,hear,44.74,44.84,4,0.10000000000000142,0.025000000000000355,0.03999999999999915
74,there's,44.88,45.02,7,0.14000000000000057,0.02000000000000008,0.03999999999999915
75,fatalities,45.06,45.64,10,0.5799999999999983,0.05799999999999983,0.03999999999999915
76,involved,45.68,46.1,8,0.4200000000000017,0.05250000000000021,0.0799999999999983
77,a,46.18,46.22,1,0.03999999999999915,0.03999999999999915,0.060000000000002274
78,mother,46.28,46.54,6,0.259999999999998,0.043333333333333,0.03999999999999915
79,or,46.58,46.62,2,0.03999999999999915,0.019999999999999574,0.060000000000002274
80,father,46.68,47.08,6,0.3999999999999986,0.06666666666666643,0.480000000000004
81,and,47.56,47.64,3,0.0799999999999983,0.0266666666666661,0.01999999999999602
82,a,47.66,47.7,1,0.04000000000000625,0.04000000000000625,0.05999999999999517
83,child,47.76,48.16,5,0.3999999999999986,0.07999999999999971,1.4400000000000048
84,this,49.6,49.74,4,0.14000000000000057,0.03500000000000014,0.01999999999999602
85,is,49.76,49.86,2,0.10000000000000142,0.05000000000000071,0.0
86,a,49.86,49.9,1,0.03999999999999915,0.03999999999999915,0.060000000000002274
87,problem,49.96,50.32,7,0.35999999999999943,0.051428571428571344,0.020000000000003126
88,in,50.34,50.4,2,0.05999999999999517,0.029999999999997584,0.020000000000003126
89,america,50.42,50.86,7,0.4399999999999977,0.06285714285714253,0.1600000000000037
