,Word,Start,End,length,time_spent,std_time_spent,post_space
0,the,5.38,5.38,3,0.0,0.0,2.1799999999999997
1,the,7.56,7.56,3,0.0,0.0,2.1000000000000005
2,the,9.66,9.66,3,0.0,0.0,1.6199999999999992
3,the,11.28,11.28,3,0.0,0.0,1.1600000000000001
4,it's,12.44,12.58,4,0.14000000000000057,0.03500000000000014,0.0600000000000005
5,six,12.64,12.84,3,0.1999999999999993,0.06666666666666643,0.019999999999999574
6,o'clock,12.86,13.22,7,0.3600000000000012,0.0514285714285716,0.019999999999999574
7,in,13.24,13.28,2,0.03999999999999915,0.019999999999999574,0.02000000000000135
8,the,13.3,13.36,3,0.05999999999999872,0.019999999999999574,0.040000000000000924
9,morning,13.4,13.78,7,0.379999999999999,0.054285714285714146,0.8800000000000008
10,pitch,14.66,14.92,5,0.2599999999999998,0.051999999999999956,0.040000000000000924
11,black,14.96,15.2,5,0.23999999999999844,0.04799999999999969,0.02000000000000135
12,outside,15.22,15.74,7,0.5199999999999996,0.07428571428571422,0.9799999999999986
13,my,16.72,16.84,2,0.120000000000001,0.0600000000000005,0.08000000000000185
14,fourteen,16.92,17.28,8,0.35999999999999943,0.04499999999999993,0.019999999999999574
15,year,17.3,17.4,4,0.09999999999999787,0.024999999999999467,0.0
16,old,17.4,17.52,3,0.120000000000001,0.040000000000000334,0.03999999999999915
17,son,17.56,17.8,3,0.240000000000002,0.08000000000000067,0.03999999999999915
18,is,17.84,17.94,2,0.10000000000000142,0.05000000000000071,0.05999999999999872
19,fast,18.0,18.32,4,0.3200000000000003,0.08000000000000007,0.03999999999999915
20,asleep,18.36,18.72,6,0.35999999999999943,0.05999999999999991,0.019999999999999574
21,in,18.74,18.8,2,0.060000000000002274,0.030000000000001137,0.019999999999999574
22,his,18.82,18.94,3,0.120000000000001,0.040000000000000334,0.03999999999999915
23,bed,18.98,19.32,3,0.33999999999999986,0.11333333333333329,0.6999999999999993
24,sleeping,20.02,20.4,8,0.379999999999999,0.047499999999999876,0.020000000000003126
25,the,20.42,20.5,3,0.0799999999999983,0.0266666666666661,0.0799999999999983
26,reckless,20.58,21.18,8,0.6000000000000014,0.07500000000000018,0.26000000000000156
27,deep,21.44,21.7,4,0.259999999999998,0.0649999999999995,0.060000000000002274
28,sleep,21.76,22.1,5,0.33999999999999986,0.06799999999999998,0.03999999999999915
29,of,22.14,22.2,2,0.05999999999999872,0.02999999999999936,0.019999999999999574
30,a,22.22,22.26,1,0.0400000000000027,0.0400000000000027,0.05999999999999872
31,teenager,22.32,22.84,8,0.5199999999999996,0.06499999999999995,1.1999999999999993
32,i,24.04,24.14,1,0.10000000000000142,0.10000000000000142,0.05999999999999872
33,flip,24.2,24.42,4,0.22000000000000242,0.055000000000000604,0.03999999999999915
34,on,24.46,24.52,2,0.05999999999999872,0.02999999999999936,0.03999999999999915
35,the,24.56,24.62,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
36,light,24.66,24.98,5,0.3200000000000003,0.06400000000000006,0.5
37,and,25.48,25.62,3,0.14000000000000057,0.046666666666666856,0.14000000000000057
38,physically,25.76,26.24,10,0.4799999999999969,0.04799999999999969,0.060000000000002274
39,shake,26.3,26.54,5,0.23999999999999844,0.04799999999999969,0.03999999999999915
40,the,26.58,26.62,3,0.0400000000000027,0.013333333333334233,0.03999999999999915
41,poor,26.66,26.82,4,0.16000000000000014,0.040000000000000036,0.019999999999999574
