Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,so,0.88,1.06,0.18,1.06,0,2,0.22935779816516555,0.2330339496597078
1,i'll,2.12,2.26,0.1399999999999996,0.3200000000000003,1,4,0.07798165137616703,0.11225165045868057
2,illustrate,2.58,3.04,0.4599999999999999,0.1,1,10,0.10825688073396694,0.16399425779658308
3,this,3.14,3.34,0.1999999999999997,0.08,1,4,0.11926605504589391,0.12786975391149114
4,by,3.42,3.56,0.1400000000000001,0.2999999999999998,1,2,0.17431192660552997,0.22439004809536212
5,imagining,3.86,4.36,0.5000000000000004,0.0,1,9,0.13455657492357082,0.14236211933548587
6,a,4.36,4.42,0.0599999999999996,0.1200000000000001,1,1,0.14678899082571087,0.034669147464892684
7,question,4.54,4.88,0.3399999999999998,0.0600000000000005,1,8,0.09862385321103065,0.052489557013653654
8,you,4.94,5.0,0.0599999999999996,0.0599999999999996,1,3,0.03669724770644015,0.03435695686531056
9,might,5.06,5.16,0.1000000000000005,0.0599999999999996,1,5,0.03669724770644079,0.10315996281590421
10,ask,5.22,5.52,0.2999999999999998,0.0200000000000004,1,3,0.25688073394498323,0.15640648369889215
11,of,5.54,5.6,0.0599999999999996,0.04,1,2,0.06422018348625783,0.07444562937226071
12,an,5.64,5.7,0.0600000000000005,0.04,1,2,0.06422018348625906,0.06614905674338083
13,image,5.74,5.98,0.2400000000000002,0.0399999999999991,1,5,0.11376146788993063,0.034541258893589236
14,class,6.02,6.3,0.2800000000000002,0.0600000000000005,1,5,0.1357798165137849,0.030678040579821916
15,fire,6.36,6.66,0.2999999999999998,0.3200000000000003,1,4,0.18807339449543864,0.024869584051617575
16,let's,6.98,7.18,0.1999999999999993,0.0200000000000004,1,5,0.09174311926607583,0.19373968600742217
17,say,7.2,7.4,0.2000000000000001,0.1599999999999992,1,3,0.16513761467892393,0.2831543222445849
18,it,7.56,7.74,0.1800000000000006,0.0999999999999996,1,2,0.22935779816516638,0.08854428281492127
19,looks,7.84,8.0,0.1600000000000001,0.0199999999999995,1,5,0.06972477064222199,0.056870136880264585
20,at,8.02,8.08,0.0600000000000005,0.0,1,2,0.06422018348625906,0.08862639272415859
21,a,8.08,8.12,0.0399999999999991,0.0400000000000009,1,1,0.09174311926607377,0.130566158407361
22,picture,8.16,8.42,0.2599999999999998,0.0,1,7,0.08387942332898533,0.05516665137120663
23,of,8.42,8.46,0.0400000000000009,0.0599999999999987,1,2,0.036697247706441755,0.11053783242461979
