,Word,Start,End,length,time_spent,std_time_spent,post_space
0,the,0.44,0.44,3,0.0,0.0,2.92
1,i'm,3.36,3.48,3,0.1200000000000001,0.040000000000000036,0.040000000000000036
2,worried,3.52,3.86,7,0.33999999999999986,0.04857142857142855,0.020000000000000018
3,about,3.88,4.18,5,0.2999999999999998,0.05999999999999996,0.2600000000000007
4,the,4.44,4.5,3,0.05999999999999961,0.01999999999999987,0.13999999999999968
5,politicians,4.64,5.28,11,0.6400000000000006,0.05818181818181823,0.019999999999999574
6,always,5.3,5.54,6,0.2400000000000002,0.040000000000000036,0.040000000000000036
7,fighting,5.58,5.88,8,0.2999999999999998,0.03749999999999998,0.020000000000000462
8,with,5.9,6.04,4,0.13999999999999968,0.03499999999999992,0.019999999999999574
9,each,6.06,6.26,4,0.20000000000000018,0.050000000000000044,0.0
10,other,6.26,6.56,5,0.2999999999999998,0.05999999999999996,0.040000000000000036
11,and,6.6,6.66,3,0.0600000000000005,0.020000000000000167,0.040000000000000036
12,not,6.7,6.84,3,0.13999999999999968,0.04666666666666656,0.0600000000000005
13,fighting,6.9,7.2,8,0.2999999999999998,0.03749999999999998,0.09999999999999964
14,china,7.3,7.72,5,0.41999999999999993,0.08399999999999999,0.0600000000000005
15,and,7.78,7.84,3,0.05999999999999961,0.01999999999999987,0.040000000000000036
16,these,7.88,8.02,5,0.13999999999999968,0.027999999999999935,0.040000000000000924
17,other,8.06,8.2,5,0.1399999999999988,0.027999999999999758,0.0600000000000005
18,countries,8.26,8.68,9,0.41999999999999993,0.04666666666666666,0.040000000000000924
19,that,8.72,8.82,4,0.09999999999999964,0.02499999999999991,0.0
20,are,8.82,8.88,3,0.0600000000000005,0.020000000000000167,0.03999999999999915
21,really,8.92,9.1,6,0.17999999999999972,0.029999999999999954,0.0600000000000005
22,just,9.16,9.34,4,0.17999999999999972,0.04499999999999993,0.040000000000000924
23,eating,9.38,9.62,6,0.23999999999999844,0.03999999999999974,0.02000000000000135
24,our,9.64,9.74,3,0.09999999999999964,0.033333333333333215,0.0600000000000005
25,lunch,9.8,10.04,5,0.23999999999999844,0.04799999999999969,0.02000000000000135
26,if,10.06,10.14,2,0.08000000000000007,0.040000000000000036,0.019999999999999574
27,you,10.16,10.22,3,0.0600000000000005,0.020000000000000167,0.05999999999999872
28,look,10.28,10.4,4,0.120000000000001,0.03000000000000025,0.019999999999999574
29,at,10.42,10.48,2,0.0600000000000005,0.03000000000000025,0.019999999999999574
30,what,10.5,10.62,4,0.11999999999999922,0.029999999999999805,0.040000000000000924
31,china,10.66,10.98,5,0.3200000000000003,0.06400000000000006,0.0
32,is,10.98,11.02,2,0.03999999999999915,0.019999999999999574,0.040000000000000924
33,doing,11.06,11.26,5,0.1999999999999993,0.039999999999999855,0.019999999999999574
34,to,11.28,11.36,2,0.08000000000000007,0.040000000000000036,0.040000000000000924
35,this,11.4,11.54,4,0.1399999999999988,0.0349999999999997,0.0600000000000005
36,country,11.6,11.9,7,0.3000000000000007,0.04285714285714296,0.03999999999999915
37,it's,11.94,12.08,4,0.14000000000000057,0.03500000000000014,0.03999999999999915
38,disgrace,12.12,12.66,8,0.5400000000000009,0.06750000000000012,0.0600000000000005
39,doing,12.72,13.04,5,0.3199999999999985,0.0639999999999997,0.8200000000000003
40,how,13.86,14.1,3,0.2400000000000002,0.08000000000000007,0.14000000000000057
41,well,14.24,14.42,4,0.17999999999999972,0.04499999999999993,0.040000000000000924
42,they're,14.46,14.56,7,0.09999999999999964,0.014285714285714235,0.03999999999999915
