,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,the,0.44,0.44,3,0.0,0.0,2.92,0.44
1,i'm,3.36,3.48,3,0.1200000000000001,0.040000000000000036,0.040000000000000036,3.42
2,worried,3.52,3.86,7,0.3399999999999998,0.04857142857142854,0.020000000000000018,3.69
3,about,3.88,4.18,5,0.2999999999999998,0.05999999999999996,0.2600000000000007,4.029999999999999
4,the,4.44,4.5,3,0.0599999999999996,0.01999999999999987,0.13999999999999968,4.470000000000001
5,politicians,4.64,5.28,11,0.6400000000000006,0.05818181818181823,0.019999999999999574,4.96
6,always,5.3,5.54,6,0.2400000000000002,0.040000000000000036,0.040000000000000036,5.42
7,fighting,5.58,5.88,8,0.2999999999999998,0.03749999999999998,0.020000000000000462,5.73
8,with,5.9,6.04,4,0.1399999999999996,0.0349999999999999,0.019999999999999574,5.970000000000001
9,each,6.06,6.26,4,0.2000000000000001,0.050000000000000024,0.0,6.16
10,other,6.26,6.56,5,0.2999999999999998,0.05999999999999996,0.040000000000000036,6.41
11,and,6.6,6.66,3,0.0600000000000005,0.020000000000000167,0.040000000000000036,6.63
12,not,6.7,6.84,3,0.1399999999999996,0.04666666666666653,0.0600000000000005,6.77
13,fighting,6.9,7.2,8,0.2999999999999998,0.03749999999999998,0.09999999999999964,7.050000000000001
14,china,7.3,7.72,5,0.4199999999999999,0.08399999999999998,0.0600000000000005,7.51
15,and,7.78,7.84,3,0.0599999999999996,0.01999999999999987,0.040000000000000036,7.8100000000000005
16,these,7.88,8.02,5,0.1399999999999996,0.02799999999999992,0.040000000000000924,7.949999999999999
17,other,8.06,8.2,5,0.1399999999999988,0.027999999999999758,0.0600000000000005,8.129999999999999
18,countries,8.26,8.68,9,0.4199999999999999,0.046666666666666655,0.040000000000000924,8.469999999999999
19,that,8.72,8.82,4,0.0999999999999996,0.0249999999999999,0.0,8.77
20,are,8.82,8.88,3,0.0600000000000005,0.020000000000000167,0.03999999999999915,8.850000000000001
21,really,8.92,9.1,6,0.1799999999999997,0.029999999999999947,0.0600000000000005,9.01
22,just,9.16,9.34,4,0.1799999999999997,0.04499999999999992,0.040000000000000924,9.25
23,eating,9.38,9.62,6,0.2399999999999984,0.03999999999999974,0.02000000000000135,9.5
24,our,9.64,9.74,3,0.0999999999999996,0.0333333333333332,0.0600000000000005,9.690000000000001
25,lunch,9.8,10.04,5,0.2399999999999984,0.04799999999999968,0.02000000000000135,9.92
26,if,10.06,10.14,2,0.08,0.04,0.019999999999999574,10.100000000000001
27,you,10.16,10.22,3,0.0600000000000005,0.020000000000000167,0.05999999999999872,10.190000000000001
28,look,10.28,10.4,4,0.120000000000001,0.03000000000000025,0.019999999999999574,10.34
29,at,10.42,10.48,2,0.0600000000000005,0.03000000000000025,0.019999999999999574,10.45
30,what,10.5,10.62,4,0.1199999999999992,0.0299999999999998,0.040000000000000924,10.559999999999999
31,china,10.66,10.98,5,0.3200000000000003,0.06400000000000006,0.0,10.82
32,is,10.98,11.02,2,0.0399999999999991,0.01999999999999955,0.040000000000000924,11.0
33,doing,11.06,11.26,5,0.1999999999999993,0.039999999999999855,0.019999999999999574,11.16
34,to,11.28,11.36,2,0.08,0.04,0.040000000000000924,11.32
35,this,11.4,11.54,4,0.1399999999999988,0.0349999999999997,0.0600000000000005,11.469999999999999
36,country,11.6,11.9,7,0.3000000000000007,0.04285714285714296,0.03999999999999915,11.75
37,it's,11.94,12.08,4,0.1400000000000005,0.03500000000000013,0.03999999999999915,12.01
