,Word,Start,End,length,time_spent,std_time_spent,post_space
0,well,0.72,0.88,4,0.16000000000000003,0.04000000000000001,0.07999999999999996
1,thank,0.96,1.16,5,0.19999999999999996,0.039999999999999994,0.0
2,you,1.16,1.24,3,0.08000000000000007,0.02666666666666669,0.040000000000000036
3,very,1.28,1.46,4,0.17999999999999994,0.044999999999999984,0.040000000000000036
4,much,1.5,1.86,4,0.3600000000000001,0.09000000000000002,3.12
5,thank,4.98,5.3,5,0.3199999999999994,0.06399999999999988,0.0
6,you,5.3,5.44,3,0.14000000000000057,0.046666666666666856,4.099999999999999
7,thank,9.54,9.84,5,0.3000000000000007,0.060000000000000143,0.0
8,you,9.84,9.9,3,0.0600000000000005,0.020000000000000167,0.03999999999999915
9,very,9.94,10.1,4,0.16000000000000014,0.040000000000000036,0.040000000000000924
10,much,10.14,10.36,4,0.21999999999999886,0.054999999999999716,0.0600000000000005
11,police,10.42,10.7,6,0.27999999999999936,0.04666666666666656,0.040000000000000924
12,said,10.74,10.98,4,0.2400000000000002,0.06000000000000005,0.16000000000000014
13,thank,11.14,11.4,5,0.2599999999999998,0.051999999999999956,0.019999999999999574
14,you,11.42,11.54,3,0.11999999999999922,0.03999999999999974,0.9600000000000009
15,this,12.5,12.7,4,0.1999999999999993,0.04999999999999982,0.02000000000000135
16,is,12.72,12.86,2,0.1399999999999988,0.0699999999999994,0.0600000000000005
17,without,12.92,13.22,7,0.3000000000000007,0.04285714285714296,0.08000000000000007
18,question,13.3,13.76,8,0.4599999999999991,0.057499999999999885,0.019999999999999574
19,the,13.78,13.86,3,0.08000000000000007,0.02666666666666669,0.0600000000000005
20,latest,13.92,14.3,6,0.3800000000000008,0.06333333333333346,0.05999999999999872
21,news,14.36,14.62,4,0.2599999999999998,0.06499999999999995,0.02000000000000135
22,conference,14.64,15.08,10,0.4399999999999995,0.04399999999999995,0.019999999999999574
23,i've,15.1,15.3,4,0.20000000000000107,0.050000000000000266,0.0
24,ever,15.3,15.48,4,0.17999999999999972,0.04499999999999993,0.08000000000000007
25,had,15.56,15.86,3,0.29999999999999893,0.09999999999999964,7.32
26,i,23.18,23.26,1,0.08000000000000185,0.08000000000000185,0.0799999999999983
27,appreciate,23.34,23.88,10,0.5399999999999991,0.053999999999999916,0.019999999999999574
28,it,23.9,23.96,2,0.060000000000002274,0.030000000000001137,0.05999999999999872
29,very,24.02,24.2,4,0.17999999999999972,0.04499999999999993,0.060000000000002274
30,much,24.26,24.6,4,0.33999999999999986,0.08499999999999996,0.05999999999999872
31,and,24.66,24.82,3,0.16000000000000014,0.05333333333333338,0.5799999999999983
32,i,25.4,25.46,1,0.060000000000002274,0.060000000000002274,0.05999999999999872
