,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,well,0.72,0.88,4,0.16,0.04,0.07999999999999996,0.8
1,thank,0.96,1.16,5,0.1999999999999999,0.03999999999999998,0.0,1.06
2,you,1.16,1.24,3,0.08,0.02666666666666667,0.040000000000000036,1.2
3,very,1.28,1.46,4,0.1799999999999999,0.04499999999999998,0.040000000000000036,1.37
4,much,1.5,1.86,4,0.3600000000000001,0.09000000000000002,3.12,1.6800000000000002
5,thank,4.98,5.3,5,0.3199999999999994,0.06399999999999988,0.0,5.140000000000001
6,you,5.3,5.44,3,0.1400000000000005,0.046666666666666835,4.099999999999999,5.37
7,thank,9.54,9.84,5,0.3000000000000007,0.060000000000000143,0.0,9.69
8,you,9.84,9.9,3,0.0600000000000005,0.020000000000000167,0.03999999999999915,9.870000000000001
9,very,9.94,10.1,4,0.1600000000000001,0.04000000000000002,0.040000000000000924,10.02
10,much,10.14,10.36,4,0.2199999999999988,0.0549999999999997,0.0600000000000005,10.25
11,police,10.42,10.7,6,0.2799999999999993,0.04666666666666655,0.040000000000000924,10.559999999999999
12,said,10.74,10.98,4,0.2400000000000002,0.06000000000000005,0.16000000000000014,10.86
13,thank,11.14,11.4,5,0.2599999999999998,0.051999999999999956,0.019999999999999574,11.27
14,you,11.42,11.54,3,0.1199999999999992,0.03999999999999974,0.9600000000000009,11.48
15,this,12.5,12.7,4,0.1999999999999993,0.04999999999999982,0.02000000000000135,12.6
16,is,12.72,12.86,2,0.1399999999999988,0.0699999999999994,0.0600000000000005,12.79
17,without,12.92,13.22,7,0.3000000000000007,0.04285714285714296,0.08000000000000007,13.07
18,question,13.3,13.76,8,0.4599999999999991,0.057499999999999885,0.019999999999999574,13.530000000000001
19,the,13.78,13.86,3,0.08,0.02666666666666667,0.0600000000000005,13.82
20,latest,13.92,14.3,6,0.3800000000000008,0.06333333333333346,0.05999999999999872,14.11
21,news,14.36,14.62,4,0.2599999999999998,0.06499999999999995,0.02000000000000135,14.489999999999998
22,conference,14.64,15.08,10,0.4399999999999995,0.04399999999999995,0.019999999999999574,14.86
23,i've,15.1,15.3,4,0.200000000000001,0.05000000000000025,0.0,15.2
24,ever,15.3,15.48,4,0.1799999999999997,0.04499999999999992,0.08000000000000007,15.39
25,had,15.56,15.86,3,0.2999999999999989,0.09999999999999963,7.32,15.71
26,i,23.18,23.26,1,0.0800000000000018,0.0800000000000018,0.0799999999999983,23.22
27,appreciate,23.34,23.88,10,0.5399999999999991,0.053999999999999916,0.019999999999999574,23.61
28,it,23.9,23.96,2,0.0600000000000022,0.0300000000000011,0.05999999999999872,23.93
29,very,24.02,24.2,4,0.1799999999999997,0.04499999999999992,0.060000000000002274,24.11
30,much,24.26,24.6,4,0.3399999999999998,0.08499999999999995,0.05999999999999872,24.43
31,and,24.66,24.82,3,0.1600000000000001,0.053333333333333365,0.5799999999999983,24.740000000000002
32,i,25.4,25.46,1,0.0600000000000022,0.0600000000000022,0.05999999999999872,25.43
33,want,25.52,25.64,4,0.120000000000001,0.03000000000000025,0.0,25.58
34,to,25.64,25.7,2,0.0599999999999987,0.02999999999999935,0.060000000000002274,25.67
35,thank,25.76,26.02,5,0.259999999999998,0.0519999999999996,0.05999999999999872,25.89
36,the,26.08,26.12,3,0.0400000000000027,0.013333333333334233,0.05999999999999872,26.1
37,american,26.18,26.64,8,0.4600000000000008,0.0575000000000001,0.05999999999999872,26.41
38,people,26.7,27.06,6,0.3599999999999994,0.059999999999999894,0.08000000000000185,26.88
39,for,27.14,27.3,3,0.1600000000000001,0.053333333333333365,0.120000000000001,27.22
40,their,27.42,27.58,5,0.1599999999999966,0.03199999999999932,0.060000000000002274,27.5
41,tremendous,27.64,28.16,10,0.5199999999999996,0.051999999999999956,0.03999999999999915,27.9
42,support,28.2,28.64,7,0.4400000000000013,0.06285714285714304,0.09999999999999787,28.42
43,millions,28.74,29.32,8,0.5800000000000018,0.07250000000000023,0.019999999999999574,29.03
44,and,29.34,29.44,3,0.1000000000000014,0.0333333333333338,0.05999999999999872,29.39
45,millions,29.5,29.92,8,0.4200000000000017,0.05250000000000021,0.019999999999999574,29.71
46,of,29.94,30.02,2,0.0799999999999983,0.03999999999999915,0.05999999999999872,29.98
47,people,30.08,30.36,6,0.2800000000000011,0.04666666666666685,0.03999999999999915,30.22
48,voted,30.4,30.7,5,0.3000000000000007,0.060000000000000143,0.060000000000002274,30.549999999999997
49,for,30.76,30.86,3,0.0999999999999978,0.0333333333333326,0.060000000000002274,30.810000000000002
50,us,30.92,31.04,2,0.1199999999999974,0.0599999999999987,0.060000000000002274,30.98
51,today,31.1,31.46,5,0.3599999999999994,0.07199999999999987,0.7800000000000011,31.28
52,and,32.24,32.52,3,0.2800000000000011,0.0933333333333337,0.17999999999999972,32.38
53,uh,32.7,32.88,2,0.1799999999999997,0.08999999999999984,1.259999999999998,32.790000000000006
54,a,34.14,34.26,1,0.1199999999999974,0.1199999999999974,0.0800000000000054,34.2
55,very,34.34,34.66,4,0.3199999999999932,0.0799999999999983,0.5800000000000054,34.5
56,sad,35.24,35.62,3,0.3799999999999954,0.12666666666666512,0.03999999999999915,35.43
57,group,35.66,35.9,5,0.240000000000002,0.048000000000000397,0.020000000000003126,35.78
58,of,35.92,35.98,2,0.0599999999999951,0.02999999999999755,0.0800000000000054,35.95
59,people,36.06,36.44,6,0.3799999999999954,0.06333333333333256,0.7600000000000051,36.25
60,is,37.2,37.36,2,0.1599999999999966,0.0799999999999983,0.060000000000002274,37.28
61,trying,37.42,37.78,6,0.3599999999999994,0.059999999999999894,0.0799999999999983,37.6
62,to,37.86,37.98,2,0.1199999999999974,0.0599999999999987,0.12000000000000455,37.92
63,disenfranchise,38.1,39.34,14,1.240000000000002,0.08857142857142872,0.17999999999999972,38.72
64,that,39.52,39.74,4,0.2199999999999988,0.0549999999999997,0.03999999999999915,39.63
65,group,39.78,40.0,5,0.2199999999999988,0.04399999999999976,0.020000000000003126,39.89
66,of,40.02,40.08,2,0.0599999999999951,0.02999999999999755,0.060000000000002274,40.05
67,people,40.14,40.54,6,0.3999999999999986,0.06666666666666643,0.5399999999999991,40.34
68,and,41.08,41.26,3,0.1799999999999997,0.059999999999999894,0.060000000000002274,41.17
69,we,41.32,41.42,2,0.1000000000000014,0.0500000000000007,0.05999999999999517,41.370000000000005
70,won't,41.48,41.7,5,0.2200000000000059,0.044000000000001184,0.03999999999999915,41.59
71,stand,41.74,42.06,5,0.3200000000000003,0.06400000000000006,0.05999999999999517,41.900000000000006
72,for,42.12,42.3,3,0.1799999999999997,0.059999999999999894,0.060000000000002274,42.209999999999994
73,it,42.36,42.48,2,0.1199999999999974,0.0599999999999987,0.14000000000000057,42.42
74,we,42.62,42.7,2,0.0800000000000054,0.0400000000000027,0.05999999999999517,42.66
75,will,42.76,42.88,4,0.1200000000000045,0.030000000000001126,0.03999999999999915,42.82
76,not,42.92,43.1,3,0.1799999999999997,0.059999999999999894,0.03999999999999915,43.010000000000005
77,stay,43.14,43.42,4,0.2800000000000011,0.07000000000000027,4.519999999999996,43.28
78,i,47.94,48.02,1,0.0800000000000054,0.0800000000000054,0.05999999999999517,47.980000000000004
79,want,48.08,48.24,4,0.1600000000000037,0.040000000000000924,0.0,48.16
80,to,48.24,48.3,2,0.0599999999999951,0.02999999999999755,0.0800000000000054,48.269999999999996
81,thank,48.38,48.64,5,0.259999999999998,0.0519999999999996,0.060000000000002274,48.510000000000005
82,the,48.7,48.74,3,0.0399999999999991,0.013333333333333032,0.05999999999999517,48.72
83,first,48.8,49.1,5,0.3000000000000042,0.060000000000000844,0.05999999999999517,48.95
84,lady,49.16,49.5,4,0.3400000000000034,0.08500000000000085,0.10000000000000142,49.33
85,my,49.6,49.72,2,0.1199999999999974,0.0599999999999987,0.0799999999999983,49.66
86,entire,49.8,50.24,6,0.4400000000000048,0.07333333333333412,0.03999999999999915,50.019999999999996
87,family,50.28,50.8,6,0.519999999999996,0.086666666666666,0.6000000000000014,50.54
88,and,51.4,51.62,3,0.2199999999999988,0.07333333333333293,0.22000000000000597,51.51
89,vice,51.84,52.1,4,0.259999999999998,0.0649999999999995,0.03999999999999915,51.97
90,president,52.14,52.76,9,0.6199999999999974,0.06888888888888861,0.7000000000000028,52.45
91,mrs,53.46,53.8,3,0.3399999999999963,0.1133333333333321,6.480000000000004,53.629999999999995
92,and,60.28,60.58,3,0.2999999999999971,0.09999999999999903,0.14000000000000057,60.43
93,we,60.72,60.82,2,0.1000000000000014,0.0500000000000007,0.060000000000002274,60.769999999999996
94,were,60.88,61.0,4,0.1199999999999974,0.02999999999999935,0.060000000000002274,60.94
95,getting,61.06,61.32,7,0.259999999999998,0.03714285714285686,0.060000000000002274,61.19
96,ready,61.38,61.7,5,0.3200000000000003,0.06400000000000006,0.8399999999999963,61.540000000000006
97,for,62.54,62.66,3,0.1199999999999974,0.039999999999999133,0.10000000000000142,62.599999999999994
