,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time,pitch
0,hi,0.32,0.44,0.12,0.08,1,2,0.06,0.028119446631024482,0.08000000000000002,0.38,252.28350117927775
1,everyone,0.52,0.96,0.4399999999999999,0.28,1,8,0.054999999999999986,0.11794530415914432,0.28,0.74,237.57730851028222
2,um,1.24,1.34,0.1,0.9999999999999998,1,2,0.05,0.42427305845439883,0.9999999999999998,1.29,153.79150352686702
3,it's,2.34,2.5,0.1600000000000001,0.02,1,4,0.04000000000000002,0.014230402446328871,0.020000000000000018,2.42,
4,exciting,2.52,2.94,0.4199999999999999,0.04,1,8,0.052499999999999984,0.09053146752057768,0.040000000000000036,2.73,197.45221504351647
5,to,2.98,3.06,0.08,0.04,1,2,0.04,0.024413401596333557,0.040000000000000036,3.02,
6,be,3.1,3.2,0.1,0.1399999999999996,1,2,0.05,0.031156226263577554,0.13999999999999968,3.1500000000000004,198.35734448460124
7,here,3.34,3.6,0.2600000000000002,0.56,1,4,0.06500000000000004,0.1281457737261989,0.56,3.4699999999999998,220.39222867398794
8,we're,4.16,4.28,0.1200000000000001,0.0199999999999995,1,5,0.02400000000000002,0.16639389615966893,0.019999999999999574,4.220000000000001,303.0028421343486
9,going,4.3,4.4,0.1000000000000005,0.0,1,5,0.0200000000000001,0.14361903636448348,0.0,4.35,195.36131317154218
10,to,4.4,4.46,0.0599999999999996,0.0599999999999996,1,2,0.0299999999999998,0.08344352100922794,0.05999999999999961,4.43,224.2905878236195
11,start,4.52,4.74,0.2200000000000006,0.0999999999999996,1,5,0.04400000000000012,0.18127180163354215,0.09999999999999964,4.63,310.2711324476671
12,with,4.84,5.0,0.1600000000000001,0.08,1,4,0.04000000000000002,0.0949506693374516,0.08000000000000007,4.92,245.66847482216818
13,something,5.08,5.6,0.5199999999999996,0.5800000000000001,1,9,0.057777777777777733,0.07239139666994479,0.5800000000000001,5.34,238.26493639147634
14,that,6.18,6.44,0.2600000000000007,0.0799999999999991,1,4,0.06500000000000017,0.16131143440683515,0.07999999999999918,6.3100000000000005,200.7599561340676
15,you,6.52,6.58,0.0600000000000005,0.08,1,3,0.020000000000000167,0.06002788202671275,0.08000000000000007,6.55,210.73626098714547
16,might,6.66,6.84,0.1799999999999997,0.1400000000000005,1,5,0.035999999999999935,0.11699652370966852,0.14000000000000057,6.75,207.16812687619836
17,all,6.98,7.14,0.1599999999999992,0.08,1,3,0.053333333333333066,0.16220054345495566,0.08000000000000007,7.0600000000000005,186.60429175668162
18,actually,7.22,7.52,0.2999999999999998,0.08,1,8,0.03749999999999998,0.09205172358096994,0.08000000000000007,7.369999999999999,198.29976849817055
19,be,7.6,7.66,0.0600000000000005,0.0599999999999996,1,2,0.03000000000000025,0.05250325560368011,0.05999999999999961,7.63,189.25612734393528
20,familiar,7.72,8.1,0.3799999999999999,0.0600000000000005,1,8,0.04749999999999999,0.06225077302015519,0.0600000000000005,7.91,188.33136405556883
21,with,8.16,8.44,0.2799999999999993,0.8000000000000007,1,4,0.06999999999999983,0.02784454648040665,0.8000000000000007,8.3,124.52585444194476
