,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time
0,hi,0.32,0.44,0.12,0.08,1,2,0.06,0.0094450196459672,0.08000000000000002,0.38
1,everyone,0.52,0.96,0.4399999999999999,0.28,1,8,0.054999999999999986,0.1315997285592573,0.28,0.74
2,um,1.24,1.34,0.1,0.9999999999999998,1,2,0.05,0.335343973846304,0.9999999999999998,1.29
3,it's,2.34,2.5,0.1600000000000001,0.02,1,4,0.04000000000000002,0.0106855895667983,0.020000000000000018,2.42
4,exciting,2.52,2.94,0.4199999999999999,0.04,1,8,0.052499999999999984,0.0782084130967852,0.040000000000000036,2.73
5,to,2.98,3.06,0.08,0.04,1,2,0.04,0.0184211921024232,0.040000000000000036,3.02
6,be,3.1,3.2,0.1,0.1399999999999996,1,2,0.05,0.0295828686719624,0.13999999999999968,3.1500000000000004
7,here,3.34,3.6,0.2600000000000002,0.56,1,4,0.06500000000000004,0.1447566407641153,0.56,3.4699999999999998
8,we're,4.16,4.28,0.1200000000000001,0.0199999999999995,1,5,0.02400000000000002,0.2429165664255737,0.019999999999999574,4.220000000000001
9,going,4.3,4.4,0.1000000000000005,0.0,1,5,0.0200000000000001,0.1690116148579472,0.0,4.35
10,to,4.4,4.46,0.0599999999999996,0.0599999999999996,1,2,0.0299999999999998,0.1176077116975505,0.05999999999999961,4.43
11,start,4.52,4.74,0.2200000000000006,0.0999999999999996,1,5,0.04400000000000012,0.1913506605961297,0.09999999999999964,4.63
12,with,4.84,5.0,0.1600000000000001,0.08,1,4,0.04000000000000002,0.1281411911886212,0.08000000000000007,4.92
13,something,5.08,5.6,0.5199999999999996,0.5800000000000001,1,9,0.057777777777777733,0.0749083765014047,0.5800000000000001,5.34
14,that,6.18,6.44,0.2600000000000007,0.0799999999999991,1,4,0.06500000000000017,0.1647245999143949,0.07999999999999918,6.3100000000000005
15,you,6.52,6.58,0.0600000000000005,0.08,1,3,0.020000000000000167,0.0721274841180632,0.08000000000000007,6.55
16,might,6.66,6.84,0.1799999999999997,0.1400000000000005,1,5,0.035999999999999935,0.0867025112972616,0.14000000000000057,6.75
17,all,6.98,7.14,0.1599999999999992,0.08,1,3,0.053333333333333066,0.1947559105478862,0.08000000000000007,7.0600000000000005
18,actually,7.22,7.52,0.2999999999999998,0.08,1,8,0.03749999999999998,0.0833194476870763,0.08000000000000007,7.369999999999999
19,be,7.6,7.66,0.0600000000000005,0.0599999999999996,1,2,0.03000000000000025,0.0608836230543326,0.05999999999999961,7.63
20,familiar,7.72,8.1,0.3799999999999999,0.0600000000000005,1,8,0.04749999999999999,0.0686917360066178,0.0600000000000005,7.91
21,with,8.16,8.44,0.2799999999999993,0.8000000000000007,1,4,0.06999999999999983,0.0182307919530776,0.8000000000000007,8.3
22,and,9.24,9.34,0.0999999999999996,0.0,1,3,0.0333333333333332,0.015860504177762,0.0,9.29
23,it's,9.34,9.46,0.120000000000001,0.0399999999999991,1,4,0.03000000000000025,0.0767251660172446,0.03999999999999915,9.4
24,called,9.5,9.72,0.2200000000000006,0.0599999999999987,1,6,0.03666666666666677,0.0875135630539087,0.05999999999999872,9.61
25,google,9.78,10.02,0.2400000000000002,0.0400000000000009,1,6,0.040000000000000036,0.0381639313556628,0.040000000000000924,9.899999999999999
26,suggest,10.06,10.64,0.5800000000000001,1.0,1,7,0.08285714285714287,0.0356716226234558,1.0,10.350000000000001
27,and,11.64,11.72,0.08,0.0399999999999991,1,3,0.02666666666666667,0.0460911784860539,0.03999999999999915,11.68
28,the,11.76,11.8,0.0400000000000009,0.0399999999999991,1,3,0.013333333333333634,0.1653133991536175,0.03999999999999915,11.780000000000001
29,way,11.84,11.98,0.1400000000000005,0.0399999999999991,1,3,0.046666666666666835,0.1786963341542038,0.03999999999999915,11.91
30,it,12.02,12.1,0.08,0.0600000000000005,1,2,0.04,0.0914752087862598,0.0600000000000005,12.059999999999999
31,works,12.16,12.58,0.4199999999999999,0.0600000000000005,1,5,0.08399999999999998,0.1187629114263271,0.0600000000000005,12.370000000000001
32,is,12.64,12.82,0.1799999999999997,0.1400000000000005,1,2,0.08999999999999984,0.0660498544306218,0.14000000000000057,12.73
33,if,12.96,13.08,0.1199999999999992,0.0199999999999995,1,2,0.0599999999999996,0.0332846668956585,0.019999999999999574,13.02
34,i,13.1,13.14,0.0400000000000009,0.08,1,1,0.0400000000000009,0.0710497861424982,0.08000000000000007,13.120000000000001
35,go,13.22,13.3,0.08,0.0599999999999987,1,2,0.04,0.0873663879033484,0.05999999999999872,13.260000000000002
36,to,13.36,13.42,0.0600000000000005,0.0400000000000009,1,2,0.03000000000000025,0.0572841429682877,0.040000000000000924,13.39
37,google,13.46,13.82,0.3599999999999994,0.2599999999999998,1,6,0.059999999999999894,0.0823715280620188,0.2599999999999998,13.64
38,and,14.08,14.2,0.1199999999999992,0.0,1,3,0.03999999999999974,0.0323574520403366,0.0,14.14
