,Word,Start,End,length,time_spent,std_time_spent,speed,post_space
0,the,5.38,5.38,3,0.0,0.0,inf,2.1799999999999997
1,the,7.56,7.56,3,0.0,0.0,inf,2.1000000000000005
2,the,9.66,9.66,3,0.0,0.0,inf,1.6199999999999992
3,the,11.28,11.28,3,0.0,0.0,inf,5.92
4,uh,17.2,17.2,2,0.0,0.0,inf,0.4400000000000013
5,when,17.64,17.74,4,0.09999999999999787,0.024999999999999467,40.00000000000085,0.020000000000003126
6,i,17.76,17.82,1,0.05999999999999872,0.05999999999999872,16.666666666667023,0.03999999999999915
7,was,17.86,17.98,3,0.120000000000001,0.040000000000000334,24.999999999999794,0.019999999999999574
8,a,18.0,18.04,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.060000000000002274
9,kid,18.1,18.42,3,0.3200000000000003,0.10666666666666676,9.374999999999991,0.6799999999999997
10,the,19.1,19.16,3,0.05999999999999872,0.019999999999999574,50.000000000001066,0.05999999999999872
11,disaster,19.22,19.72,8,0.5,0.0625,16.0,0.0400000000000027
12,we,19.76,19.84,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.08000000000000185
13,worried,19.92,20.16,7,0.23999999999999844,0.034285714285714065,29.166666666666856,0.0
14,about,20.16,20.44,5,0.28000000000000114,0.05600000000000023,17.857142857142783,0.05999999999999872
15,most,20.5,20.96,4,0.46000000000000085,0.11500000000000021,8.695652173913027,0.21999999999999886
16,was,21.18,21.34,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.019999999999999574
17,a,21.36,21.4,1,0.03999999999999915,0.03999999999999915,25.000000000000533,0.08000000000000185
18,nuclear,21.48,21.94,7,0.46000000000000085,0.06571428571428584,15.217391304347798,0.05999999999999872
19,war,22.0,22.32,3,0.3200000000000003,0.10666666666666676,9.374999999999991,1.5
20,that's,23.82,24.04,6,0.21999999999999886,0.03666666666666648,27.272727272727412,0.019999999999999574
21,why,24.06,24.2,3,0.14000000000000057,0.046666666666666856,21.428571428571342,0.060000000000002274
22,we,24.26,24.34,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.10000000000000142
23,had,24.44,24.76,3,0.3200000000000003,0.10666666666666676,9.374999999999991,0.09999999999999787
24,a,24.86,24.92,1,0.060000000000002274,0.060000000000002274,16.666666666666035,0.05999999999999872
25,barrel,24.98,25.2,6,0.21999999999999886,0.03666666666666648,27.272727272727412,0.03999999999999915
26,like,25.24,25.4,4,0.16000000000000014,0.040000000000000036,24.99999999999998,0.0400000000000027
27,this,25.44,25.64,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.05999999999999872
28,down,25.7,25.9,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.020000000000003126
29,on,25.92,25.98,2,0.05999999999999872,0.02999999999999936,33.333333333334046,0.03999999999999915
30,our,26.02,26.12,3,0.10000000000000142,0.033333333333333805,29.999999999999574,0.03999999999999915
31,basement,26.16,26.68,8,0.5199999999999996,0.06499999999999995,15.384615384615397,0.3000000000000007
32,filled,26.98,27.3,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.019999999999999574
33,with,27.32,27.44,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.05999999999999872
34,cans,27.5,27.84,4,0.33999999999999986,0.08499999999999996,11.764705882352946,0.019999999999999574
35,of,27.86,27.9,2,0.03999999999999915,0.019999999999999574,50.000000000001066,0.08000000000000185
36,food,27.98,28.38,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.16000000000000014
37,and,28.54,28.7,3,0.16000000000000014,0.05333333333333338,18.749999999999982,0.060000000000002274
38,water,28.76,29.16,5,0.3999999999999986,0.07999999999999971,12.500000000000044,1.1799999999999997
39,when,30.34,30.48,4,0.14000000000000057,0.03500000000000014,28.571428571428456,0.019999999999999574
40,the,30.5,30.54,3,0.03999999999999915,0.01333333333333305,75.0000000000016,0.03999999999999915
41,nuclear,30.58,30.96,7,0.38000000000000256,0.05428571428571465,18.421052631578824,0.0799999999999983
42,tack,31.04,31.28,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.05999999999999872
43,came,31.34,31.6,4,0.26000000000000156,0.06500000000000039,15.384615384615293,0.03999999999999915
44,we,31.64,31.7,2,0.05999999999999872,0.02999999999999936,33.333333333334046,0.060000000000002274
45,were,31.76,31.84,4,0.0799999999999983,0.019999999999999574,50.000000000001066,0.019999999999999574
46,supposed,31.86,32.08,8,0.21999999999999886,0.027499999999999858,36.36363636363655,0.020000000000003126
47,to,32.1,32.16,2,0.05999999999999517,0.029999999999997584,33.333333333336014,0.060000000000002274
48,go,32.22,32.32,2,0.10000000000000142,0.05000000000000071,19.999999999999716,0.060000000000002274
49,down,32.38,32.64,4,0.259999999999998,0.0649999999999995,15.384615384615502,0.0799999999999983
50,stairs,32.72,33.26,6,0.5399999999999991,0.08999999999999986,11.111111111111128,0.38000000000000256
51,hunker,33.64,33.96,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.01999999999999602
52,down,33.98,34.32,4,0.3400000000000034,0.08500000000000085,11.764705882352823,0.11999999999999744
53,and,34.44,34.56,3,0.12000000000000455,0.040000000000001514,24.99999999999905,0.05999999999999517
54,eat,34.62,34.86,3,0.240000000000002,0.08000000000000067,12.499999999999897,0.020000000000003126
55,out,34.88,35.06,3,0.17999999999999972,0.05999999999999991,16.666666666666693,0.0
56,of,35.06,35.08,2,0.01999999999999602,0.00999999999999801,100.0000000000199,0.03999999999999915
57,that,35.12,35.28,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.060000000000002274
58,barrel,35.34,35.7,6,0.35999999999999943,0.05999999999999991,16.666666666666693,2.0799999999999983
59,today,37.78,38.16,5,0.37999999999999545,0.0759999999999991,13.157894736842263,0.0800000000000054
60,the,38.24,38.36,3,0.11999999999999744,0.03999999999999915,25.000000000000533,0.28000000000000114
