Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,so,0.08,0.3,0.2199999999999999,0.78,0,2,0.5789473684210539,0.4008477091739271
1,yeah,1.08,1.18,0.0999999999999998,1.28,0,4,0.13157894736842113,0.0
2,what,2.46,2.62,0.1600000000000001,0.02,1,4,0.21052631578947434,0.16308156853169772
3,i,2.64,2.68,0.04,0.0999999999999996,1,1,0.21052631578947423,1.0
4,am,2.78,2.82,0.04,0.02,1,2,0.10526315789473711,0.21398279357605007
5,out,2.84,2.92,0.08,0.06,1,3,0.14035087719298284,0.49480634933106943
6,conditional,2.98,3.38,0.3999999999999999,0.04,1,11,0.19138755980861288,0.17381429041576646
7,probability,3.42,3.96,0.54,0.04,1,11,0.2583732057416275,0.3326859261249252
8,right,4.0,4.26,0.2599999999999998,0.1000000000000005,1,5,0.27368421052631625,0.3622835770255391
9,we're,4.36,4.48,0.1200000000000001,0.0199999999999995,1,5,0.12631578947368466,0.11049223180070455
10,continuing,4.5,4.96,0.4599999999999999,0.0200000000000004,1,10,0.24210526315789532,0.14339817673380423
11,to,4.98,5.02,0.0399999999999991,0.0600000000000005,1,2,0.10526315789473474,0.21025783764092096
12,do,5.08,5.14,0.0599999999999996,0.08,1,2,0.15789473684210462,0.13624316247528456
13,conditional,5.22,5.56,0.3399999999999998,0.0200000000000004,1,11,0.1626794258373209,0.08775329351916686
14,probability,5.58,6.1,0.5199999999999996,0.4400000000000004,1,11,0.24880382775119664,0.17572721627963742
15,and,6.54,6.92,0.3799999999999999,0.6799999999999997,0,3,0.6666666666666682,0.16307788782448254
16,so,7.6,7.72,0.1200000000000001,0.0600000000000005,1,2,0.3157894736842116,0.07745867780473753
17,today,7.78,8.04,0.2599999999999989,0.0600000000000005,1,5,0.27368421052631536,0.16726805332275213
18,we're,8.1,8.24,0.1400000000000005,0.0999999999999996,1,5,0.1473684210526325,0.18380424632065578
19,we're,8.34,8.46,0.120000000000001,0.0,1,5,0.12631578947368557,0.1323853266578778
20,gonna,8.46,8.62,0.1599999999999983,0.1600000000000001,1,5,0.1684210526315776,0.13289915185685716
21,talk,8.78,9.0,0.2200000000000006,0.0199999999999995,1,4,0.2894736842105279,0.18101883562877813
22,about,9.02,9.2,0.1799999999999997,0.0400000000000009,1,5,0.18947368421052646,0.21252785383980494
23,a,9.24,9.26,0.0199999999999995,0.0600000000000005,1,1,0.10526315789473449,0.24426742903495627
24,couple,9.32,9.6,0.2799999999999993,0.0,1,6,0.24561403508771934,0.10707148871504003
25,of,9.6,9.66,0.0600000000000005,0.0399999999999991,1,2,0.15789473684210698,0.1380601433293733
26,the,9.7,9.76,0.0600000000000005,0.0600000000000005,1,3,0.105263157894738,0.07438632506090916
27,most,9.82,10.14,0.3200000000000003,0.0199999999999995,1,4,0.42105263157894884,0.12836432643162268
28,interesting,10.16,10.68,0.5199999999999996,0.08,1,11,0.24880382775119664,0.09261652466463478
29,famous,10.76,11.26,0.5,1.0199999999999996,1,6,0.4385964912280713,0.11073705454496673
30,problems,12.28,12.76,0.4800000000000004,0.0600000000000005,1,8,0.3157894736842116,0.23580433074736962
31,related,12.82,13.18,0.3599999999999994,0.0199999999999995,1,7,0.2706766917293235,0.1481015456179455
32,to,13.2,13.26,0.0600000000000005,0.0400000000000009,1,2,0.15789473684210698,0.03643850207256321
33,conditional,13.3,13.7,0.3999999999999986,0.0400000000000009,1,11,0.19138755980861227,0.058907713429990044
34,probability,13.74,14.34,0.5999999999999996,0.5800000000000001,1,11,0.28708133971291927,0.1123741027540929
35,first,14.92,15.18,0.2599999999999998,0.0600000000000005,1,5,0.27368421052631625,0.09648760016858705
36,one,15.24,15.5,0.2599999999999998,1.3599999999999994,1,3,0.45614035087719385,0.2070295625995766
37,a,16.86,16.94,0.0800000000000018,0.0399999999999991,1,1,0.42105263157895795,0.162899371375439
38,lot,16.98,17.18,0.1999999999999993,0.0199999999999995,1,3,0.3508771929824558,0.42550369061260146
39,of,17.2,17.26,0.0600000000000022,0.0799999999999983,1,2,0.15789473684211147,0.2683900094886617
40,you,17.34,17.4,0.0599999999999987,0.0800000000000018,1,3,0.10526315789473484,0.22474813291606224
41,have,17.48,17.6,0.120000000000001,0.2399999999999984,1,4,0.15789473684210698,0.3271275633512915
42,seen,17.84,18.06,0.2199999999999988,0.360000000000003,0,4,0.2894736842105255,0.18823174741400064
43,in,18.42,18.56,0.139999999999997,0.1000000000000014,1,2,0.368421052631572,0.13305289419694666
44,in,18.66,18.78,0.120000000000001,0.0599999999999987,1,2,0.31578947368421395,0.07687162530106133
45,some,18.84,19.02,0.1799999999999997,0.0599999999999987,1,4,0.2368421052631581,0.19942149110532587
46,form,19.08,19.4,0.3200000000000003,0.5800000000000018,1,4,0.42105263157894884,0.2181102274665483
47,or,19.98,20.14,0.1600000000000001,0.0599999999999987,1,2,0.4210526315789487,0.32408794058119816
48,other,20.2,20.46,0.2600000000000015,0.0399999999999991,1,5,0.2736842105263181,0.5142004030966916
49,and,20.5,20.58,0.0799999999999983,0.0200000000000031,1,3,0.14035087719297984,0.17169247345698038
50,that's,20.6,20.74,0.139999999999997,0.0400000000000027,1,6,0.12280701754385732,0.3975661897679402
51,called,20.78,20.92,0.1400000000000005,0.0199999999999995,1,6,0.12280701754386042,0.3101189591603599
52,the,20.94,21.0,0.0599999999999987,0.0399999999999991,1,3,0.10526315789473484,0.20364647368660382
53,monti,21.04,21.34,0.3000000000000007,0.0599999999999987,1,5,0.3157894736842121,0.21591780922313714
54,hall,21.4,21.62,0.2200000000000024,0.0999999999999978,1,4,0.2894736842105302,0.3338834747219364
55,problem,21.72,22.18,0.4600000000000008,0.4600000000000008,1,7,0.3458646616541368,0.1532266894691278
56,the,22.64,22.74,0.0999999999999978,0.1600000000000001,1,3,0.17543859649122465,0.12279007072156978
57,three,22.9,23.08,0.1799999999999997,0.0600000000000022,1,5,0.18947368421052646,0.08737070883034015
58,three,23.14,23.32,0.1799999999999997,0.0599999999999987,1,5,0.18947368421052646,0.0976880579781483
59,doors,23.38,23.66,0.2800000000000011,0.0399999999999991,1,5,0.2947368421052651,0.2097987494957233
60,problem,23.7,24.06,0.3599999999999994,0.1600000000000001,1,7,0.2706766917293235,0.2143501581162921
61,very,24.22,24.44,0.2200000000000024,0.0599999999999987,1,4,0.2894736842105302,0.32786383886398474
62,very,24.5,24.7,0.1999999999999993,0.0800000000000018,1,4,0.26315789473684187,0.33377806897866197
63,famous,24.78,25.08,0.2999999999999971,0.0400000000000027,1,6,0.26315789473684026,0.15836539437064923
64,problem,25.12,25.54,0.4199999999999981,0.0600000000000022,1,7,0.3157894736842099,0.34029405310473076
65,it,25.6,25.7,0.0999999999999978,0.120000000000001,1,2,0.263157894736837,0.152752789149092
66,was,25.82,25.88,0.0599999999999987,0.4000000000000021,1,3,0.10526315789473484,0.1452281799836337
67,you,26.28,26.34,0.0599999999999987,0.0399999999999991,0,3,0.10526315789473484,0.04319465101743088
68,know,26.38,26.5,0.120000000000001,0.3399999999999998,0,4,0.15789473684210698,0.15445511074393048
69,it's,26.84,26.98,0.1400000000000005,0.0399999999999991,0,4,0.18421052631579063,0.006415343442918984
70,been,27.02,27.16,0.1400000000000005,0.0399999999999991,0,4,0.18421052631579063,0.12624663594617774
71,in,27.2,27.26,0.0600000000000022,0.0599999999999987,0,2,0.15789473684211147,0.14217408415889454
72,movies,27.32,27.88,0.5599999999999987,0.0600000000000022,0,6,0.49122807017543874,0.16143984191575908
73,and,27.94,28.06,0.1199999999999974,0.0600000000000022,0,3,0.21052631578946968,0.13541604781881286
74,tv,28.12,28.5,0.379999999999999,0.1600000000000001,0,2,1.0,0.10618966797924537
75,and,28.66,28.8,0.1400000000000005,0.1999999999999993,0,3,0.24561403508772084,0.09418018533192267
76,all,29.0,29.12,0.120000000000001,0.3000000000000007,0,3,0.210526315789476,0.17030055578272052
77,you,29.42,29.5,0.0799999999999983,0.0399999999999991,1,3,0.14035087719297984,0.030493352332724665
78,know,29.54,29.66,0.120000000000001,0.0599999999999987,1,4,0.15789473684210698,0.11273031956388511
79,new,29.72,29.84,0.120000000000001,0.0,1,3,0.210526315789476,0.11378845865376223
80,york,29.84,30.04,0.1999999999999993,0.0399999999999991,1,4,0.26315789473684187,0.18247937265770625
81,times,30.08,30.38,0.3000000000000007,0.0400000000000027,1,5,0.3157894736842121,0.13769179637572498
82,articles,30.42,30.92,0.5,0.0199999999999995,1,8,0.3289473684210535,0.1331369919647488
83,about,30.94,31.26,0.3200000000000003,0.0199999999999995,1,5,0.33684210526315905,0.18656453071021406
84,this,31.28,31.52,0.2399999999999984,0.6800000000000033,1,4,0.31578947368420923,0.09068097016063012
85,there,32.2,32.36,0.1599999999999966,0.0,1,5,0.1684210526315758,0.3326331042645318
86,are,32.36,32.44,0.0799999999999983,0.0399999999999991,1,3,0.14035087719297984,0.5966251870916802
87,entire,32.48,32.94,0.4600000000000008,0.1000000000000014,1,6,0.4035087719298263,0.34268501176435534
88,books,33.04,33.5,0.4600000000000008,0.1000000000000014,1,5,0.4842105263157916,0.1783742738644593
89,written,33.6,33.94,0.3399999999999963,0.0800000000000054,1,7,0.2556390977443588,0.12893502302244683
90,just,34.02,34.24,0.2199999999999988,0.019999999999996,1,4,0.2894736842105255,0.161424089896312
91,about,34.26,34.52,0.2600000000000051,0.0399999999999991,1,5,0.2736842105263219,0.2989787501054206
92,that,34.56,34.7,0.1400000000000005,0.0799999999999983,1,4,0.18421052631579063,0.11854905012044778
93,this,34.78,34.92,0.1400000000000005,0.0799999999999983,1,4,0.18421052631579063,0.09184297820909723
94,this,35.0,35.14,0.1400000000000005,0.0600000000000022,1,4,0.18421052631579063,0.055790660011984926
95,problem,35.2,35.64,0.4399999999999977,0.0600000000000022,1,7,0.3308270676691721,0.25104551070008174
96,pop,35.7,35.9,0.1999999999999957,0.0399999999999991,1,3,0.3508771929824495,0.33082404139632643
97,popular,35.94,36.42,0.480000000000004,0.2199999999999988,1,7,0.3609022556391017,0.23251582588146152
98,books,36.64,36.98,0.3399999999999963,0.0800000000000054,1,5,0.35789473684210227,0.08320213886936105
99,on,37.06,37.28,0.2199999999999988,0.6799999999999997,1,2,0.578947368421051,0.2550966362451819
100,just,37.96,38.18,0.2199999999999988,0.0200000000000031,1,4,0.2894736842105255,0.12898138959158506
101,this,38.2,38.36,0.1599999999999966,0.0399999999999991,1,4,0.21052631578946976,0.0849041524814398
102,problem,38.4,38.66,0.259999999999998,0.2600000000000051,1,7,0.1954887218045103,0.2538219820091523
103,entire,38.92,39.26,0.3399999999999963,0.0399999999999991,1,6,0.29824561403508526,0.15182028353950575
104,problem,39.3,39.68,0.3800000000000025,0.259999999999998,1,7,0.28571428571428836,0.11793192919504251
105,okay,39.94,40.12,0.1799999999999997,0.0399999999999991,1,4,0.2368421052631581,0.3009642731185153
106,so,40.16,40.26,0.1000000000000014,0.1000000000000014,1,2,0.2631578947368465,0.13972958795142648
107,obviously,40.36,40.78,0.4200000000000017,0.0799999999999983,1,9,0.24561403508772095,0.273517357104458
108,it,40.86,40.92,0.0600000000000022,0.019999999999996,1,2,0.15789473684211147,0.11541597406521525
109,before,40.94,41.22,0.2800000000000011,0.0399999999999991,1,6,0.2456140350877209,0.11646171027225756
110,but,41.26,41.36,0.1000000000000014,0.0600000000000022,1,3,0.17543859649123097,0.3217901548703595
111,i'm,41.42,41.5,0.0799999999999983,0.0200000000000031,1,3,0.14035087719297984,0.28880727017667596
112,not,41.52,41.6,0.0799999999999983,0.0599999999999951,1,3,0.14035087719297984,0.3141570386281274
113,assuming,41.66,42.06,0.4000000000000057,0.0,1,8,0.26315789473684653,0.11757859505668546
114,you've,42.06,42.16,0.0999999999999943,0.0400000000000062,1,6,0.08771929824560926,0.0782999697029513
115,seen,42.2,42.42,0.2199999999999988,0.0399999999999991,1,4,0.2894736842105255,0.07233565696233513
116,it,42.46,42.54,0.0799999999999983,0.3200000000000003,1,2,0.21052631578946976,0.07422208538122974
117,even,42.86,43.06,0.2000000000000028,0.0399999999999991,1,4,0.2631578947368465,0.20563418395622315
118,if,43.1,43.2,0.1000000000000014,0.019999999999996,1,2,0.2631578947368465,0.12604282215179433
119,you,43.22,43.28,0.0600000000000022,0.1199999999999974,1,3,0.10526315789474097,0.21315371893224075
120,have,43.4,43.56,0.1600000000000037,0.0399999999999991,1,4,0.21052631578947908,0.6799348027634254
121,seen,43.6,43.8,0.1999999999999957,0.0200000000000031,1,4,0.26315789473683715,0.14500458898368648
122,it,43.82,43.92,0.1000000000000014,0.0399999999999991,1,2,0.2631578947368465,0.14176527435554312
123,though,43.96,44.16,0.1999999999999957,0.1200000000000045,1,6,0.17543859649122476,0.3937483677661005
124,then,44.28,44.5,0.2199999999999988,0.0799999999999983,1,4,0.2894736842105255,0.13480777861718912
125,i'm,44.58,44.7,0.1200000000000045,0.0599999999999951,1,3,0.21052631578948214,0.13058671161106372
126,hoping,44.76,45.04,0.2800000000000011,0.0399999999999991,1,6,0.2456140350877209,0.13375914296759905
127,i,45.08,45.12,0.0399999999999991,0.0800000000000054,1,1,0.21052631578946948,0.2242206785458741
128,can,45.2,45.3,0.0999999999999943,0.0800000000000054,1,3,0.1754385964912185,0.06913084405068928
129,give,45.38,45.5,0.1199999999999974,0.0399999999999991,1,4,0.15789473684210226,0.13963709832672833
130,you,45.54,45.6,0.0600000000000022,0.0599999999999951,1,3,0.10526315789474097,0.14357954026420863
131,some,45.66,45.78,0.1200000000000045,0.019999999999996,1,4,0.1578947368421116,0.10831138292699458
132,additional,45.8,46.36,0.5600000000000023,0.2999999999999971,1,10,0.29473684210526513,0.1558889555547298
133,ways,46.66,46.9,0.240000000000002,0.0200000000000031,1,4,0.31578947368421395,0.16589096538174544
134,to,46.92,47.0,0.0799999999999983,0.0799999999999983,1,2,0.21052631578946976,0.05988069469965416
135,think,47.08,47.26,0.1799999999999997,0.0200000000000031,1,5,0.18947368421052646,0.09184971544952228
136,about,47.28,47.62,0.3399999999999963,0.0200000000000031,1,5,0.35789473684210227,0.19328517356638403
137,it,47.64,47.82,0.1799999999999997,0.4200000000000017,1,2,0.4736842105263162,0.11013310646649282
138,and,48.24,48.54,0.2999999999999971,0.6400000000000006,0,3,0.5263157894736805,0.07078807867755038
