,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,the,5.38,5.38,3,0.0,0.0,inf,2.1799999999999997,5.38
1,the,7.56,7.56,3,0.0,0.0,inf,2.1000000000000005,7.56
2,the,9.66,9.66,3,0.0,0.0,inf,1.6199999999999992,9.66
3,the,11.28,11.28,3,0.0,0.0,inf,1.2800000000000011,11.28
4,uh,12.56,12.56,2,0.0,0.0,inf,0.33999999999999986,12.56
5,all,12.9,13.0,3,0.0999999999999996,0.0333333333333332,30.000000000000107,0.019999999999999574,12.95
6,right,13.02,13.12,5,0.0999999999999996,0.01999999999999992,50.00000000000018,0.02000000000000135,13.07
7,i,13.14,13.16,1,0.0199999999999995,0.0199999999999995,50.000000000001066,0.03999999999999915,13.15
8,want,13.2,13.34,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.0,13.27
9,to,13.34,13.4,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.03999999999999915,13.370000000000001
10,see,13.44,13.6,3,0.1600000000000001,0.053333333333333365,18.749999999999982,0.0600000000000005,13.52
11,a,13.66,13.7,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.0600000000000005,13.68
12,show,13.76,13.96,4,0.200000000000001,0.05000000000000025,19.999999999999893,0.0,13.86
13,of,13.96,14.0,2,0.0399999999999991,0.01999999999999955,50.000000000001066,0.03999999999999915,13.98
14,hands,14.04,14.34,5,0.3000000000000007,0.060000000000000143,16.66666666666663,0.040000000000000924,14.19
15,how,14.38,14.5,3,0.1199999999999992,0.03999999999999974,25.000000000000163,0.019999999999999574,14.440000000000001
16,many,14.52,14.66,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.03999999999999915,14.59
17,of,14.7,14.74,2,0.0400000000000009,0.02000000000000045,49.99999999999885,0.03999999999999915,14.719999999999999
18,you,14.78,14.84,3,0.0600000000000005,0.020000000000000167,49.99999999999959,0.040000000000000924,14.809999999999999
19,have,14.88,15.0,4,0.1199999999999992,0.0299999999999998,33.33333333333355,0.16000000000000014,14.940000000000001
20,underfriended,15.16,15.82,13,0.6600000000000001,0.05076923076923078,19.69696969696969,0.0600000000000005,15.49
21,someone,15.88,16.18,7,0.2999999999999989,0.0428571428571427,23.333333333333417,0.03999999999999915,16.03
22,on,16.22,16.32,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.0799999999999983,16.27
23,facebook,16.4,17.0,8,0.6000000000000014,0.07500000000000018,13.333333333333302,0.16000000000000014,16.7
24,because,17.16,17.56,7,0.3999999999999986,0.05714285714285694,17.500000000000064,0.019999999999999574,17.36
25,they,17.58,17.66,4,0.0800000000000018,0.02000000000000045,49.99999999999885,0.05999999999999872,17.619999999999997
26,said,17.72,17.9,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.0400000000000027,17.81
27,something,17.94,18.32,9,0.379999999999999,0.04222222222222211,23.68421052631585,0.05999999999999872,18.130000000000003
28,offensive,18.38,19.04,9,0.6600000000000001,0.07333333333333335,13.636363636363631,0.060000000000002274,18.71
29,about,19.1,19.42,5,0.3200000000000003,0.06400000000000006,15.624999999999986,0.09999999999999787,19.26
30,politics,19.52,20.18,8,0.6600000000000001,0.08250000000000002,12.12121212121212,0.08000000000000185,19.85
31,or,20.26,20.36,2,0.0999999999999978,0.0499999999999989,20.000000000000423,0.08000000000000185,20.310000000000002
32,religion,20.44,20.96,8,0.5199999999999996,0.06499999999999995,15.384615384615396,0.23999999999999844,20.700000000000003
33,child,21.2,21.54,5,0.3399999999999998,0.06799999999999996,14.705882352941185,0.03999999999999915,21.369999999999997
34,care,21.58,21.92,4,0.3400000000000034,0.08500000000000085,11.764705882352825,0.5599999999999987,21.75
35,food,22.48,22.98,4,0.5,0.125,8.0,2.3000000000000007,22.73
36,and,25.28,25.46,3,0.1799999999999997,0.059999999999999894,16.666666666666693,0.05999999999999872,25.37
37,how,25.52,25.64,3,0.120000000000001,0.040000000000000334,24.999999999999797,0.03999999999999915,25.58
38,many,25.68,25.82,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.03999999999999915,25.75
39,of,25.86,25.88,2,0.0199999999999995,0.00999999999999975,100.00000000000212,0.0400000000000027,25.869999999999997
40,you,25.92,25.98,3,0.0599999999999987,0.019999999999999567,50.000000000001066,0.0799999999999983,25.950000000000003
41,know,26.06,26.18,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.03999999999999915,26.119999999999997
42,at,26.22,26.3,2,0.0800000000000018,0.0400000000000009,24.999999999999424,0.019999999999999574,26.259999999999998
43,least,26.32,26.66,5,0.3399999999999998,0.06799999999999996,14.705882352941185,0.03999999999999915,26.490000000000002
44,one,26.7,26.92,3,0.2200000000000024,0.07333333333333412,13.636363636363487,0.05999999999999872,26.810000000000002
45,person,26.98,27.3,6,0.3200000000000003,0.05333333333333338,18.749999999999982,0.03999999999999915,27.14
46,that,27.34,27.46,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.019999999999999574,27.4
47,you,27.48,27.56,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.060000000000002274,27.52
48,avoid,27.62,28.02,5,0.3999999999999986,0.07999999999999971,12.500000000000044,0.03999999999999915,27.82
49,because,28.06,28.32,7,0.2600000000000015,0.03714285714285736,26.92307692307676,0.03999999999999915,28.189999999999998
50,you,28.36,28.42,3,0.0600000000000022,0.020000000000000732,49.9999999999981,0.2799999999999976,28.39
51,just,28.7,28.98,4,0.2800000000000011,0.07000000000000027,14.285714285714228,0.0799999999999983,28.84
52,don't,29.06,29.3,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.0799999999999983,29.18
53,want,29.38,29.54,4,0.1600000000000001,0.04000000000000002,24.99999999999998,0.0,29.46
54,to,29.54,29.58,2,0.0399999999999991,0.01999999999999955,50.000000000001066,0.0400000000000027,29.56
55,talk,29.62,29.82,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.03999999999999915,29.72
56,to,29.86,29.92,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.03999999999999915,29.89
57,them,29.96,30.1,4,0.1400000000000005,0.03500000000000013,28.571428571428456,3.0,30.03
58,you,33.1,33.16,3,0.0599999999999951,0.019999999999998366,50.00000000000403,0.020000000000003126,33.129999999999995
59,know,33.18,33.24,4,0.0600000000000022,0.01500000000000055,66.66666666666414,0.03999999999999915,33.21
60,it,33.28,33.32,2,0.0399999999999991,0.01999999999999955,50.000000000001066,0.03999999999999915,33.3
61,used,33.36,33.54,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.0,33.45
62,to,33.54,33.6,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.01999999999999602,33.57
63,be,33.62,33.66,2,0.0399999999999991,0.01999999999999955,50.000000000001066,0.060000000000002274,33.64
64,that,33.72,33.82,4,0.1000000000000014,0.02500000000000035,39.99999999999943,0.020000000000003126,33.769999999999996
65,in,33.84,33.88,2,0.0399999999999991,0.01999999999999955,50.000000000001066,0.03999999999999915,33.86
66,order,33.92,34.1,5,0.1799999999999997,0.035999999999999935,27.77777777777782,0.0,34.010000000000005
67,to,34.1,34.1,2,0.0,0.0,inf,0.05999999999999517,34.1
68,have,34.16,34.28,4,0.1200000000000045,0.030000000000001126,33.33333333333207,0.0,34.22
69,a,34.28,34.32,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.03999999999999915,34.3
70,polite,34.36,34.66,6,0.2999999999999971,0.04999999999999952,20.00000000000019,0.020000000000003126,34.51
71,conversation,34.68,35.32,12,0.6400000000000006,0.05333333333333338,18.749999999999982,0.0799999999999983,35.0
72,we,35.4,35.48,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.0800000000000054,35.44
73,just,35.56,35.68,4,0.1199999999999974,0.02999999999999935,33.333333333334046,0.03999999999999915,35.620000000000005
74,had,35.72,35.84,3,0.1200000000000045,0.0400000000000015,24.99999999999905,0.0,35.78
75,to,35.84,35.9,2,0.0599999999999951,0.02999999999999755,33.333333333336014,0.03999999999999915,35.870000000000005
76,follow,35.94,36.16,6,0.2199999999999988,0.036666666666666466,27.27272727272741,0.04000000000000625,36.05
77,the,36.2,36.24,3,0.0399999999999991,0.013333333333333032,75.0000000000016,0.05999999999999517,36.22
78,advice,36.3,36.6,6,0.3000000000000042,0.050000000000000704,19.99999999999972,0.01999999999999602,36.45
79,of,36.62,36.68,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.060000000000002274,36.65
80,henry,36.74,36.96,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.060000000000002274,36.85
81,higgins,37.02,37.3,7,0.279999999999994,0.03999999999999914,25.000000000000533,0.020000000000003126,37.16
82,in,37.32,37.38,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.01999999999999602,37.35
83,my,37.4,37.5,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.0799999999999983,37.45
84,fair,37.58,37.78,4,0.2000000000000028,0.0500000000000007,19.99999999999972,0.01999999999999602,37.68
85,lady,37.8,38.04,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.0799999999999983,37.92
86,stick,38.12,38.36,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.060000000000002274,38.239999999999995
87,to,38.42,38.52,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.03999999999999915,38.47
88,the,38.56,38.62,3,0.0599999999999951,0.019999999999998366,50.00000000000403,0.03999999999999915,38.59
89,weather,38.66,38.94,7,0.2800000000000011,0.040000000000000153,24.999999999999897,0.03999999999999915,38.8
90,and,38.98,39.08,3,0.1000000000000014,0.0333333333333338,29.999999999999574,0.060000000000002274,39.03
91,your,39.14,39.24,4,0.1000000000000014,0.02500000000000035,39.99999999999943,0.03999999999999915,39.19
92,health,39.28,39.62,6,0.3399999999999963,0.05666666666666605,17.647058823529605,0.6799999999999997,39.45
93,but,40.3,40.48,3,0.1799999999999997,0.059999999999999894,16.666666666666693,0.5200000000000031,40.39
