,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,the,3.92,3.92,3,0.0,0.0,inf,9.28,3.92
1,the,13.2,13.2,3,0.0,0.0,inf,1.0200000000000014,13.2
2,okay,14.22,14.58,4,0.3599999999999994,0.08999999999999984,11.111111111111128,0.4599999999999991,14.4
3,okay,15.04,15.46,4,0.4200000000000017,0.10500000000000043,9.523809523809485,0.8399999999999999,15.25
4,okay,16.3,16.52,4,0.2199999999999988,0.0549999999999997,18.18181818181828,0.03999999999999915,16.41
5,now,16.56,16.64,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.05999999999999872,16.6
6,i,16.7,16.76,1,0.0600000000000022,0.0600000000000022,16.666666666666035,0.03999999999999915,16.73
7,don't,16.8,16.88,5,0.0799999999999983,0.01599999999999966,62.500000000001336,0.0400000000000027,16.84
8,want,16.92,17.04,4,0.1199999999999974,0.02999999999999935,33.333333333334046,0.0,16.98
9,to,17.04,17.1,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.4799999999999969,17.07
10,alarm,17.58,17.98,5,0.4000000000000021,0.08000000000000042,12.499999999999934,0.03999999999999915,17.78
11,anybody,18.02,18.38,7,0.3599999999999994,0.05142857142857134,19.444444444444475,0.0400000000000027,18.2
12,in,18.42,18.48,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.03999999999999915,18.450000000000003
13,this,18.52,18.68,4,0.1600000000000001,0.04000000000000002,24.99999999999998,0.08000000000000185,18.6
14,room,18.76,19.14,4,0.379999999999999,0.09499999999999975,10.526315789473712,1.7199999999999989,18.950000000000003
15,but,20.86,20.98,3,0.120000000000001,0.040000000000000334,24.999999999999797,0.019999999999999574,20.92
16,it's,21.0,21.12,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.0799999999999983,21.060000000000002
17,just,21.2,21.38,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.060000000000002274,21.29
18,come,21.44,21.56,4,0.1199999999999974,0.02999999999999935,33.333333333334046,0.0400000000000027,21.5
19,to,21.6,21.66,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.03999999999999915,21.630000000000003
20,my,21.7,21.76,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.03999999999999915,21.73
21,attention,21.8,22.18,9,0.379999999999999,0.04222222222222211,23.68421052631585,0.03999999999999915,21.990000000000002
22,that,22.22,22.3,4,0.0800000000000018,0.02000000000000045,49.99999999999885,0.019999999999999574,22.259999999999998
23,the,22.32,22.38,3,0.0599999999999987,0.019999999999999567,50.000000000001066,0.060000000000002274,22.35
24,person,22.44,22.74,6,0.2999999999999971,0.04999999999999952,20.00000000000019,0.0400000000000027,22.59
25,to,22.78,22.86,2,0.0799999999999983,0.03999999999999915,25.000000000000533,0.019999999999999574,22.82
26,your,22.88,23.0,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.0799999999999983,22.939999999999998
27,right,23.08,23.3,5,0.2200000000000024,0.044000000000000476,22.72727272727248,0.03999999999999915,23.189999999999998
28,is,23.34,23.42,2,0.0800000000000018,0.0400000000000009,24.999999999999424,0.03999999999999915,23.380000000000003
29,a,23.46,23.5,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.05999999999999872,23.48
30,liar,23.56,23.98,4,0.4200000000000017,0.10500000000000043,9.523809523809485,2.3000000000000007,23.77
31,also,26.28,26.68,4,0.3999999999999986,0.09999999999999964,10.000000000000036,0.7199999999999989,26.48
