,Unnamed: 0,Word,Start,End,Conf,time_spent,length,std_time_spent,post_space,amplitude
0,0,i,2.67,2.82,100.0,0.15,1,0.6011793274997194,0.0,0.3990385196161685
1,1,met,2.82,3.03,100.0,0.21,3,0.2466720630550254,0.0,0.44045362972437135
2,2,a,3.03,3.09,100.0,0.06,1,0.20235865499943867,0.0,0.14734238398443925
3,3,traveller,3.09,3.69,100.0,0.6,9,0.2319009270364965,0.0,0.1863779528288605
4,4,from,3.69,3.96,100.0,0.27,4,0.23559371104112875,0.0,0.604472931118025
5,5,an,3.96,4.08,100.0,0.12,2,0.20235865499943867,0.0,0.6929871565100719
6,6,antique,4.08,4.59,100.0,0.51,7,0.2593330367851931,0.0,0.42578941027514966
7,7,land,4.59,5.04,100.0,0.45,4,0.4350040472912691,0.0,0.20320009313520396
8,8,who,5.04,5.16,100.0,0.12,3,0.11373183888826521,0.0,0.0
9,9,said,5.16,5.55,100.0,0.39,4,0.368533935207889,0.6600000000000001,0.09650192803902469
10,10,two,6.21,6.45,100.0,0.24,3,0.2909854711106122,0.0,0.3990680096854848
11,11,vast,6.45,7.17,100.0,0.72,4,0.7341195516664796,0.0,0.13053066197308066
12,12,and,7.17,7.35,100.0,0.18,3,0.20235865499943867,0.0600000000000005,0.07639703063297863
13,13,trunk,7.41,7.77,100.0,0.36,5,0.25553474466614273,0.0,0.5849497757735552
14,14,lists,7.77,8.01,95.5073,0.24,5,0.1491825653327346,0.0,0.477455539109925
15,15,legs,8.01,8.52,100.0,0.51,4,0.5014741593746492,0.0,0.24146977074933262
16,16,of,8.52,8.67,100.0,0.15,2,0.2688287670828188,0.0,0.0497338900679573
17,17,stone,8.67,9.27,100.0,0.6,5,0.46823910333295915,0.0,0.18839281637088873
18,18,stand,9.27,9.81,100.0,0.54,5,0.41506301366625514,0.0,0.6546859951040193
19,19,in,9.81,9.93,100.0,0.12,2,0.20235865499943867,0.0,0.34789091515706183
20,20,the,9.93,10.05,100.0,0.12,3,0.11373183888826521,0.0,0.1881893507759475
21,21,desert,10.05,10.56,100.0,0.51,6,0.3131421751384056,0.7199999999999989,0.07838572178606952
22,22,near,11.28,11.58,100.0,0.3,4,0.2688287670828188,0.0,0.8731323805417252
23,23,them,11.58,12.0,100.0,0.42,4,0.40176899124957904,0.11999999999999922,0.4434214823658456
24,24,on,12.12,12.3,100.0,0.18,2,0.33529887916619894,0.0,0.4050903842240424
25,25,the,12.3,12.39,100.0,0.09,3,0.06941843083267847,0.0,0.252510042131885
26,26,sand,12.39,13.05,100.0,0.66,4,0.6676494395830995,0.14999999999999858,0.2215250135322253
27,27,half,13.2,13.47,100.0,0.27,4,0.23559371104112875,0.0,1.0
28,28,sunk,13.47,13.98,100.0,0.51,4,0.5014741593746492,0.17999999999999972,0.42633226756549486
29,29,a,14.16,14.22,100.0,0.06,1,0.20235865499943867,0.0,0.18151106779861356
30,30,shattered,14.22,14.76,100.0,0.54,9,0.2023586549994387,0.0,0.25447612518921703
31,31,visage,14.76,15.42,100.0,0.66,6,0.42392569527737245,0.0,0.7337204611525835
32,32,lies,15.42,16.08,100.0,0.66,4,0.6676494395830995,0.09000000000000341,0.2417232803813905
33,33,whose,16.17,16.47,100.0,0.3,5,0.20235865499943867,0.0,0.1617544508760699
34,34,frown,16.47,17.04,100.0,0.57,5,0.44165105849960706,0.0,0.6724021309470772
35,35,and,17.04,17.25,100.0,0.21,3,0.2466720630550254,0.05999999999999872,0.7157842318500325
36,36,wrinkled,17.31,17.82,100.0,0.51,8,0.2189761830202837,0.0,0.3395261042821931
37,37,lip,17.82,18.18,100.0,0.36,3,0.46823910333295915,0.240000000000002,0.1247846281498889
38,38,and,18.42,18.6,100.0,0.18,3,0.20235865499943867,0.0,0.4525373350057315
39,39,sneer,18.6,19.26,100.0,0.66,5,0.5214151929996633,0.0,0.6883824677326423
40,40,of,19.26,19.38,100.0,0.12,2,0.20235865499943867,0.0,0.23307161264485113
41,41,cold,19.38,19.74,100.0,0.36,4,0.33529887916619894,0.0,0.19189030153066433
42,42,command,19.74,20.16,100.0,0.42,7,0.20235865499943867,0.0,0.27732317352501235
43,43,and,20.16,20.34,100.0,0.18,3,0.20235865499943867,0.33000000000000185,0.13225426916623978
44,44,tell,20.67,21.06,100.0,0.39,4,0.368533935207889,0.0,0.656184061121186
45,45,that,21.06,21.27,100.0,0.21,4,0.16912359895774862,0.0,0.4921316923833816
46,46,it's,21.27,21.48,100.0,0.21,4,0.16912359895774862,0.0,0.1720998228383519
47,47,sculptor,21.48,22.08,100.0,0.6,8,0.2688287670828188,0.0,0.13292539325717775
48,48,well,22.08,22.47,100.0,0.39,4,0.368533935207889,0.0,0.6169375886626832
49,49,those,22.47,22.83,100.0,0.36,5,0.25553474466614273,0.0,0.7490651293592951
50,50,passions,22.83,23.4,100.0,0.57,8,0.25221123906197374,0.0,0.2913672698541023
51,51,read,23.4,23.79,100.0,0.39,4,0.368533935207889,0.030000000000001137,0.15384525446895359
52,52,which,23.82,24.06,100.0,0.24,5,0.1491825653327346,0.0,0.09774173308513555
53,53,yet,24.06,24.3,100.0,0.24,3,0.2909854711106122,0.0,0.8746481895175512
54,54,survive,24.3,25.05,100.0,0.75,7,0.4112647215472048,0.4800000000000004,0.3432740656768198
55,55,stamped,25.53,26.25,100.0,0.72,7,0.3922732609519533,0.0,0.42099149077962517
56,56,on,26.25,26.43,100.0,0.18,2,0.33529887916619894,0.0,0.5830165378961585
57,57,these,26.43,27.09,100.0,0.66,5,0.5214151929996633,0.4800000000000004,0.2178772278486127
58,58,lifeless,27.57,28.14,100.0,0.57,8,0.25221123906197374,0.0,0.6128887579137673
59,59,things,28.14,28.74,100.0,0.6,6,0.37961228722178564,1.6500000000000021,0.41034211083509886
60,61,have,30.39,30.87,100.0,0.48,4,0.46823910333295915,1.2600000000000016,0.6110725106712886
61,62,a,32.13,32.19,100.0,0.06,1,0.20235865499943867,0.0,0.36006523111562344
62,63,heart,32.19,32.61,100.0,0.42,5,0.30871083433284685,0.0,0.21169660053459163
