,Word,Start,End,length,time_spent,std_time_spent,speed,post_space,time
0,the,5.38,5.38,3,0.0,0.0,inf,2.1799999999999997,5.38
1,the,7.56,7.56,3,0.0,0.0,inf,2.1000000000000005,7.56
2,the,9.66,9.66,3,0.0,0.0,inf,1.6199999999999992,9.66
3,the,11.28,11.28,3,0.0,0.0,inf,1.3800000000000008,11.28
4,so,12.66,12.78,2,0.1199999999999992,0.0599999999999996,16.666666666666774,0.0600000000000005,12.719999999999999
5,in,12.84,12.9,2,0.0600000000000005,0.03000000000000025,33.33333333333306,0.0600000000000005,12.870000000000001
6,college,12.96,13.58,7,0.6199999999999992,0.08857142857142845,11.290322580645176,1.8399999999999999,13.27
7,i,15.42,15.52,1,0.0999999999999996,0.0999999999999996,10.000000000000036,0.0600000000000005,15.469999999999999
8,was,15.58,15.68,3,0.0999999999999996,0.0333333333333332,30.000000000000107,0.019999999999999574,15.629999999999999
9,a,15.7,15.74,1,0.0400000000000009,0.0400000000000009,24.999999999999424,0.03999999999999915,15.719999999999999
10,government,15.78,16.18,10,0.4000000000000003,0.04000000000000003,24.99999999999998,0.019999999999999574,15.98
11,major,16.2,16.6,5,0.4000000000000021,0.08000000000000042,12.499999999999934,0.35999999999999943,16.4
12,which,16.96,17.1,5,0.1400000000000005,0.0280000000000001,35.714285714285566,0.05999999999999872,17.03
13,means,17.16,17.34,5,0.1799999999999997,0.035999999999999935,27.77777777777782,0.03999999999999915,17.25
14,i,17.38,17.42,1,0.0400000000000027,0.0400000000000027,24.999999999998312,0.05999999999999872,17.4
15,had,17.48,17.62,3,0.1400000000000005,0.046666666666666835,21.428571428571345,0.019999999999999574,17.55
16,to,17.64,17.7,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.03999999999999915,17.67
17,write,17.74,17.92,5,0.1800000000000032,0.03600000000000064,27.777777777777278,0.03999999999999915,17.83
18,a,17.96,17.98,1,0.0199999999999995,0.0199999999999995,50.000000000001066,0.03999999999999915,17.97
19,lot,18.02,18.16,3,0.1400000000000005,0.046666666666666835,21.428571428571345,0.019999999999999574,18.09
20,of,18.18,18.24,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.060000000000002274,18.21
21,papers,18.3,18.86,6,0.5599999999999987,0.09333333333333312,10.714285714285738,0.6000000000000014,18.58
22,now,19.46,19.66,3,0.1999999999999993,0.06666666666666643,15.000000000000052,0.10000000000000142,19.560000000000002
23,in,19.76,19.82,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.019999999999999574,19.79
24,a,19.84,19.88,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.019999999999999574,19.86
25,normal,19.9,20.16,6,0.2600000000000015,0.043333333333333585,23.076923076922935,0.03999999999999915,20.03
26,student,20.2,20.44,7,0.240000000000002,0.03428571428571457,29.166666666666423,0.019999999999999574,20.32
27,writes,20.46,20.64,6,0.1799999999999997,0.029999999999999947,33.333333333333385,0.0,20.55
28,a,20.64,20.68,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.019999999999999574,20.66
29,paper,20.7,20.94,5,0.240000000000002,0.048000000000000397,20.83333333333316,0.019999999999999574,20.82
30,they,20.96,21.02,4,0.0599999999999987,0.014999999999999675,66.66666666666809,0.019999999999999574,20.990000000000002
31,might,21.04,21.16,5,0.120000000000001,0.024000000000000198,41.66666666666632,0.019999999999999574,21.1
32,spread,21.18,21.44,6,0.2600000000000015,0.043333333333333585,23.076923076922935,0.019999999999999574,21.310000000000002
33,the,21.46,21.5,3,0.0399999999999991,0.013333333333333032,75.0000000000016,0.03999999999999915,21.48
34,work,21.54,21.74,4,0.1999999999999993,0.04999999999999982,20.00000000000007,0.0400000000000027,21.64
35,out,21.78,21.86,3,0.0799999999999983,0.0266666666666661,37.5000000000008,0.019999999999999574,21.82
36,a,21.88,21.9,1,0.0199999999999995,0.0199999999999995,50.000000000001066,0.0,21.89
37,little,21.9,22.04,6,0.1400000000000005,0.023333333333333418,42.85714285714269,0.060000000000002274,21.97
38,like,22.1,22.26,4,0.1600000000000001,0.04000000000000002,24.99999999999998,0.03999999999999915,22.18
39,this,22.3,22.56,4,0.259999999999998,0.0649999999999995,15.384615384615502,1.3000000000000007,22.43
40,so,23.86,23.96,2,0.1000000000000014,0.0500000000000007,19.99999999999972,0.05999999999999872,23.91
41,you,24.02,24.06,3,0.0399999999999991,0.013333333333333032,75.0000000000016,0.0400000000000027,24.04
42,know,24.1,24.22,4,0.1199999999999974,0.02999999999999935,33.333333333334046,2.620000000000001,24.16
43,you,26.84,27.08,3,0.2399999999999984,0.07999999999999947,12.500000000000082,0.10000000000000142,26.96
44,get,27.18,27.32,3,0.1400000000000005,0.046666666666666835,21.428571428571345,0.03999999999999915,27.25
45,started,27.36,27.64,7,0.2800000000000011,0.040000000000000153,24.999999999999897,0.019999999999999574,27.5
46,maybe,27.66,27.78,5,0.120000000000001,0.024000000000000198,41.66666666666632,0.03999999999999915,27.72
47,a,27.82,27.82,1,0.0,0.0,inf,0.03999999999999915,27.82
48,little,27.86,28.0,6,0.1400000000000005,0.023333333333333418,42.85714285714269,0.03999999999999915,27.93
49,slowly,28.04,28.38,6,0.3399999999999998,0.056666666666666636,17.64705882352942,0.120000000000001,28.21
50,you,28.5,28.54,3,0.0399999999999991,0.013333333333333032,75.0000000000016,0.03999999999999915,28.52
51,get,28.58,28.66,3,0.0800000000000018,0.02666666666666727,37.49999999999913,0.019999999999999574,28.619999999999997
52,enough,28.68,28.94,6,0.2600000000000015,0.043333333333333585,23.076923076922935,0.05999999999999872,28.810000000000002
53,done,29.0,29.16,4,0.1600000000000001,0.04000000000000002,24.99999999999998,0.019999999999999574,29.08
54,in,29.18,29.24,2,0.0599999999999987,0.02999999999999935,33.333333333334046,0.020000000000003126,29.21
55,the,29.26,29.3,3,0.0399999999999991,0.013333333333333032,75.0000000000016,0.05999999999999872,29.28
56,first,29.36,29.62,5,0.2600000000000015,0.0520000000000003,19.23076923076912,0.05999999999999872,29.490000000000002
57,week,29.68,29.92,4,0.240000000000002,0.0600000000000005,16.66666666666653,0.05999999999999872,29.8
58,that,29.98,30.16,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.26000000000000156,30.07
59,was,30.42,30.54,3,0.1199999999999974,0.039999999999999133,25.000000000000533,0.019999999999999574,30.48
60,some,30.56,30.68,4,0.120000000000001,0.03000000000000025,33.33333333333306,0.03999999999999915,30.619999999999997
61,heavier,30.72,31.0,7,0.2800000000000011,0.040000000000000153,24.999999999999897,0.03999999999999915,30.86
62,days,31.04,31.22,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.0400000000000027,31.13
63,later,31.26,31.48,5,0.2199999999999988,0.04399999999999976,22.727272727272844,0.03999999999999915,31.37
64,on,31.52,31.72,2,0.1999999999999993,0.09999999999999964,10.000000000000036,0.6600000000000037,31.619999999999997
65,everything,32.38,32.66,10,0.279999999999994,0.027999999999999397,35.71428571428648,0.060000000000002274,32.519999999999996
66,it's,32.72,32.84,4,0.1200000000000045,0.030000000000001126,33.33333333333207,0.05999999999999517,32.78
67,done,32.9,33.08,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.1600000000000037,32.989999999999995
68,things,33.24,33.44,6,0.1999999999999957,0.03333333333333262,30.00000000000064,0.03999999999999915,33.34
69,taste,33.48,33.68,5,0.2000000000000028,0.040000000000000556,24.999999999999645,0.060000000000002274,33.58
70,civil,33.74,34.06,5,0.3200000000000003,0.06400000000000006,15.624999999999986,1.8999999999999986,33.900000000000006
71,and,35.96,36.08,3,0.1199999999999974,0.039999999999999133,25.000000000000533,0.060000000000002274,36.019999999999996
72,i,36.14,36.18,1,0.0399999999999991,0.0399999999999991,25.000000000000533,0.060000000000002274,36.16
73,would,36.24,36.34,5,0.1000000000000014,0.020000000000000278,49.99999999999929,0.05999999999999517,36.290000000000006
74,want,36.4,36.56,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.0,36.480000000000004
75,to,36.56,36.62,2,0.0599999999999951,0.02999999999999755,33.333333333336014,0.0800000000000054,36.59
76,do,36.7,36.82,2,0.1199999999999974,0.0599999999999987,16.666666666667023,0.14000000000000057,36.760000000000005
77,that,36.96,37.26,4,0.2999999999999971,0.07499999999999928,13.33333333333346,0.0800000000000054,37.11
78,like,37.34,37.52,4,0.1799999999999997,0.04499999999999992,22.222222222222257,0.03999999999999915,37.43000000000001
79,that,37.56,37.84,4,0.2800000000000011,0.07000000000000027,14.285714285714228,0.37999999999999545,37.7
80,that,38.22,38.36,4,0.1400000000000005,0.03500000000000013,28.571428571428456,0.020000000000003126,38.29
81,would,38.38,38.46,5,0.0799999999999983,0.01599999999999966,62.500000000001336,0.01999999999999602,38.42
82,be,38.48,38.54,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.03999999999999915,38.51
83,the,38.58,38.62,3,0.0399999999999991,0.013333333333333032,75.0000000000016,0.060000000000002274,38.599999999999994
84,plan,38.68,39.0,4,0.3200000000000003,0.08000000000000007,12.49999999999999,0.4200000000000017,38.84
85,i,39.42,39.52,1,0.1000000000000014,0.1000000000000014,9.999999999999858,0.1599999999999966,39.47
86,would,39.68,40.02,5,0.3400000000000034,0.06800000000000068,14.705882352941028,0.6999999999999957,39.85
87,i,40.72,40.8,1,0.0799999999999983,0.0799999999999983,12.500000000000266,0.04000000000000625,40.76
88,would,40.84,40.92,5,0.0799999999999983,0.01599999999999966,62.500000000001336,0.05999999999999517,40.88
89,have,40.98,41.14,4,0.1600000000000037,0.040000000000000924,24.999999999999424,0.01999999999999602,41.06
90,it,41.16,41.2,2,0.0400000000000062,0.0200000000000031,49.99999999999218,0.03999999999999915,41.18
91,already,41.24,41.54,7,0.2999999999999971,0.04285714285714244,23.33333333333356,0.03999999999999915,41.39
92,to,41.58,41.64,2,0.0600000000000022,0.0300000000000011,33.33333333333207,0.03999999999999915,41.61
93,go,41.68,41.82,2,0.1400000000000005,0.07000000000000026,14.285714285714228,0.14000000000000057,41.75
