,Unnamed: 0,Word,Start,End,length,time_spent,std_time_spent,post_space,time,speed
0,0,hi,10.18,10.3,2,0.120000000000001,0.0600000000000005,0.08,10.24,16.66666666666653
1,1,everybody,10.38,10.8,9,0.4199999999999999,0.0466666666666666,1.0399999999999991,10.59,21.428571428571434
2,2,my,11.84,11.94,2,0.0999999999999996,0.0499999999999998,0.0600000000000005,11.89,20.000000000000078
3,3,number,12.0,12.2,6,0.1999999999999993,0.0333333333333332,0.0400000000000009,12.1,30.000000000000107
4,4,one,12.24,12.36,3,0.1199999999999992,0.0399999999999997,0.0600000000000005,12.3,25.000000000000167
5,5,priority,12.42,12.78,8,0.3599999999999994,0.0449999999999999,0.0400000000000009,12.6,22.22222222222226
6,6,as,12.82,12.88,2,0.0600000000000005,0.0300000000000002,0.0599999999999987,12.85,33.33333333333306
7,7,president,12.94,13.36,9,0.4199999999999999,0.0466666666666666,0.0200000000000013,13.15,21.428571428571434
8,8,is,13.38,13.46,2,0.08,0.04,0.0599999999999987,13.420000000000002,25.0
9,9,doing,13.52,13.72,5,0.200000000000001,0.0400000000000002,0.0599999999999987,13.62,24.999999999999872
10,10,whatever,13.78,14.18,8,0.4000000000000003,0.05,0.0400000000000009,13.98,19.999999999999986
11,11,i,14.22,14.26,1,0.0399999999999991,0.0399999999999991,0.0999999999999996,14.24,25.000000000000565
12,12,can,14.36,14.54,3,0.1799999999999997,0.0599999999999998,0.0400000000000009,14.45,16.666666666666696
13,13,to,14.58,14.64,2,0.0600000000000005,0.0300000000000002,0.0599999999999987,14.61,33.33333333333306
14,14,create,14.7,14.92,6,0.2200000000000006,0.0366666666666667,0.0600000000000005,14.81,27.272727272727195
15,15,more,14.98,15.18,4,0.1999999999999993,0.0499999999999998,0.0600000000000005,15.08,20.00000000000007
16,16,jobs,15.24,15.62,4,0.379999999999999,0.0949999999999997,0.0200000000000013,15.43,10.526315789473712
17,17,and,15.64,15.72,3,0.08,0.0266666666666666,0.0199999999999995,15.68,37.5
18,18,opportunity,15.74,16.26,11,0.5200000000000014,0.0472727272727274,0.0599999999999987,16.0,21.1538461538461
19,19,for,16.32,16.42,3,0.1000000000000014,0.0333333333333338,0.0399999999999991,16.37,29.99999999999958
20,20,hard,16.46,16.64,4,0.1799999999999997,0.0449999999999999,0.0399999999999991,16.55,22.22222222222226
21,21,working,16.68,16.96,7,0.2800000000000011,0.0400000000000001,0.0599999999999987,16.82,24.999999999999904
22,22,families,17.02,17.48,8,0.4600000000000008,0.0575000000000001,0.6600000000000001,17.25,17.391304347826058
23,23,and,18.14,18.3,3,0.1600000000000001,0.0533333333333333,0.0199999999999995,18.22,18.74999999999999
24,24,yesterday,18.32,18.86,9,0.5399999999999991,0.0599999999999999,0.0600000000000022,18.59,16.666666666666693
25,25,we'd,18.92,19.08,4,0.1599999999999966,0.0399999999999991,0.0600000000000022,19.0,25.000000000000533
26,26,learn,19.14,19.34,5,0.1999999999999993,0.0399999999999998,0.0399999999999991,19.24,25.00000000000009
27,27,the,19.38,19.44,3,0.0600000000000022,0.0200000000000007,0.0999999999999978,19.41,49.99999999999817
28,28,businesses,19.54,20.06,10,0.5199999999999996,0.0519999999999999,0.0800000000000018,19.8,19.230769230769248
29,29,added,20.14,20.5,5,0.3599999999999994,0.0719999999999998,0.3599999999999994,20.32,13.888888888888912
30,30,two,20.86,21.0,3,0.1400000000000005,0.0466666666666668,0.0799999999999983,20.93,21.42857142857135
31,31,hundred,21.08,21.32,7,0.240000000000002,0.0342857142857145,0.0,21.2,29.166666666666426
32,32,and,21.32,21.36,3,0.0399999999999991,0.013333333333333,0.0800000000000018,21.34,75.00000000000169
33,33,seventy,21.44,21.74,7,0.2999999999999971,0.0428571428571424,0.0800000000000018,21.59,23.33333333333356
34,34,three,21.82,22.0,5,0.1799999999999997,0.0359999999999999,0.1600000000000001,21.91,27.777777777777825
35,35,thousand,22.16,22.62,8,0.4600000000000008,0.0575000000000001,0.0599999999999987,22.39,17.391304347826058
36,36,jobs,22.68,23.0,4,0.3200000000000003,0.08,0.0599999999999987,22.84,12.49999999999999
37,37,last,23.06,23.28,4,0.2200000000000024,0.0550000000000006,0.0599999999999987,23.17,18.181818181817984
38,38,month,23.34,23.6,5,0.2600000000000015,0.0520000000000003,0.9199999999999982,23.47,19.23076923076912
39,39,all,24.52,24.7,3,0.1799999999999997,0.0599999999999998,0.0800000000000018,24.61,16.666666666666696
40,40,told,24.78,25.1,4,0.3200000000000003,0.08,0.259999999999998,24.94,12.49999999999999
41,41,our,25.36,25.48,3,0.120000000000001,0.0400000000000003,0.0599999999999987,25.42,24.999999999999794
42,42,businesses,25.54,26.02,10,0.4800000000000004,0.048,0.0199999999999995,25.78,20.833333333333314
43,43,have,26.04,26.12,4,0.0800000000000018,0.0200000000000004,0.0399999999999991,26.08,49.99999999999887
44,44,now,26.16,26.32,3,0.1600000000000001,0.0533333333333333,0.0599999999999987,26.24,18.74999999999999
45,45,created,26.38,26.82,7,0.4400000000000013,0.062857142857143,0.3599999999999994,26.6,15.909090909090862
46,46,nine,27.18,27.46,4,0.2800000000000011,0.0700000000000002,0.0599999999999987,27.32,14.285714285714231
47,47,point,27.52,27.8,5,0.2800000000000011,0.0560000000000002,0.1600000000000001,27.66,17.857142857142787
48,48,two,27.96,28.16,3,0.1999999999999993,0.0666666666666664,0.1400000000000005,28.06,15.000000000000053
49,49,million,28.3,28.62,7,0.3200000000000003,0.0457142857142857,0.0599999999999987,28.46,21.874999999999982
50,50,new,28.68,28.8,3,0.120000000000001,0.0400000000000003,0.0399999999999991,28.74,24.999999999999794
51,51,jobs,28.84,29.3,4,0.4600000000000008,0.1150000000000002,0.5199999999999996,29.07,8.695652173913029
52,52,over,29.82,30.06,4,0.2399999999999984,0.0599999999999996,0.120000000000001,29.94,16.666666666666778
53,53,fifty,30.18,30.56,5,0.379999999999999,0.0759999999999998,0.1400000000000005,30.37,13.15789473684214
54,54,consecutive,30.7,31.3,11,0.6000000000000014,0.0545454545454546,0.0799999999999983,31.0,18.33333333333329
55,55,months,31.38,31.7,6,0.3200000000000003,0.0533333333333333,0.1799999999999997,31.54,18.749999999999982
56,56,of,31.88,31.98,2,0.1000000000000014,0.0500000000000007,0.0599999999999987,31.93,19.999999999999723
57,57,job,32.04,32.28,3,0.240000000000002,0.0800000000000006,0.019999999999996,32.16,12.499999999999897
58,58,growth,32.3,32.6,6,0.3000000000000042,0.0500000000000007,1.1199999999999974,32.45,19.99999999999972
59,59,but,33.72,33.82,3,0.1000000000000014,0.0333333333333338,0.0399999999999991,33.77,29.99999999999958
