,Unnamed: 0,Word,Start,End,length,time_spent,std_time_spent,post_space,time,speed
0,0,the,0.32,0.32,3,0.0,0.0,0.8399999999999999,0.32,inf
1,1,the,1.16,1.16,3,0.0,0.0,0.4600000000000002,1.16,inf
2,2,the,1.62,1.68,3,0.0599999999999998,0.0199999999999999,4.12,1.65,50.00000000000017
3,3,the,5.8,5.8,3,0.0,0.0,2.140000000000001,5.8,inf
4,4,the,7.94,7.94,3,0.0,0.0,1.46,7.94,inf
5,5,the,9.4,9.4,3,0.0,0.0,1.1799999999999995,9.4,inf
6,6,the,10.58,10.58,3,0.0,0.0,3.76,10.58,inf
7,7,the,14.34,14.34,3,0.0,0.0,10.28,14.34,inf
8,8,yeah,24.62,24.62,4,0.0,0.0,1.7799999999999976,24.62,inf
9,9,mm-hmm,26.4,26.4,6,0.0,0.0,1.6799999999999995,26.4,inf
10,10,thank,28.08,28.26,5,0.1800000000000032,0.0360000000000006,0.0,28.17,27.77777777777728
11,11,you,28.26,28.32,3,0.0599999999999987,0.0199999999999995,0.0599999999999987,28.29,50.00000000000108
12,12,so,28.38,28.48,2,0.1000000000000014,0.0500000000000007,0.0599999999999987,28.43,19.999999999999723
13,13,much,28.54,28.74,4,0.1999999999999993,0.0499999999999998,0.0800000000000018,28.64,20.00000000000007
14,14,grass,28.82,29.14,5,0.3200000000000003,0.064,0.0399999999999991,28.98,15.624999999999986
15,15,and,29.18,29.28,3,0.1000000000000014,0.0333333333333338,0.0399999999999991,29.23,29.99999999999958
16,16,it's,29.32,29.5,4,0.1799999999999997,0.0449999999999999,0.0399999999999991,29.41,22.22222222222226
17,17,a,29.54,29.66,1,0.120000000000001,0.120000000000001,0.1400000000000005,29.6,8.333333333333265
18,18,it's,29.8,30.02,4,0.2199999999999988,0.0549999999999997,1.0,29.91,18.18181818181828
19,19,truly,31.02,31.28,5,0.2600000000000015,0.0520000000000003,0.0199999999999995,31.15,19.23076923076912
20,20,a,31.3,31.36,1,0.0599999999999987,0.0599999999999987,0.0600000000000022,31.33,16.666666666667027
21,21,great,31.42,31.66,5,0.2399999999999984,0.0479999999999996,0.0399999999999991,31.54,20.83333333333347
22,22,honor,31.7,31.98,5,0.2800000000000011,0.0560000000000002,0.0199999999999995,31.84,17.857142857142787
23,23,to,32.0,32.06,2,0.0600000000000022,0.0300000000000011,0.0599999999999951,32.03,33.333333333332114
24,24,have,32.12,32.28,4,0.1600000000000037,0.0400000000000009,0.0399999999999991,32.2,24.999999999999424
25,25,the,32.32,32.4,3,0.0799999999999983,0.0266666666666661,0.1200000000000045,32.36,37.5000000000008
26,26,opportunity,32.52,33.08,11,0.5599999999999952,0.0509090909090904,0.0399999999999991,32.8,19.642857142857313
27,27,to,33.12,33.18,2,0.0600000000000022,0.0300000000000011,0.0600000000000022,33.15,33.333333333332114
28,28,come,33.24,33.4,4,0.1599999999999966,0.0399999999999991,0.0399999999999991,33.32,25.000000000000533
29,29,to,33.44,33.5,2,0.0600000000000022,0.0300000000000011,0.0200000000000031,33.47,33.333333333332114
30,30,this,33.52,33.64,4,0.1199999999999974,0.0299999999999993,0.0399999999999991,33.58,33.33333333333405
31,31,stage,33.68,34.02,5,0.3400000000000034,0.0680000000000006,0.0999999999999943,33.85,14.705882352941028
32,32,twice,34.12,34.5,5,0.3800000000000025,0.0760000000000005,0.0200000000000031,34.31,13.15789473684202
33,33,i'm,34.52,34.66,3,0.1399999999999934,0.0466666666666644,0.3200000000000003,34.59,21.428571428572436
34,34,extremely,34.98,35.5,9,0.5200000000000031,0.0577777777777781,0.0399999999999991,35.239999999999995,17.307692307692204
35,35,grateful,35.54,35.94,8,0.3999999999999986,0.0499999999999998,0.480000000000004,35.739999999999995,20.00000000000007
36,36,i,36.42,36.52,1,0.1000000000000014,0.1000000000000014,0.1399999999999934,36.47,9.999999999999861
37,37,have,36.66,36.8,4,0.1400000000000005,0.0350000000000001,0.0400000000000062,36.73,28.571428571428466
38,38,been,36.84,36.98,4,0.1399999999999934,0.0349999999999983,0.0800000000000054,36.91,28.571428571429916
39,39,balone,37.06,37.56,6,0.5,0.0833333333333333,0.0,37.31,12.0
40,40,away,37.56,37.88,4,0.3200000000000003,0.08,0.0799999999999983,37.72,12.49999999999999
41,41,by,37.96,38.12,2,0.1599999999999966,0.0799999999999983,0.1000000000000014,38.04,12.500000000000266
42,42,this,38.22,38.44,4,0.2199999999999988,0.0549999999999997,0.4200000000000017,38.33,18.18181818181828
43,43,conference,38.86,39.48,10,0.6199999999999974,0.0619999999999997,0.4000000000000057,39.17,16.129032258064584
44,44,and,39.88,40.0,3,0.1199999999999974,0.0399999999999991,0.0399999999999991,39.94,25.00000000000054
45,45,i,40.04,40.08,1,0.0399999999999991,0.0399999999999991,0.0600000000000022,40.06,25.000000000000565
46,46,want,40.14,40.26,4,0.1199999999999974,0.0299999999999993,0.0,40.2,33.33333333333405
47,47,to,40.26,40.32,2,0.0600000000000022,0.0300000000000011,0.0600000000000022,40.29,33.333333333332114
48,48,thank,40.38,40.66,5,0.279999999999994,0.0559999999999987,0.2800000000000011,40.52,17.85714285714324
49,49,all,40.94,41.18,3,0.240000000000002,0.0800000000000006,0.0399999999999991,41.06,12.499999999999897
50,50,of,41.22,41.28,2,0.0600000000000022,0.0300000000000011,0.1000000000000014,41.25,33.333333333332114
51,51,you,41.38,41.52,3,0.1400000000000005,0.0466666666666668,0.2199999999999988,41.45,21.42857142857135
52,52,for,41.74,42.0,3,0.259999999999998,0.086666666666666,0.1599999999999966,41.870000000000005,11.538461538461627
53,53,the,42.16,42.3,3,0.1400000000000005,0.0466666666666668,0.3800000000000025,42.23,21.42857142857135
54,54,the,42.68,42.74,3,0.0600000000000022,0.0200000000000007,0.0599999999999951,42.71,49.99999999999817
55,55,many,42.8,43.14,4,0.3400000000000034,0.0850000000000008,1.6199999999999974,42.97,11.764705882352823
56,56,nice,44.76,45.0,4,0.240000000000002,0.0600000000000005,0.0600000000000022,44.88,16.66666666666653
57,57,comments,45.06,45.52,8,0.4600000000000008,0.0575000000000001,0.1199999999999974,45.290000000000006,17.391304347826058
58,58,about,45.64,45.98,5,0.3399999999999963,0.0679999999999992,0.1200000000000045,45.81,14.705882352941336
59,59,what,46.1,46.22,4,0.1199999999999974,0.0299999999999993,0.0200000000000031,46.16,33.33333333333405
60,60,i,46.24,46.26,1,0.019999999999996,0.019999999999996,0.0600000000000022,46.25,50.00000000001
61,61,had,46.32,46.4,3,0.0799999999999983,0.0266666666666661,0.0200000000000031,46.36,37.5000000000008
62,62,to,46.42,46.48,2,0.0599999999999951,0.0299999999999975,0.0400000000000062,46.45,33.33333333333606
63,63,say,46.52,46.66,3,0.1399999999999934,0.0466666666666644,0.0800000000000054,46.59,21.428571428572436
