,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,my,0.64,0.76,2,0.12,0.06,0.09999999999999998,0.7
1,next,0.86,1.14,4,0.2799999999999999,0.06999999999999998,0.06000000000000005,1.0
2,guest,1.2,1.56,5,0.3600000000000001,0.07200000000000002,0.020000000000000018,1.38
3,is,1.58,1.7,2,0.1199999999999998,0.0599999999999999,0.040000000000000036,1.6400000000000001
4,a,1.74,1.78,1,0.04,0.04,0.09999999999999987,1.76
5,very,1.88,2.2,4,0.3200000000000003,0.08000000000000007,0.09999999999999964,2.04
6,funny,2.3,2.54,5,0.2400000000000002,0.04800000000000004,0.06000000000000005,2.42
7,comedian,2.6,3.06,8,0.4599999999999999,0.05749999999999999,0.06000000000000005,2.83
8,headlining,3.12,3.62,10,0.5,0.05,0.020000000000000018,3.37
9,the,3.64,3.7,3,0.06,0.02,0.020000000000000018,3.67
10,atlanta,3.72,4.08,7,0.3599999999999999,0.051428571428571414,0.05999999999999961,3.9000000000000004
11,improv,4.14,4.6,6,0.4599999999999999,0.07666666666666665,0.0600000000000005,4.369999999999999
12,june,4.66,4.9,4,0.2400000000000002,0.06000000000000005,0.08000000000000007,4.78
13,fifth,4.98,5.26,5,0.2799999999999993,0.05599999999999986,0.0600000000000005,5.12
14,through,5.32,5.5,7,0.1799999999999997,0.02571428571428567,0.05999999999999961,5.41
15,seventh,5.56,5.94,7,0.3800000000000008,0.054285714285714395,0.07999999999999918,5.75
16,please,6.02,6.3,6,0.2800000000000002,0.0466666666666667,0.040000000000000036,6.16
17,welcome,6.34,6.76,7,0.4199999999999999,0.059999999999999984,0.08000000000000007,6.55
18,alley,6.84,7.16,5,0.3200000000000003,0.06400000000000006,0.040000000000000036,7.0
19,****,7.2,7.6,4,0.3999999999999994,0.09999999999999985,7.700000000000001,7.4
20,hi,15.3,15.48,2,0.1799999999999997,0.08999999999999984,0.17999999999999972,15.39
21,everybody,15.66,16.16,9,0.5,0.05555555555555555,0.120000000000001,15.91
22,hi,16.28,16.52,2,0.2399999999999984,0.1199999999999992,0.379999999999999,16.4
23,i'm,16.9,17.0,3,0.1000000000000014,0.0333333333333338,0.03999999999999915,16.95
24,very,17.04,17.2,4,0.1600000000000001,0.04000000000000002,0.019999999999999574,17.119999999999997
