,Word,Start,End,length,time_spent,std_time_spent,post_space
0,yeah,0.72,0.72,4,0.0,0.0,1.4800000000000002
1,and,2.2,2.36,3,0.1599999999999997,0.05333333333333323,0.020000000000000018
2,this,2.38,2.52,4,0.14000000000000012,0.03500000000000003,0.10000000000000009
3,next,2.62,2.86,4,0.23999999999999977,0.05999999999999994,0.06000000000000005
4,thing,2.92,3.14,5,0.2200000000000002,0.04400000000000004,0.11999999999999966
5,this,3.26,3.42,4,0.16000000000000014,0.040000000000000036,0.06000000000000005
6,next,3.48,3.7,4,0.2200000000000002,0.05500000000000005,0.040000000000000036
7,thing,3.74,3.86,5,0.11999999999999966,0.02399999999999993,0.020000000000000018
8,is,3.88,3.96,2,0.08000000000000007,0.040000000000000036,0.020000000000000018
9,about,3.98,4.24,5,0.26000000000000023,0.052000000000000046,0.040000000000000036
10,the,4.28,4.32,3,0.040000000000000036,0.013333333333333345,0.08000000000000007
11,english,4.4,4.72,7,0.3199999999999994,0.04571428571428563,0.08000000000000007
12,language,4.8,5.28,8,0.4800000000000004,0.06000000000000005,0.2599999999999998
13,it's,5.54,5.68,4,0.13999999999999968,0.03499999999999992,0.0
14,about,5.68,5.86,5,0.1800000000000006,0.03600000000000012,0.040000000000000036
15,little,5.9,6.06,6,0.15999999999999925,0.026666666666666543,0.040000000000000036
16,expressions,6.1,6.74,11,0.6400000000000006,0.05818181818181823,0.040000000000000036
17,we,6.78,6.84,2,0.05999999999999961,0.029999999999999805,0.10000000000000053
18,use,6.94,7.26,3,0.3199999999999994,0.10666666666666647,0.040000000000000036
19,we,7.3,7.36,2,0.0600000000000005,0.03000000000000025,0.17999999999999972
20,we,7.54,7.6,2,0.05999999999999961,0.029999999999999805,0.08000000000000007
21,all,7.68,7.84,3,0.16000000000000014,0.05333333333333338,0.10000000000000053
22,say,7.94,8.12,3,0.17999999999999883,0.05999999999999961,0.0600000000000005
23,in,8.18,8.22,2,0.040000000000000924,0.020000000000000462,0.019999999999999574
24,the,8.24,8.3,3,0.0600000000000005,0.020000000000000167,0.03999999999999915
25,little,8.34,8.5,6,0.16000000000000014,0.02666666666666669,0.08000000000000007
26,sayings,8.58,9.06,7,0.4800000000000004,0.06857142857142863,0.03999999999999915
27,and,9.1,9.16,3,0.0600000000000005,0.020000000000000167,0.019999999999999574
28,expressions,9.18,9.72,11,0.5400000000000009,0.04909090909090918,0.019999999999999574
29,that,9.74,9.82,4,0.08000000000000007,0.020000000000000018,0.019999999999999574
30,we,9.84,9.9,2,0.0600000000000005,0.03000000000000025,0.0600000000000005
31,use,9.96,10.14,3,0.17999999999999972,0.05999999999999991,0.03999999999999915
32,all,10.18,10.36,3,0.17999999999999972,0.05999999999999991,0.02000000000000135
33,the,10.38,10.44,3,0.05999999999999872,0.019999999999999574,0.08000000000000007
34,time,10.52,10.8,4,0.28000000000000114,0.07000000000000028,0.05999999999999872
35,most,10.86,11.1,4,0.2400000000000002,0.06000000000000005,0.019999999999999574
36,was,11.12,11.26,3,0.14000000000000057,0.046666666666666856,0.27999999999999936
37,and,11.54,11.62,3,0.08000000000000007,0.02666666666666669,0.02000000000000135
38,we,11.64,11.7,2,0.05999999999999872,0.02999999999999936,0.040000000000000924
39,never,11.74,11.88,5,0.14000000000000057,0.028000000000000115,0.05999999999999872
40,really,11.94,12.1,6,0.16000000000000014,0.02666666666666669,0.0600000000000005
41,seem,12.16,12.32,4,0.16000000000000014,0.040000000000000036,0.019999999999999574
42,to,12.34,12.4,2,0.0600000000000005,0.03000000000000025,0.0600000000000005
43,examine,12.46,13.0,7,0.5399999999999991,0.07714285714285703,0.03999999999999915
44,these,13.04,13.22,5,0.1800000000000015,0.036000000000000296,0.019999999999999574
45,expressions,13.24,13.78,11,0.5399999999999991,0.04909090909090901,0.040000000000000924
46,very,13.82,13.96,4,0.14000000000000057,0.03500000000000014,0.09999999999999964
47,carefully,14.06,14.56,9,0.5,0.05555555555555555,0.03999999999999915
48,at,14.6,14.7,2,0.09999999999999964,0.04999999999999982,0.040000000000000924
49,all,14.74,14.98,3,0.2400000000000002,0.08000000000000007,0.33999999999999986
50,we,15.32,15.4,2,0.08000000000000007,0.040000000000000036,0.0600000000000005
51,just,15.46,15.62,4,0.15999999999999837,0.03999999999999959,0.08000000000000007
52,sort,15.7,15.92,4,0.22000000000000064,0.05500000000000016,0.0
