,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,my,1.0,1.1,2,0.1,0.05,0.07999999999999985,1.05
1,first,1.18,1.46,5,0.28,0.05600000000000001,0.06000000000000005,1.3199999999999998
2,guest,1.52,1.78,5,0.26,0.052000000000000005,0.06000000000000005,1.65
3,tonight,1.84,2.26,7,0.4199999999999997,0.059999999999999956,0.1200000000000001,2.05
4,created,2.38,2.82,7,0.4399999999999999,0.06285714285714285,0.08000000000000007,2.5999999999999996
5,seinfeld,2.9,3.68,8,0.7800000000000002,0.09750000000000003,0.21999999999999975,3.29
6,and,3.9,4.04,3,0.1400000000000001,0.0466666666666667,0.019999999999999574,3.9699999999999998
7,this,4.06,4.22,4,0.1600000000000001,0.04000000000000002,0.0600000000000005,4.14
8,thursday,4.28,4.78,8,0.5,0.0625,0.040000000000000036,4.53
9,night,4.82,5.1,5,0.2799999999999993,0.05599999999999986,0.54,4.96
10,will,5.64,5.82,4,0.1800000000000006,0.04500000000000015,0.05999999999999961,5.73
11,be,5.88,5.98,2,0.1000000000000005,0.05000000000000025,0.13999999999999968,5.93
12,in,6.12,6.2,2,0.08,0.04,0.040000000000000036,6.16
13,a,6.24,6.3,1,0.0599999999999996,0.0599999999999996,0.08000000000000007,6.27
14,year,6.38,6.72,4,0.3399999999999998,0.08499999999999995,0.0600000000000005,6.55
15,long,6.78,7.04,4,0.2599999999999998,0.06499999999999995,0.040000000000000036,6.91
16,residency,7.08,7.58,9,0.5,0.05555555555555555,0.05999999999999961,7.33
17,at,7.64,7.7,2,0.0600000000000005,0.03000000000000025,0.019999999999999574,7.67
18,the,7.72,7.76,3,0.04,0.013333333333333334,0.08000000000000007,7.74
19,beacon,7.84,8.12,6,0.2799999999999993,0.04666666666666655,0.02000000000000135,7.9799999999999995
20,theater,8.14,8.4,7,0.2599999999999998,0.03714285714285711,0.0600000000000005,8.27
21,here,8.46,8.64,4,0.1799999999999997,0.04499999999999992,0.05999999999999872,8.55
22,new,8.7,8.84,3,0.1400000000000005,0.046666666666666835,0.0,8.77
23,york,8.84,9.12,4,0.2799999999999993,0.06999999999999983,0.46000000000000085,8.98
24,please,9.58,9.8,6,0.2200000000000006,0.03666666666666677,0.03999999999999915,9.690000000000001
25,welcome,9.84,10.22,7,0.3800000000000008,0.054285714285714395,0.379999999999999,10.030000000000001
26,jerry,10.6,10.86,5,0.2599999999999998,0.051999999999999956,0.040000000000000924,10.73
27,seinfeld,10.9,11.46,8,0.5600000000000005,0.07000000000000006,18.619999999999997,11.18
28,okay,30.08,30.44,4,0.360000000000003,0.09000000000000075,0.5199999999999996,30.259999999999998
29,that's,30.96,31.26,6,0.3000000000000007,0.05000000000000012,7.179999999999996,31.11
30,thank,38.44,38.7,5,0.2600000000000051,0.052000000000001025,0.03999999999999915,38.57
31,you,38.74,38.86,3,0.1199999999999974,0.039999999999999133,0.5200000000000031,38.8
32,thank,39.38,39.68,5,0.2999999999999971,0.05999999999999942,0.0,39.53
33,you,39.68,39.8,3,0.1199999999999974,0.039999999999999133,0.14000000000000057,39.739999999999995
34,all,39.94,40.1,3,0.1600000000000037,0.053333333333334565,0.01999999999999602,40.019999999999996
35,right,40.12,40.56,5,0.4400000000000048,0.08800000000000095,2.219999999999999,40.34
36,i,42.78,42.96,1,0.1799999999999997,0.1799999999999997,0.19999999999999574,42.870000000000005
37,heard,43.16,43.56,5,0.4000000000000057,0.08000000000000114,0.05999999999999517,43.36
38,back,43.62,43.9,4,0.2800000000000011,0.07000000000000027,0.020000000000003126,43.76
39,stage,43.92,44.6,5,0.6799999999999997,0.13599999999999995,0.4399999999999977,44.260000000000005
40,the,45.04,45.18,3,0.1400000000000005,0.046666666666666835,0.259999999999998,45.11
41,one,45.44,45.58,3,0.1400000000000005,0.046666666666666835,0.020000000000003126,45.51
42,of,45.6,45.62,2,0.019999999999996,0.009999999999998,0.03999999999999915,45.61
43,the,45.66,45.7,3,0.0400000000000062,0.013333333333335399,0.05999999999999517,45.68
44,changes,45.76,46.14,7,0.3800000000000025,0.054285714285714645,0.03999999999999915,45.95
45,made,46.18,46.36,4,0.1799999999999997,0.04499999999999992,0.060000000000002274,46.269999999999996
46,to,46.42,46.48,2,0.0599999999999951,0.02999999999999755,0.04000000000000625,46.45
47,the,46.52,46.6,3,0.0799999999999983,0.0266666666666661,0.05999999999999517,46.56
48,theater,46.66,47.04,7,0.3800000000000025,0.054285714285714645,0.30000000000000426,46.849999999999994
49,bigger,47.34,47.82,6,0.4799999999999969,0.07999999999999947,0.28000000000000114,47.58
50,seats,48.1,48.7,5,0.6000000000000014,0.12000000000000029,0.9599999999999937,48.400000000000006
51,why,49.66,49.8,3,0.1400000000000005,0.046666666666666835,2.3800000000000026,49.73
52,a,52.18,52.22,1,0.0399999999999991,0.0399999999999991,0.0,52.2
53,lot,52.22,52.4,3,0.1799999999999997,0.059999999999999894,0.0,52.31
54,of,52.4,52.42,2,0.0200000000000031,0.01000000000000155,0.03999999999999915,52.41
55,people,52.46,52.6,6,0.1400000000000005,0.023333333333333418,0.03999999999999915,52.53
56,that,52.64,52.72,4,0.0799999999999983,0.019999999999999574,0.020000000000003126,52.68
57,we,52.74,52.8,2,0.0599999999999951,0.02999999999999755,0.060000000000002274,52.769999999999996
58,have,52.86,52.94,4,0.0799999999999983,0.019999999999999574,0.020000000000003126,52.9
59,a,52.96,52.98,1,0.019999999999996,0.019999999999996,0.04000000000000625,52.97
60,way,53.02,53.16,3,0.1399999999999934,0.04666666666666447,0.060000000000002274,53.09
61,problem,53.22,53.48,7,0.259999999999998,0.03714285714285686,0.020000000000003126,53.349999999999994
62,in,53.5,53.56,2,0.0600000000000022,0.0300000000000011,0.03999999999999915,53.53
63,this,53.6,53.74,4,0.1400000000000005,0.03500000000000013,0.03999999999999915,53.67
64,country,53.78,54.1,7,0.3200000000000003,0.045714285714285756,0.05999999999999517,53.94
