Unnamed: 0,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude
0,we,1.3,1.36,0.06,4.54,0,2,0.044117647058823546,0.4519319180177625
1,the,5.9,5.9,0.0,8.86,0,3,0.0,
2,the,14.76,14.76,0.0,0.5400000000000009,0,3,0.0,
3,so,15.3,15.42,0.1199999999999992,0.0999999999999996,1,2,0.08823529411764651,0.3493724909288483
4,today,15.52,15.76,0.2400000000000002,0.0400000000000009,1,5,0.07058823529411774,0.38283528036518116
5,we,15.8,15.86,0.0599999999999987,0.0600000000000005,1,2,0.044117647058822596,0.29571636993305594
6,talked,15.92,16.18,0.2599999999999998,0.0,1,6,0.06372549019607841,0.13446935612922728
7,about,16.18,16.4,0.2199999999999988,0.0800000000000018,1,5,0.06470588235294085,0.1982698682629044
8,augmenting,16.48,17.18,0.6999999999999993,0.1999999999999993,1,10,0.10294117647058816,0.15311793746777552
9,machine,17.38,17.9,0.5199999999999996,0.0400000000000027,1,7,0.10924369747899154,0.15464733516927615
10,and,17.94,18.06,0.1199999999999974,0.0400000000000027,1,3,0.058823529411763456,0.11715475366808308
11,human,18.1,18.44,0.3399999999999998,0.0999999999999978,1,5,0.09999999999999999,0.130838307491637
12,intelligence,18.54,19.26,0.7200000000000024,0.2799999999999976,1,12,0.08823529411764738,0.07691022874727838
13,with,19.54,19.74,0.1999999999999993,0.0600000000000022,1,4,0.07352941176470565,0.0879956872096022
14,data,19.8,20.02,0.2199999999999988,0.0399999999999991,1,4,0.08088235294117607,0.17835428264863676
15,visualization,20.06,20.8,0.740000000000002,0.1400000000000005,1,13,0.08371040723981926,0.05858606645142399
16,and,20.94,21.88,0.9399999999999976,0.0600000000000022,1,3,0.46078431372548917,0.11700290928822514
17,the,21.94,22.0,0.0599999999999987,0.1000000000000014,1,3,0.029411764705881728,0.19972488078084244
18,interesting,22.1,22.54,0.4399999999999977,0.0399999999999991,1,11,0.05882352941176443,0.18483073218585977
19,thing,22.58,22.94,0.360000000000003,0.259999999999998,1,5,0.10588235294117739,0.16023760347641802
20,is,23.2,23.38,0.1799999999999997,0.0199999999999995,1,2,0.13235294117647042,0.12704479759121562
21,that,23.4,23.6,0.2000000000000028,0.1600000000000001,1,4,0.07352941176470694,0.16283913153082902
22,data,23.76,23.96,0.1999999999999993,0.0199999999999995,1,4,0.07352941176470565,0.2697171442052557
23,visualisation,23.98,24.48,0.5,0.0399999999999991,1,13,0.05656108597285071,0.15045923379598933
24,is,24.52,24.6,0.0800000000000018,0.0399999999999991,1,2,0.05882352941176606,0.13358858891247713
25,so,24.64,24.76,0.120000000000001,0.1600000000000001,1,2,0.08823529411764783,0.15336197424366876
26,interdisciplinary,24.92,25.96,1.0399999999999991,0.5799999999999983,1,17,0.0899653979238754,0.11663294361986838
27,that,26.54,26.88,0.3399999999999998,0.7200000000000024,0,4,0.12499999999999999,0.2116143815368364
28,we,27.6,27.74,0.139999999999997,0.2000000000000028,0,2,0.10294117647058607,0.19126173249026374
29,talked,27.94,28.46,0.5199999999999996,0.0199999999999995,1,6,0.12745098039215683,0.08973247929857751
30,about,28.48,28.9,0.4199999999999981,0.0800000000000018,1,5,0.12352941176470537,0.16218094538686606
31,a,28.98,29.04,0.0599999999999987,0.120000000000001,1,1,0.08823529411764519,0.12135158177453274
32,range,29.16,29.7,0.5399999999999991,0.0600000000000022,1,5,0.15882352941176453,0.19831477047230628
33,of,29.76,29.92,0.1600000000000001,0.1999999999999993,1,2,0.11764705882352952,0.11971363636057647
34,projects,30.12,30.78,0.6600000000000001,0.0199999999999995,1,8,0.12132352941176479,0.0771599814701933
35,and,30.8,30.94,0.1400000000000005,0.139999999999997,1,3,0.06862745098039244,0.15750709723383777
36,of,31.08,31.26,0.1800000000000032,0.6199999999999974,1,2,0.132352941176473,0.14197659628079487
37,officialisation,31.88,32.56,0.6800000000000033,0.0399999999999991,1,15,0.06666666666666701,0.13607372758316677
38,investigations,32.6,33.32,0.7199999999999989,0.0399999999999991,1,14,0.07563025210084025,0.12948558626084705
39,if,33.36,33.48,0.1199999999999974,0.0200000000000031,1,2,0.08823529411764519,0.08986568306136002
40,you,33.5,33.56,0.0600000000000022,0.0599999999999951,1,3,0.029411764705883442,0.1535344249808415
41,will,33.62,33.84,0.2200000000000059,0.4399999999999977,1,4,0.08088235294117868,0.18043394083494912
42,from,34.28,34.58,0.2999999999999971,0.4200000000000017,0,4,0.11029411764705781,0.23693445809536356
43,science,35.0,35.72,0.7199999999999989,0.2800000000000011,1,7,0.1512605042016805,0.21330510315936563
44,to,36.0,36.22,0.2199999999999988,1.0,0,2,0.16176470588235214,0.09591861559809255
45,product,37.22,37.94,0.7199999999999989,0.4600000000000008,1,7,0.1512605042016805,0.11977018822174539
46,to,38.4,38.58,0.1799999999999997,0.480000000000004,0,2,0.13235294117647042,0.15157764180290165
47,art,39.06,39.5,0.4399999999999977,0.2199999999999988,1,3,0.2156862745098029,0.1703322262174457
48,and,39.72,39.82,0.1000000000000014,0.0399999999999991,1,3,0.049019607843137955,0.19153683080326073
49,design,39.86,40.44,0.5799999999999983,0.3400000000000034,1,6,0.1421568627450977,0.17478175504264168
50,and,40.78,41.14,0.3599999999999994,0.4600000000000008,0,3,0.17647058823529388,0.16503002858461704
51,really,41.6,41.88,0.2800000000000011,0.1400000000000005,1,6,0.06862745098039245,0.4050058664149944
52,a,42.02,42.7,0.6799999999999997,0.0999999999999943,1,1,1.0,0.06821383567044192
53,wide,42.8,43.42,0.6200000000000045,0.6000000000000014,1,4,0.22794117647059,0.11975021033968004
54,range,44.02,44.48,0.4599999999999937,0.2200000000000059,0,5,0.135294117647057,0.10034022651143966
55,of,44.7,44.88,0.1799999999999997,0.2199999999999988,0,2,0.13235294117647042,0.04910873281420744
56,different,45.1,45.48,0.3799999999999954,0.1799999999999997,1,9,0.06209150326797313,0.04025792738352832
57,perspectives,45.66,46.26,0.6000000000000014,0.0399999999999991,1,12,0.07352941176470609,0.05210610145752192
58,for,46.3,46.36,0.0600000000000022,0.1000000000000014,1,3,0.029411764705883442,0.0002830861388212646
59,visualisation,46.46,47.14,0.6799999999999997,0.759999999999998,1,13,0.07692307692307693,0.06437948743004074
60,each,47.9,48.12,0.2199999999999988,0.0800000000000054,1,4,0.08088235294117607,0.20532176557103943
61,visualization,48.2,48.78,0.5799999999999983,0.0399999999999991,1,13,0.06561085972850662,0.25889562851904563
62,project,48.82,49.28,0.4600000000000008,0.0799999999999983,1,7,0.09663865546218507,0.12823719118414723
63,is,49.36,49.52,0.1600000000000037,0.0399999999999991,1,2,0.11764705882353217,0.1284857505261255
64,different,49.56,50.0,0.4399999999999977,0.740000000000002,1,9,0.07189542483660097,0.0527095523843048
65,but,50.74,50.92,0.1799999999999997,0.1799999999999997,1,3,0.08823529411764694,0.17787159867970018
66,i'd,51.1,51.3,0.1999999999999957,0.0600000000000022,1,3,0.09803921568627244,0.19426843643113728
67,say,51.36,51.52,0.1600000000000037,0.0999999999999943,1,3,0.07843137254902145,0.35933999426744717
68,that,51.62,51.86,0.240000000000002,0.5,1,4,0.08823529411764783,0.31872563588209296
69,there's,52.36,52.6,0.240000000000002,0.0799999999999983,1,7,0.050420168067227336,0.20278105204257102
70,one,52.68,52.96,0.2800000000000011,0.1400000000000005,1,3,0.1372549019607849,0.3067172752408888
71,theme,53.1,53.48,0.3799999999999954,0.1200000000000045,1,5,0.11176470588235164,0.18574645670832038
72,they,53.6,53.72,0.1199999999999974,0.0600000000000022,1,4,0.044117647058822596,0.22546774847796566
73,all,53.78,53.9,0.1199999999999974,0.0799999999999983,1,3,0.058823529411763456,0.14072395767768567
74,share,53.98,54.2,0.2200000000000059,0.019999999999996,1,5,0.06470588235294294,0.11698356414255973
75,in,54.22,54.26,0.0399999999999991,0.0399999999999991,1,2,0.029411764705881704,0.11383551600687918
76,common,54.3,54.68,0.3800000000000025,0.0799999999999983,1,6,0.09313725490196144,0.13993913028752863
77,for,54.76,54.88,0.1200000000000045,0.0399999999999991,1,3,0.05882352941176693,0.08123817053651058
78,us,54.92,55.06,0.1400000000000005,0.1199999999999974,1,2,0.10294117647058866,0.1809228165751216
79,which,55.18,55.34,0.1600000000000037,0.019999999999996,1,5,0.04705882352941287,0.10460786496533617
80,is,55.36,55.6,0.240000000000002,0.4600000000000008,1,2,0.17647058823529566,0.15341029674317183
81,it,56.06,56.22,0.1599999999999966,0.0399999999999991,1,2,0.11764705882352695,0.27838003664373284
82,all,56.26,56.4,0.1400000000000005,0.0399999999999991,1,3,0.06862745098039244,0.3224051243207207
83,spirit,56.44,56.78,0.3400000000000034,0.1199999999999974,1,6,0.0833333333333342,0.10695645258882304
84,starts,56.9,57.24,0.3400000000000034,0.0599999999999951,1,6,0.0833333333333342,0.1432597190174489
85,from,57.3,57.5,0.2000000000000028,0.0399999999999991,1,4,0.07352941176470694,0.15698349826154617
86,the,57.54,57.62,0.0799999999999983,0.0800000000000054,1,3,0.039215686274508985,0.21973308828860177
87,data,57.7,58.02,0.3200000000000003,0.5399999999999991,1,4,0.11764705882352956,0.06547331361428033
88,so,58.56,58.78,0.2199999999999988,0.9200000000000016,0,2,0.16176470588235214,0.2851343039673177
89,we,59.7,59.8,0.0999999999999943,0.1000000000000014,1,2,0.07352941176470172,0.3661898797934654
90,basically,59.9,60.46,0.5600000000000023,0.4399999999999977,1,9,0.09150326797385662,0.19670681308733848
91,will,60.9,61.08,0.1799999999999997,0.0600000000000022,0,4,0.06617647058823521,0.18565381380863866
92,get,61.14,61.36,0.2199999999999988,0.3400000000000034,0,3,0.10784313725490141,0.15124471385687308
93,some,61.7,61.88,0.1799999999999997,0.0799999999999983,1,4,0.06617647058823521,0.22952318961433682
94,data,61.96,62.16,0.1999999999999957,0.0400000000000062,1,4,0.07352941176470433,0.18643836514945047
95,set,62.2,62.38,0.1799999999999997,0.019999999999996,1,3,0.08823529411764694,0.09554816704895883
96,that,62.4,62.48,0.0799999999999983,0.0200000000000031,1,4,0.02941176470588174,0.15851571076850365
97,we,62.5,62.56,0.0600000000000022,0.0599999999999951,1,2,0.04411764705882516,0.17153533166429977
98,think,62.62,62.78,0.1600000000000037,0.0799999999999983,1,5,0.04705882352941287,0.09751797964302757
99,might,62.86,62.98,0.1199999999999974,0.0400000000000062,1,5,0.035294117647058074,0.1562009137723192
100,be,63.02,63.08,0.0599999999999951,0.0600000000000022,1,2,0.044117647058819945,0.17402386721714708
101,interesting,63.14,63.62,0.4799999999999969,0.3200000000000003,1,11,0.06417112299465202,0.07963381086948333
102,and,63.94,64.08,0.1400000000000005,0.0799999999999983,1,3,0.06862745098039244,0.21912609882309483
103,we'll,64.16,64.26,0.1000000000000085,0.039999999999992,1,5,0.029411764705884864,0.20617554519179573
104,start,64.3,64.66,0.3599999999999994,0.2999999999999971,1,5,0.10588235294117632,0.16108883264694995
105,sort,64.96,65.16,0.2000000000000028,0.0,0,4,0.07352941176470694,0.15678270378814152
106,of,65.16,65.24,0.0799999999999983,0.0600000000000022,0,2,0.05882352941176348,0.16278606166038745
107,having,65.3,65.72,0.4200000000000017,0.2199999999999988,0,6,0.1029411764705887,0.1915452534772245
108,a,65.94,66.02,0.0799999999999983,0.0600000000000022,1,1,0.11764705882352695,0.10598417814243104
109,dialogue,66.08,66.6,0.519999999999996,0.1800000000000068,1,8,0.09558823529411696,0.1373580883429176
110,with,66.78,66.92,0.1400000000000005,0.039999999999992,1,4,0.05147058823529433,0.17712313025700827
111,the,66.96,67.02,0.0600000000000022,0.0400000000000062,1,3,0.029411764705883442,0.11491072820660396
112,state,67.06,67.24,0.1799999999999926,0.0200000000000102,1,5,0.05294117647058608,0.06279423443604537
113,of,67.26,67.28,0.019999999999996,0.0600000000000022,1,2,0.014705882352938241,0.09954177333738919
114,set,67.34,67.6,0.2599999999999909,0.1200000000000045,1,3,0.12745098039215244,0.043631801627924065
115,where,67.72,68.16,0.4399999999999977,0.3599999999999994,1,5,0.12941176470588175,0.2117248093973274
116,we're,68.52,68.7,0.1800000000000068,0.5,0,5,0.052941176470590254,0.23390649788543458
117,poking,69.2,69.58,0.3799999999999954,0.0400000000000062,1,6,0.09313725490195969,0.2506969980239103
118,at,69.62,69.7,0.0799999999999983,0.039999999999992,1,2,0.05882352941176348,0.35240785219836207
119,it,69.74,69.86,0.1200000000000045,0.0400000000000062,1,2,0.08823529411765041,0.24655122672269933
120,we're,69.9,70.04,0.1400000000000005,0.059999999999988,1,5,0.04117647058823546,0.30274007053228463
121,trying,70.1,70.32,0.2199999999999988,0.0400000000000062,1,6,0.053921568627450706,0.18561432777303347
122,to,70.36,70.42,0.0600000000000022,0.039999999999992,1,2,0.04411764705882516,0.009165645459957756
123,look,70.46,70.62,0.1600000000000108,0.019999999999996,1,4,0.0588235294117687,0.12848092120303767
124,at,70.64,70.74,0.0999999999999943,0.0200000000000102,1,2,0.07352941176470172,0.19140715908805875
125,it,70.76,70.84,0.0799999999999983,0.0600000000000022,1,2,0.05882352941176348,0.20953601649158227
126,from,70.9,71.08,0.1799999999999926,0.0799999999999983,1,4,0.0661764705882326,0.13969231670404225
127,different,71.16,71.42,0.2600000000000051,0.019999999999996,1,9,0.04248366013071981,0.094831487997949
128,perspectives,71.44,72.08,0.6400000000000006,0.2800000000000011,1,12,0.0784313725490197,0.090773467751639
129,and,72.36,72.52,0.1599999999999966,0.0799999999999983,1,3,0.07843137254901797,0.2963499039506175
130,sometimes,72.6,73.44,0.8400000000000034,1.1800000000000068,1,9,0.13725490196078494,0.16578944068548662
131,the,74.62,74.7,0.0799999999999983,0.0999999999999943,1,3,0.039215686274508985,0.26930248974434706
132,answer,74.8,75.26,0.4600000000000079,0.1199999999999903,1,6,0.11274509803921766,0.22879991523602658
133,for,75.38,75.56,0.1800000000000068,0.2199999999999988,1,3,0.08823529411765042,0.11329260252972433
134,what,75.78,75.94,0.1599999999999966,0.019999999999996,1,4,0.05882352941176348,0.1799657639042285
135,kind,75.96,76.16,0.2000000000000028,0.0,1,4,0.07352941176470694,0.16779721315276977
136,of,76.16,76.22,0.0600000000000022,0.0400000000000062,1,2,0.04411764705882516,0.07653382447646698
