,Word,Start,End,length,time_spent,std_time_spent,post_space,time
0,yeah,0.28,0.28,4,0.0,0.0,2.7199999999999998,0.28
1,the,3.0,3.06,3,0.06,0.02,1.4999999999999996,3.0300000000000002
2,mm,4.56,4.58,2,0.0200000000000004,0.0100000000000002,4.48,4.57
3,the,9.06,9.06,3,0.0,0.0,5.639999999999999,9.06
4,so,14.7,14.82,2,0.120000000000001,0.0600000000000005,0.0600000000000005,14.76
5,how,14.88,14.98,3,0.0999999999999996,0.0333333333333332,0.019999999999999574,14.93
6,do,15.0,15.06,2,0.0600000000000005,0.03000000000000025,0.03999999999999915,15.030000000000001
7,we,15.1,15.16,2,0.0600000000000005,0.03000000000000025,0.08000000000000007,15.129999999999999
8,learn,15.24,15.6,5,0.3599999999999994,0.07199999999999987,1.160000000000002,15.42
9,and,16.76,16.98,3,0.2199999999999988,0.07333333333333293,0.28000000000000114,16.87
10,why,17.26,17.46,3,0.1999999999999993,0.06666666666666643,0.03999999999999915,17.36
11,does,17.5,17.6,4,0.1000000000000014,0.02500000000000035,0.019999999999999574,17.55
12,some,17.62,17.76,4,0.1400000000000005,0.03500000000000013,0.019999999999999574,17.69
13,of,17.78,17.84,2,0.0599999999999987,0.02999999999999935,0.05999999999999872,17.810000000000002
14,us,17.9,18.0,2,0.1000000000000014,0.0500000000000007,0.0799999999999983,17.95
15,learn,18.08,18.28,5,0.2000000000000028,0.040000000000000556,0.05999999999999872,18.18
16,things,18.34,18.68,6,0.3399999999999998,0.056666666666666636,0.21999999999999886,18.509999999999998
17,more,18.9,19.1,4,0.2000000000000028,0.0500000000000007,0.05999999999999872,19.0
18,easily,19.16,19.56,6,0.3999999999999986,0.06666666666666643,0.08000000000000185,19.36
19,than,19.64,19.8,4,0.1600000000000001,0.04000000000000002,0.17999999999999972,19.72
20,others,19.98,20.46,6,0.4800000000000004,0.08000000000000007,1.1199999999999974,20.22
21,so,21.58,21.72,2,0.1400000000000005,0.07000000000000026,0.5,21.65
22,as,22.22,22.36,2,0.1400000000000005,0.07000000000000026,0.03999999999999915,22.29
23,i,22.4,22.46,1,0.0600000000000022,0.0600000000000022,0.33999999999999986,22.43
24,was,22.8,22.92,3,0.120000000000001,0.040000000000000334,0.03999999999999915,22.86
25,mentioned,22.96,23.34,9,0.379999999999999,0.04222222222222211,0.03999999999999915,23.15
26,i'm,23.38,23.52,3,0.1400000000000005,0.046666666666666835,0.08000000000000185,23.45
27,doctor,23.6,23.9,6,0.2999999999999971,0.04999999999999952,0.020000000000003126,23.75
28,larboy,23.92,24.38,6,0.4599999999999973,0.07666666666666622,0.10000000000000142,24.15
29,i'm,24.48,24.62,3,0.1400000000000005,0.046666666666666835,0.0,24.55
30,a,24.62,24.7,1,0.0799999999999983,0.0799999999999983,0.16000000000000014,24.66
31,brain,24.86,25.14,5,0.2800000000000011,0.056000000000000216,0.019999999999999574,25.0
32,researcher,25.16,25.66,10,0.5,0.05,0.0799999999999983,25.41
33,here,25.74,25.92,4,0.1800000000000032,0.0450000000000008,0.03999999999999915,25.83
34,at,25.96,26.02,2,0.0599999999999987,0.02999999999999935,0.019999999999999574,25.990000000000002
35,the,26.04,26.08,3,0.0399999999999991,0.013333333333333032,0.0400000000000027,26.06
36,university,26.12,26.62,10,0.5,0.05,0.05999999999999872,26.37
37,of,26.68,26.78,2,0.1000000000000014,0.0500000000000007,0.0799999999999983,26.73
38,british,26.86,27.16,7,0.3000000000000007,0.04285714285714296,0.03999999999999915,27.009999999999998
39,colombia,27.2,27.74,8,0.5399999999999991,0.0674999999999999,0.6600000000000001,27.47
40,these,28.4,28.56,5,0.1600000000000001,0.032000000000000015,0.019999999999999574,28.479999999999997
41,are,28.58,28.62,3,0.0400000000000027,0.013333333333334233,0.019999999999999574,28.6
42,the,28.64,28.7,3,0.0599999999999987,0.019999999999999567,0.08000000000000185,28.67
43,questions,28.78,29.3,9,0.5199999999999996,0.057777777777777733,0.03999999999999915,29.04
44,that,29.34,29.5,4,0.1600000000000001,0.04000000000000002,0.14000000000000057,29.42
45,fascinate,29.64,30.36,9,0.7199999999999989,0.07999999999999988,0.060000000000002274,30.0
46,me,30.42,30.58,2,0.1599999999999966,0.0799999999999983,5.140000000000001,30.5
47,so,35.72,35.84,2,0.1200000000000045,0.06000000000000225,0.05999999999999517,35.78
48,brain,35.9,36.18,5,0.2800000000000011,0.056000000000000216,0.020000000000003126,36.04
49,research,36.2,36.76,8,0.5599999999999952,0.0699999999999994,0.060000000000002274,36.480000000000004
50,is,36.82,36.94,2,0.1199999999999974,0.0599999999999987,0.12000000000000455,36.879999999999995
51,one,37.06,37.24,3,0.1799999999999997,0.059999999999999894,0.0,37.150000000000006
52,of,37.24,37.3,2,0.0599999999999951,0.02999999999999755,0.04000000000000625,37.269999999999996
53,the,37.34,37.4,3,0.0599999999999951,0.019999999999998366,0.060000000000002274,37.370000000000005
54,great,37.46,37.7,5,0.240000000000002,0.048000000000000397,0.05999999999999517,37.58
55,frontiers,37.76,38.28,9,0.5200000000000031,0.05777777777777812,0.03999999999999915,38.019999999999996
56,in,38.32,38.42,2,0.1000000000000014,0.0500000000000007,0.29999999999999716,38.370000000000005
57,the,38.72,38.78,3,0.0600000000000022,0.020000000000000732,0.03999999999999915,38.75
