,Word,Start,End,length,time_spent,std_time_spent,post_space
0,here's,0.02,0.14,6,0.12000000000000001,0.02,0.01999999999999999
1,a,0.16,0.22,1,0.06,0.06,0.04000000000000001
2,go,0.26,0.42,2,0.15999999999999998,0.07999999999999999,0.2
3,these,0.62,0.96,5,0.33999999999999997,0.06799999999999999,0.08000000000000007
4,ten,1.04,1.32,3,0.28,0.09333333333333334,0.09999999999999987
5,words,1.42,1.96,5,0.54,0.10800000000000001,4.4
6,these,6.36,6.6,5,0.23999999999999932,0.04799999999999986,0.040000000000000036
7,ten,6.64,6.86,3,0.22000000000000064,0.07333333333333354,0.05999999999999961
8,words,6.92,7.24,5,0.3200000000000003,0.06400000000000006,0.7199999999999998
9,sort,7.96,8.2,4,0.23999999999999932,0.05999999999999983,0.02000000000000135
10,of,8.22,8.32,2,0.09999999999999964,0.04999999999999982,0.03999999999999915
11,a,8.36,8.4,1,0.040000000000000924,0.040000000000000924,0.0600000000000005
12,cinematic,8.46,9.04,9,0.5799999999999983,0.06444444444444425,0.040000000000000924
13,phenomenon,9.08,9.86,10,0.7799999999999994,0.07799999999999993,0.0600000000000005
14,that,9.92,10.04,4,0.11999999999999922,0.029999999999999805,0.040000000000000924
15,spread,10.08,10.42,6,0.33999999999999986,0.05666666666666664,0.040000000000000924
16,its,10.46,10.62,3,0.15999999999999837,0.05333333333333279,0.040000000000000924
17,fingers,10.66,11.02,7,0.35999999999999943,0.051428571428571344,0.08000000000000007
18,so,11.1,11.32,2,0.22000000000000064,0.11000000000000032,0.17999999999999972
19,deeply,11.5,11.86,6,0.35999999999999943,0.05999999999999991,0.0600000000000005
20,into,11.92,12.12,4,0.1999999999999993,0.04999999999999982,0.040000000000000924
21,american,12.16,12.58,8,0.41999999999999993,0.05249999999999999,0.03999999999999915
22,culture,12.62,13.06,7,0.4400000000000013,0.06285714285714304,0.47999999999999865
23,that,13.54,13.66,4,0.120000000000001,0.03000000000000025,0.03999999999999915
24,our,13.7,13.82,3,0.120000000000001,0.040000000000000334,0.0600000000000005
25,car,13.88,14.1,3,0.21999999999999886,0.07333333333333296,0.08000000000000007
26,companies,14.18,14.6,9,0.41999999999999993,0.04666666666666666,0.019999999999999574
27,are,14.62,14.68,3,0.0600000000000005,0.020000000000000167,0.040000000000000924
28,dressing,14.72,15.02,8,0.29999999999999893,0.03749999999999987,0.019999999999999574
29,up,15.04,15.16,2,0.120000000000001,0.0600000000000005,0.019999999999999574
30,a,15.18,15.22,1,0.040000000000000924,0.040000000000000924,0.019999999999999574
31,little,15.24,15.44,6,0.1999999999999993,0.033333333333333215,0.040000000000000924
32,children,15.48,15.9,8,0.41999999999999993,0.05249999999999999,0.11999999999999922
33,and,16.02,16.12,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
34,start,16.16,16.42,5,0.26000000000000156,0.05200000000000031,0.0799999999999983
35,mader,16.5,16.84,5,0.33999999999999986,0.06799999999999998,0.5800000000000018
36,and,17.42,17.58,3,0.1599999999999966,0.0533333333333322,0.060000000000002274
37,our,17.64,17.78,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
38,police,17.82,18.1,6,0.28000000000000114,0.046666666666666856,0.03999999999999915
39,offices,18.14,18.54,7,0.3999999999999986,0.05714285714285694,0.0
40,are,18.54,18.62,3,0.08000000000000185,0.026666666666667282,0.03999999999999915
41,just,18.66,18.86,4,0.1999999999999993,0.04999999999999982,0.240000000000002
42,mailboxes,19.1,19.86,9,0.759999999999998,0.08444444444444422,0.40000000000000213
43,as,20.26,20.42,2,0.16000000000000014,0.08000000000000007,0.03999999999999915
44,our,20.46,20.56,3,0.09999999999999787,0.033333333333332625,0.060000000000002274
45,two,20.62,20.72,3,0.09999999999999787,0.033333333333332625,0.060000000000002274
46,d,20.78,20.84,1,0.05999999999999872,0.05999999999999872,0.10000000000000142
47,two,20.94,21.1,3,0.16000000000000014,0.05333333333333338,0.2799999999999976
48,everyone,21.38,21.7,8,0.3200000000000003,0.040000000000000036,1.5800000000000018
49,thank,23.28,23.5,5,0.21999999999999886,0.043999999999999775,0.0
50,you,23.5,23.6,3,0.10000000000000142,0.033333333333333805,1.2799999999999976
51,know,24.88,24.98,4,0.10000000000000142,0.025000000000000355,0.09999999999999787
52,how,25.08,25.24,3,0.16000000000000014,0.05333333333333338,0.060000000000002274
53,they,25.3,25.38,4,0.0799999999999983,0.019999999999999574,0.08000000000000185
54,say,25.46,25.56,3,0.09999999999999787,0.033333333333332625,0.060000000000002274
55,that,25.62,25.72,4,0.09999999999999787,0.024999999999999467,0.019999999999999574
56,a,25.74,25.76,1,0.020000000000003126,0.020000000000003126,0.03999999999999915
57,movie,25.8,26.1,5,0.3000000000000007,0.060000000000000143,0.03999999999999915
58,made,26.14,26.3,4,0.16000000000000014,0.040000000000000036,0.120000000000001
59,thirty,26.42,26.74,6,0.31999999999999673,0.05333333333333279,0.14000000000000057
60,four,26.88,27.14,4,0.26000000000000156,0.06500000000000039,0.09999999999999787
61,years,27.24,27.48,5,0.240000000000002,0.048000000000000397,0.019999999999999574
62,ago,27.5,27.74,3,0.23999999999999844,0.07999999999999947,0.9600000000000009
63,can,28.7,28.86,3,0.16000000000000014,0.05333333333333338,0.28000000000000114
64,still,29.14,29.42,5,0.28000000000000114,0.05600000000000023,0.03999999999999915
65,affect,29.46,29.84,6,0.379999999999999,0.06333333333333317,0.019999999999999574
66,us,29.86,30.02,2,0.16000000000000014,0.08000000000000007,0.3000000000000007
67,this,30.32,30.56,4,0.23999999999999844,0.05999999999999961,0.17999999999999972
68,deeply,30.74,31.1,6,0.360000000000003,0.0600000000000005,0.0799999999999983
69,today,31.18,31.42,5,0.240000000000002,0.048000000000000397,0.05999999999999872
70,especially,31.48,32.0,10,0.5199999999999996,0.051999999999999956,0.10000000000000142
71,one,32.1,32.32,3,0.21999999999999886,0.07333333333333296,0.0799999999999983
72,that,32.4,32.48,4,0.0799999999999983,0.019999999999999574,0.020000000000003126
73,was,32.5,32.62,3,0.11999999999999744,0.03999999999999915,0.03999999999999915
74,set,32.66,32.86,3,0.20000000000000284,0.06666666666666761,0.0799999999999983
75,a,32.94,32.98,1,0.03999999999999915,0.03999999999999915,0.060000000000002274
76,long,33.04,33.24,4,0.20000000000000284,0.05000000000000071,0.01999999999999602
77,time,33.26,33.46,4,0.20000000000000284,0.05000000000000071,0.03999999999999915
78,ago,33.5,33.68,3,0.17999999999999972,0.05999999999999991,0.10000000000000142
79,in,33.78,33.84,2,0.060000000000002274,0.030000000000001137,0.01999999999999602
80,a,33.86,33.9,1,0.03999999999999915,0.03999999999999915,0.020000000000003126
81,galaxy,33.92,34.3,6,0.37999999999999545,0.06333333333333258,0.060000000000002274
82,far,34.36,34.52,3,0.1600000000000037,0.053333333333334565,0.03999999999999915
83,far,34.56,34.7,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
84,away,34.74,35.0,4,0.259999999999998,0.0649999999999995,1.0600000000000023
85,and,36.06,36.18,3,0.11999999999999744,0.03999999999999915,0.0
86,i,36.18,36.24,1,0.060000000000002274,0.060000000000002274,0.0799999999999983
87,believe,36.32,36.58,7,0.259999999999998,0.03714285714285686,0.03999999999999915
88,by,36.62,36.72,2,0.10000000000000142,0.05000000000000071,0.03999999999999915
89,the,36.76,36.8,3,0.03999999999999915,0.01333333333333305,0.04000000000000625
90,end,36.84,36.98,3,0.13999999999999346,0.04666666666666449,0.0
91,of,36.98,37.04,2,0.060000000000002274,0.030000000000001137,0.060000000000002274
92,tonight,37.1,37.44,7,0.3399999999999963,0.048571428571428044,0.03999999999999915
93,i,37.48,37.52,1,0.04000000000000625,0.04000000000000625,0.03999999999999915
94,will,37.56,37.66,4,0.09999999999999432,0.02499999999999858,0.04000000000000625
95,make,37.7,37.84,4,0.14000000000000057,0.03500000000000014,0.0799999999999983
96,you,37.92,38.02,3,0.10000000000000142,0.033333333333333805,0.0799999999999983
97,believe,38.1,38.5,7,0.3999999999999986,0.05714285714285694,0.6199999999999974
98,that,39.12,39.26,4,0.14000000000000057,0.03500000000000014,0.03999999999999915
99,it's,39.3,39.44,4,0.14000000000000057,0.03500000000000014,0.020000000000003126
100,because,39.46,39.86,7,0.3999999999999986,0.05714285714285694,0.0
101,of,39.86,39.96,2,0.10000000000000142,0.05000000000000071,0.10000000000000142
102,the,40.06,40.12,3,0.05999999999999517,0.01999999999999839,0.0800000000000054
103,mythological,40.2,41.14,12,0.9399999999999977,0.07833333333333314,0.28000000000000114
104,historical,41.42,42.12,10,0.6999999999999957,0.06999999999999958,0.240000000000002
105,and,42.36,42.46,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
106,religious,42.5,42.88,9,0.38000000000000256,0.04222222222222251,0.03999999999999915
107,symbolism,42.92,43.48,9,0.5599999999999952,0.062222222222221686,0.04000000000000625
108,that,43.52,43.62,4,0.09999999999999432,0.02499999999999858,0.03999999999999915
109,is,43.66,43.74,2,0.0800000000000054,0.0400000000000027,0.0799999999999983
110,littered,43.82,44.22,8,0.3999999999999986,0.04999999999999982,0.14000000000000057
111,throughout,44.36,44.64,10,0.28000000000000114,0.028000000000000115,0.03999999999999915
112,star,44.68,44.92,4,0.240000000000002,0.0600000000000005,0.0
113,wars,44.92,45.1,4,0.17999999999999972,0.04499999999999993,0.240000000000002
114,let's,45.34,45.46,5,0.11999999999999744,0.023999999999999487,0.060000000000002274
115,start,45.52,45.68,5,0.1599999999999966,0.03199999999999932,0.03999999999999915
116,with,45.72,45.82,4,0.10000000000000142,0.025000000000000355,0.020000000000003126
117,the,45.84,45.88,3,0.03999999999999915,0.01333333333333305,0.03999999999999915
118,mythological,45.92,46.46,12,0.5399999999999991,0.04499999999999993,0.03999999999999915
119,symbolism,46.5,47.04,9,0.5399999999999991,0.05999999999999991,0.6799999999999997
120,now,47.72,47.82,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
121,i,47.86,47.88,1,0.020000000000003126,0.020000000000003126,0.03999999999999915
122,don't,47.92,48.04,5,0.11999999999999744,0.023999999999999487,0.020000000000003126
123,know,48.06,48.14,4,0.0799999999999983,0.019999999999999574,0.03999999999999915
124,about,48.18,48.38,5,0.20000000000000284,0.04000000000000057,0.05999999999999517
125,you,48.44,48.58,3,0.14000000000000057,0.046666666666666856,0.35999999999999943
126,but,48.94,49.08,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
127,in,49.12,49.2,2,0.0800000000000054,0.0400000000000027,0.05999999999999517
128,my,49.26,49.38,2,0.12000000000000455,0.060000000000002274,0.1599999999999966
129,tenth,49.54,49.86,5,0.3200000000000003,0.06400000000000006,0.0799999999999983
130,rate,49.94,50.18,4,0.240000000000002,0.0600000000000005,0.060000000000002274
131,year,50.24,50.46,4,0.21999999999999886,0.054999999999999716,0.03999999999999915
132,in,50.5,50.56,2,0.060000000000002274,0.030000000000001137,0.05999999999999517
133,miscress's,50.62,51.36,10,0.740000000000002,0.0740000000000002,0.060000000000002274
134,ap,51.42,51.7,2,0.28000000000000114,0.14000000000000057,0.11999999999999744
135,english,51.82,52.14,7,0.3200000000000003,0.045714285714285756,0.03999999999999915
136,class,52.18,52.46,5,0.28000000000000114,0.05600000000000023,0.3999999999999986
137,i,52.86,52.92,1,0.060000000000002274,0.060000000000002274,0.0799999999999983
138,was,53.0,53.12,3,0.11999999999999744,0.03999999999999915,0.060000000000002274
139,sitting,53.18,53.46,7,0.28000000000000114,0.04000000000000016,0.060000000000002274
140,there,53.52,53.76,5,0.23999999999999488,0.047999999999998974,0.03999999999999915
141,and,53.8,53.9,3,0.10000000000000142,0.033333333333333805,0.060000000000002274
142,she,53.96,54.1,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
143,was,54.14,54.3,3,0.1599999999999966,0.0533333333333322,0.10000000000000142
144,telling,54.4,54.7,7,0.30000000000000426,0.04285714285714347,0.01999999999999602
145,us,54.72,54.84,2,0.12000000000000455,0.060000000000002274,0.05999999999999517
146,all,54.9,55.0,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
147,the,55.04,55.1,3,0.060000000000002274,0.020000000000000757,0.05999999999999517
148,civilism,55.16,55.66,8,0.5,0.0625,0.0
149,in,55.66,55.72,2,0.060000000000002274,0.030000000000001137,0.0
150,the,55.72,55.78,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
151,great,55.82,56.04,5,0.21999999999999886,0.043999999999999775,0.060000000000002274
152,gatsby,56.1,56.62,6,0.519999999999996,0.086666666666666,0.5
153,and,57.12,57.22,3,0.10000000000000142,0.033333333333333805,0.03999999999999915
154,i,57.26,57.32,1,0.060000000000002274,0.060000000000002274,0.29999999999999716
155,did,57.62,57.76,3,0.14000000000000057,0.046666666666666856,0.03999999999999915
156,not,57.8,57.98,3,0.17999999999999972,0.05999999999999991,0.04000000000000625
157,believe,58.02,58.46,7,0.4399999999999977,0.06285714285714253,0.21999999999999886
158,an,58.68,58.76,2,0.0799999999999983,0.03999999999999915,0.0800000000000054
159,outsofant,58.84,59.34,9,0.5,0.05555555555555555,0.05999999999999517
160,i,59.4,59.48,1,0.0799999999999983,0.0799999999999983,0.060000000000002274
161,thought,59.54,59.72,7,0.17999999999999972,0.025714285714285672,0.03999999999999915
162,she,59.76,59.84,3,0.0800000000000054,0.026666666666668466,0.03999999999999915
163,made,59.88,60.02,4,0.14000000000000057,0.03500000000000014,0.01999999999999602
164,up,60.04,60.16,2,0.11999999999999744,0.05999999999999872,0.38000000000000256
165,every,60.54,60.76,5,0.21999999999999886,0.043999999999999775,0.03999999999999915
166,bit,60.8,60.96,3,0.1600000000000037,0.053333333333334565,0.01999999999999602
167,of,60.98,61.04,2,0.060000000000002274,0.030000000000001137,0.060000000000002274
168,it,61.1,61.22,2,0.11999999999999744,0.05999999999999872,0.0799999999999983
169,because,61.3,61.56,7,0.2600000000000051,0.03714285714285787,0.0
170,there,61.56,61.66,5,0.09999999999999432,0.019999999999998862,0.0
171,is,61.66,61.74,2,0.0800000000000054,0.0400000000000027,0.01999999999999602
172,there's,61.76,61.86,7,0.10000000000000142,0.014285714285714488,0.060000000000002274
173,no,61.92,62.06,2,0.14000000000000057,0.07000000000000028,0.0799999999999983
174,way,62.14,62.26,3,0.11999999999999744,0.03999999999999915,0.10000000000000142
175,the,62.36,62.42,3,0.060000000000002274,0.020000000000000757,0.03999999999999915
176,other,62.46,62.66,5,0.19999999999999574,0.03999999999999915,0.020000000000003126
177,intended,62.68,63.06,8,0.38000000000000256,0.04750000000000032,0.03999999999999915
178,all,63.1,63.18,3,0.0799999999999983,0.0266666666666661,0.03999999999999915
179,that,63.22,63.38,4,0.1600000000000037,0.040000000000000924,0.8800000000000026
180,well,64.26,64.52,4,0.2599999999999909,0.06499999999999773,0.46000000000000796
181,luckily,64.98,65.32,7,0.3399999999999892,0.04857142857142703,0.0800000000000125
182,for,65.4,65.48,3,0.0799999999999983,0.0266666666666661,0.060000000000002274
183,me,65.54,65.64,2,0.09999999999999432,0.04999999999999716,0.09999999999999432
184,in,65.74,65.8,2,0.060000000000002274,0.030000000000001137,0.04000000000000625
185,the,65.84,65.88,3,0.03999999999999204,0.01333333333333068,0.04000000000000625
186,episode,65.92,66.36,7,0.4399999999999977,0.06285714285714253,0.09999999999999432
187,for,66.46,66.78,3,0.3200000000000074,0.10666666666666913,0.3400000000000034
188,commentary,67.12,67.8,10,0.6799999999999926,0.06799999999999926,0.6599999999999966
189,george,68.46,68.76,6,0.30000000000001137,0.0500000000000019,0.03999999999999204
190,lucas,68.8,69.12,5,0.3200000000000074,0.06400000000000147,0.03999999999999204
191,himself,69.16,69.64,7,0.480000000000004,0.06857142857142914,0.060000000000002274
192,reversed,69.7,70.08,8,0.37999999999999545,0.04749999999999943,0.04000000000000625
193,to,70.12,70.18,2,0.060000000000002274,0.030000000000001137,0.03999999999999204
194,his,70.22,70.32,3,0.09999999999999432,0.03333333333333144,0.060000000000002274
195,own,70.38,70.56,3,0.18000000000000682,0.060000000000002274,0.060000000000002274
196,movies,70.62,71.0,6,0.37999999999999545,0.06333333333333258,0.0799999999999983
197,as,71.08,71.32,2,0.23999999999999488,0.11999999999999744,0.12000000000000455
198,a,71.44,71.52,1,0.0799999999999983,0.0799999999999983,0.1600000000000108
199,barrel,71.68,72.06,6,0.37999999999999545,0.06333333333333258,0.060000000000002274
200,of,72.12,72.22,2,0.09999999999999432,0.04999999999999716,0.060000000000002274
201,minoritical,72.28,72.84,11,0.5600000000000023,0.05090909090909112,0.03999999999999204
202,motives,72.88,73.4,7,0.5200000000000102,0.07428571428571575,1.1199999999999903
203,his,74.52,74.72,3,0.20000000000000284,0.06666666666666761,0.060000000000002274
204,friend,74.78,75.16,6,0.37999999999999545,0.06333333333333258,0.04000000000000625
205,in,75.2,75.28,2,0.0799999999999983,0.03999999999999915,0.1799999999999926
206,mentor,75.46,75.9,6,0.44000000000001194,0.07333333333333532,0.0799999999999983
207,joseph,75.98,76.32,6,0.3399999999999892,0.05666666666666487,0.04000000000000625
208,campbell,76.36,76.8,8,0.4399999999999977,0.054999999999999716,0.3200000000000074
209,famous,77.12,77.42,6,0.29999999999999716,0.049999999999999524,0.060000000000002274
210,mythologic,77.48,78.14,10,0.6599999999999966,0.06599999999999966,0.35999999999999943
211,sissians,78.5,78.94,8,0.4399999999999977,0.054999999999999716,0.01999999999999602
212,in,78.96,79.1,2,0.14000000000000057,0.07000000000000028,0.6200000000000045
213,and,79.72,80.08,3,0.35999999999999943,0.11999999999999982,0.7399999999999949
214,uh,80.82,80.92,2,0.10000000000000853,0.05000000000000426,0.1799999999999926
215,well,81.1,81.3,4,0.20000000000000284,0.05000000000000071,0.0799999999999983
216,known,81.38,81.54,5,0.1600000000000108,0.03200000000000216,0.01999999999999602
217,an,81.56,81.6,2,0.03999999999999204,0.01999999999999602,0.060000000000002274
218,author,81.66,82.06,6,0.4000000000000057,0.06666666666666761,0.1599999999999966
219,of,82.22,82.5,2,0.28000000000000114,0.14000000000000057,0.980000000000004
220,uh,83.48,83.62,2,0.14000000000000057,0.07000000000000028,0.37999999999999545
221,furo,84.0,84.38,4,0.37999999999999545,0.09499999999999886,0.10000000000000853
222,with,84.48,84.58,4,0.09999999999999432,0.02499999999999858,0.01999999999999602
223,a,84.6,84.62,1,0.020000000000010232,0.020000000000010232,0.060000000000002274
224,thousand,84.68,85.02,8,0.3399999999999892,0.04249999999999865,0.060000000000002274
225,faces,85.08,85.5,5,0.4200000000000017,0.08400000000000034,0.6200000000000045
226,tells,86.12,86.54,5,0.4200000000000017,0.08400000000000034,0.11999999999999034
227,of,86.66,86.8,2,0.14000000000000057,0.07000000000000028,0.5
228,the,87.3,87.38,3,0.0799999999999983,0.0266666666666661,0.1600000000000108
229,heroes,87.54,87.96,6,0.4199999999999875,0.06999999999999791,0.04000000000000625
230,journey,88.0,88.34,7,0.3400000000000034,0.04857142857142906,1.039999999999992
231,now,89.38,89.54,3,0.1600000000000108,0.05333333333333693,0.0799999999999983
232,this,89.62,89.76,4,0.14000000000000057,0.03500000000000014,0.01999999999999602
233,is,89.78,89.98,2,0.20000000000000284,0.10000000000000142,0.0799999999999983
234,a,90.06,90.16,1,0.09999999999999432,0.09999999999999432,0.10000000000000853
235,series,90.26,90.54,6,0.28000000000000114,0.046666666666666856,0.0
236,of,90.54,90.6,2,0.05999999999998806,0.02999999999999403,0.060000000000002274
237,steps,90.66,91.0,5,0.3400000000000034,0.06800000000000068,0.060000000000002274
238,that,91.06,91.16,4,0.09999999999999432,0.02499999999999858,0.0799999999999983
239,all,91.24,91.4,3,0.1600000000000108,0.05333333333333693,0.11999999999999034
240,heroes,91.52,91.92,6,0.4000000000000057,0.06666666666666761,0.03999999999999204
241,go,91.96,92.08,2,0.12000000000000455,0.060000000000002274,0.10000000000000853
242,through,92.18,92.38,7,0.19999999999998863,0.028571428571426947,0.12000000000000455
243,in,92.5,92.62,2,0.12000000000000455,0.060000000000002274,0.1599999999999966
244,all,92.78,92.98,3,0.20000000000000284,0.06666666666666761,0.21999999999999886
245,mi-,93.2,93.36,3,0.1599999999999966,0.0533333333333322,0.21999999999999886
246,mythology,93.58,94.24,9,0.6599999999999966,0.07333333333333296,0.480000000000004
247,from,94.72,95.0,4,0.28000000000000114,0.07000000000000028,0.09999999999999432
248,greek,95.1,95.5,5,0.4000000000000057,0.08000000000000114,0.1599999999999966
249,toronto,95.66,96.18,7,0.5200000000000102,0.07428571428571575,0.29999999999999716
250,to,96.48,96.56,2,0.0799999999999983,0.03999999999999915,0.060000000000002274
251,arthurium,96.62,97.26,9,0.6400000000000006,0.07111111111111118,1.0
252,and,98.26,98.38,3,0.11999999999999034,0.03999999999999678,0.04000000000000625
253,different,98.42,98.78,9,0.35999999999999943,0.03999999999999994,0.4399999999999977
254,heroes,99.22,99.56,6,0.3400000000000034,0.05666666666666723,0.01999999999999602
255,to,99.58,99.62,2,0.04000000000000625,0.020000000000003126,0.060000000000002274
256,go,99.68,99.78,2,0.09999999999999432,0.04999999999999716,0.060000000000002274
257,through,99.84,99.98,7,0.14000000000000057,0.02000000000000008,0.03999999999999204
258,this,100.02,100.26,4,0.2400000000000091,0.060000000000002274,0.09999999999999432
259,are,100.36,100.64,3,0.28000000000000114,0.09333333333333371,0.6799999999999926
260,hercules,101.32,101.94,8,0.6200000000000045,0.07750000000000057,0.2600000000000051
261,king,102.2,102.42,4,0.21999999999999886,0.054999999999999716,0.01999999999999602
262,arthur,102.44,102.82,6,0.37999999999999545,0.06333333333333258,0.38000000000000966
263,and,103.2,103.3,3,0.09999999999999432,0.03333333333333144,0.04000000000000625
264,you,103.34,103.38,3,0.03999999999999204,0.01333333333333068,0.060000000000002274
265,guessed,103.44,103.68,7,0.2400000000000091,0.034285714285715585,0.01999999999999602
266,it,103.7,103.84,2,0.14000000000000057,0.07000000000000028,0.29999999999999716
267,looked,104.14,104.36,6,0.21999999999999886,0.03666666666666648,0.060000000000002274
268,skywater,104.42,105.16,8,0.7399999999999949,0.09249999999999936,1.9000000000000057
269,also,107.06,107.5,4,0.4399999999999977,0.10999999999999943,0.2600000000000051
270,there,107.76,107.88,5,0.11999999999999034,0.023999999999998068,0.04000000000000625
271,are,107.92,108.0,3,0.0799999999999983,0.0266666666666661,0.060000000000002274
272,many,108.06,108.28,4,0.21999999999999886,0.054999999999999716,0.539999999999992
273,different,108.82,109.18,9,0.36000000000001364,0.040000000000001514,0.23999999999999488
274,mythological,109.42,109.94,12,0.519999999999996,0.043333333333333,0.060000000000002274
275,architypes,110.0,110.64,10,0.6400000000000006,0.06400000000000006,0.04000000000000625
276,found,110.68,110.96,5,0.2799999999999869,0.055999999999997385,0.020000000000010232
277,in,110.98,111.08,2,0.09999999999999432,0.04999999999999716,0.7399999999999949
278,all,111.82,111.96,3,0.14000000000000057,0.046666666666666856,0.04000000000000625
279,the,112.0,112.04,3,0.04000000000000625,0.013333333333335418,0.03999999999999204
280,mythology,112.08,112.54,9,0.46000000000000796,0.051111111111111995,0.05999999999998806
281,one,112.6,112.74,3,0.14000000000000057,0.046666666666666856,0.0
282,of,112.74,112.8,2,0.060000000000002274,0.030000000000001137,0.060000000000002274
283,which,112.86,113.02,5,0.1599999999999966,0.03199999999999932,0.060000000000002274
284,being,113.08,113.3,5,0.21999999999999886,0.043999999999999775,0.12000000000000455
285,the,113.42,113.48,3,0.060000000000002274,0.020000000000000757,0.0799999999999983
286,mentor,113.56,114.08,6,0.519999999999996,0.086666666666666,0.29999999999999716
287,as,114.38,114.5,2,0.12000000000000455,0.060000000000002274,0.01999999999999602
288,you,114.52,114.56,3,0.04000000000000625,0.013333333333335418,0.03999999999999204
289,want,114.6,114.74,4,0.14000000000000057,0.03500000000000014,0.0
290,to,114.74,114.78,2,0.04000000000000625,0.020000000000003126,0.060000000000002274
291,guess,114.84,115.06,5,0.21999999999999886,0.043999999999999775,0.03999999999999204
292,this,115.1,115.22,4,0.12000000000000455,0.030000000000001137,0.01999999999999602
293,is,115.24,115.34,2,0.10000000000000853,0.05000000000000426,0.03999999999999204
294,an,115.38,115.44,2,0.060000000000002274,0.030000000000001137,0.0799999999999983
295,older,115.52,115.88,5,0.35999999999999943,0.07199999999999988,0.18000000000000682
296,wiser,116.06,116.58,5,0.519999999999996,0.1039999999999992,0.21999999999999886
297,sort,116.8,116.96,4,0.1599999999999966,0.03999999999999915,0.0
298,of,116.96,117.04,2,0.0800000000000125,0.04000000000000625,0.05999999999998806
