,Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,amplitude,post_space,time,pitch
0,produces,0.06,0.5,0.44,0.02,0,8,0.055,0.38707477003608765,0.020000000000000018,0.28,140.68899514536474
1,a,0.52,0.56,0.04,0.0599999999999999,0,1,0.04,0.3538588715270057,0.05999999999999994,0.54,122.69270317350413
2,certain,0.62,0.88,0.26,0.04,0,7,0.037142857142857144,0.4224088976613073,0.040000000000000036,0.75,130.33653344050316
3,model,0.92,1.2,0.2799999999999999,0.0,0,5,0.05599999999999998,0.6982472432352083,0.0,1.06,121.9314958751318
4,of,1.2,1.24,0.04,0.06,0,2,0.02,0.06873224935256803,0.06000000000000005,1.22,
5,car,1.3,1.56,0.26,0.02,0,3,0.08666666666666667,0.48023738764252705,0.020000000000000018,1.4300000000000002,141.48492947248542
6,out,1.58,1.68,0.0999999999999998,0.02,0,3,0.033333333333333263,0.3027629432440633,0.020000000000000018,1.63,119.87061335323311
7,the,1.7,1.76,0.06,0.04,0,3,0.02,0.3000381045096469,0.040000000000000036,1.73,113.72703427895323
8,sam,1.8,2.04,0.24,0.04,0,3,0.08,0.3800310637732149,0.040000000000000036,1.92,127.71294652875403
9,doesn't,2.08,2.3,0.2199999999999997,0.06,0,7,0.03142857142857138,0.24998931231179822,0.06000000000000005,2.19,108.9372707734744
10,step,2.36,2.58,0.2200000000000002,0.06,0,4,0.05500000000000005,0.31813015840350173,0.06000000000000005,2.4699999999999998,111.17867548701182
11,in,2.64,2.7,0.06,0.04,0,2,0.03,0.31570294470334037,0.040000000000000036,2.67,117.31109390229865
12,and,2.74,2.78,0.0399999999999995,0.06,0,3,0.013333333333333168,0.1393676693957859,0.06000000000000005,2.76,104.39586864296355
13,buy,2.84,3.04,0.2000000000000001,0.04,0,3,0.0666666666666667,0.49618788811666886,0.040000000000000036,2.94,108.93175451051044
14,up,3.08,3.16,0.08,0.04,0,2,0.04,0.09690584223744894,0.040000000000000036,3.12,106.98753584496835
15,the,3.2,3.26,0.0599999999999996,0.04,0,3,0.01999999999999987,0.027608417147750076,0.040000000000000036,3.23,
16,surplus,3.3,3.76,0.4599999999999999,0.3399999999999998,0,7,0.0657142857142857,0.1491777154358736,0.33999999999999986,3.53,103.00759963636206
17,why,4.1,4.26,0.1600000000000001,0.04,0,3,0.053333333333333365,0.4863100814448718,0.040000000000000036,4.18,176.64498836920453
